.tracker_row,district_panel_id,state_01,district_01,state_07,district_07,state_08,district_08,state_17,district_17,state_18,district_18,state_20,district_20,state_std,district_std,district_code_0708,district_code_1718,.matched_2001,.matched_2007,.matched_2017,EMIE,emie_2007,wavg_ling_degrees,npeople_0708,consumption_0708,gini_cons_0708,consumption_1718,gini_cons_1718,consumption_pct_change,log_consumption_difference,dependency_ratio,pct_fem_head,pct_pucca,pct_head_secondary_plus,region
15,2001__28__15,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,28,15,28115,28105,TRUE,TRUE,TRUE,14.415071390239,14.415071390239,4.92020753235816,3695071.75,996.44549512807,0.244524490525731,2916.2360026387,0.214014371875803,192.663875434941,1.0738545816952,42.782815259909,26.224687111962,56.5947884688852,28.2468411811554,South
18,2001__12__12,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,12,12,12112,12109,TRUE,TRUE,TRUE,100,100,4.05658365519039,103503.96,698.093771194173,0.226403674031304,1605.30925661228,0.332826426335071,129.956106593847,0.832718263826346,43.9236307859084,20.1581659291103,2.57345578721722,20.5958653547691,East
19,2001__12__03,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,12,03,12103,12103,TRUE,TRUE,TRUE,100,100,5,44612.275,520.58009820941,0.342758160324125,1232.19749190522,0.392603730879462,136.6970032361,0.861610669852208,95.664912087953,18.8902605841105,14.213558761956,17.6259971267437,East
20,2001__12__08,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,12,08,12108,12107,TRUE,TRUE,TRUE,97.3738300891124,97.3738300891124,4.45694390501026,67382.47,1165.93802095228,0.2644441518017,1871.36773043086,0.288577469542352,60.503191147538,0.473143638923502,39.3892768313747,19.9875353337449,1.18587244418571,54.9441863975356,East
25,2001__12__11,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,12,11,12111,12115,TRUE,TRUE,TRUE,70.6938361130025,70.6938361130025,5,132825.1,834.623972894974,0.241983968011792,1591.98444351397,0.374238840776754,90.7427171055269,0.645755303135802,53.0374174331635,21.5013540362476,19.3684606238195,57.5048274616697,East
26,2001__12__13,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Longding,Arunachal Pradesh,Longding,Arunachal Pradesh,Longding,12,13,12113,12110,TRUE,TRUE,TRUE,100,100,4.67987634548773,102232.56,677.645787774941,0.251598405965087,1737.09949724957,0.340966425458621,156.343288571653,0.941347331175875,62.7915431091005,17.3779077820217,4.83860073354092,20.2704003404278,East
27,2001__12__10,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,12,10,12110,12114,TRUE,TRUE,TRUE,100,100,5,50475.76,856.982416132854,0.171996318137546,2690.00264138563,0.414532023960578,213.89239624359,1.14388005406719,76.202926861963,19.3515065449237,19.1723290731637,44.7540393977162,East
29,2001__12__05,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,12,05,12105,12111,TRUE,TRUE,TRUE,94.9964837117013,94.9964837117013,5,88550.705,994.645749188191,0.241629597768491,2417.95687550772,0.261502040632023,143.09729142071,0.8882915534402,54.6769761704155,18.7750453257261,18.2105074142849,25.7257154469665,East
32,2001__12__04,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,12,04,12104,12104,TRUE,TRUE,TRUE,99.5638506750464,99.5638506750464,3.81991566498643,94382.185,1223.01648711194,0.230629706325275,2171.46487359008,0.411923954454144,77.5499264705604,0.574081659267214,58.0421859718957,21.83925917799,31.5711037018039,66.6443627775067,East
35,2001__12__01,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,12,01,12101,12101,TRUE,TRUE,TRUE,100,100,4.49915812483384,27250.59,1159.94036801328,0.174339155226867,1991.39334254155,0.463756731519618,71.6806654425144,0.540465968949894,46.1910936412811,21.1391569870597,29.7735241289262,30.2717846613926,East
38,2001__12__09,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang,12,09,12106,12108,TRUE,TRUE,TRUE,100,100,4.45958524144607,71216.155,1246.62408850936,0.414227583512827,1680.51572880158,0.286753641036053,34.8053309968559,0.298661559162555,75.5556388214853,19.3356830342778,24.052243207498,46.3042444977243,East
39,2001__12__06,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,12,06,12109,12105,TRUE,TRUE,TRUE,77.940360543761,77.940360543761,4.81926132010806,32394.88,736.696147526277,0.210831031546035,1718.53309199645,0.238475182613053,133.275699590265,0.847050828121237,70.8685343861343,18.4499525850999,9.7070850385322,30.2358771524752,East
40,2001__12__02,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,12,02,12102,12102,TRUE,TRUE,TRUE,95.3504574637251,95.3504574637251,5,73116.58,712.431123744358,0.340003781513705,2311.78621347063,0.331730737333287,224.492591132244,1.17709251825363,71.5560713323717,22.0383324821812,32.6442576614698,29.9112426627144,East
41,2001__12__07,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,12,07,12107,12106,TRUE,TRUE,TRUE,99.2854951523237,99.2854951523237,4.62350745032198,103693.56,955.088257079384,0.26838397744808,2052.62166984004,0.419419892600803,114.914344787032,0.765069366419278,46.1372655202095,22.1300773162769,7.79221557453404,55.2262472565517,East
43,2001__18__05,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta,18,05,18205,18204,TRUE,TRUE,TRUE,1.72135596818646,1.72135596818646,3.14228078603506,1723718.335,737.004137265885,0.229746098878343,1648.71793771858,0.205818976169716,123.705384319136,0.8051597515931,59.4052110791259,18.7765401358337,13.1479985721033,40.4844831449846,East
44,2001__18__08,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Biswanath,Assam,Biswanath,Assam,Biswanath,18,08,18408,18426,TRUE,TRUE,TRUE,1.03147914485524,1.03147914485524,3.31821427343518,1392845.37,996.881961531911,0.159314001163436,1553.19816504585,0.169628918393144,55.8056244351183,0.44343904715073,68.1391819695287,22.1908976155767,7.99031094884629,59.6617681713815,East
45,2001__18__04,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Bongaigaon,18,04,18204,18220,TRUE,TRUE,TRUE,2.64278148399002,2.64278148399002,3.24208340295515,694660.77,757.95498464443,0.247187804032216,1858.4740872666,0.244746577721914,145.195839451922,0.89688704995253,61.3015478195249,19.5446246374328,26.0997059188156,22.4654303387941,East
46,2001__18__21,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,18,21,18321,18317,TRUE,TRUE,TRUE,17.0483488397851,17.0483488397851,2.74829593281512,1611885.405,885.898854911329,0.240564749863319,1953.98890947043,0.341036708722783,120.565688581459,0.791025371932117,66.2726784798738,16.9646458210843,15.3015465745601,30.4175553928175,East
50,2001__18__13,Assam,Dhemaji,Assam,Dhemaji,Assam,Dhemaji,Assam,Dhemaji,Assam,Dhemaji,Assam,Dhemaji,18,13,18113,18109,TRUE,TRUE,TRUE,1.15377921359191,1.15377921359191,3.76586457511882,686836.17,812.673405394081,0.155082666931809,1655.98507257718,0.145329998532996,103.77005837593,0.711822007304225,57.4549057469505,20.3970955693844,9.55405524388718,57.8348113700005,East
51,2001__18__02,Assam,Dhubri,Assam,Dhubri,Assam,Dhubri,Assam,Dhubri,Assam,Dhubri,Assam,Dhubri,18,02,18202,18202,TRUE,TRUE,TRUE,1.55420014182142,1.55420014182142,2.92974837022675,1469117.72,601.462054734915,0.218551926682963,1547.39506637687,0.197385407494852,157.272267501374,0.944964744752091,64.8505093444514,18.7129793111474,12.2084669689291,24.8381963587097,East
52,2001__18__15,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh,18,15,18115,18111,TRUE,TRUE,TRUE,8.84479181517212,8.84479181517212,2.68993036012802,1098042.995,1058.63135158383,0.286462186914477,1834.40836286949,0.424951886307016,73.281129462585,0.549745115379225,33.4406400768043,19.0863710213824,32.9983217742116,42.8718506579361,East
54,2001__18__03,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,18,03,18203,18203,TRUE,TRUE,TRUE,0.184882168604563,0.184882168604563,3.18007618834206,691020.925,648.823402249335,0.224441239722308,1831.8530796921,0.279524033918737,182.334618841036,1.03792277314146,59.9415388557986,19.4163570372345,13.2739315007889,24.1470036209463,East
55,2001__18__18,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat,18,18,18118,18114,TRUE,TRUE,TRUE,5.76545327557551,5.76545327557551,2.8713946897919,931180.335,690.866012932172,0.222253653962897,1501.42946590005,0.212578041313748,117.325709731716,0.776227008733654,48.4189769719078,19.6740387564133,30.9608140798734,41.9253058430098,East
56,2001__18__23,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi,18,23,18323,18319,TRUE,TRUE,TRUE,0.829155818197306,0.829155818197306,2.73240809694672,465982.065,634.163099330952,0.276119141059086,1663.40910861188,0.230772771364147,162.299889471146,0.964318279501292,72.4186974775691,19.6446734489664,9.37778248524834,26.280920195272,East
57,2001__18__10,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon,Assam,Hojai,Assam,Hojai,Assam,Hojai,18,10,18410,18406,TRUE,TRUE,TRUE,3.61406105533354,3.61406105533354,2.88255181003773,2338827.015,639.756640102765,0.261037816491654,1602.2461912502,0.192480834735533,150.446199509993,0.918073939054733,57.9408686293581,17.3813203111132,24.9393363209351,32.1262283986068,East
58,2001__18__17,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,18,17,18117,18113,TRUE,TRUE,TRUE,8.00947053651604,8.00947053651604,3.16487550725634,872947.565,1025.5775675667,0.245737545826699,1611.87810087064,0.282330572436938,57.16783906409,0.452144086970125,45.6632563648676,21.034887702562,33.9148842291881,67.1532537463083,East
59,2001__18__06,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,18,06,18206,18222,TRUE,TRUE,TRUE,9.78078797696909,9.78078797696909,2.80198083902908,1858888.68,965.435304945101,0.329766804912919,1960.50203094231,0.220244755066967,103.069229072143,0.708376764828248,50.493553897772,19.3476647563424,28.255559788587,40.3283583376808,East
61,2001__18__19,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,18,19,18319,18315,TRUE,TRUE,TRUE,8.73805489734159,8.73805489734159,3.81698866768995,845997.39,682.454215339903,0.215128092173849,1505.23925535762,0.167965395988076,120.562672414284,0.79101169714971,73.728726623339,18.2246992511408,11.3907216459204,17.3843571618516,East
62,2001__18__22,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj,18,22,18322,18318,TRUE,TRUE,TRUE,6.67041767247337,6.67041767247337,2.81078402046437,855609.39,725.337028189792,0.232353352074425,1523.27029715244,0.203168888282361,110.008621916633,0.741978400632442,62.6251312143843,18.5505660474342,8.69893139741156,24.0414001635339,East
63,2001__18__01,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar,18,01,18201,18201,TRUE,TRUE,TRUE,1.93613875449116,1.93613875449116,3.87830697340043,784911.31,728.676684982903,0.22088373829755,1675.9829790554,0.226285600332357,130.003650946335,0.832924996488835,54.7361644471806,19.1901808625996,12.9082590562047,24.2939423741178,East
64,2001__18__12,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,18,12,18112,18108,TRUE,TRUE,TRUE,3.1075089816554,3.1075089816554,3.39760131556062,891124.360000001,965.036454599284,0.162733528764648,1481.04959089625,0.194691970360204,53.470843908299,0.428340421032422,54.7931394589089,20.5037959011692,19.8598875108557,71.6750350673229,East
68,2001__18__07,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari,18,07,18207,18224,TRUE,TRUE,TRUE,0.0364182501496386,0.0364182501496386,3.30812590090575,1036348.125,685.059141140754,0.232342759222581,1969.20440578046,0.265603977823991,187.450278015612,1.05587971325977,57.6327194493536,18.0050873349146,15.0812025123696,40.4096158594275,East
70,2001__18__11,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,18,11,18411,18407,TRUE,TRUE,TRUE,13.5877901548129,13.5877901548129,2.35264523229306,1512349.345,775.654135876406,0.164341135802563,1543.87463900109,0.167859584753766,99.0416304886555,0.688343815292914,55.599263555831,19.0255740812319,20.4001260376577,39.2925323684997,East
72,2001__18__14,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,18,14,18114,18110,TRUE,TRUE,TRUE,0.997301194289977,0.997301194289977,2.41242014374127,1188775.16,1010.68326093405,0.236246229346598,1637.07513445239,0.34794549920883,61.9770701396047,0.48228459687811,38.1640145490399,17.8006667804196,28.5475508675836,49.542600166776,East
75,2001__10__07,Bihar,Araria,Bihar,Araria,Bihar,Araria,Bihar,Araria,Bihar,Araria,Bihar,Araria,10,07,10107,10107,TRUE,TRUE,TRUE,1.01371106867795,1.01371106867795,1.6226210702057,1909972.01,525.917709897924,0.149455626998143,1430.38861903054,0.228267880492625,171.979549672926,1.00055669245536,91.8483592676943,18.1151324830148,22.7103115208534,28.9848747916489,East
77,2001__10__34,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,10,34,10234,10233,TRUE,TRUE,TRUE,7.81353630397352,7.81353630397352,0.00117552385369028,1792154.665,593.648283270054,0.292262663945964,1484.71384869126,0.220884629736216,150.09991446667,0.916690309898902,77.2732334766785,15.8791741336678,55.7495042010739,41.1691747816937,East
78,2001__10__23,Bihar,Banka,Bihar,Banka,Bihar,Banka,Bihar,Banka,Bihar,Banka,Bihar,Banka,10,23,10223,10223,TRUE,TRUE,TRUE,2.01407191726481,2.01407191726481,0.218008525121576,1581399.51,514.103056997251,0.14310673874541,1215.85334949451,0.193554890346784,136.499926025729,0.860777709156232,94.3175504750102,17.559878022221,26.8619932867681,17.0163696541939,East
79,2001__10__20,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,10,20,10120,10120,TRUE,TRUE,TRUE,1.78514211403423,1.78514211403423,0.749788240592807,2279491.005,680.939306976933,0.184585593795948,1359.56465680536,0.187682525547906,99.6601815866999,0.691446643399389,74.3363848235551,20.8772065323416,49.5242135311045,25.4141481219971,East
80,2001__10__22,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,10,22,10222,10222,TRUE,TRUE,TRUE,5.88490369083082,5.88490369083082,0.0314433765579274,2593180.155,691.015132600803,0.294008756663881,1548.60056949078,0.192817836509418,124.105160137702,0.806945220603232,87.2023074225353,17.495597601471,45.8494315598274,28.6846208731747,East
81,2001__10__29,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,10,29,10229,10229,TRUE,TRUE,TRUE,10.9091424325879,10.9091424325879,0.00157538085836389,2259137.295,566.303155826809,0.262053627571441,1510.78970996139,0.284985557300109,166.781086140271,0.981258234012233,90.8066976530076,16.8338983133826,51.7829146782371,43.5603078338212,East
82,2001__10__30,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar,10,30,10230,10230,TRUE,TRUE,TRUE,0.700756452242522,0.700756452242522,0.00122409679143889,1317818.15,527.303147215017,0.143241600391421,1313.18312156392,0.275959653180955,149.037603606118,0.912433717572937,82.7157521748827,15.2118514986304,63.1561892271376,42.8176329239703,East
83,2001__10__13,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,10,13,10113,10113,TRUE,TRUE,TRUE,1.87369251569322,1.87369251569322,3.42338681829342,3439678.035,584.830321040149,0.222522245871139,1572.03108111052,0.17376535871015,168.801227390978,0.988801988837154,87.9367820600523,19.2070327012453,17.7164338630398,34.5183878515093,East
85,2001__10__35,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,10,35,10235,10234,TRUE,TRUE,TRUE,8.62416201473169,8.62416201473169,0.00153972250374977,3001074.58,641.013087784168,0.233162050770847,1514.05676419507,0.252993174172917,136.197480683087,0.859498051685634,79.6475435711017,16.8482490695049,34.2563414865402,44.3177341057931,East
86,2001__10__15,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,10,15,10115,10115,TRUE,TRUE,TRUE,2.25289904195431,2.25289904195431,0.0018173491993017,1829873.935,711.735376788463,0.205844809683806,1473.58371270812,0.164353981927538,107.040953810293,0.727746432202808,92.8476870612982,16.3640731895555,44.6419251699728,24.3572693071348,East
87,2001__10__37,Bihar,Jamui,Bihar,Jamui,Bihar,Jamui,Bihar,Jamui,Bihar,Jamui,Bihar,Jamui,10,37,10237,10236,TRUE,TRUE,TRUE,1.09544238566184,1.09544238566184,0.206550459651753,1404265.935,538.278460548749,0.155446257122903,1493.60833009698,0.157894572318147,177.478747445015,1.02057415848183,75.7822616186437,16.705739572042,54.9839900011479,20.2104317991045,East
88,2001__10__33,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,10,33,10233,10237,TRUE,TRUE,TRUE,0.706193949650787,0.706193949650787,0.0194762399817537,990827.93,486.08179287735,0.193746189539919,1304.73584235226,0.26497452789223,168.418990686507,0.98737897177223,110.649261592359,16.3705059262914,45.5926233592292,35.0897216176779,East
90,2001__10__10,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,10,10,10110,10110,TRUE,TRUE,TRUE,6.56741574644013,6.56741574644013,0.300444873881743,1951360.12,662.206147076581,0.226615744191011,1431.63504994581,0.191855945706087,116.191748787896,0.770995553770391,91.7289784662067,17.7496324973578,17.1386257460418,21.6777068782094,East
91,2001__10__21,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,10,21,10121,10121,TRUE,TRUE,TRUE,0.149738952409395,0.149738952409395,0.0771240909606575,985253.07,737.956894216391,0.173861212058145,1327.15833507782,0.174243912349222,79.8422571127383,0.586909931309841,93.7361069375144,16.8477338517707,39.2972734526369,26.5833522804062,East
92,2001__10__08,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj,10,08,10108,10108,TRUE,TRUE,TRUE,0.991868647819792,0.991868647819792,0.103914104505309,1092585.105,538.13776238934,0.156551080856164,1562.1580367389,0.168974964818887,190.28961465237,1.06570890986716,69.5695180248986,19.9134130608526,19.7209902497438,6.87711409493463,East
93,2001__10__25,Bihar,Lakhisarai,Bihar,Lakhisarai,Bihar,Lakhisarai,Bihar,Lakhisarai,Bihar,Lakhisarai,Bihar,Lakhisarai,10,25,10225,10225,TRUE,TRUE,TRUE,0.357231870921671,0.357231870921671,0.0191070608535488,782013.265,581.376029831214,0.175614903051058,1334.92340181508,0.180057907987589,129.614454899807,0.831231433356311,86.7861535575643,16.2201545264069,38.1560830485572,20.8922247594968,East
94,2001__10__11,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,10,11,10111,10111,TRUE,TRUE,TRUE,2.09092240535382,2.09092240535382,3.26616759478475,1361305.46,545.527309478337,0.15776558067076,1380.05368330622,0.176456859892001,152.976094748749,0.928124811116143,93.8347980678594,15.5015822091832,12.0101439174884,31.9931923186335,East
