"row_index","n_neighbors","district_panel_id","state_code_2001","district_code_2001","state_std","district_std"
191,4,"2001__10__18","10","18","bihar","vaishali"
192,7,"2001__10__19","10","19","bihar","samastipur"
193,5,"2001__10__20","10","20","bihar","begusarai"
194,6,"2001__10__21","10","21","bihar","khagaria"
195,8,"2001__10__22","10","22","bihar","bhagalpur"
196,6,"2001__10__23","10","23","bihar","banka"
197,6,"2001__10__24","10","24","bihar","munger"
198,6,"2001__10__25","10","25","bihar","lakhisarai"
199,4,"2001__10__26","10","26","bihar","sheikhpura"
200,6,"2001__10__27","10","27","bihar","nalanda"
201,8,"2001__10__28","10","28","bihar","patna"
202,6,"2001__10__29","10","29","bihar","bhojpur"
203,5,"2001__10__30","10","30","bihar","buxar"
204,5,"2001__10__31","10","31","bihar","kaimur bhabua"
205,8,"2001__10__32","10","32","bihar","rohtas"
206,6,"2001__10__33","10","33","bihar","jehanabad"
207,4,"2001__10__34","10","34","bihar","aurangabad"
208,7,"2001__10__35","10","35","bihar","gaya"
209,6,"2001__10__36","10","36","bihar","nawada"
210,7,"2001__10__37","10","37","bihar","jamui"
211,3,"2001__11__01","11","01","sikkim","north mongam"
212,3,"2001__11__02","11","02","sikkim","west gyalshing"
213,4,"2001__11__03","11","03","sikkim","south nimachai"
214,3,"2001__11__04","11","04","sikkim","east gangtok"
215,2,"2001__12__01","12","01","arunachal pradesh","tawang"
216,4,"2001__12__02","12","02","arunachal pradesh","west kameng"
217,5,"2001__12__03","12","03","arunachal pradesh","east kameng"
218,4,"2001__12__04","12","04","arunachal pradesh","papum pare"
219,6,"2001__12__05","12","05","arunachal pradesh","lower subansiri"
220,2,"2001__12__06","12","06","arunachal pradesh","upper subansiri"
221,5,"2001__12__07","12","07","arunachal pradesh","west siang"
222,4,"2001__12__08","12","08","arunachal pradesh","east siang"
223,3,"2001__12__09","12","09","arunachal pradesh","upper siang"
224,4,"2001__12__10","12","10","arunachal pradesh","dibang valley"
225,3,"2001__12__11","12","11","arunachal pradesh","lohit"
226,3,"2001__12__12","12","12","arunachal pradesh","changlang"
227,5,"2001__12__13","12","13","arunachal pradesh","tirap"
228,3,"2001__13__01","13","01","nagaland","mon"
229,5,"2001__13__02","13","02","nagaland","tuensang"
230,5,"2001__13__03","13","03","nagaland","mukokchung"
231,5,"2001__13__04","13","04","nagaland","zunheboto"
232,5,"2001__13__05","13","05","nagaland","wokha"
233,3,"2001__13__06","13","06","nagaland","dimapur"
234,9,"2001__13__07","13","07","nagaland","kohima"
235,5,"2001__13__08","13","08","nagaland","phek"
236,9,"2001__14__01","14","01","manipur","senapati"
237,6,"2001__14__02","14","02","manipur","tamenglong"
238,8,"2001__14__03","14","03","manipur","churachandpur"
239,4,"2001__14__04","14","04","manipur","bishnupur"
240,4,"2001__14__05","14","05","manipur","thoubal"
241,3,"2001__14__06","14","06","manipur","imphal west"
242,3,"2001__14__07","14","07","manipur","imphal east"
243,3,"2001__14__08","14","08","manipur","ukhrul"
244,4,"2001__14__09","14","09","manipur","chandel"
245,6,"2001__15__01","15","01","mizoram","mamit"
246,4,"2001__15__02","15","02","mizoram","kolasib"
247,7,"2001__15__03","15","03","mizoram","aizwal"
248,3,"2001__15__04","15","04","mizoram","champhai"
249,3,"2001__15__05","15","05","mizoram","serchip"
250,5,"2001__15__06","15","06","mizoram","lunglei"
251,2,"2001__15__07","15","07","mizoram","lawngtlai"
252,2,"2001__15__08","15","08","mizoram","saiha"
253,2,"2001__16__01","16","01","tripura","west tripura"
254,2,"2001__16__02","16","02","tripura","south tripura"
255,3,"2001__16__03","16","03","tripura","dhalai"
256,3,"2001__16__04","16","04","tripura","north tripura"
257,2,"2001__17__01","17","01","meghalaya","west garo hills"
258,5,"2001__17__02","17","02","meghalaya","east garo hills"
259,3,"2001__17__03","17","03","meghalaya","south garo hills"
260,5,"2001__17__04","17","04","meghalaya","west khasi hills"
261,6,"2001__17__05","17","05","meghalaya","ri bhoi"
262,3,"2001__17__06","17","06","meghalaya","east khasi hills"
263,5,"2001__17__07","17","07","meghalaya","jaintia hills"
264,4,"2001__18__01","18","01","assam","kokrajhar"
265,4,"2001__18__03","18","03","assam","goalpara"
266,3,"2001__18__04","18","04","assam","bongaigaon"
267,5,"2001__18__05","18","05","assam","barpeta"
268,8,"2001__18__06","18","06","assam","kamrup"
269,3,"2001__18__07","18","07","assam","nalbari"
270,5,"2001__18__08","18","08","assam","darrang"
271,6,"2001__18__09","18","09","assam","marigaon"
272,5,"2001__18__10","18","10","assam","nagaon"
273,8,"2001__18__11","18","11","assam","sonitpur"
274,7,"2001__18__12","18","12","assam","lakhimpur"
275,6,"2001__18__13","18","13","assam","dhemaji"
276,6,"2001__18__14","18","14","assam","tinsukia"
277,6,"2001__18__15","18","15","assam","dibrugarh"
278,6,"2001__18__16","18","16","assam","sibsagar"
279,6,"2001__18__17","18","17","assam","jorhat"
280,8,"2001__18__18","18","18","assam","golaghat"
281,8,"2001__18__19","18","19","assam","karbi anglong"
282,6,"2001__18__20","18","20","assam","north cachar hills"
283,9,"2001__18__21","18","21","assam","cachar"
284,4,"2001__18__22","18","22","assam","karimgang"
285,4,"2001__18__23","18","23","assam","hailakandi"
286,6,"2001__19__01","19","01","west bengal","darjiling"
287,3,"2001__19__02","19","02","west bengal","jalpaiguri"
288,2,"2001__19__03","19","03","west bengal","kochbihar"
289,6,"2001__19__04","19","04","west bengal","uttar dinajpur"
290,2,"2001__19__05","19","05","west bengal","west dinajpur"
291,5,"2001__19__06","19","06","west bengal","maldah"
292,6,"2001__19__07","19","07","west bengal","murshidabad"
293,4,"2001__19__08","19","08","west bengal","birbhum"
294,8,"2001__19__09","19","09","west bengal","barddhaman"
295,4,"2001__19__10","19","10","west bengal","nadia"
296,5,"2001__19__11","19","11","west bengal","24 parganas north"
297,6,"2001__19__12","19","12","west bengal","hugli"
298,4,"2001__19__13","19","13","west bengal","bankura"
299,9,"2001__19__14","19","14","west bengal","puruliya"
300,8,"2001__19__15","19","15","west bengal","medinipur"
301,5,"2001__19__16","19","16","west bengal","howrah"
302,3,"2001__19__17","19","17","west bengal","kolkata"
303,4,"2001__19__18","19","18","west bengal","24 parganas south"
304,4,"2001__20__01","20","01","jharkhand","garhwa"
305,9,"2001__20__02","20","02","jharkhand","palamu"
306,5,"2001__20__03","20","03","jharkhand","chatra"
307,6,"2001__20__04","20","04","jharkhand","hazaribagh"
308,5,"2001__20__05","20","05","jharkhand","kodarma"
309,8,"2001__20__06","20","06","jharkhand","giridih"
310,4,"2001__20__07","20","07","jharkhand","deoghar"
311,5,"2001__20__08","20","08","jharkhand","godda"
312,6,"2001__20__09","20","09","jharkhand","sahibganj"
313,5,"2001__20__10","20","10","jharkhand","pakuar"
314,8,"2001__20__11","20","11","jharkhand","dumka"
315,5,"2001__20__12","20","12","jharkhand","dhanbad"
316,4,"2001__20__13","20","13","jharkhand","bokaro"
317,7,"2001__20__14","20","14","jharkhand","ranchi"
318,3,"2001__20__15","20","15","jharkhand","lohardanga"
319,7,"2001__20__16","20","16","jharkhand","gumla"
320,7,"2001__20__17","20","17","jharkhand","singhbhum w"
321,4,"2001__20__18","20","18","jharkhand","singhbhum e"
322,7,"2001__21__01","21","01","odisha","bargarh"
323,4,"2001__21__02","21","02","odisha","jharsuguda"
324,6,"2001__21__03","21","03","odisha","sambalpur"
325,4,"2001__21__04","21","04","odisha","debagarh"
326,9,"2001__21__05","21","05","odisha","sundargarh"
327,8,"2001__21__06","21","06","odisha","keonjhar"
328,5,"2001__21__07","21","07","odisha","mayurbhanj"
329,4,"2001__21__08","21","08","odisha","baleshwar"
330,4,"2001__21__09","21","09","odisha","bhadrak"
331,3,"2001__21__10","21","10","odisha","kendrapara"
332,7,"2001__21__12","21","12","odisha","cuttack"
333,5,"2001__21__13","21","13","odisha","jajapur"
334,5,"2001__21__14","21","14","odisha","dhenkanal"
335,9,"2001__21__15","21","15","odisha","anugul"
336,6,"2001__21__16","21","16","odisha","nayagarh"
337,4,"2001__21__17","21","17","odisha","khordha"
338,3,"2001__21__18","21","18","odisha","puri"
339,6,"2001__21__19","21","19","odisha","ganjam"
340,4,"2001__21__20","21","20","odisha","gajapati"
341,7,"2001__21__21","21","21","odisha","kandhamal phulbani"
342,5,"2001__21__22","21","22","odisha","baudh"
343,5,"2001__21__23","21","23","odisha","sonapur"
344,6,"2001__21__24","21","24","odisha","bolangir"
345,5,"2001__21__25","21","25","odisha","nuapada"
346,7,"2001__21__26","21","26","odisha","kalahandi"
347,6,"2001__21__27","21","27","odisha","rayagada"
348,5,"2001__21__28","21","28","odisha","nabarangapur"
349,7,"2001__21__29","21","29","odisha","koraput"
350,6,"2001__21__30","21","30","odisha","malkangiri"
351,5,"2001__22__01","22","01","chhattisgarh","koriya"
352,9,"2001__22__02","22","02","chhattisgarh","surguja"
353,4,"2001__22__03","22","03","chhattisgarh","jashpur"
354,9,"2001__22__04","22","04","chhattisgarh","raigarh"
355,5,"2001__22__05","22","05","chhattisgarh","korba"
356,4,"2001__22__06","22","06","chhattisgarh","janigir champa"
357,8,"2001__22__07","22","07","chhattisgarh","bilaspur"
358,6,"2001__22__08","22","08","chhattisgarh","kawardha"
359,6,"2001__22__09","22","09","chhattisgarh","raj nandgaon"
360,6,"2001__22__10","22","10","chhattisgarh","durg"
361,9,"2001__22__11","22","11","chhattisgarh","raipur"
362,4,"2001__22__12","22","12","chhattisgarh","mahasamund"
363,5,"2001__22__13","22","13","chhattisgarh","dhamtari"
364,5,"2001__22__14","22","14","chhattisgarh","kanker"
365,7,"2001__22__15","22","15","chhattisgarh","bastar"
366,6,"2001__22__16","22","16","chhattisgarh","dantewada"
367,5,"2001__23__01","23","01","madhya pradesh","sheopur"
368,7,"2001__23__02","23","02","madhya pradesh","morena"
369,6,"2001__23__03","23","03","madhya pradesh","bhind"
370,4,"2001__23__04","23","04","madhya pradesh","gwalior"
371,7,"2001__23__06","23","06","madhya pradesh","shivpuri"
372,8,"2001__23__07","23","07","madhya pradesh","guna"
373,3,"2001__23__08","23","08","madhya pradesh","tikamgarh"
374,8,"2001__23__09","23","09","madhya pradesh","chhatarpur"
375,5,"2001__23__10","23","10","madhya pradesh","panna"
376,7,"2001__23__11","23","11","madhya pradesh","sagar"
377,6,"2001__23__12","23","12","madhya pradesh","damoh"
378,8,"2001__23__13","23","13","madhya pradesh","satna"
379,4,"2001__23__14","23","14","madhya pradesh","rewa"
380,5,"2001__23__15","23","15","madhya pradesh","umaria"
381,6,"2001__23__16","23","16","madhya pradesh","shadol"
382,7,"2001__23__17","23","17","madhya pradesh","sidhi"
383,2,"2001__23__18","23","18","madhya pradesh","neemuch"
384,4,"2001__23__19","23","19","madhya pradesh","mandsaur"
385,8,"2001__23__20","23","20","madhya pradesh","ratlam"
386,5,"2001__23__21","23","21","madhya pradesh","ujjain"
387,6,"2001__23__22","23","22","madhya pradesh","shajapur"
388,7,"2001__23__23","23","23","madhya pradesh","dewas"
389,7,"2001__23__24","23","24","madhya pradesh","jhabua"
390,6,"2001__23__25","23","25","madhya pradesh","dhar"
391,4,"2001__23__26","23","26","madhya pradesh","indore"
392,6,"2001__23__27","23","27","madhya pradesh","w nimar khargoan"
393,6,"2001__23__28","23","28","madhya pradesh","barwani"
394,7,"2001__23__29","23","29","madhya pradesh","e nimar khandwa"
395,5,"2001__23__30","23","30","madhya pradesh","rajgarh"
396,4,"2001__23__31","23","31","madhya pradesh","vidisha"
397,5,"2001__23__32","23","32","madhya pradesh","bhopal"
398,7,"2001__23__33","23","33","madhya pradesh","sehore"
399,6,"2001__23__34","23","34","madhya pradesh","raisen"
400,5,"2001__23__35","23","35","madhya pradesh","betul"
401,5,"2001__23__36","23","36","madhya pradesh","harda"
402,6,"2001__23__37","23","37","madhya pradesh","hoshangabad"
403,5,"2001__23__38","23","38","madhya pradesh","katni"
404,7,"2001__23__39","23","39","madhya pradesh","jabalpur"
405,7,"2001__23__40","23","40","madhya pradesh","narsimhapur"
406,6,"2001__23__41","23","41","madhya pradesh","dindori"
407,5,"2001__23__42","23","42","madhya pradesh","mandla"
408,6,"2001__23__43","23","43","madhya pradesh","chhindwara"
409,6,"2001__23__44","23","44","madhya pradesh","seoni"
410,7,"2001__23__45","23","45","madhya pradesh","balaghat"
411,6,"2001__24__01","24","01","gujarat","kachch"
412,6,"2001__24__02","24","02","gujarat","bans kantha"
413,4,"2001__24__03","24","03","gujarat","patan"
414,6,"2001__24__04","24","04","gujarat","mahesana"
415,8,"2001__24__05","24","05","gujarat","sabar kantha"
416,3,"2001__24__06","24","06","gujarat","gandhinagar"
417,7,"2001__24__07","24","07","gujarat","ahmedabad"
418,6,"2001__24__08","24","08","gujarat","surendranagar"
419,7,"2001__24__09","24","09","gujarat","rajkot"
420,2,"2001__24__10","24","10","gujarat","jamnagar"
421,3,"2001__24__11","24","11","gujarat","porbandar"
422,4,"2001__24__12","24","12","gujarat","junagadh"
423,3,"2001__24__13","24","13","gujarat","amreli"
424,4,"2001__24__14","24","14","gujarat","bhavnagar"
425,3,"2001__24__15","24","15","gujarat","anand"
426,5,"2001__24__16","24","16","gujarat","kheda"
427,5,"2001__24__17","24","17","gujarat","panch mahals"
428,5,"2001__24__18","24","18","gujarat","dohad"
429,8,"2001__24__19","24","19","gujarat","vadodara"
430,4,"2001__24__20","24","20","gujarat","narmada"
431,3,"2001__24__21","24","21","gujarat","bharuch"
432,6,"2001__24__22","24","22","gujarat","surat"
433,5,"2001__24__23","24","23","gujarat","the dangs"
434,4,"2001__24__24","24","24","gujarat","navsari"
435,5,"2001__24__25","24","25","gujarat","valsad"
436,1,"2001__25__01","25","01","daman and diu","diu"
437,1,"2001__25__02","25","02","daman and diu","daman"
438,2,"2001__26__01","26","01","dadra and nagar haveli","dadra and nagar haveli"
439,7,"2001__27__01","27","01","maharashtra","nandurbar"
440,6,"2001__27__02","27","02","maharashtra","dhule"
441,7,"2001__27__03","27","03","maharashtra","jalgaon"
442,7,"2001__27__04","27","04","maharashtra","buldana"
443,3,"2001__27__05","27","05","maharashtra","akola"
444,6,"2001__27__06","27","06","maharashtra","washim"
445,9,"2001__27__07","27","07","maharashtra","amravati"
446,4,"2001__27__08","27","08","maharashtra","wardha"
447,7,"2001__27__09","27","09","maharashtra","nagpur"
448,5,"2001__27__10","27","10","maharashtra","bhandara"
449,4,"2001__27__11","27","11","maharashtra","gondiya"
450,9,"2001__27__12","27","12","maharashtra","gadchiroli"
451,6,"2001__27__13","27","13","maharashtra","chandrapur"
452,7,"2001__27__14","27","14","maharashtra","yavatmal"
453,7,"2001__27__15","27","15","maharashtra","nanded"
454,4,"2001__27__16","27","16","maharashtra","hingoli"
455,7,"2001__27__17","27","17","maharashtra","parbhani"
456,4,"2001__27__18","27","18","maharashtra","jalna"
457,7,"2001__27__20","27","20","maharashtra","nashik"
458,7,"2001__27__21","27","21","maharashtra","thane"
459,2,"2001__27__22","27","22","maharashtra","mumbai suburban"
460,5,"2001__27__24","27","24","maharashtra","raigarh"
461,5,"2001__27__25","27","25","maharashtra","pune"
462,6,"2001__27__26","27","26","maharashtra","ahmadnagar"
463,5,"2001__27__27","27","27","maharashtra","bid"
464,5,"2001__27__28","27","28","maharashtra","latur"
465,6,"2001__27__29","27","29","maharashtra","osmanabad"
466,7,"2001__27__30","27","30","maharashtra","solapur"
467,5,"2001__27__31","27","31","maharashtra","satara"
468,5,"2001__27__32","27","32","maharashtra","ratnagiri"
469,4,"2001__27__33","27","33","maharashtra","sindhudurg"
470,4,"2001__27__34","27","34","maharashtra","kolhapur"
471,6,"2001__27__35","27","35","maharashtra","sangli"
472,6,"2001__28__01","28","01","andhra pradesh","adilabad"
473,5,"2001__28__02","28","02","andhra pradesh","nizamabad"
474,6,"2001__28__03","28","03","andhra pradesh","karimnagar"
475,7,"2001__28__04","28","04","andhra pradesh","medak"
476,1,"2001__28__05","28","05","andhra pradesh","hyderabad"
477,5,"2001__28__06","28","06","andhra pradesh","rangareddy"
478,7,"2001__28__07","28","07","andhra pradesh","mahbubnagar"
479,7,"2001__28__08","28","08","andhra pradesh","nalgonda"
480,5,"2001__28__09","28","09","andhra pradesh","warangal"
481,7,"2001__28__10","28","10","andhra pradesh","khammam"
482,4,"2001__28__11","28","11","andhra pradesh","srikakulam"
483,4,"2001__28__12","28","12","andhra pradesh","vizianagaram"
484,4,"2001__28__13","28","13","andhra pradesh","visakhapatnam"
485,5,"2001__28__14","28","14","andhra pradesh","east godavari"
486,3,"2001__28__15","28","15","andhra pradesh","west godawari"
487,4,"2001__28__16","28","16","andhra pradesh","krishna"
488,4,"2001__28__17","28","17","andhra pradesh","guntur"
489,5,"2001__28__18","28","18","andhra pradesh","prakasam"
490,4,"2001__28__19","28","19","andhra pradesh","nellore"
