"state_std","district_std","emie_2007","n","district_panel_id_2007","district_panel_id_2017","district_panel_id"
"12","02",1,601,"2007__12__02","2017__12__02","2007__12__02"
"12","03",1,502,"2007__12__03","2017__12__03","2007__12__03"
"12","04",1,1178,"2007__12__04","2017__12__04","2007__12__04"
"12","05",1,716,"2007__12__05","2017__12__05","2007__12__05"
"12","06",1,474,"2007__12__06","2017__12__06","2007__12__06"
"12","07",1,662,"2007__12__07","2017__12__07","2007__12__07"
"12","08",1,750,"2007__12__08","2017__12__08","2007__12__08"
"12","09",1,267,"2007__12__09","2017__12__09","2007__12__09"
"12","10",1,462,"2007__12__10","2017__12__10","2007__12__10"
"12","11",1,891,"2007__12__11","2017__12__11","2007__12__11"
"12","12",1,645,"2007__12__12","2017__12__12","2007__12__12"
"12","13",1,767,"2007__12__13","2017__12__13","2007__12__13"
"13","01",1,1247,"2007__13__01","2017__13__01","2007__13__01"
"13","02",1,1402,"2007__13__02","2017__13__02","2007__13__02"
"13","03",1,1597,"2007__13__03","2017__13__03","2007__13__03"
"13","04",1,946,"2007__13__04","2017__13__04","2007__13__04"
"13","05",1,962,"2007__13__05","2017__13__05","2007__13__05"
"13","06",1,1555,"2007__13__06","2017__13__06","2007__13__06"
"13","07",1,1875,"2007__13__07","2017__13__07","2007__13__07"
"13","08",1,914,"2007__13__08","2017__13__08","2007__13__08"
"14","01",1,1302,"2007__14__01","2017__14__01","2007__14__01"
"14","02",1,654,"2007__14__02","2017__14__02","2007__14__02"
"14","03",1,1716,"2007__14__03","2017__14__03","2007__14__03"
"14","04",1,1641,"2007__14__04","2017__14__04","2007__14__04"
"14","05",1,2556,"2007__14__05","2017__14__05","2007__14__05"
"14","06",1,3356,"2007__14__06","2017__14__06","2007__14__06"
"14","07",1,3179,"2007__14__07","2017__14__07","2007__14__07"
"14","08",1,1030,"2007__14__08","2017__14__08","2007__14__08"
"14","09",1,1009,"2007__14__09","2017__14__09","2007__14__09"
"15","01",1,661,"2007__15__01","2017__15__01","2007__15__01"
"15","02",1,1233,"2007__15__02","2017__15__02","2007__15__02"
"15","03",1,3096,"2007__15__03","2017__15__03","2007__15__03"
"15","04",1,1179,"2007__15__04","2017__15__04","2007__15__04"
"15","05",1,930,"2007__15__05","2017__15__05","2007__15__05"
"15","06",1,1174,"2007__15__06","2017__15__06","2007__15__06"
"15","07",1,513,"2007__15__07","2017__15__07","2007__15__07"
"15","08",1,808,"2007__15__08","2017__15__08","2007__15__08"
"16","01",1,6965,"2007__16__01","2017__16__01","2007__16__01"
"16","02",1,3899,"2007__16__02","2017__16__02","2007__16__02"
"16","03",1,1454,"2007__16__03","2017__16__03","2007__16__03"
"16","04",1,3354,"2007__16__04","2017__16__04","2007__16__04"
"17","01",1,2132,"2007__17__01","2017__17__01","2007__17__01"
"17","02",1,1257,"2007__17__02","2017__17__02","2007__17__02"
"17","03",1,763,"2007__17__03","2017__17__03","2007__17__03"
"17","04",1,1503,"2007__17__04","2017__17__04","2007__17__04"
"17","05",1,956,"2007__17__05","2017__17__05","2007__17__05"
"17","06",1,2561,"2007__17__06","2017__17__06","2007__17__06"
"17","07",1,1417,"2007__17__07","2017__17__07","2007__17__07"
"18","01",1,666,"2007__18__01","2017__18__01","2007__18__01"
"18","02",1,705,"2007__18__02","2017__18__02","2007__18__02"
"18","03",1,679,"2007__18__03","2017__18__03","2007__18__03"
"18","04",1,661,"2007__18__04","2017__18__04","2007__18__04"
"18","05",1,946,"2007__18__05","2017__18__05","2007__18__05"
"18","06",1,1146,"2007__18__06","2017__18__06","2007__18__06"
"18","07",1,677,"2007__18__07","2017__18__07","2007__18__07"
"18","08",1,714,"2007__18__08","2017__18__08","2007__18__08"
"18","09",1,707,"2007__18__09","2017__18__09","2007__18__09"
"18","10",1,1226,"2007__18__10","2017__18__10","2007__18__10"
"18","11",1,958,"2007__18__11","2017__18__11","2007__18__11"
"18","12",1,749,"2007__18__12","2017__18__12","2007__18__12"
"18","13",1,766,"2007__18__13","2017__18__13","2007__18__13"
"18","14",1,809,"2007__18__14","2017__18__14","2007__18__14"
"18","15",1,924,"2007__18__15","2017__18__15","2007__18__15"
"18","16",1,691,"2007__18__16","2017__18__16","2007__18__16"
"18","17",1,713,"2007__18__17","2017__18__17","2007__18__17"
"18","18",1,686,"2007__18__18","2017__18__18","2007__18__18"
"18","19",1,760,"2007__18__19","2017__18__19","2007__18__19"
"18","20",1,729,"2007__18__20","2017__18__20","2007__18__20"
"18","21",1,760,"2007__18__21","2017__18__21","2007__18__21"
"18","22",1,733,"2007__18__22","2017__18__22","2007__18__22"
"18","23",1,719,"2007__18__23","2017__18__23","2007__18__23"
"19","01",1,1105,"2007__19__01","2017__19__01","2007__19__01"
"19","02",1,2006,"2007__19__02","2017__19__02","2007__19__02"
"19","03",1,1545,"2007__19__03","2017__19__03","2007__19__03"
"19","04",1,1616,"2007__19__04","2017__19__04","2007__19__04"
"19","05",1,864,"2007__19__05","2017__19__05","2007__19__05"
"19","06",1,1969,"2007__19__06","2017__19__06","2007__19__06"
"19","07",1,3547,"2007__19__07","2017__19__07","2007__19__07"
"19","08",1,1572,"2007__19__08","2017__19__08","2007__19__08"
"19","09",1,4191,"2007__19__09","2017__19__09","2007__19__09"
"19","10",1,2753,"2007__19__10","2017__19__10","2007__19__10"
"19","11",1,5150,"2007__19__11","2017__19__11","2007__19__11"
"19","12",1,3081,"2007__19__12","2017__19__12","2007__19__12"
"19","13",1,1811,"2007__19__13","2017__19__13","2007__19__13"
"19","14",1,1687,"2007__19__14","2017__19__14","2007__19__14"
"19","15",1,5040,"2007__19__15","2017__19__15","2007__19__15"
"19","16",1,2922,"2007__19__16","2017__19__16","2007__19__16"
"19","17",1,2954,"2007__19__17","2017__19__17","2007__19__17"
"19","18",1,3931,"2007__19__18","2017__19__18","2007__19__18"
"20","01",1,776,"2007__20__01","2017__20__01","2007__20__01"
"20","02",1,1268,"2007__20__02","2017__20__02","2007__20__02"
"20","03",1,646,"2007__20__03","2017__20__03","2007__20__03"
"20","04",1,1442,"2007__20__04","2017__20__04","2007__20__04"
"20","05",1,718,"2007__20__05","2017__20__05","2007__20__05"
"20","06",1,1144,"2007__20__06","2017__20__06","2007__20__06"
"20","07",1,1003,"2007__20__07","2017__20__07","2007__20__07"
"20","08",1,914,"2007__20__08","2017__20__08","2007__20__08"
"20","09",1,636,"2007__20__09","2017__20__09","2007__20__09"
"20","10",1,605,"2007__20__10","2017__20__10","2007__20__10"
"20","11",1,1115,"2007__20__11","2017__20__11","2007__20__11"
"20","12",1,1015,"2007__20__12","2017__20__12","2007__20__12"
"20","13",1,982,"2007__20__13","2017__20__13","2007__20__13"
"20","14",1,1746,"2007__20__14","2017__20__14","2007__20__14"
"20","15",1,614,"2007__20__15","2017__20__15","2007__20__15"
"20","16",1,886,"2007__20__16","2017__20__16","2007__20__16"
"20","17",1,1250,"2007__20__17","2017__20__17","2007__20__17"
"20","18",1,882,"2007__20__18","2017__20__18","2007__20__18"
"21","01",1,1151,"2007__21__01","2017__21__01","2007__21__01"
"21","02",1,674,"2007__21__02","2017__21__02","2007__21__02"
"21","03",1,639,"2007__21__03","2017__21__03","2007__21__03"
"21","04",1,688,"2007__21__04","2017__21__04","2007__21__04"
"21","05",1,1239,"2007__21__05","2017__21__05","2007__21__05"
"21","06",1,1057,"2007__21__06","2017__21__06","2007__21__06"
"21","07",1,1302,"2007__21__07","2017__21__07","2007__21__07"
"21","08",1,1475,"2007__21__08","2017__21__08","2007__21__08"
"21","09",1,1213,"2007__21__09","2017__21__09","2007__21__09"
"21","10",1,1140,"2007__21__10","2017__21__10","2007__21__10"
"21","11",1,919,"2007__21__11","2017__21__11","2007__21__11"
"21","12",1,1383,"2007__21__12","2017__21__12","2007__21__12"
"21","13",1,1191,"2007__21__13","2017__21__13","2007__21__13"
"21","14",1,865,"2007__21__14","2017__21__14","2007__21__14"
"21","15",1,918,"2007__21__15","2017__21__15","2007__21__15"
"21","16",1,880,"2007__21__16","2017__21__16","2007__21__16"
"21","17",1,1094,"2007__21__17","2017__21__17","2007__21__17"
"21","18",1,1175,"2007__21__18","2017__21__18","2007__21__18"
"21","19",1,1549,"2007__21__19","2017__21__19","2007__21__19"
"21","20",1,600,"2007__21__20","2017__21__20","2007__21__20"
"21","21",1,674,"2007__21__21","2017__21__21","2007__21__21"
"21","22",1,697,"2007__21__22","2017__21__22","2007__21__22"
"21","23",1,703,"2007__21__23","2017__21__23","2007__21__23"
"21","24",1,1037,"2007__21__24","2017__21__24","2007__21__24"
"21","25",1,705,"2007__21__25","2017__21__25","2007__21__25"
"21","26",1,1048,"2007__21__26","2017__21__26","2007__21__26"
"21","27",1,611,"2007__21__27","2017__21__27","2007__21__27"
"21","28",1,881,"2007__21__28","2017__21__28","2007__21__28"
"21","29",1,874,"2007__21__29","2017__21__29","2007__21__29"
"21","30",1,577,"2007__21__30","2017__21__30","2007__21__30"
"22","01",1,656,"2007__22__01","2017__22__01","2007__22__01"
"22","02",1,887,"2007__22__02","2017__22__02","2007__22__02"
"22","03",1,753,"2007__22__03","2017__22__03","2007__22__03"
"22","04",1,965,"2007__22__04","2017__22__04","2007__22__04"
"22","05",1,993,"2007__22__05","2017__22__05","2007__22__05"
"22","06",1,962,"2007__22__06","2017__22__06","2007__22__06"
"22","07",1,1171,"2007__22__07","2017__22__07","2007__22__07"
"22","08",1,719,"2007__22__08","2017__22__08","2007__22__08"
"22","09",1,735,"2007__22__09","2017__22__09","2007__22__09"
"22","10",1,1302,"2007__22__10","2017__22__10","2007__22__10"
"22","11",1,1552,"2007__22__11","2017__22__11","2007__22__11"
"22","12",1,692,"2007__22__12","2017__22__12","2007__22__12"
"22","13",1,739,"2007__22__13","2017__22__13","2007__22__13"
"22","14",1,714,"2007__22__14","2017__22__14","2007__22__14"
"22","15",1,953,"2007__22__15","2017__22__15","2007__22__15"
"22","16",1,637,"2007__22__16","2017__22__16","2007__22__16"
"23","01",1,775,"2007__23__01","2017__23__01","2007__23__01"
"23","02",1,916,"2007__23__02","2017__23__02","2007__23__02"
"23","03",1,935,"2007__23__03","2017__23__03","2007__23__03"
"23","04",1,961,"2007__23__04","2017__23__04","2007__23__04"
"23","05",1,754,"2007__23__05","2017__23__05","2007__23__05"
"23","06",1,941,"2007__23__06","2017__23__06","2007__23__06"
"23","07",1,1250,"2007__23__07","2017__23__07","2007__23__07"
"23","08",1,920,"2007__23__08","2017__23__08","2007__23__08"
"23","09",1,1010,"2007__23__09","2017__23__09","2007__23__09"
"23","10",1,704,"2007__23__10","2017__23__10","2007__23__10"
"23","11",1,1273,"2007__23__11","2017__23__11","2007__23__11"
"23","12",1,700,"2007__23__12","2017__23__12","2007__23__12"
"23","13",1,1234,"2007__23__13","2017__23__13","2007__23__13"
"23","14",1,957,"2007__23__14","2017__23__14","2007__23__14"
"23","15",1,748,"2007__23__15","2017__23__15","2007__23__15"
"23","16",1,1121,"2007__23__16","2017__23__16","2007__23__16"
"23","17",1,1085,"2007__23__17","2017__23__17","2007__23__17"
"23","18",1,702,"2007__23__18","2017__23__18","2007__23__18"
"23","19",1,719,"2007__23__19","2017__23__19","2007__23__19"
"23","20",1,968,"2007__23__20","2017__23__20","2007__23__20"
"23","21",1,1329,"2007__23__21","2017__23__21","2007__23__21"
"23","22",1,1041,"2007__23__22","2017__23__22","2007__23__22"
"23","23",1,959,"2007__23__23","2017__23__23","2007__23__23"
"23","24",1,1040,"2007__23__24","2017__23__24","2007__23__24"
"23","25",1,1093,"2007__23__25","2017__23__25","2007__23__25"
"23","26",1,1491,"2007__23__26","2017__23__26","2007__23__26"
"23","27",1,1027,"2007__23__27","2017__23__27","2007__23__27"
"23","28",1,696,"2007__23__28","2017__23__28","2007__23__28"
"23","29",1,1226,"2007__23__29","2017__23__29","2007__23__29"
"23","30",1,1004,"2007__23__30","2017__23__30","2007__23__30"
"23","31",1,709,"2007__23__31","2017__23__31","2007__23__31"
"23","32",1,1467,"2007__23__32","2017__23__32","2007__23__32"
"23","33",1,792,"2007__23__33","2017__23__33","2007__23__33"
"23","34",1,775,"2007__23__34","2017__23__34","2007__23__34"
"23","35",1,939,"2007__23__35","2017__23__35","2007__23__35"
"23","36",1,731,"2007__23__36","2017__23__36","2007__23__36"
"23","37",1,761,"2007__23__37","2017__23__37","2007__23__37"
"23","38",1,690,"2007__23__38","2017__23__38","2007__23__38"
"23","39",1,918,"2007__23__39","2017__23__39","2007__23__39"
"23","40",1,726,"2007__23__40","2017__23__40","2007__23__40"
"23","41",1,679,"2007__23__41","2017__23__41","2007__23__41"
"23","42",1,707,"2007__23__42","2017__23__42","2007__23__42"
"23","43",1,1218,"2007__23__43","2017__23__43","2007__23__43"
"23","44",1,935,"2007__23__44","2017__23__44","2007__23__44"
"23","45",1,968,"2007__23__45","2017__23__45","2007__23__45"
"24","01",1,1173,"2007__24__01","2017__24__01","2007__24__01"
"24","02",1,1329,"2007__24__02","2017__24__02","2007__24__02"
"24","03",1,753,"2007__24__03","2017__24__03","2007__24__03"
"24","04",1,1134,"2007__24__04","2017__24__04","2007__24__04"
