"district_2001","round_id","outcome_id","estimate","std_error","relative_se","cv","n_households","n_fsu","n_sample_person_equiv","sum_person_weight","kish_effective_n","status","reason","uncertainty_requested","sample_support_ok","analysis_eligible","precision_ok","preferred_eligible","support_reason"
"pc2001__24__19","nss_2011_12_type2","mean_log_real_mpce",7.2392123215545,0.0508949488541479,0.00703045394905879,NA,248,31,1144,4209110.35,68.9400322857356,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__20","nss_2011_12_type2","mean_log_real_mpce",6.97627287918942,0.0571706385206395,0.00819501179364449,NA,96,12,412,507466.315,23.022123874539,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__21","nss_2011_12_type2","mean_log_real_mpce",7.27725383359472,0.118019822751799,0.0162176317400078,NA,96,12,446,1473965.035,27.2399190643121,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__22","nss_2011_12_type2","mean_log_real_mpce",7.24523000380363,0.0509574324810602,0.00703323875906056,NA,344,43,1423,6581819.95,90.1834479755129,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__23","nss_2011_12_type2","mean_log_real_mpce",6.78590320043721,0.115465069717607,0.017015431300312,NA,32,4,152,259887.15,8.23236434724276,"estimated",NA,TRUE,FALSE,FALSE,NA,FALSE,"thin_household_sample;low_kish_effective_n"
"pc2001__24__24","nss_2011_12_type2","mean_log_real_mpce",7.24377764954788,0.125374441977219,0.0173078810591383,NA,96,12,378,1140069.365,35.0454972747962,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__25","nss_2011_12_type2","mean_log_real_mpce",7.39618815984366,0.0956549239697401,0.0129330030419023,NA,96,12,406,2438567.125,22.2188767627968,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__25__01","nss_2011_12_type2","mean_log_real_mpce",7.23672177748888,0.111032896565742,0.0153429826349176,NA,48,6,209,59829.15,11.81371837848,"estimated",NA,TRUE,FALSE,FALSE,NA,FALSE,"thin_household_sample;low_kish_effective_n"
"pc2001__25__02","nss_2011_12_type2","mean_log_real_mpce",7.55014366857672,0.109057095250871,0.0144443735163293,NA,80,10,332,86875.705,26.5754056638287,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__26__01","nss_2011_12_type2","mean_log_real_mpce",7.09386753367614,0.0779537081157231,0.0109888869147415,NA,190,24,906,319232,72.4859312478375,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__01","nss_2011_12_type2","mean_log_real_mpce",6.96216000625278,0.0451970446988375,0.00649181355473669,NA,128,16,621,1427904.015,28.1967113017027,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__02","nss_2011_12_type2","mean_log_real_mpce",7.07142882001746,0.0601365702973741,0.00850416115723917,NA,160,20,860,1875480.685,48.7387136378009,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__03","nss_2011_12_type2","mean_log_real_mpce",7.18584890354882,0.0450112871996912,0.00626387888248831,NA,288,36,1301,4059549.575,96.6905151269109,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__04","nss_2011_12_type2","mean_log_real_mpce",7.0428480419613,0.0617317503773704,0.00876516858088837,NA,191,24,896,2200011.875,50.0441856860872,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__05","nss_2011_12_type2","mean_log_real_mpce",6.96504893185222,0.0654148977217509,0.00939187913276513,NA,127,16,568,1711829.255,18.8570686010724,"estimated",NA,TRUE,FALSE,FALSE,NA,FALSE,"low_kish_effective_n"
"pc2001__27__06","nss_2011_12_type2","mean_log_real_mpce",6.89499064433066,0.0792424952518645,0.0114927632740185,NA,96,12,512,1176821.095,23.4218341775987,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__07","nss_2011_12_type2","mean_log_real_mpce",7.21209777718182,0.0476922284378114,0.0066128094642177,NA,224,28,1042,2758724.05,77.5331980743255,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__08","nss_2011_12_type2","mean_log_real_mpce",7.3388853611147,0.0661760226869365,0.0090171762373578,NA,128,16,503,1279013.22,30.9265412171618,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__09","nss_2011_12_type2","mean_log_real_mpce",7.44177118617248,0.075553969161483,0.0101526864064122,NA,352,44,1501,4713000.855,113.15171076157,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__10","nss_2011_12_type2","mean_log_real_mpce",7.01732038757823,0.0929724788564465,0.0132490001484074,NA,96,12,461,1423470.395,29.9801290419318,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__11","nss_2011_12_type2","mean_log_real_mpce",7.16897419960841,0.102440510369585,0.0142894237749078,NA,128,16,578,1273220.67,50.3028228089046,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__12","nss_2011_12_type2","mean_log_real_mpce",7.05242283263746,0.0541147878968352,0.00767321942842122,NA,96,12,360,980256.97,21.863688431679,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__13","nss_2011_12_type2","mean_log_real_mpce",7.08347745698025,0.0467813723004656,0.00660429465394373,NA,160,20,639,2281997.415,42.4265427135003,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__14","nss_2011_12_type2","mean_log_real_mpce",7.10306673228226,0.0342473410467987,0.00482148659693006,NA,224,28,940,2503628.985,52.7185473676973,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__15","nss_2011_12_type2","mean_log_real_mpce",7.17036309306172,0.0468564499044697,0.00653473879862647,NA,224,28,1091,3123541.745,68.9419635958301,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__16","nss_2011_12_type2","mean_log_real_mpce",7.15324327289197,0.104942990487924,0.0146706866360351,NA,96,12,470,1085776.935,27.3362935271723,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__17","nss_2011_12_type2","mean_log_real_mpce",7.06329135206718,0.0680105815918304,0.00962873796391339,NA,128,16,604,1301082.315,29.9374840231758,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__18","nss_2011_12_type2","mean_log_real_mpce",7.0561375772248,0.0295867323343734,0.00419304924408942,NA,160,20,759,1825924.225,36.7944872291805,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__27__19","nss_2011_12_type2","mean_log_real_mpce",7.09574896569012,0.0458097704029053,0.00645594575349382,NA,224,28,1058,3066123.15,74.3030097148096,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
