"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__08__31",1,423,12,1035571.315,148.913529814604,289,134,TRUE,
"pc2001__08__32",1,495,12,1325969.565,203.97266408858,342,153,TRUE,
"pc2001__09__01",1,934,20,3167199.93,345.735107925876,568,366,TRUE,
"pc2001__09__02",1,1078,24,3372974.71499999,400.604377474181,719,359,TRUE,
"pc2001__09__03",1,912,20,2526182.81000001,269.378841798171,515,397,TRUE,
"pc2001__09__04",1,1139,24,3616909.39999999,411.127038918877,766,373,TRUE,
"pc2001__09__05",1,639,12,2162513.485,236.499295764751,440,199,TRUE,
"pc2001__09__06",1,500,12,1224485.125,171.870003334044,333,167,TRUE,
"pc2001__09__07",1,772,20,2805345.25,211.03506519878,376,396,TRUE,
"pc2001__09__08",1,563,12,1193092.145,241.482861490364,365,198,TRUE,
"pc2001__09__09",1,897,20,4471665.50500001,381.772678228297,410,487,TRUE,
"pc2001__09__10",1,521,12,1806742.96,196.503589462311,362,159,TRUE,
"pc2001__09__11",1,855,20,3025530.20500001,366.118694818883,536,319,TRUE,
"pc2001__09__12",1,715,16,3719977.31000001,299.003757610977,364,351,TRUE,
"pc2001__09__13",1,528,12,1460101.625,285.536852218651,363,165,TRUE,
"pc2001__09__14",1,717,16,2072234.265,207.270920021025,363,354,TRUE,
"pc2001__09__15",1,903,20,3522845.705,320.170996698609,376,527,TRUE,
"pc2001__09__16",1,749,16,2433809.785,315.590753370433,382,367,TRUE,
"pc2001__09__17",1,713,16,2844799.025,270.025526338136,535,178,TRUE,
"pc2001__09__18",1,495,12,1625932.09,169.364163528941,334,161,TRUE,
"pc2001__09__19",1,1108,24,2991511.845,336.279861249054,758,350,TRUE,
"pc2001__09__20",1,1119,24,4284226.095,554.508746162106,800,319,TRUE,
"pc2001__09__21",1,485,12,1986501.57,155.624241188782,346,139,TRUE,
"pc2001__09__22",1,583,12,3264547.455,175.467486477776,388,195,TRUE,
"pc2001__09__23",1,767,20,3309577.62499999,252.576611496234,609,158,TRUE,
"pc2001__09__24",1,762,20,3856492.46499999,325.336001784252,615,147,TRUE,
"pc2001__09__25",1,766,20,3133664.935,219.246822731125,611,155,TRUE,
"pc2001__09__26",1,607,16,2697476.035,145.912623022674,439,168,TRUE,
"pc2001__09__27",1,1035,24,5075807.09,274.686874922945,366,669,TRUE,
"pc2001__09__28",1,776,20,3163575.07,268.984395058507,655,121,TRUE,
"pc2001__09__29",1,462,11,1440384.34,166.251163288699,282,180,TRUE,
"pc2001__09__30",1,526,12,1487340.82,202.305153823003,349,177,TRUE,
"pc2001__09__31",1,486,12,1367110.395,180.226883584598,329,157,TRUE,
"pc2001__09__32",1,481,12,1201276.995,170.317899018508,323,158,TRUE,
"pc2001__09__33",1,442,12,1185815.84,101.84671762147,284,158,TRUE,
"pc2001__09__34",1,959,24,3359691,409.537192610694,329,630,TRUE,
"pc2001__09__35",1,498,12,1426657.17,249.156961012418,322,176,TRUE,
"pc2001__09__36",1,675,16,2099005.84,359.910279072434,354,321,TRUE,
"pc2001__09__37",1,515,12,963058.444999999,231.730933356785,369,146,TRUE,
"pc2001__09__38",1,510,12,1145303.92,283.397314633172,354,156,TRUE,
"pc2001__09__39",1,497,12,655538.94,283.103327094649,355,142,TRUE,
"pc2001__09__40",1,461,12,1363954.345,153.623752089055,311,150,TRUE,
"pc2001__09__41",1,542,12,813641.55,160.048172593633,390,152,TRUE,
"pc2001__09__42",1,531,12,2639951.64000001,151.785480382711,364,167,TRUE,
"pc2001__09__43",1,848,20,2404783.27499999,329.256833198059,658,190,TRUE,
"pc2001__09__44",1,460,12,1112541.795,144.363264769403,289,171,TRUE,
"pc2001__09__45",1,940,24,4599142.505,428.743317084189,661,279,TRUE,
"pc2001__09__46",1,873,20,3423322.385,260.060638214484,703,170,TRUE,
"pc2001__09__47",1,556,12,1891414.48,197.086329994983,378,178,TRUE,
"pc2001__09__48",1,595,12,1794985.41,200.068072559149,393,202,TRUE,
"pc2001__09__49",1,927,20,3299718.41999999,304.01831327411,774,153,TRUE,
"pc2001__09__50",1,510,12,2575383.845,128.109905512587,357,153,TRUE,
"pc2001__09__51",1,521,12,846305.14,84.7724648234232,330,191,FALSE,"low_kish_effective_n"
"pc2001__09__52",1,583,12,2040404.635,163.835329401483,404,179,TRUE,
"pc2001__09__53",1,942,20,2514505.195,217.593216407831,774,168,TRUE,
"pc2001__09__54",1,646,12,2275341.815,189.104609646961,453,193,TRUE,
"pc2001__09__55",1,512,12,1937551.345,187.710996677781,364,148,TRUE,
"pc2001__09__56",1,508,12,1543433.24,191.861178555195,343,165,TRUE,
"pc2001__09__57",1,553,12,2082572.675,183.619514353259,380,173,TRUE,
"pc2001__09__58",1,1044,23,3770290.31000001,428.004173876985,756,288,TRUE,
"pc2001__09__59",1,952,20,3331716.43,387.752155736764,776,176,TRUE,
"pc2001__09__60",1,951,20,2964374.715,411.522442413472,795,156,TRUE,
"pc2001__09__61",1,1055,20,3660635.94,368.945041219769,818,237,TRUE,
"pc2001__09__62",1,544,12,1571037.83,247.321754133524,359,185,TRUE,
"pc2001__09__63",1,933,20,2200141.00999999,291.781286367345,748,185,TRUE,
"pc2001__09__64",1,1024,20,3809263.65000001,455.785404207142,835,189,TRUE,
"pc2001__09__65",1,922,20,2790489.74499999,237.366382380817,761,161,TRUE,
"pc2001__09__66",1,485,12,1519464.94,153.596094616431,338,147,TRUE,
"pc2001__09__67",1,900,20,2841427.12,408.107439027136,368,532,TRUE,
"pc2001__09__68",1,561,12,1279391.29,210.93001299351,386,175,TRUE,
"pc2001__09__69",1,479,12,2433800.305,215.707265024863,332,147,TRUE,
"pc2001__09__70",1,477,12,1336430.945,153.546218599313,322,155,TRUE,
"pc2001__10__01",1,754,16,3080696.005,216.470314507935,591,163,TRUE,
"pc2001__10__02",1,954,20,3780954.49499999,261.698977846796,774,180,TRUE,
"pc2001__10__03",1,483,12,509598.97,78.3754900996341,335,148,FALSE,"low_kish_effective_n"
"pc2001__10__04",1,615,16,2505346.77999999,179.126250542979,451,164,TRUE,
"pc2001__10__05",1,711,20,3038819.095,212.962161737917,577,134,TRUE,
"pc2001__10__06",1,442,12,1580252.89,110.824007424936,289,153,TRUE,
"pc2001__10__07",1,605,16,1870616.53,122.714432608194,490,115,TRUE,
"pc2001__10__08",1,434,12,1039626.5,118.07205227338,282,152,TRUE,
"pc2001__10__09",1,583,16,2200028.00500001,128.784646666615,412,171,TRUE,
"pc2001__10__10",1,603,16,2339052.71,145.935114414814,467,136,TRUE,
"pc2001__10__11",1,424,12,1386300.455,76.7193215634648,299,125,FALSE,"low_kish_effective_n"
"pc2001__10__12",1,439,12,1432925.98,160.131854330955,307,132,TRUE,
"pc2001__10__13",1,731,20,2848560.225,233.40677400233,589,142,TRUE,
"pc2001__10__14",1,831,20,3382810.66999998,221.505553096287,677,154,TRUE,
"pc2001__10__15",1,809,16,2751426.65500001,137.040885463815,618,191,TRUE,
"pc2001__10__16",1,812,16,2628541.42000002,241.46383856107,602,210,TRUE,
"pc2001__10__17",1,979,20,3455487.62,350.817025390209,797,182,TRUE,
"pc2001__10__18",1,704,16,2876496.165,272.12777322105,532,172,TRUE,
"pc2001__10__19",1,845,20,3702831.26,334.00803751291,728,117,TRUE,
"pc2001__10__20",1,630,16,2451246.95499999,189.548218856359,474,156,TRUE,
"pc2001__10__21",1,526,12,1175664.255,88.5185151015522,333,193,FALSE,"low_kish_effective_n"
"pc2001__10__22",1,472,14,2201276.085,160.406780755427,335,137,TRUE,
"pc2001__10__23",1,457,12,1619205.83,159.447170528212,308,149,TRUE,
"pc2001__10__24",1,424,11,986670.04,132.454191036394,274,150,TRUE,
"pc2001__10__25",1,448,11,722572.954999999,121.778925738256,331,117,TRUE,
"pc2001__10__26",1,430,12,412324.130000001,139.277177263266,297,133,TRUE,
"pc2001__10__27",1,638,16,1846688.63,137.709404096599,465,173,TRUE,
"pc2001__10__28",1,1152,28,5286090.245,398.312244342104,561,591,TRUE,
"pc2001__10__29",1,702,16,1917558.465,191.603861965233,529,173,TRUE,
"pc2001__10__30",1,558,12,1523793.98,156.666016608577,400,158,TRUE,
"pc2001__10__31",1,529,12,1514819.04,123.582677073046,384,145,TRUE,
"pc2001__10__32",1,706,16,2248994.84,228.864857493494,534,172,TRUE,
"pc2001__10__33",1,460,12,1013111.05,206.69576320536,322,138,TRUE,
"pc2001__10__34",1,482,12,1962624.145,123.581793503747,328,154,TRUE,
"pc2001__10__35",1,764,20,3711074.73500001,260.829006729923,655,109,TRUE,
"pc2001__10__36",1,496,12,1490538.94,114.995822530653,322,174,TRUE,
"pc2001__10__37",1,541,12,1464423.475,145.90247756079,354,187,TRUE,
"pc2001__11__01",1,330,12,37026.5,104.016977178469,242,88,TRUE,
"pc2001__11__02",1,750,24,117563.34,268.369352375727,656,94,TRUE,
"pc2001__11__03",1,770,24,128102.19,316.923920337549,664,106,TRUE,
"pc2001__11__04",1,1114,36,250307.53,470.600134209459,951,163,TRUE,
"pc2001__12__01",1,252,8,35285.885,121.110469359055,134,118,TRUE,
"pc2001__12__02",1,327,10,39785.56,160.568614070689,196,131,TRUE,
"pc2001__12__03",1,494,12,76361.825,315.468755087946,352,142,TRUE,
"pc2001__12__04",1,1174,32,107345.375,647.120428860948,490,684,TRUE,
"pc2001__12__05",1,407,12,78422.88,263.351899947594,298,109,TRUE,
"pc2001__12__06",1,396,12,51789.6,239.038489025063,264,132,TRUE,
"pc2001__12__07",1,786,20,101632.05,558.949769632504,525,261,TRUE,
"pc2001__12__08",1,907,20,91881.7599999997,499.53203412714,555,352,TRUE,
"pc2001__12__09",1,155,4,28284.75,66.9925162621639,155,0,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__12__10",2,584,16,53883.5850000001,238.746325159232,448,136,TRUE,
"pc2001__12__11",1,724,18,106933.465,272.36485224942,504,220,TRUE,
"pc2001__12__12",1,575,15,125266.495,226.119344652576,450,125,TRUE,
"pc2001__12__13",1,736,16,100065.85,293.44143140429,592,144,TRUE,
"pc2001__13__01",1,526,12,93976.2799999999,222.669699376822,363,163,TRUE,
"pc2001__13__02",2,802,20,131058.4,335.672633362625,654,148,TRUE,
"pc2001__13__03",1,477,12,173656.615,195.391905250102,337,140,TRUE,
"pc2001__13__04",1,459,12,65666.1399999999,227.919883951352,309,150,TRUE,
"pc2001__13__05",1,465,12,60555.5749999999,182.137808730356,322,143,TRUE,
"pc2001__13__06",1,564,16,172393.665,348.649555259991,291,273,TRUE,
"pc2001__13__07",2,948,24,225590.654999999,440.815857984122,648,300,TRUE,
"pc2001__13__08",1,481,12,86835.59,205.419635929731,330,151,TRUE,
