"source_district_code","target_unit_2001","lineage_status","n_sample_people","n_fsu","sum_person_weight","kish_effective_n"
"10104","pc2001__10__04","resolved_reviewed_deterministic",527,15,2749490.15874999,181.502527309528
"10105","pc2001__10__05","resolved_reviewed_deterministic",578,15,2971038.30624999,180.896497357049
"10106","pc2001__10__06","resolved_reviewed_deterministic",348,9,1709927.00625,95.8485452601664
"10107","pc2001__10__07","resolved_reviewed_primary",499,13,2505690.97875,104.029508328044
"10108","pc2001__10__08","resolved_reviewed_deterministic",286,7,1528483.91,56.0111867089759
"10109","pc2001__10__09","resolved_reviewed_deterministic",646,18,2620294.52625,119.259778310346
"10110","pc2001__10__10","resolved_reviewed_deterministic",713,20,3819205.29875,179.959140074775
"10111","pc2001__10__11","resolved_reviewed_deterministic",277,8,930139.252499997,68.9494244649963
"10112","pc2001__10__12","resolved_reviewed_deterministic",284,8,1161568.79875,68.9957457195726
"10113","pc2001__10__13","resolved_reviewed_primary",870,23,3820987.25249999,243.329916405967
"10114","pc2001__10__14","resolved_reviewed_deterministic",1211,32,4763510.5175,332.967370128099
"10115","pc2001__10__15","resolved_reviewed_deterministic",521,14,2874851.04124999,267.490561086271
"10116","pc2001__10__16","resolved_reviewed_deterministic",1086,29,5517162.025,453.173973788972
"10117","pc2001__10__17","resolved_reviewed_deterministic",913,22,4967922.31000001,388.158267914521
"10118","pc2001__10__18","resolved_reviewed_primary",396,11,2078722.565,161.494950902325
"10119","pc2001__10__19","resolved_reviewed_deterministic",783,20,4468860.62125001,252.332471172912
"10120","pc2001__10__20","resolved_reviewed_deterministic",585,14,2743024.54125001,192.302391921933
"10121","pc2001__10__21","resolved_reviewed_deterministic",265,7,1194523.5725,48.4666719219559
"10222","pc2001__10__22","resolved_reviewed_primary",690,19,1592685.11,164.448259751044
"10223","pc2001__10__23","resolved_reviewed_deterministic",471,13,2231974.70875,175.162315742753
"10224","pc2001__10__24","resolved_reviewed_deterministic",347,10,876453.798750002,113.562347811105
"10225","pc2001__10__25","resolved_reviewed_deterministic",235,6,616475.38875,72.3012188657669
"10226","pc2001__10__26","resolved_reviewed_deterministic",205,6,640485.219999999,61.0826679657417
"10227","pc2001__10__27","resolved_reviewed_deterministic",377,10,1649012.4375,157.046646907417
"10228","pc2001__10__28","resolved_reviewed_deterministic",2040,54,6471173.25874999,675.914656395233
"10229","pc2001__10__29","resolved_reviewed_primary",829,20,3091448.12,388.806176949938
"10230","pc2001__10__30","resolved_reviewed_deterministic",596,14,2584807.315,301.65030288458
"10231","pc2001__10__31","resolved_reviewed_deterministic",267,6,1214487.77375,168.424969244268
"10232","pc2001__10__32","resolved_reviewed_deterministic",679,16,3079358.01875,407.29489154312
"10233","pc2001__10__34","resolved_reviewed_primary",660,16,2990029.37125,303.276657142811
"10234","pc2001__10__35","resolved_reviewed_deterministic",1018,23,3158675.72125001,420.935940459364
"10235","pc2001__10__36","resolved_reviewed_deterministic",497,13,1737916.81,183.437493443608
"10236","pc2001__10__37","resolved_reviewed_deterministic",169,5,496344.461250001,98.973657311937
"10237","pc2001__10__33","resolved_reviewed_deterministic",289,7,988532.185,106.768315972775
"10238","pc2001__10__33","resolved_reviewed_primary",94,2,260220.415,46.0359916034688
"11101","pc2001__11__01","resolved_reviewed_deterministic",249,9,45427.6325,111.257035052446
"11102","pc2001__11__02","resolved_reviewed_primary",433,15,97128.3675,215.170601908279
"11103","pc2001__11__03","resolved_reviewed_deterministic",485,17,103653.505,255.844884898147
"11104","pc2001__11__04","resolved_reviewed_deterministic",1460,54,258048.593750001,773.658136909657
"12101","pc2001__12__01","resolved_reviewed_deterministic",264,9,44432.6862499999,175.200838369483
"12102","pc2001__12__02","resolved_reviewed_primary",287,9,44065.475,203.65309954408
"12103","pc2001__12__03","resolved_reviewed_primary",369,10,55565.90625,194.628203009596
"12104","pc2001__12__04","resolved_reviewed_primary",1121,36,123455.4775,561.098307624645
"12105","pc2001__12__06","resolved_reviewed_primary",492,15,100266.23,365.879225372303
"12106","pc2001__12__07","resolved_reviewed_primary",767,23,107406.80875,523.476792930012
"12107","pc2001__12__08","resolved_reviewed_primary",405,12,76724.3299999999,227.080374077968
"12108","pc2001__12__09","resolved_reviewed_deterministic",132,4,26564.49375,107.46410765389
"12109","pc2001__12__12","resolved_reviewed_deterministic",1078,29,153377.754999999,406.029599025044
"12110","pc2001__12__13","resolved_reviewed_deterministic",587,15,82543.5287499999,250.080786238212
"12111","pc2001__12__05","resolved_reviewed_primary",528,15,106330.07375,295.868816261025
"12112","pc2001__12__05","resolved_reviewed_deterministic",275,8,66331.5962500002,184.568321723699
"12114","pc2001__12__10","resolved_reviewed_deterministic",222,6,20452.85375,79.3355199829206
"12115","pc2001__12__11","resolved_reviewed_deterministic",627,18,75570.35375,216.950056173684
"12116","pc2001__12__11","resolved_reviewed_primary",166,5,35255.235,137.600184958831
"13101","pc2001__13__01","resolved_reviewed_deterministic",449,11,124457.36,284.294080088633
"13102","pc2001__13__03","resolved_reviewed_deterministic",535,17,166896.38875,353.582643173116
"13103","pc2001__13__04","resolved_reviewed_deterministic",170,5,49763.6925,127.58199953249
"13104","pc2001__13__05","resolved_reviewed_deterministic",374,11,149087.4475,210.590856078987
"13105","pc2001__13__06","resolved_reviewed_primary",865,24,208154.114999999,608.136477899593
"13106","pc2001__13__08","resolved_reviewed_primary",205,6,59070.1024999999,110.072924390477
"13107","pc2001__13__02","resolved_reviewed_deterministic",319,8,95097.86875,190.735774226689
"13108","pc2001__13__02","resolved_reviewed_deterministic",70,2,16191.275,46.6124386213427
"13109","pc2001__13__02","resolved_reviewed_primary",83,2,24304.58375,75.5601149945426
"13110","pc2001__13__07","resolved_reviewed_deterministic",742,21,192150.99625,455.878115527025
"13111","pc2001__13__07","resolved_reviewed_deterministic",179,5,54673.12625,109.168036395754
"13901",,"unresolved_source_district",83,2,55074.38875,32.1144764307854
"13902",,"unresolved_source_district",51,2,60408.45625,26.7487992949719
"13903",,"unresolved_source_district",32,1,16839.19125,22.1313118818365
"13904",,"unresolved_source_district",71,2,98265.4924999999,54.4202440949616
"13905",,"unresolved_source_district",106,3,117555.89125,53.5972653725062
"13906",,"unresolved_source_district",36,1,42832.895,29.6151445054383
"13907",,"unresolved_source_district",49,1,43481.25625,41.8795781950274
"13909",,"unresolved_source_district",77,2,83483.4225,45.3551496294913
"13911",,"unresolved_source_district",80,2,68419.83,66.7367174552032
"14104","pc2001__14__04","resolved_reviewed_deterministic",1366,39,287588.3725,629.871278852123
"14105","pc2001__14__05","resolved_reviewed_deterministic",1686,49,364129.312500002,752.778199298872
"14106","pc2001__14__06","resolved_reviewed_deterministic",3133,95,472196.27125,1296.12765846714
"14107","pc2001__14__07","resolved_reviewed_primary",1419,41,279314.28875,681.674066050906
"14201","pc2001__14__01","resolved_reviewed_deterministic",1440,39,401590.025000001,701.240310424466
"14202","pc2001__14__02","resolved_reviewed_primary",461,11,117282.39375,338.080566658725
"14203","pc2001__14__03","resolved_reviewed_deterministic",706,20,198837.942500001,369.946736267659
"14208","pc2001__14__08","resolved_reviewed_deterministic",493,13,128139.175,319.313041231933
"14209","pc2001__14__09","resolved_reviewed_deterministic",489,13,120384.57375,280.74925234004
"15101","pc2001__15__01","resolved_reviewed_deterministic",350,11,61398.6125,151.815363626825
"15102","pc2001__15__02","resolved_reviewed_deterministic",550,15,74261.5187499999,354.957337640357
"15103","pc2001__15__03","resolved_reviewed_deterministic",2699,76,270443.973749998,1815.10562244736
"15104","pc2001__15__04","resolved_reviewed_deterministic",694,20,117882.92125,463.988842894668
"15105","pc2001__15__05","resolved_reviewed_deterministic",326,9,38783.9287499999,203.572481738123
"15106","pc2001__15__06","resolved_reviewed_primary",1008,31,134740.18875,539.923530871496
"15107","pc2001__15__07","resolved_reviewed_deterministic",454,14,90939.1874999996,261.2007334486
"15108","pc2001__15__08","resolved_reviewed_deterministic",535,16,68332.7550000001,385.45882331054
"16101","pc2001__16__01","resolved_reviewed_deterministic",3668,121,1420045.07874999,1247.91476424078
"16102","pc2001__16__02","resolved_reviewed_deterministic",1431,47,683050.373749997,562.699089038257
"16103","pc2001__16__03","resolved_reviewed_deterministic",720,23,379666.63,259.552613834905
"16104","pc2001__16__04","resolved_reviewed_deterministic",1331,41,537421.39125,475.274535025239
"17101","pc2001__17__01","resolved_reviewed_deterministic",1391,35,668867.718750003,804.977381848432
"17102","pc2001__17__02","resolved_reviewed_deterministic",633,15,310780.291250001,384.473298473096
"17103","pc2001__17__03","resolved_reviewed_deterministic",428,9,217951.77,240.918200908464
"17104","pc2001__17__04","resolved_reviewed_deterministic",493,14,226208.504999999,244.480328242131
"17105","pc2001__17__05","resolved_reviewed_deterministic",562,16,302186.934999999,241.488696487153
"17106","pc2001__17__06","resolved_reviewed_deterministic",1599,48,601750.389999999,628.677709331651
"17107","pc2001__17__07","resolved_reviewed_deterministic",874,23,473700.75,350.980406547254
"18108","pc2001__18__12","resolved_reviewed_deterministic",411,11,868294.267500002,231.821706706804
"18109","pc2001__18__13","resolved_reviewed_deterministic",185,5,353537.02375,89.9597380456018
"18110","pc2001__18__14","resolved_reviewed_deterministic",826,24,1387358.9225,312.996936826661
"18111","pc2001__18__15","resolved_reviewed_deterministic",749,23,1481034.91749999,337.345179045832
