"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__29__07",1,438,11,1593399.665,173.758316385384,334,104,TRUE,
"pc2001__29__08",1,376,11,1261130.04875,183.456159883915,196,180,TRUE,
"pc2001__29__09",1,483,15,1426967.675,236.459543492647,108,375,TRUE,
"pc2001__29__11",1,333,9,1074926.54375,176.084553684843,146,187,TRUE,
"pc2001__29__13",1,293,11,1062982.0725,164.057925316083,196,97,TRUE,
"pc2001__29__16",1,180,5,810321.74125,75.8814160915171,145,35,FALSE,"low_kish_effective_n"
"pc2001__29__19",1,444,14,1498805.6625,288.10565800161,258,186,TRUE,
"pc2001__29__20",1,3020,111,8159836.27875002,1673.75563700518,91,2929,TRUE,
"pc2001__29__22",1,551,17,2323547.97875001,270.890831988089,313,238,TRUE,
"pc2001__29__23",1,270,9,1286900.62375,183.884183076941,205,65,TRUE,
"pc2001__29__24",1,658,21,1840196.185,252.542990601319,159,499,TRUE,
"pc2001__29__25",1,203,7,1223179.95375,103.965275418211,119,84,TRUE,
"pc2001__30__01",1,729,24,540700.01125,498.003058511072,374,355,TRUE,
"pc2001__31__01",1,638,18,50392.8066666667,349.231289787387,224,414,TRUE,
"pc2001__32__01",1,689,22,950571.799999998,399.728426436966,220,469,TRUE,
"pc2001__32__02",1,1166,37,1548872.85125,721.344782262278,270,896,TRUE,
"pc2001__32__03",1,325,11,668204.462499999,216.023023427738,325,0,TRUE,
"pc2001__32__04",1,2230,69,3292048.72249999,1567.54179859577,464,1766,TRUE,
"pc2001__32__05",1,2184,64,3734635.09374999,1320.86050818982,1410,774,TRUE,
"pc2001__32__06",1,1412,45,2236729.78124999,913.776309253034,1100,312,TRUE,
"pc2001__32__07",1,1311,47,2277044.03375,943.255766043457,309,1002,TRUE,
"pc2001__32__08",1,2189,71,3022545.55249999,1291.4378965187,632,1557,TRUE,
"pc2001__32__09",1,454,15,958249.248749998,216.476300444234,422,32,TRUE,
"pc2001__32__10",1,1080,38,2128790.38750001,614.545382158287,649,431,TRUE,
"pc2001__32__11",1,1131,38,1969123.29875,681.363748665181,415,716,TRUE,
"pc2001__32__12",1,289,11,655545.469999999,163.238631466669,269,20,TRUE,
"pc2001__32__13",1,1494,50,3014585.77625,865.567912134469,893,601,TRUE,
"pc2001__32__14",1,1446,50,3039226.87625,904.139514173722,583,863,TRUE,
"pc2001__33__02",1,1377,56,3613004.51875002,991.601008970873,0,1377,TRUE,
"pc2001__33__03",1,1605,61,4505301.28750001,1018.76770199197,476,1129,TRUE,
"pc2001__33__05",2,1183,39,3715694.89749998,641.505307651845,1008,175,TRUE,
"pc2001__33__06",1,721,23,1896584.955,405.912551943168,568,153,TRUE,
"pc2001__33__08",1,961,32,2697947.59875,441.016928390031,413,548,TRUE,
"pc2001__33__09",1,465,17,1147911.95375,217.03500790214,253,212,TRUE,
"pc2001__33__10",1,690,25,1992298.06625,359.112446151116,275,415,TRUE,
"pc2001__33__11",1,120,5,280317.9425,51.7382444061895,55,65,FALSE,"low_kish_effective_n"
"pc2001__33__12",1,1484,57,4085792.39749999,886.593065822802,241,1243,TRUE,
"pc2001__33__13",1,403,14,1016626.91375,186.653957790439,293,110,TRUE,
"pc2001__33__14",1,498,16,945424.246250003,197.362870430623,202,296,TRUE,
"pc2001__33__15",1,989,34,2772650.48,585.797292140325,563,426,TRUE,
"pc2001__33__16",1,158,6,460691.72125,73.0184745773524,131,27,FALSE,"low_kish_effective_n"
"pc2001__33__17",1,191,8,595578.81375,97.2524691540125,183,8,FALSE,"low_kish_effective_n"
"pc2001__33__18",1,721,23,1923630.365,403.509712290307,497,224,TRUE,
"pc2001__33__20",1,276,10,844485.746250001,161.122044619624,226,50,TRUE,
"pc2001__33__21",1,849,30,2230302.3125,447.9737684856,539,310,TRUE,
"pc2001__33__22",1,478,16,1205182.76,275.358792318134,418,60,TRUE,
"pc2001__33__23",1,448,16,1307553.4425,245.790022050531,362,86,TRUE,
"pc2001__33__24",1,1021,38,2566850.85124999,537.863751646415,379,642,TRUE,
"pc2001__33__25",1,438,16,1105898.2175,210.311981020278,190,248,TRUE,
"pc2001__33__26",1,365,13,730837.47375,165.718718737151,91,274,TRUE,
"pc2001__33__27",1,318,12,861856.54375,153.196608815318,207,111,TRUE,
"pc2001__33__30",1,697,24,1586927.5575,467.393653845185,89,608,TRUE,
"pc2001__34__01",1,95,3,55014.85,75.0204623376025,0,95,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__34__02",1,1752,60,853583.99875,869.671733425724,399,1353,TRUE,
"pc2001__34__04",1,228,9,147368.95,77.613926256414,77,151,FALSE,"low_kish_effective_n"
"pc2001__35__01",2,1634,56,329335.221249999,982.659807311057,728,906,TRUE,
"pc2001__35__02",1,229,6,38910.07625,115.054298466659,229,0,TRUE,
