"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__09__14","regular_salaried_share_employed_age15plus",0.0949726932701613,0.032221453229201,187,16,552565.25,55.1551285272042,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__15","regular_salaried_share_employed_age15plus",0.215094693689316,0.0380261284689722,244,20,927604.844999999,90.8757178162905,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__16","regular_salaried_share_employed_age15plus",0.14931066331602,0.0655906075034925,253,16,873755.545,103.491940905746,TRUE,,"estimated",TRUE
"pc2001__09__17","regular_salaried_share_employed_age15plus",0.0475599444292883,0.0285447623678353,218,16,967077.77,87.2449292448133,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__18","regular_salaried_share_employed_age15plus",0.0444353443349173,0.017223967241972,138,12,459408.39,48.1477909632516,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__19","regular_salaried_share_employed_age15plus",0.0651840972506977,0.032879811181772,300,24,918492.125,89.9962629014518,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__20","regular_salaried_share_employed_age15plus",0.132898763077965,0.0288929167586284,289,24,1101083.95,143.153552521354,TRUE,,"estimated",TRUE
"pc2001__09__21","regular_salaried_share_employed_age15plus",0.0709415350200298,0.0216666593504587,145,12,537474.485,42.9052744422498,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__22","regular_salaried_share_employed_age15plus",0.0844347770639053,0.0272827463726901,171,12,940875.345,51.8766770831235,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__23","regular_salaried_share_employed_age15plus",0.0246106500722405,0.0146394491411506,213,20,911494.004999999,70.5488665183708,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__24","regular_salaried_share_employed_age15plus",0.0234578199305634,0.0188476404362933,220,20,1137435.835,92.3161748437726,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__25","regular_salaried_share_employed_age15plus",0.0131729894083231,0.00409108545110411,228,20,1070951.29,65.8303033724107,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__26","regular_salaried_share_employed_age15plus",0.0618801701405013,0.0326014742629208,229,16,1295569.24,62.9015290484103,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__27","regular_salaried_share_employed_age15plus",0.252801391649046,0.0744191352646484,333,24,1518675.995,92.3674560302796,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__28","regular_salaried_share_employed_age15plus",0.123611276505004,0.0402345956708773,245,20,979353.974999999,80.924334299477,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__29","regular_salaried_share_employed_age15plus",0.171902691848288,0.097718749154272,123,11,437829.095,43.2972648713256,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__30","regular_salaried_share_employed_age15plus",0.0845633650563543,0.0299657822508744,156,12,395245.565,54.9517091487596,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__31","regular_salaried_share_employed_age15plus",0.0856274369933509,0.0323426355246552,151,12,458414.515,52.9935323809375,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__32","regular_salaried_share_employed_age15plus",0.0977411516705815,0.0531296209218771,134,12,364022.67,45.3557776332896,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__33","regular_salaried_share_employed_age15plus",0.01136423514739,0.0054450566144122,159,12,466570.775,39.3930000925115,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__34","regular_salaried_share_employed_age15plus",0.261154917428679,0.0564580597231987,307,24,1071990.23,130.189895363799,TRUE,,"estimated",TRUE
"pc2001__09__35","regular_salaried_share_employed_age15plus",0.0579811687111707,0.019051111843892,199,12,632991.725,101.559856108633,TRUE,,"estimated",TRUE
"pc2001__09__36","regular_salaried_share_employed_age15plus",0.25847546560246,0.07002068567376,245,16,803021.96,129.193880889509,TRUE,,"estimated",TRUE
"pc2001__09__37","regular_salaried_share_employed_age15plus",0.102084132107856,0.0344675984484424,202,12,432759.275,95.0833240960976,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__38","regular_salaried_share_employed_age15plus",0.055555771027993,0.0154675765490714,230,12,551759.15,134.473994477566,TRUE,,"estimated",TRUE
"pc2001__09__39","regular_salaried_share_employed_age15plus",0.0584095427565815,0.0190194885735432,216,12,289611.495,125.588803610336,TRUE,,"estimated",TRUE
"pc2001__09__40","regular_salaried_share_employed_age15plus",0.047441695778808,0.0214550873078019,166,12,507942.425,56.5653809721225,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__41","regular_salaried_share_employed_age15plus",0.0750764865259473,0.0351571865898026,203,12,330809.9,60.1390632543281,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__42","regular_salaried_share_employed_age15plus",0.0371394211369397,0.0186753304880619,200,12,1119842.575,59.2594709537827,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__43","regular_salaried_share_employed_age15plus",0.0422851509201686,0.0121514242857889,280,20,858321.165000001,114.743193652803,TRUE,,"estimated",TRUE
"pc2001__09__44","regular_salaried_share_employed_age15plus",0.0409929161685831,0.0315329351493298,176,12,476957.285,49.6619623654544,FALSE,"low_kish_effective_n","estimated",FALSE
