"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__13__06","13","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__07","13","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__01","14","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__02","14","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__03","14","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__04","14","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__05","14","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__06","14","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__07","14","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__08","14","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__09","14","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__01","15","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__02","15","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__03","15","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__04","15","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__05","15","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__06","15","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__07","15","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__08","15","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__01","16","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__02","16","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__03","16","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__04","16","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__01","17","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__02","17","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__03","17","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__04","17","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__05","17","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__06","17","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__07","17","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__01","18","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__03","18","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__04","18","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__05","18","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__06","18","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__07","18","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__08","18","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__10","18","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__11","18","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__12","18","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__14","18","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__15","18","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__16","18","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__17","18","17",TRUE,TRUE,TRUE,TRUE,"included"
