"specification_id","specification","sequence","instrument","fixed_effect","control_blocks","n_controls","estimate","std.error","statistic","p.value","excluded_instrument_f","partial_r_squared","residual_instrument_sd","residual_correlation","instrument_variance_remaining","n","n_states","n_regions","status","reason","standardized_estimate","standardized_std_error","outcome_variable","residual_outcome_sd","measure_id","source","stage","source_side","paper_role","interpretation"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-1.00223605200218,1.91502655901009,-0.523353604307323,0.600936718471886,0.273898995141466,0.00168467366089299,0.587321283874573,-0.0410447762923979,0.186077137759928,573,35,6,"estimated",NA,-0.0410447762923977,0.078426471040974,"private_share_enrolled_0708",14.3412784275872,"nss_private_enrollment","nss_64_education","institution_choice","household_realized","institution_choice_context","Realized private-school enrollment conditional on enrollment"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-1.27881237566143,0.871571647232474,-1.4672487106735,0.142904918128675,2.15281877897306,0.00397061938216126,0.491810884011868,-0.0630128509286896,0.130478155733602,573,35,6,"estimated",NA,-0.0630128509286892,0.0429462643042737,"private_share_enrolled_0708",9.98104094149177,"nss_private_enrollment","nss_64_education","institution_choice","household_realized","institution_choice_context","Realized private-school enrollment conditional on enrollment"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,5.85156094672197,2.2384867941884,2.61406989843045,0.00918314768720203,6.83336143388018,0.109388501419557,1.36153631988237,0.330739325480894,1,573,35,6,"estimated",NA,0.330739325480894,0.126522755064613,"emi_share_enrolled_public_0708",24.0887978633417,"nss_emi_public","nss_64_education","institutional_bundle","household_realized","institutional_bundle","English-medium choice within public schooling"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,4.68899565207445,2.5657951174117,1.82750197794615,0.0681601408901665,3.33976347939708,0.0308447218714731,0.587321283874573,0.175626654786433,0.186077137759928,573,35,6,"estimated",NA,0.175626654786433,0.096102032668557,"emi_share_enrolled_public_0708",15.6806889581057,"nss_emi_public","nss_64_education","institutional_bundle","household_realized","institutional_bundle","English-medium choice within public schooling"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.823933776454768,1.16477748943937,0.707374398908881,0.479646526511101,0.500378540231701,0.00297101744389703,0.491810884011868,0.0545070403149632,0.130478155733602,573,35,6,"estimated",NA,0.0545070403149643,0.077055432595583,"emi_share_enrolled_public_0708",7.43426164077024,"nss_emi_public","nss_64_education","institutional_bundle","household_realized","institutional_bundle","English-medium choice within public schooling"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,11.0688775581594,2.09922126541579,5.27284938492038,1.91429719115611e-07,27.8029406360553,0.202172941746008,1.36039000765146,0.449636455090118,1,568,35,6,"estimated",NA,0.449636455090117,0.0852739045374622,"emi_share_enrolled_private_0708",33.4892561658945,"nss_emi_private","nss_64_education","institutional_bundle","household_realized","institutional_bundle","English-medium choice within private schooling"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,7.49019176883929,2.90852465221984,2.57525469592381,0.01027625539984,6.63193674887761,0.0362088369642949,0.589134440544328,0.190286197513889,0.187543474528582,568,35,6,"estimated",NA,0.190286197513889,0.0738902438718315,"emi_share_enrolled_private_0708",23.1899633024238,"nss_emi_private","nss_64_education","institutional_bundle","household_realized","institutional_bundle","English-medium choice within private schooling"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,3.87838676742679,2.35982848771989,1.64350366461342,0.100880903446258,2.70110429559775,0.00861872648817351,0.492408498737468,0.0928370965087422,0.13101596304081,568,35,6,"estimated",NA,0.0928370965087421,0.0564873072738653,"emi_share_enrolled_private_0708",20.5709859257829,"nss_emi_private","nss_64_education","institutional_bundle","household_realized","institutional_bundle","English-medium choice within private schooling"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,6.93837442090873,1.90531118491108,3.64159643624437,0.000298192863946321,13.2612246044677,0.16201624147394,1.37803741159216,0.402512411577507,1,520,31,6,"estimated",NA,0.402512411577507,0.110531855636542,"dise_emi_enrollment_share_total_0708",23.754148325946,"dise_emi_enrollment","dise","school_system_structure","administrative_equilibrium","formal_english_exposure","Administrative English-medium enrollment composition"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,3.90612955696652,2.35141806130096,1.66118038355348,0.0973003427500309,2.7595202667029,0.0201273981687591,0.572261987882578,0.141871061773566,0.172451819940867,520,31,6,"estimated",NA,0.141871061773566,0.0854037666096715,"dise_emi_enrollment_share_total_0708",15.7560635499032,"dise_emi_enrollment","dise","school_system_structure","administrative_equilibrium","formal_english_exposure","Administrative English-medium enrollment composition"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.808973696979623,0.955853757587973,0.846336262799248,0.397788675551618,0.716285069728997,0.00203406014287396,0.492509157145931,0.0451005559042675,0.127734026672936,520,31,6,"estimated",NA,0.0451005559042664,0.0532891687224849,"dise_emi_enrollment_share_total_0708",8.83419163387677,"dise_emi_enrollment","dise","school_system_structure","administrative_equilibrium","formal_english_exposure","Administrative English-medium enrollment composition"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,1.80922458482014,1.44190739518008,1.25474395295281,0.210122666005372,1.57438238747164,0.0301277763209441,1.3725169960065,0.173573547296079,1,534,31,6,"estimated",NA,0.17357354729608,0.138333838459716,"dise_private_school_share_0708",14.3062784101696,"dise_private_school_share","dise","school_system_structure","administrative_supply","institutional_environment","Private-school share of the school stock"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,2.00295383207883,2.08482166473549,0.960731493709297,0.337136288165965,0.923005003004897,0.0117570896366528,0.575375958442786,0.108430114067323,0.175738923001755,534,31,6,"estimated",NA,0.108430114067323,0.11286203770492,"dise_private_school_share_0708",10.6285185694212,"dise_private_school_share","dise","school_system_structure","administrative_supply","institutional_environment","Private-school share of the school stock"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-0.610352375615818,0.597215998251378,-1.02199602388902,0.307285029095111,1.04447587284496,0.00202510269369989,0.494750680010173,-0.0450011410266438,0.129938346951437,534,31,6,"estimated",NA,-0.0450011410266438,0.0440325989287123,"dise_private_school_share_0708",6.71032436050815,"dise_private_school_share","dise","school_system_structure","administrative_supply","institutional_environment","Private-school share of the school stock"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,0.398536629219257,1.23693934208304,0.322195774408882,0.747430955160716,0.103810117046939,0.00259851697808965,1.3725169960065,0.0509756508353709,1,534,31,6,"estimated",NA,0.050975650835371,0.158213281750494,"dise_single_teacher_school_share_0708",10.7305799567157,"dise_single_teacher_share","dise","school_quality","administrative_supply","complementarity","Single-teacher-school prevalence in 2007-08"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-1.28659835324414,0.885578562627287,-1.45283367003276,0.146876597223178,2.11072567278086,0.00862616071708658,0.575375958442786,-0.0928771269855317,0.175738923001755,534,31,6,"estimated",NA,-0.0928771269855317,0.0639282588924562,"dise_single_teacher_school_share_0708",7.97050667538496,"dise_single_teacher_share","dise","school_quality","administrative_supply","complementarity","Single-teacher-school prevalence in 2007-08"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.779545251988736,0.526918407315402,1.47944205623873,0.139662188346646,2.18874879776789,0.00519386011181452,0.494750680010173,0.0720684404702538,0.129938346951437,534,31,6,"estimated",NA,0.0720684404702537,0.0487132565728713,"dise_single_teacher_school_share_0708",5.35158719966084,"dise_single_teacher_share","dise","school_quality","administrative_supply","complementarity","Single-teacher-school prevalence in 2007-08"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,-8.41444225982639,2.83699251216732,-2.96597267131953,0.00315279128116844,8.79699388701428,0.170538445141033,1.3725169960065,-0.412963006988559,1,534,31,6,"estimated",NA,-0.41296300698856,0.139233584645552,"dise_girls_toilet_school_share_0708",27.9661006387601,"dise_girls_toilet_share","dise","school_quality","administrative_supply","complementarity","Girls-toilet availability among schools in 2007-08"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-5.42118823398893,1.42540553028414,-3.80326027843338,0.0001598588061664,14.4647887455092,0.0355109459180914,0.575375958442786,-0.188443482026021,0.175738923001755,534,31,6,"estimated",NA,-0.188443482026022,0.0495478795113241,"dise_girls_toilet_school_share_0708",16.5525564614615,"dise_girls_toilet_share","dise","school_quality","administrative_supply","complementarity","Girls-toilet availability among schools in 2007-08"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,-2.80011662253518,0.6795112105713,-4.1207806125538,4.43043110199447e-05,16.9808328567992,0.0149274766631984,0.494750680010173,-0.122178053115928,0.129938346951437,534,31,6,"estimated",NA,-0.122178053115928,0.0296492496454962,"dise_girls_toilet_school_share_0708",11.3388580663711,"dise_girls_toilet_share","dise","school_quality","administrative_supply","complementarity","Girls-toilet availability among schools in 2007-08"
