"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__33__15",1,"Tiruchirappalli",TRUE,697037,51523,74669,173644,152369,244832,696825,443642,305716,154522,91527,49234,285582,232099,81685,48437,1208221,1077686,112282,18253,2011,0.0739171665205721,0.818959395268831,0.351246777430753,0.636662002654899,0.438727083557565,0.221751515803824,0.131348616941126,0.0706332662398122,0.519658210396292,0.069489854914445,1.73336709529049,0.108039009419634,0.139832228904125
"pc2001__33__16",1,"Perambalur",TRUE,148979,19020,23128,38856,30225,37750,148937,78807,47986,19496,9312,9136,37916,65218,21824,14885,298789,254271,40042,4476,2011,0.127669000328905,0.717087643224884,0.253391417582344,0.529129766277016,0.322189919227593,0.130900984980227,0.062523080228553,0.0613240792326435,0.684170252183194,0.0999134106149189,2.00557796736453,0.148994775577414,0.100543600341435
"pc2001__33__17",1,"Ariyalur",TRUE,196952,24976,30939,50587,40440,50010,196903,104525,60876,24430,11878,14534,64814,78020,24826,14758,359554,271976,73047,14531,2011,0.126812624395792,0.716098338681506,0.253919736788659,0.530845136945603,0.3091674580885,0.124071243200967,0.0603241189824431,0.0737946301636947,0.597120110483773,0.074931963117917,1.82559202242171,0.243573983323784,0.165920665007194
"pc2001__33__18",1,"Cuddalore",TRUE,633541,48692,72321,159207,135693,217628,633245,396657,248149,112988,59180,30030,243571,231690,77724,50526,1163757,833035,278376,52346,2011,0.0768569042887516,0.8089894734516,0.343510522602326,0.626387890942684,0.391868865920773,0.178426991132974,0.0934551397958136,0.0474002471821082,0.568140025665269,0.079751744559547,1.8369087399237,0.284184756783418,0.158277949456039
"pc2001__33__20",1,"Thiruvarur",TRUE,326808,24857,34713,79225,70067,117946,326724,198247,126247,50621,26273,24067,142074,107404,35984,17279,539261,411796,111018,16447,2011,0.0760599495728379,0.817721720398521,0.36090303786933,0.606772076737552,0.386402590565737,0.154935052215325,0.0804134376415568,0.0736426280874397,0.49162505201831,0.0528720227167022,1.65008506523708,0.236369772707464,0.12903149884282
"pc2001__33__21",1,"Thanjavur",TRUE,604301,40961,64955,145072,135504,217809,604055,368841,241904,117167,64998,49590,275654,184113,63419,31525,971381,832197,120378,18806,2011,0.0677824461650734,0.824729729058863,0.360431308238775,0.610608305535092,0.400466844906507,0.193967436740032,0.107602784514655,0.0820617539934569,0.461784772820167,0.0521677111240921,1.60744562726191,0.143284663793095,0.13511610529946
"pc2001__33__22",1,"Pudukkottai",TRUE,387172,29186,45615,94540,85895,131936,386999,222696,139804,50902,26235,22285,128312,140558,53674,42343,760617,639280,104423,16914,2011,0.0753825173307987,0.806801628216916,0.34076844399905,0.57544334739883,0.361251579461446,0.131530055633219,0.0677908728446327,0.057558397818024,0.611033339187751,0.10936483010135,1.96454547332968,0.159524438712256,0.13939688635783
"pc2001__33__23",1,"Sivaganga",TRUE,338333,27136,40212,82864,73657,114464,338151,198743,127639,54024,29466,24853,123410,118384,41737,29949,618849,460219,136310,22320,2011,0.0802050051280839,0.800941675804607,0.338317574697118,0.587734473652303,0.37746154824324,0.159762946139447,0.0871385860163063,0.0734572152287835,0.561783804713108,0.0885192990337921,1.82911214690852,0.256330704259036,0.140704784719158
"pc2001__33__24",1,"Madurai",TRUE,793683,54135,83046,208856,173671,273975,793424,488113,330025,176087,100899,49083,340965,268643,86558,48434,1349658,1170390,153634,25634,2011,0.0682073321464615,0.827158953889651,0.345194492007514,0.61519817903164,0.415950361975438,0.221933039585392,0.127169079836254,0.0618420704487812,0.508559462657005,0.0610243636313238,1.70050007370701,0.132824760050324,0.142992614409711
"pc2001__33__25",1,"Theni",TRUE,337714,36142,45251,90846,71708,93767,337622,180746,109467,48317,23515,22746,126784,128448,39061,20675,590648,529727,52619,8302,2011,0.107019549085913,0.758988374778659,0.277652096152366,0.53535018452589,0.324229463719781,0.143109749957053,0.069648897287499,0.0673528488602782,0.557228897824787,0.0612204409648401,1.74895917847646,0.103142650106324,0.136274847753648
"pc2001__33__26",1,"Virudhunagar",TRUE,537216,54060,73789,146162,108308,154897,537082,270290,167421,77374,41142,38237,192581,210075,62071,34252,948569,852777,81314,14478,2011,0.100629914224446,0.762015651060281,0.28833281212771,0.503256485974209,0.311723349507152,0.144063662531978,0.0766028278735836,0.0711762121753634,0.570344144627115,0.063758339289969,1.76571248808673,0.100985800716658,0.151139969934859
"pc2001__33__27",1,"Ramanathapuram",TRUE,323152,22595,34683,76433,68352,121089,322872,184262,115592,44555,21274,19279,123322,110921,38699,30931,601535,485184,102691,13660,2011,0.0699206565331485,0.82275214140714,0.374712209734119,0.570696746698382,0.358011843702768,0.137995862137318,0.06588988825293,0.0596592315690449,0.558718497796702,0.095716566816854,1.86146147942764,0.193423491567407,0.117403374272675
"pc2001__33__30",1,"Kanniyakumari",TRUE,482502,14831,38973,110339,107283,211076,482340,354012,275602,111707,77333,52733,258552,117561,36800,16856,677111,550794,102238,24079,2011,0.0307376964240563,0.888489581390336,0.437461399123734,0.73394700833437,0.571385329850313,0.231593896421611,0.16032881369988,0.109290738691239,0.354852415119523,0.0349345702193981,1.4033330431791,0.186552869470441,0.190623589857264
"pc2001__34__01",1,"Yanam",TRUE,13803,757,1528,3797,3067,4654,13803,8263,5449,2672,1367,1183,9378,2559,526,157,16749,15363,1170,216,2011,0.0548431500398464,0.834456277620807,0.337173078316308,0.598637977251322,0.394769253060929,0.193581105556763,0.099036441353329,0.0857060059407375,0.234876476128378,0.0113743389118308,1.21343186263856,0.0827512090274046,0.155844155844156
"pc2001__34__03",1,"Mahe",TRUE,7403,36,264,741,1191,5171,7372,6625,5827,2784,2093,1239,2891,1932,782,559,11711,10319,1227,165,2011,0.00486289342158584,0.959475888153451,0.698500607861678,0.898670645686381,0.790423223005969,0.377645143787303,0.283912099837222,0.167364581926246,0.442118060245846,0.0755099284074024,1.58192624611644,0.118862607804628,0.118534482758621
"pc2001__34__04",1,"Karaikal",TRUE,49642,2735,4154,12132,10730,19891,49606,34939,24532,12077,7229,5141,27633,11864,3669,1335,68137,58179,8069,1889,2011,0.055094476451392,0.861226380887152,0.400688932758551,0.704330121356288,0.494536951175261,0.24345845260654,0.145728339313793,0.103561500342452,0.33979291728778,0.0268925506627453,1.37256758390073,0.146146733786342,0.189696726250251
"pc2001__35__01",2,"North  & Middle Andaman;South Andaman",TRUE,84939,2545,9675,21318,19376,32025,84900,51355,34871,16118,9379,4314,47644,22253,6849,3879,130981,111988,15411,3582,2011,0.0299626790991182,0.856132047704823,0.377035284145092,0.604888103651354,0.410730270906949,0.189846878680801,0.110471142520612,0.0507893900328471,0.388290420183897,0.0456680676720941,1.54205959570986,0.145005764194807,0.188595798452061
"pc2001__35__02",1,"Nicobars",TRUE,9214,694,1811,2560,1793,2356,9210,4319,2478,658,280,951,4245,2451,797,770,15969,8502,5537,1930,2011,0.0753201649663555,0.72813110484046,0.255697851096158,0.468946796959826,0.269055374592834,0.0714440825190011,0.0304017372421281,0.103212502713262,0.43607553722596,0.083568482743651,1.73312350770567,0.467593462333271,0.258470603990893
