"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__24__15",1,"Anand",TRUE,427117,18279,37994,71570,79503,219771,426086,218162,120146,63607,32845,18375,163875,134951,61334,48582,843745,689145,139798,14802,2011,0.0427962361601154,0.868249215086264,0.514545194876345,0.512014006562056,0.281975939129659,0.149282069816891,0.0770853771304385,0.0430209989300356,0.573301928979647,0.113744009252734,1.97544232610737,0.183230715441277,0.0957438551099612
"pc2001__24__17",1,"Panch Mahals",TRUE,446398,33394,52211,81782,87075,191936,445363,207625,102912,40701,16531,14038,112678,157250,62671,99761,1096988,684741,379701,32546,2011,0.0748076828301202,0.808231667704604,0.429966084077438,0.466192746141911,0.231074426928146,0.091388373079937,0.0371180362984801,0.0314472735092899,0.716136721042657,0.223479943906559,2.45742140421776,0.375799006005535,0.0789478152660905
"pc2001__24__18",1,"Dohad",TRUE,333715,37048,45222,61856,61911,127678,331719,132163,68270,25080,10625,6584,44071,124988,46512,111560,998278,552819,397922,47537,2011,0.111016885665913,0.753472274245988,0.382595927662826,0.398418540994034,0.205806721954425,0.07560616063596,0.0320301218802661,0.0197294098257495,0.848208800922943,0.334297229672026,2.99140883688177,0.44622740358898,0.106714647139243
"pc2001__24__20",1,"Narmada",TRUE,121713,12696,16232,23895,22862,46028,121343,43503,21063,9262,3522,3457,28621,45309,18734,25592,294424,193615,91514,9295,2011,0.104310961031279,0.762326127858158,0.378168313984537,0.358512645970513,0.173582324485137,0.0763290836719053,0.0290251600834,0.0284028821900701,0.736445572781872,0.21026513190867,2.41900207866046,0.342393962448713,0.0922040690811336
"pc2001__24__21",1,"Bharuch",TRUE,332730,22094,33284,62998,62498,151856,331765,166980,97408,50451,26932,15270,142682,96487,43795,34496,625393,525053,87764,12576,2011,0.066402187960208,0.833564752201485,0.456394073272623,0.503308064443205,0.293605413470378,0.152068482208792,0.0811779422181363,0.045893066450275,0.52528476542542,0.103675652931807,1.87958104168545,0.160443113370313,0.125333864859478
"pc2001__24__23",1,"The Dangs",TRUE,44302,4236,5594,9944,8272,16256,44012,11607,6085,2663,1136,933,5961,19726,6324,11358,118037,87861,27415,2761,2011,0.0956164507245723,0.77811385490497,0.366936029976073,0.263723529946378,0.13825774788694,0.0605062255748432,0.0258111424157048,0.0210599972913187,0.844386257956751,0.256376687282741,2.66437181165636,0.255648652541152,0.091496553552492
"pc2001__24__24",1,"Navsari",TRUE,294752,15239,26757,54655,59536,138565,294226,170105,120596,50615,30919,14340,104520,95998,43572,36322,591417,509632,72943,8842,2011,0.0517010910867441,0.857520898925198,0.470107073064814,0.578144011746073,0.409875401901939,0.172027625022942,0.105085886359465,0.0486510693735751,0.596745738790576,0.123229019650418,2.00649020193247,0.138286522030987,0.108112734609036
"pc2001__24__25",1,"Valsad",TRUE,363817,22853,38529,74263,73738,154434,362777,204837,131926,59567,33850,12174,137099,117305,48980,48259,742297,576575,141863,23859,2011,0.0628145468738404,0.83128331001575,0.42448263824945,0.564636126325539,0.363655909828903,0.164197289243805,0.0933080101549988,0.0334618778121968,0.58970306500246,0.132646357921702,2.04030322937081,0.223255651039948,0.143970022085179
"pc2001__25__01",1,"Diu",TRUE,10572,761,1004,1843,1663,5301,10564,6449,4012,1400,564,1325,5350,2274,1035,588,15737,14706,855,176,2011,0.0719825955353765,0.833049564888384,0.501418842224745,0.610469519121545,0.379780386217342,0.132525558500568,0.053388867853086,0.125331063185774,0.368615209988649,0.0556186152099886,1.48855467272039,0.0655143928321789,0.170708050436469
"pc2001__25__02",1,"Daman",TRUE,50328,1473,6878,14783,10342,16852,50296,32477,14571,7430,3423,1170,20955,13466,7174,7563,105385,101583,2717,1085,2011,0.0292680019074869,0.834068510570656,0.334843427118105,0.64571735326865,0.289704946715445,0.147725465245745,0.068057101956418,0.0232474964234621,0.560383881735813,0.150274201239866,2.09396359879192,0.0360772405940124,0.28537611783272
