"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_excl_cultivators_aglab_total","occupation_division_1","occupation_division_2","occupation_division_3","occupation_division_4","occupation_division_5","occupation_division_6","occupation_division_7","occupation_division_8","occupation_division_9","occupation_division_x","census_year","manager_professional_technical_share","clerical_service_sales_share","skilled_agriculture_fishery_share","craft_machine_operator_share","elementary_occupation_share","occupation_not_classified_share"
"pc2001__02__10",1,"Sirmaur",TRUE,85996,3040,5110,9360,3062,10454,1124,7656,5334,26542,14314,2011,0.203614121587051,0.157170100934927,0.0130703753662961,0.151053537373831,0.308642262430811,0.166449602307084
"pc2001__02__12",1,"Kinnaur",TRUE,20810,712,1396,1698,548,1820,306,3258,1514,6160,3398,2011,0.182892839980778,0.11379144641999,0.0147044690052859,0.229312830370014,0.296011532916867,0.163286881307064
"pc2001__03__03",1,"Kapurthala",TRUE,188752,9040,6938,14240,3244,27488,5110,29894,12828,40778,39192,2011,0.160093667881665,0.162816817835043,0.0270725608205476,0.226339323556836,0.216040094939391,0.207637534966517
"pc2001__03__04",1,"Jalandhar",TRUE,622154,39426,22212,41325,12741,98418,12583,101372,43310,137585,113182,2011,0.165494395278339,0.178667982525227,0.020224896086821,0.232550140318956,0.221142996750001,0.181919589040656
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,148572,6684,5318,9786,2408,17058,6890,18256,14962,42648,24562,2011,0.146649435963708,0.131020649920577,0.0463748216353014,0.223581832377568,0.287052742104838,0.165320517998008
"pc2001__03__10",1,"Moga",TRUE,185372,6244,5998,12266,2264,25820,6952,21364,18008,35120,51336,2011,0.132209826726798,0.151500766027232,0.0375029670068835,0.212394536391688,0.189456875903588,0.27693502794381
"pc2001__03__12",1,"Muktsar",TRUE,137774,5010,6138,10812,2472,27856,3874,20200,13584,28716,19112,2011,0.159391467185391,0.220128616429805,0.0281185129269674,0.245213175199965,0.208428295614557,0.138719932643314
"pc2001__03__13",1,"Faridkot",TRUE,114554,4524,4414,9382,1952,18236,2850,13242,9710,23450,26794,2011,0.159924577055363,0.176231297030222,0.0248790963213855,0.200359655708225,0.204706950433857,0.233898423450949
"pc2001__03__14",1,"Bathinda",TRUE,278570,13410,10804,20848,4472,41706,13226,32634,20482,50142,70846,2011,0.161761855189001,0.165768029579639,0.0474781921958574,0.190673798327171,0.179997846142801,0.254320278565531
"pc2001__03__15",1,"Mansa",TRUE,132866,3278,4098,9770,1440,19992,9194,14104,12014,21424,37552,2011,0.12904731082444,0.161305375340569,0.0691975373684765,0.196573991841404,0.161245164300875,0.282630620324236
"pc2001__04__01",1,"Chandigarh",TRUE,399939,33350,38626,38593,19815,66695,4639,46194,26049,87684,38294,2011,0.276464660860781,0.216307986968013,0.0115992688885055,0.180635046844644,0.21924343462378,0.0957496018142767
"pc2001__05__08",1,"Bageshwar",TRUE,29368,1361,1141,3690,1069,5131,843,3014,1681,5561,5877,2011,0.210841732497957,0.211114137837102,0.0287047126123672,0.159867883410515,0.189355761372923,0.200115772269136
"pc2001__05__09",1,"Almora",TRUE,80700,4152,4432,10218,3358,15488,1598,7054,3738,12740,17922,2011,0.232986369268897,0.233531598513011,0.0198017348203222,0.133729863692689,0.157868649318463,0.222081784386617
"pc2001__05__13",1,"Hardwar",TRUE,381202,16696,16684,30938,7360,58854,4592,65946,26324,75038,78770,2011,0.168724193472227,0.173697934428466,0.0120461067885268,0.242050146641413,0.196845766811297,0.20663585185807
"pc2001__06__01",1,"Panchkula",TRUE,172462,13486,12858,14278,5998,17736,4730,13604,13512,35360,40900,2011,0.235541742528789,0.137618721805383,0.0274263315976853,0.157228838816667,0.205030673423711,0.237153691827765
"pc2001__06__02",1,"Ambala",TRUE,262994,12744,12286,17566,6886,42360,5698,27144,19522,56014,62774,2011,0.161965672220659,0.187251420184491,0.0216658935184833,0.177441310448147,0.212985847585876,0.238689856042343
"pc2001__06__03",1,"Yamunanagar",TRUE,255026,9820,11932,16772,5632,37656,8146,31386,23988,78034,31660,2011,0.151059107698823,0.169739555966843,0.0319418412240321,0.217130802349564,0.30598448785614,0.124144204904598
"pc2001__06__04",1,"Kurukshetra",TRUE,181576,5994,11538,16240,5174,32172,9728,24154,19526,37554,19496,2011,0.185993743666564,0.205676961713002,0.0535753623826937,0.240560426488082,0.206822487553421,0.107371018196237
"pc2001__06__05",1,"Kaithal",TRUE,159662,3746,7440,12516,2940,26996,6328,19366,17742,38080,24508,2011,0.148451102954992,0.187496085480578,0.0396337262466961,0.23241597875512,0.238503839360649,0.153499267201964
"pc2001__06__06",1,"Karnal",TRUE,269468,11446,14448,20898,6298,45634,8152,34242,29288,54152,44910,2011,0.173645850342156,0.192720471447445,0.0302522006323571,0.23576083245506,0.200958926477355,0.166661718645628
"pc2001__06__07",1,"Panipat",TRUE,276556,10744,12004,17092,4626,41482,5392,40206,29478,74706,40826,2011,0.14405762304922,0.166722110530959,0.0194969554086695,0.251970667785186,0.270129738642445,0.14762290458352
"pc2001__06__08",1,"Sonipat",TRUE,278542,10982,12960,24420,8576,41750,9618,25604,32052,55850,56730,2011,0.173625521465345,0.180676522750609,0.0345298016098111,0.206992123270458,0.200508361396127,0.203667669507651
"pc2001__06__09",1,"Jind",TRUE,191904,5784,9006,16266,4722,33352,7030,24428,20752,38762,31802,2011,0.161830915457729,0.198401283975321,0.0366328997832249,0.235430215107554,0.201986409871602,0.165718275804569
"pc2001__06__10",1,"Fatehabad",TRUE,138532,3278,6648,10270,2860,26480,7192,20522,14168,30072,17042,2011,0.145785811220512,0.211792221291831,0.0519158028469956,0.250411457280628,0.217076199000953,0.123018508359079
"pc2001__06__11",1,"Sirsa",TRUE,191192,4906,9038,16450,3474,38770,10274,26914,20254,31040,30072,2011,0.158971086656345,0.220950667391941,0.0537365580149797,0.2467048830495,0.162349889116699,0.157286915770534
"pc2001__06__14",1,"Rohtak",TRUE,213578,9440,12776,20134,8110,39688,10806,20630,22772,43242,25980,2011,0.19828821320548,0.22379645843673,0.0505950987461255,0.203213814156889,0.202464673327777,0.121641742126998
"pc2001__06__15",1,"Jhajjar",TRUE,168638,6952,6514,13958,4836,25094,6410,14016,18202,31852,40804,2011,0.16262052443696,0.177480757599118,0.0380104128369644,0.191048280933123,0.18887795158861,0.241962072605225
"pc2001__06__16",1,"Mahendragarh",TRUE,150454,4382,7440,12804,4138,26232,6322,16748,16384,34444,21560,2011,0.163677934784054,0.201855716697462,0.0420194876839433,0.220213487178805,0.228933760484932,0.143299613170803
"pc2001__06__17",1,"Rewari",TRUE,206732,6184,9092,17820,5298,30394,19790,20536,23882,43470,30266,2011,0.16009132596792,0.172648646556895,0.0957278021786661,0.214857883636786,0.210272236518778,0.146402105140955
"pc2001__08__02",1,"Hanumangarh",TRUE,298298,4292,10068,16954,5194,39506,54178,39434,22084,49682,56906,2011,0.1049755613514,0.14985014985015,0.181623745382135,0.206230011599139,0.166551569236133,0.190768962581043
"pc2001__08__05",1,"Jhunjhunun",TRUE,305104,5362,16190,28898,7110,47192,19192,62050,28352,65072,25686,2011,0.165353453248728,0.177978656458126,0.0629031412239761,0.296298966909644,0.213278095337983,0.0841876868215428
"pc2001__08__17",1,"Barmer",TRUE,315502,3606,6830,21048,3842,49240,32808,50306,26990,66174,54658,2011,0.0997901756565727,0.168246160087733,0.103986662525119,0.244993692591489,0.209741935074897,0.17324137406419
"pc2001__08__18",1,"Jalor",TRUE,245180,2760,5290,12762,1738,49164,35792,33802,12874,50776,40222,2011,0.0848845745982543,0.207610734970226,0.145982543437475,0.190374418794355,0.207096826821111,0.164050901378579
"pc2001__08__19",1,"Sirohi",TRUE,197990,4224,11906,10166,3966,36826,16098,26696,13110,56884,18114,2011,0.132814788625688,0.206030607606445,0.081307136724077,0.201050558108995,0.287307439769685,0.0914894691651093
"pc2001__08__20",1,"Pali",TRUE,362478,5630,12064,24014,6042,65850,27940,57638,29686,95202,38412,2011,0.115063534890393,0.198334795491037,0.0770805400603623,0.240908413752007,0.26264214655786,0.105970569248341
"pc2001__08__23",1,"Bundi",TRUE,163916,2458,6570,11258,3138,24952,12448,25548,13628,45126,18790,2011,0.123758510456575,0.171368261792625,0.0759413358061446,0.239000463652114,0.275299543668708,0.114631884623832
"pc2001__08__27",1,"Dungarpur",TRUE,229526,2046,4112,14613,2811,25088,6481,16188,12489,123331,22367,2011,0.0904951944442024,0.121550499725521,0.0282364525151835,0.124940093932714,0.53732910432805,0.0974486550543294
"pc2001__08__32",1,"Jhalawar",TRUE,147000,2110,7066,12566,3436,25640,6736,21214,11736,38914,17582,2011,0.147904761904762,0.197795918367347,0.0458231292517007,0.224149659863946,0.264721088435374,0.119605442176871
"pc2001__09__01",1,"Saharanpur",TRUE,543915,12078,16231,36389,8588,99369,9495,120067,40117,101855,99726,2011,0.118948732798323,0.19848138036274,0.0174567717382312,0.294501898274547,0.187262715681678,0.18334850114448
"pc2001__09__03",1,"Bijnor",TRUE,543145,11035,19068,23912,7302,85218,26760,123429,30881,112481,103059,2011,0.0994485818704029,0.170341253256497,0.0492686115125795,0.28410461294866,0.20709202883208,0.189744911579781
"pc2001__09__05",1,"Rampur",TRUE,292618,5152,5942,17482,3424,43296,3648,100962,15606,38352,58754,2011,0.0976563300958929,0.159662085039198,0.0124667655441565,0.398362370052423,0.131065074602383,0.200787374665947
"pc2001__09__08",1,"Baghpat",TRUE,215798,4424,5618,13062,3532,39326,2892,51736,14624,29146,51438,2011,0.107063086775596,0.19860239668579,0.0134014216999231,0.30750980083226,0.13506149269224,0.238361801314192
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,446961,26776,32101,25226,7613,53003,14386,43727,23154,63627,157348,2011,0.188166305337602,0.13561809643347,0.0321862533867608,0.149634979338242,0.142354702088102,0.352039663415824
"pc2001__09__11",1,"Bulandshahr",TRUE,599771,10319,15096,39777,9548,94641,7679,131414,36124,94856,160317,2011,0.108694818522403,0.173714634418803,0.0128032198955935,0.279336613474143,0.15815369532705,0.267297018362008
"pc2001__09__12",1,"Aligarh",TRUE,626170,9372,21242,24931,7938,89818,38591,102577,30690,125061,175950,2011,0.0887059424756855,0.156117348323938,0.0616302282127857,0.212828784515387,0.199723717201399,0.280993979270805
"pc2001__09__14",1,"Mathura",TRUE,425336,10414,12309,35672,6337,62697,7111,57072,25873,73879,133972,2011,0.137291458987718,0.162304625049373,0.0167185472191397,0.195010532849324,0.173695619463201,0.314979216431245
"pc2001__09__15",1,"Agra",TRUE,869705,21654,21027,38698,10873,132326,16603,125315,82784,124069,296356,2011,0.0935708084925348,0.164652382129573,0.0190903812212187,0.239275386481623,0.14265641798081,0.340754623694241
"pc2001__09__16",1,"Firozabad",TRUE,426480,7238,7063,19066,3648,49255,6470,144989,14946,55571,118234,2011,0.0782381354342525,0.124045676233352,0.0151706996811105,0.375011723879197,0.130301538172951,0.277232226599137
"pc2001__09__18",1,"Mainpuri",TRUE,153253,3570,4199,13095,2692,24137,4004,14926,6172,18455,62003,2011,0.136140891206045,0.175063457159077,0.0261267316137368,0.137667778118536,0.120421786196681,0.404579355705924
"pc2001__09__20",1,"Bareilly",TRUE,708740,10852,20034,28147,8529,94261,17023,195990,29600,98787,205517,2011,0.083292885966645,0.145032028670599,0.0240186810395914,0.318297259926066,0.139383977198973,0.289975167198126
"pc2001__09__21",1,"Pilibhit",TRUE,177928,3085,4895,12991,2868,31505,3019,41725,7500,33767,36573,2011,0.11786228137224,0.193184883773212,0.0169675374308709,0.276656849961782,0.189779011735084,0.205549435726811
"pc2001__09__22",1,"Shahjahanpur",TRUE,272404,5724,7422,19111,4306,47844,3870,47679,12051,48901,75496,2011,0.118416029133199,0.191443591136694,0.0142068398408247,0.219269907930867,0.179516453502885,0.277147178455529
"pc2001__09__24",1,"Sitapur",TRUE,377556,6622,8032,23627,5411,56831,8531,57190,15012,45829,150471,2011,0.101391581646166,0.164855014885209,0.0225953236076238,0.191235207492398,0.121383317971374,0.398539554397228
"pc2001__09__25",1,"Hardoi",TRUE,315631,3602,7294,22378,4285,49137,11757,58529,11013,38591,109045,2011,0.105420570222823,0.169254604268909,0.0372491928866303,0.220326900716343,0.122266190583308,0.345482541321987
"pc2001__09__26",1,"Unnao",TRUE,341536,6750,7302,20534,5408,51338,8362,50798,23896,56006,111142,2011,0.101266045160686,0.16614939567132,0.0244835097910616,0.218700224866486,0.163982713388925,0.325418111121522
"pc2001__09__27",1,"Lucknow",TRUE,1166231,49899,74400,66718,38975,183354,18303,167699,50944,139907,376032,2011,0.16379002101642,0.190638904299406,0.0156941463569396,0.187478295466336,0.119965084104264,0.322433548756636
"pc2001__09__28",1,"Rae Bareli",TRUE,378652,4582,9778,20824,4676,56942,9706,40940,20524,69632,141048,2011,0.0929190919366595,0.162729894467743,0.0256330350823447,0.162323188574205,0.18389444661589,0.372500343323157
"pc2001__09__29",1,"Farrukhabad",TRUE,212105,4598,7460,10933,3084,29147,5809,59808,9482,25907,55877,2011,0.108394427288371,0.15195775677141,0.0273873788925296,0.326677824662313,0.122142335164188,0.263440277221188
"pc2001__09__30",1,"Kannauj",TRUE,155821,2291,4752,9817,2015,21184,5272,52622,7167,17320,33381,2011,0.108201076876673,0.148882371439023,0.0338336937896689,0.383703095218231,0.111153182176985,0.214226580499419
"pc2001__09__31",1,"Etawah",TRUE,176993,5399,7193,12039,3770,29176,8895,24734,9837,27033,48917,2011,0.13916369573938,0.186142954806122,0.0502562248224506,0.195324108863062,0.152734853920777,0.276378161848209
"pc2001__09__32",1,"Auraiya",TRUE,123464,2684,5082,11061,2181,24429,5801,14981,6540,22735,27970,2011,0.152489794595996,0.215528413140673,0.0469853560552064,0.174309920300654,0.18414274606363,0.226543769843841
"pc2001__09__33",1,"Kanpur Dehat",TRUE,169260,3398,5632,10672,2230,29462,9308,18980,12492,34944,42142,2011,0.116400803497578,0.187238567883729,0.0549923195084485,0.185938792390405,0.206451612903226,0.248977903816613
"pc2001__09__34",1,"Kanpur Nagar",TRUE,1117066,32056,49364,57531,25182,185944,15881,135191,68404,211685,335828,2011,0.12438924826286,0.189000470876385,0.0142167069806081,0.182258702708703,0.189500888935837,0.300633982235607
"pc2001__09__35",1,"Jalaun",TRUE,181327,3439,7205,11908,3271,32668,7061,17346,8158,39942,50329,2011,0.124371990933507,0.198199937130157,0.0389406982964479,0.140651971300468,0.220276075818825,0.277559326520595
"pc2001__09__36",1,"Jhansi",TRUE,338715,9321,12554,17277,6430,46503,8268,38628,14959,64114,120661,2011,0.115589802636435,0.156275925187842,0.0244099021301094,0.158206751989135,0.189285977887014,0.356231640169464
"pc2001__09__37",1,"Lalitpur",TRUE,105090,2575,3630,7490,1834,18263,3736,12462,5146,23344,26610,2011,0.130316871253212,0.191236083357122,0.0355504805404891,0.167551622418879,0.222133409458559,0.253211532971738
"pc2001__09__38",1,"Hamirpur",TRUE,132738,1542,5110,7400,2058,22476,4504,13548,5654,37852,32594,2011,0.105862676852145,0.184830267142793,0.0339315041661016,0.14466091096747,0.285163253928792,0.245551386942699
"pc2001__09__39",1,"Mahoba",TRUE,105122,1086,3730,4904,1250,15524,4202,13212,4184,32030,25000,2011,0.092463994216244,0.159566979319267,0.039972603260973,0.165483913928578,0.304693594109701,0.237818915165237
"pc2001__09__40",1,"Banda",TRUE,176745,4837,7779,12328,3515,29098,5613,22334,7446,52531,31264,2011,0.141129876375569,0.184520071289145,0.0317576169057116,0.168491329316247,0.297213499674673,0.176887606438655
"pc2001__09__41",1,"Chitrakoot",TRUE,83552,1329,3430,6301,1577,14563,2787,8948,3358,21859,19400,2011,0.132372654155496,0.193173113749521,0.033356472615856,0.147285522788204,0.261621505170433,0.23219073152049
"pc2001__09__42",1,"Fatehpur",TRUE,310304,6190,8636,17156,3856,46966,19044,39844,18440,60490,89682,2011,0.103066670104156,0.163781324120862,0.0613720738372693,0.187828709910282,0.194937867381664,0.289013354645767
"pc2001__09__43",1,"Pratapgarh",TRUE,374824,6636,11152,17404,4340,51366,10972,39154,32748,48242,152810,2011,0.093889398757817,0.148619085223998,0.0292724051821655,0.191828698269054,0.128705739226944,0.407684673340021
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,271536,3372,7716,15526,2776,41606,7836,53030,10960,32010,96704,2011,0.0980127865181781,0.163447940604561,0.0288580519710094,0.235659360084851,0.117884921336397,0.356136939485004
"pc2001__09__50",1,"Bahraich",TRUE,238333,3227,6914,13067,3296,42986,7221,26337,10173,38940,86172,2011,0.097376359966937,0.194190481385289,0.0302979444726496,0.153189025439196,0.163384843894887,0.361561344841042
"pc2001__09__52",1,"Balrampur",TRUE,155867,2062,4281,8340,1649,26807,5839,18139,4685,26779,57286,2011,0.0942021082076386,0.182565905547678,0.0374614254460534,0.146432535430848,0.171806732663104,0.367531292704678
"pc2001__09__53",1,"Gonda",TRUE,299019,3621,7559,14221,3777,50200,10771,24705,9285,32939,141941,2011,0.0849477792381086,0.180513612847344,0.0360211224035931,0.11367170648019,0.110156879663165,0.474688899367599
"pc2001__09__55",1,"Basti",TRUE,204323,3226,7385,14036,4161,34524,6242,19459,8509,26411,80370,2011,0.120627633697626,0.189332576361937,0.0305496689065842,0.136881310474102,0.129261022988112,0.393347787571639
"pc2001__09__60",1,"Deoria",TRUE,347150,7872,13114,20722,5348,61974,8768,48158,18376,53794,109024,2011,0.120144029958231,0.193927696960968,0.0252570934754429,0.191657784819242,0.154958951461904,0.314054443324211
"pc2001__09__61",1,"Azamgarh",TRUE,496388,5848,14438,27278,6092,86186,13988,94158,23746,61808,162846,2011,0.0958202051620909,0.185898933898483,0.0281795692079583,0.237523872454612,0.124515499971796,0.32806191930506
"pc2001__09__62",1,"Mau",TRUE,340054,5062,8418,14786,2972,42706,5948,109042,12524,43636,94960,2011,0.0831220923735642,0.134325724737836,0.0174913396107677,0.357490280955378,0.128320796108853,0.279249766213601
"pc2001__09__63",1,"Ballia",TRUE,428488,4648,9914,18574,4252,70816,15484,32192,13868,64854,193886,2011,0.0773323873714083,0.175192770859394,0.0361363678796139,0.107494258882396,0.151355463863632,0.452488751143556
"pc2001__09__64",1,"Jaunpur",TRUE,460974,6142,15978,29208,5188,78962,13454,69104,25800,51186,165952,2011,0.111346843856703,0.182548256517721,0.0291860278453882,0.20587712105238,0.111038800452954,0.360002950274853
"pc2001__09__65",1,"Ghazipur",TRUE,398172,8724,12294,21172,5412,69170,12562,46872,20784,56110,145072,2011,0.105959233698,0.18731101132174,0.0315491797514642,0.169916518489497,0.14091899982922,0.364345056910079
"pc2001__09__66",1,"Chandauli",TRUE,276418,4418,7684,11530,3424,42470,8214,43118,14778,48588,92194,2011,0.0854937088033341,0.166031155713448,0.0297158651028515,0.209450904065582,0.175777264866977,0.333531101447807
"pc2001__09__67",1,"Varanasi",TRUE,840457,21784,36622,36257,12687,132221,14059,224163,42226,101398,219040,2011,0.112632770028687,0.172415721446784,0.0167278040399449,0.316957322028373,0.120646267447353,0.260620115008858
"pc2001__09__69",1,"Mirzapur",TRUE,370448,4892,9372,15982,4014,47996,11100,78142,18844,64556,115550,2011,0.0816470867706129,0.140397572668769,0.0299637196043709,0.261807325184641,0.174264674124304,0.311919621647303
"pc2001__09__70",1,"Sonbhadra",TRUE,218243,5370,7861,12645,3360,27799,5953,19684,12775,56625,66171,2011,0.118565085707216,0.142772047671632,0.0272769344263046,0.148728710657386,0.25945849351411,0.30319872802335
"pc2001__10__01",1,"Pashchim Champaran",TRUE,262983,5375,7741,19393,3455,41413,6063,47647,8193,27791,95912,2011,0.123616355429819,0.1706117885947,0.0230547221683531,0.212333116589285,0.105676032291061,0.364707984926782
"pc2001__10__02",1,"Purba Champaran",TRUE,331534,7212,10459,26674,4716,57619,7176,53884,11529,31069,121196,2011,0.133757020396098,0.188019931590727,0.0216448388400586,0.19730404724704,0.0937128620292338,0.365561299896843
"pc2001__10__03",1,"Sheohar",TRUE,41311,766,1302,3025,414,4565,554,4147,923,3101,22514,2011,0.123284355256469,0.120524799690155,0.0134104717871753,0.122727602817651,0.0750647527292973,0.544988017719252
"pc2001__10__04",1,"Sitamarhi",TRUE,262839,5106,8292,17518,3471,42751,9732,45317,9099,25317,96236,2011,0.117623335958515,0.175856703152881,0.03702646867474,0.207031680991025,0.0963213221782156,0.366140489044624
"pc2001__10__05",1,"Madhubani",TRUE,299326,6187,11266,25416,5332,43867,5195,36286,9483,23589,132705,2011,0.143218430741065,0.16436594215003,0.0173556590473263,0.152906864087984,0.0788070531794766,0.443346050794117
"pc2001__10__06",1,"Supaul",TRUE,121854,2781,4214,11204,1801,18072,2465,16377,2913,12661,49366,2011,0.149350862507591,0.163088614243275,0.0202291266597732,0.158304200108326,0.103903031496709,0.405124164984326
"pc2001__10__08",1,"Kishanganj",TRUE,99532,3250,2792,10040,1206,19010,6022,16203,3481,11075,26453,2011,0.161576176506048,0.203110557408673,0.0605031547642969,0.197765542740023,0.111270747096411,0.265773821484548
"pc2001__10__09",1,"Purnia",TRUE,200415,4142,6607,17071,3424,30934,3851,20639,5671,18508,89568,2011,0.138811965172268,0.171434273881695,0.0192151286081381,0.131277598982112,0.0923483771174812,0.446912656238306
"pc2001__10__11",1,"Madhepura",TRUE,102875,1790,3845,11530,1576,17449,2755,10787,2334,10571,40238,2011,0.16685297691373,0.184933171324423,0.0267800729040097,0.127543134872418,0.102755771567436,0.391134872417983
"pc2001__10__12",1,"Saharsa",TRUE,128819,3328,5658,13243,2683,22919,2969,15924,3534,17918,40643,2011,0.172559948454809,0.198743974103199,0.0230478423213967,0.15104914647684,0.13909438825018,0.315504700393575
"pc2001__10__14",1,"Muzaffarpur",TRUE,506458,12742,17386,33054,7962,83698,12982,58988,23512,66264,189870,2011,0.124752694201691,0.180982430922209,0.0256329251389059,0.162896034814338,0.130838095162876,0.37489781975998
"pc2001__10__15",1,"Gopalganj",TRUE,180576,2677,5319,14650,2379,30927,3114,32176,7819,18461,63054,2011,0.125409799751905,0.184443115364168,0.0172448165869219,0.22148569023569,0.102233962431331,0.349182615629984
"pc2001__10__16",1,"Siwan",TRUE,290405,4666,8958,20764,3490,53958,4946,54352,15076,45020,79175,2011,0.11841393915394,0.197820285463405,0.0170313872006336,0.239073018715243,0.155024879048226,0.272636490418553
"pc2001__10__17",1,"Saran",TRUE,314673,6889,10379,22698,4959,57694,6101,42575,15149,38569,109660,2011,0.127008036914511,0.199105102757466,0.0193883809541969,0.183441223110976,0.122568507625376,0.348488748637474
"pc2001__10__19",1,"Samastipur",TRUE,323276,6738,12108,26104,5790,58792,15160,52218,12146,41102,93118,2011,0.13904527400735,0.199773568096611,0.046894913324837,0.199099221717665,0.127142132419357,0.28804489043418
"pc2001__10__20",1,"Begusarai",TRUE,361770,7038,12208,21412,3964,52882,11216,68504,11066,61040,112440,2011,0.11238632280178,0.157132985045747,0.0310031235315256,0.219946374768499,0.16872598612378,0.310805207728667
"pc2001__10__21",1,"Khagaria",TRUE,130690,2805,3919,9394,1379,19704,4860,13599,3072,21520,50438,2011,0.123330017598898,0.161320682531181,0.0371872369729895,0.127561404851175,0.16466447318081,0.385936184864948
"pc2001__10__23",1,"Banka",TRUE,136026,2197,4630,9642,1819,16775,2896,19197,4240,18820,55810,2011,0.121072442033141,0.136694455471748,0.0212900474909209,0.172297943040301,0.138355902548042,0.410289209415847
"pc2001__10__24",1,"Munger",TRUE,184708,5602,8534,12328,3322,31278,2228,24356,7888,37066,52106,2011,0.143274790480109,0.18732269311562,0.0120622820884856,0.17456742534162,0.200673495463109,0.282099313511055
"pc2001__10__25",1,"Lakhisarai",TRUE,88074,2212,3236,7146,1061,15983,1086,11037,3409,13065,29839,2011,0.142993391920431,0.193519086222949,0.0123305402275359,0.164021164021164,0.148341167654472,0.338794649953448
"pc2001__10__26",1,"Sheikhpura",TRUE,60448,929,1782,3739,733,9094,245,8929,2430,5126,27441,2011,0.106703282159873,0.162569481206988,0.00405307040762308,0.187913578613023,0.0848001588141874,0.453960428798306
"pc2001__10__27",1,"Nalanda",TRUE,290850,5420,11280,20104,5580,46940,5286,41498,10698,27564,116480,2011,0.126539453326457,0.180574179130136,0.0181743166580712,0.179460202853705,0.0947705002578649,0.400481347773767
"pc2001__10__28",1,"Patna",TRUE,954622,42380,51543,55437,30045,175787,14331,91656,42075,118511,332857,2011,0.156459834363759,0.21561623344109,0.0150122247339785,0.140087909141,0.124144425751764,0.348679372568409
"pc2001__10__30",1,"Buxar",TRUE,153850,3966,5696,11262,1924,29792,5078,18746,6888,21290,49208,2011,0.136002599935002,0.206148846278843,0.0330061748456289,0.166616834579136,0.138381540461488,0.319844003899903
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,117496,2250,3310,8498,1250,19629,2140,13444,4678,16744,45553,2011,0.119646626268128,0.177699666371621,0.0182133859876081,0.15423503778852,0.142506978960986,0.387698304623136
"pc2001__10__32",1,"Rohtas",TRUE,301207,6439,9981,19531,3981,52603,5446,29926,12738,47196,113366,2011,0.11935645585926,0.187857519911556,0.0180805890965349,0.141643454501389,0.1566895855674,0.37637239506386
