"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_total","main_workers_total","marginal_workers_total","industry_agriculture","industry_mining","industry_manufacturing","industry_utilities","industry_construction","industry_trade","industry_transport","industry_accommodation_food","industry_information_communication","industry_finance_realestate_professional","industry_administrative_public","industry_education_health","industry_other_services","census_year","main_worker_share_among_workers","marginal_worker_share_among_workers","agriculture_share_among_workers","mining_share_among_workers","manufacturing_share_among_workers","utilities_share_among_workers","construction_share_among_workers","trade_share_among_workers","transport_share_among_workers","accommodation_food_share_among_workers","information_communication_share_among_workers","finance_realestate_professional_share_among_workers","administrative_public_share_among_workers","education_health_share_among_workers","other_services_share_among_workers"
"pc2001__28__22",1,"Anantapur",TRUE,2034715,1678456,356259,1309310,6625,202504,6143,84408,106812,17602,61873,11243,16322,33013,53209,125651,2011,0.824909631078554,0.175090368921446,0.643485697014078,0.00325598425332295,0.0995245034316845,0.00301909604047741,0.0414839424686013,0.0524948211420273,0.00865084299275328,0.0304086813140907,0.00552558957888451,0.00802176226154523,0.016224876702634,0.0261505911147261,0.0617536116851746
"pc2001__28__23",1,"Chittoor",TRUE,1933905,1669960,263945,1206158,10378,151142,7912,106374,111572,20782,64914,17548,20031,46932,63553,106609,2011,0.863517080725268,0.136482919274732,0.623690408784299,0.00536634426199839,0.0781537872853113,0.00409120406638382,0.0550047701412427,0.0576925960685763,0.0107461328245183,0.0335662816942921,0.00907386867503833,0.01035779937484,0.0242679966182413,0.0328625242708406,0.0551262859344177
"pc2001__29__02",1,"Bagalkot",TRUE,818106,676059,142047,523780,4328,86464,2414,33664,44674,7076,22478,1948,9224,14258,29638,38160,2011,0.826370910371028,0.173629089628972,0.640234883988138,0.00529026800927997,0.10568801597837,0.00295071787763444,0.0411487020019411,0.0546066157686168,0.008649245941235,0.0274756571886773,0.00238110953837278,0.0112748225780033,0.0174280594446196,0.0362275793112384,0.0466443223738733
"pc2001__29__05",1,"Bidar",TRUE,702065,551669,150396,449837,1636,43064,2154,31704,42848,8092,29498,1496,5686,14610,29502,41938,2011,0.785780518897823,0.214219481102177,0.640734120060108,0.00233026856487647,0.0613390498030809,0.00306809198578479,0.0451582118464815,0.0610313859827794,0.0115259983050002,0.0420160526446981,0.00213085682949584,0.00809896519553033,0.0208100389565069,0.0420217501228519,0.0597352097028053
"pc2001__29__06",1,"Raichur",TRUE,902951,725995,176956,656609,6814,36546,5234,34278,45428,8072,22710,1938,6444,11458,23796,43624,2011,0.804024803117777,0.195975196882223,0.727181209168604,0.00754636741085618,0.0404739570585779,0.00579654931441463,0.0379621928543188,0.0503105927121184,0.00893957700916218,0.0251508664368277,0.00214629586766059,0.00713659988194265,0.0126895036386249,0.0263535895081793,0.048312699138713
"pc2001__29__07",1,"Koppal",TRUE,654519,508238,146281,461461,4888,44236,1886,22880,34486,6830,17730,1190,4202,7676,17634,29420,2011,0.776506106010673,0.223493893989327,0.705038356411349,0.00746807961266212,0.067585509358781,0.00288150534973011,0.034956968399695,0.0526890739611837,0.0104351439759579,0.0270885948307077,0.00181812903827085,0.00641998169648245,0.011727696216611,0.0269419222360237,0.0449490389125449
"pc2001__29__08",1,"Gadag",TRUE,496039,423185,72854,338661,1068,33156,1358,19488,29724,4536,15540,1182,4194,7870,17120,22142,2011,0.853128483849052,0.146871516150948,0.682730591747826,0.00215305651370154,0.0668415185096333,0.00273768796405121,0.0392872334634978,0.0599227076903227,0.00914444227167622,0.0313281818566685,0.00238287715280452,0.0084549803543673,0.015865687980179,0.034513415275815,0.0446376192194565
"pc2001__29__09",1,"Dharwad",TRUE,785006,691282,93724,382397,1239,80227,3527,54160,77391,10250,47857,6795,16593,23673,35247,45650,2011,0.880607281982558,0.119392718017442,0.487126213048053,0.00157833188536139,0.102199218859474,0.00449295928948314,0.0689931032374275,0.09858650761905,0.0130572250403182,0.0609638652443421,0.00865598479502067,0.0211374180579511,0.0301564574028734,0.0449002937557165,0.0581524217649292
"pc2001__29__11",1,"Haveri",TRUE,731542,602861,128681,529770,1206,41688,1586,30980,42410,5144,17224,1504,4728,9466,21456,24380,2011,0.824096224140241,0.175903775859759,0.724182616992599,0.00164857246747282,0.0569864751442843,0.00216802316203308,0.042348901361781,0.0579734314639488,0.00703172203373149,0.0235447862186997,0.00205593117004902,0.00646306022073921,0.0129397901965984,0.0293298265854865,0.0333268629825765
"pc2001__29__13",1,"Chitradurga",TRUE,855208,666797,188411,611826,3288,47680,2682,28758,40656,7356,23318,1688,5996,10614,28884,42462,2011,0.779689853228688,0.220310146771312,0.715411923181261,0.00384467872143385,0.0557525186855128,0.00313607917606009,0.0336269071383804,0.0475393120737879,0.0086014162636458,0.0272658815165433,0.00197378883265825,0.00701115985818655,0.0124110157996651,0.0337742397171215,0.0496510790357434
"pc2001__29__16",1,"Udupi",TRUE,512975,458760,54215,168861,5966,104776,3022,46458,47042,26958,28638,4352,12760,9794,29072,25276,2011,0.894312588332765,0.105687411667235,0.329179784589892,0.0116301964033335,0.204251669184658,0.00589112529850383,0.0905658170476144,0.0917042740874312,0.0525522686290755,0.0558272820312881,0.00848384424192212,0.0248745065549003,0.0190925483698036,0.056673327160193,0.0492733564013841
"pc2001__29__20",1,"Bangalore",TRUE,4245558,3857522,388036,229406,9213,1142802,18649,396821,513983,83758,290472,349099,203756,303732,211164,492703,2011,0.908601884605039,0.091398115394961,0.054034357792309,0.00217003277307718,0.269175924578112,0.00439259103279239,0.093467336920141,0.121063709411107,0.0197283843490067,0.0684178616803728,0.0822268827796016,0.047992749127441,0.0715411260427958,0.0497376316611385,0.116051411852105
