table	state_code	relative_path	url
ST16T	03	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-0300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46147/download/50395/1991-ST16T-0300.xlsx
ST16T	04	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-0400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46148/download/50396/1991-ST16T-0400.xlsx
ST16T	06	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-0600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46149/download/50397/1991-ST16T-0600.xlsx
ST16T	07	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-0700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46150/download/50398/1991-ST16T-0700.xlsx
ST16T	09	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-0900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46151/download/50399/1991-ST16T-0900.xlsx
ST16T	11	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46152/download/50400/1991-ST16T-1100.xlsx
ST16T	12	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46153/download/50401/1991-ST16T-1200.xlsx
ST16T	13	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46154/download/50402/1991-ST16T-1300.xlsx
ST16T	14	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46155/download/50403/1991-ST16T-1400.xlsx
ST16T	15	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46156/download/50404/1991-ST16T-1500.xlsx
ST16T	16	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46157/download/50405/1991-ST16T-1600.xlsx
ST16T	17	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46158/download/50406/1991-ST16T-1700.xlsx
ST16T	18	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46159/download/50407/1991-ST16T-1800.xlsx
ST16T	19	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-1900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46160/download/50408/1991-ST16T-1900.xlsx
ST16T	21	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46161/download/50409/1991-ST16T-2100.xlsx
ST16T	22	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46162/download/50410/1991-ST16T-2200.xlsx
