state_code_1991,district_code_1991,ipum1993,district_name_helms_lim,linguistic_distance_1991_helms_lim,source_row_count,source_years
13,31,13031,Betul,3.9557257,3,1991;2001;2011
13,32,13032,Hoshangabad,4.2391086,3,1991;2001;2011
13,33,13033,Jabalpur,3.1068895,3,1991;2001;2011
13,34,13034,Narsimhapur,2.92159,3,1991;2001;2011
13,35,13035,Mandla,4.62294,3,1991;2001;2011
13,36,13036,Chhindwara,3.1360426,3,1991;2001;2011
13,37,13037,WaraSeoni,4.1184354,3,1991;2001;2011
13,38,13038,Balaghat,2.9330964,3,1991;2001;2011
13,39,13039,Surguja,4.5121202,3,1991;2001;2011
13,40,13040,Bilaspur,3.5061824,3,1991;2001;2011
13,41,13041,Raigarh,4.208871,3,1991;2001;2011
13,42,13042,Raj Nandgaon,3.3960185,3,1991;2001;2011
13,43,13043,Durg,3.3151524,3,1991;2001;2011
13,44,13044,Raipur,3.0006924,3,1991;2001;2011
13,45,13045,Bastar,4.003072,3,1991;2001;2011
14,01,14001,Greater Bombay,2.2413304,3,1991;2001;2011
14,02,14002,Thane,2.2360334,3,1991;2001;2011
14,03,14003,Raigarh (Kulaba),2.0587919,3,1991;2001;2011
14,04,14004,Ratnagiri,2.0392778,3,1991;2001;2011
14,05,14005,Sindhudurg,2.0407386,3,1991;2001;2011
14,06,14006,Nashik,2.0250306,3,1991;2001;2011
14,07,14007,Dhule,1.3254975,3,1991;2001;2011
14,08,14008,Jalgaon,1.9421997,3,1991;2001;2011
14,09,14009,Ahmadnagar,2.0499823,3,1991;2001;2011
14,10,14010,Pune,2.158481,3,1991;2001;2011
14,11,14011,Satara,2.0409186,3,1991;2001;2011
14,12,14012,Sangli,2.2259314,3,1991;2001;2011
14,13,14013,Solapur,2.5549664,3,1991;2001;2011
14,14,14014,Kolhapur,2.1122477,3,1991;2001;2011
14,15,14015,Aurangabad,2.0323691,3,1991;2001;2011
14,16,14016,Jalna,2.045396,3,1991;2001;2011
14,17,14017,Parbhani,2.0277169,3,1991;2001;2011
14,18,14018,Bid,2.032628,3,1991;2001;2011
14,19,14019,Nanded,2.2131119,3,1991;2001;2011
14,20,14020,Osmanabad,2.1013715,3,1991;2001;2011
14,21,14021,Latur,2.0742323,3,1991;2001;2011
14,22,14022,Buldana,2.0311756,3,1991;2001;2011
14,23,14023,Akola,2.0393806,3,1991;2001;2011
14,24,14024,Amravati,2.3131428,3,1991;2001;2011
14,25,14025,Yavatmal,2.3188784,3,1991;2001;2011
14,26,14026,Wardha,2.0648608,3,1991;2001;2011
14,27,14027,Nagpur,2.1243377,3,1991;2001;2011
14,28,14028,Bhandara,2.1253889,3,1991;2001;2011
14,29,14029,Chandrapur,2.206944,3,1991;2001;2011
14,30,14030,Gadchiroli,3.1355324,3,1991;2001;2011
15,01,15001,Senapati,4.852513,3,1991;2001;2011
15,02,15002,Tamenglong,4.9924073,3,1991;2001;2011
15,03,15003,Churachandpur,4.9552364,3,1991;2001;2011
15,04,15004,Chandel,4.957698,3,1991;2001;2011
15,05,15005,Thoubal,4.9850016,3,1991;2001;2011
15,06,15006,Bishnupur,4.984782,3,1991;2001;2011
15,07,15007,Imphal,4.929675,3,1991;2001;2011
15,08,15008,Ukhrul,4.9663606,3,1991;2001;2011
16,01,16001,Jaintia Hills,4.958361,3,1991;2001;2011
16,02,16002,East Khasi Hills,4.715542,3,1991;2001;2011
16,03,16003,West Khasi Hills,4.967279,3,1991;2001;2011
16,04,16004,East Garo Hills,4.920353,3,1991;2001;2011
16,05,16005,West Garon Hills,4.536537,3,1991;2001;2011
17,01,17001,Aizawl,4.924485,3,1991;2001;2011
17,02,17002,Lunglei,4.581812,3,1991;2001;2011
17,03,17003,Chhimtuipui,4.4689054,3,1991;2001;2011
18,01,18001,Kohima,4.7065268,3,1991;2001;2011
18,02,18002,Phek,4.961886,3,1991;2001;2011
18,03,18003,Zunheboto,4.9779825,3,1991;2001;2011
18,04,18004,Wokha,4.9484487,3,1991;2001;2011
18,05,18005,Mukokchung,4.93301,3,1991;2001;2011
18,06,18006,Tuensang,4.9569354,3,1991;2001;2011
18,07,18007,Mon,4.9321604,3,1991;2001;2011
19,01,19001,Sambalpur,3.1461349,3,1991;2001;2011
19,02,19002,Sundargarh,3.6316915,3,1991;2001;2011
19,03,19003,Keonjhar,3.3286996,3,1991;2001;2011
19,04,19004,Mayurbhanj,3.8640795,3,1991;2001;2011
19,05,19005,Baleshwar,3.0841906,3,1991;2001;2011
19,06,19006,Cuttack,3.0342348,3,1991;2001;2011
19,07,19007,Dhenkanal,3.0444906,3,1991;2001;2011
19,08,19008,Phulbani,3.640748,3,1991;2001;2011
19,09,19009,Bolangir,3.0057251,3,1991;2001;2011
19,10,19010,Kalahandi,3.0763175,3,1991;2001;2011
19,11,19011,Koraput,3.5608964,3,1991;2001;2011
19,12,19012,Ganjam,3.3508117,3,1991;2001;2011
19,13,19013,Puri,3.0446599,3,1991;2001;2011
20,01,20001,Gurdaspur,1.0573299,3,1991;2001;2011
20,02,20002,Amritsar,1.0105659,3,1991;2001;2011
20,03,20003,Firozpur,1.0100737,3,1991;2001;2011
20,04,20004,Ludhiana,1.0054201,3,1991;2001;2011
20,05,20005,Jalandhar,1.0120096,3,1991;2001;2011
20,06,20006,Kapurthala,1.0082039,3,1991;2001;2011
20,07,20007,Hoshiarpur,1.0088578,3,1991;2001;2011
20,08,20008,Rupnagar (Ropar),1.0127914,3,1991;2001;2011
20,09,20009,Patiala,1.0061427,3,1991;2001;2011
20,10,20010,Sangrur,1.0014215,3,1991;2001;2011
20,11,20011,Bhatinda,1.0092572,3,1991;2001;2011
20,12,20012,Faridkot,1.0040057,3,1991;2001;2011
21,01,21001,Ganganagar,1.12525,3,1991;2001;2011
21,02,21002,Bikaner,2.6029067,3,1991;2001;2011
21,03,21003,Churu,3.360102,3,1991;2001;2011
21,04,21004,Jhunjhuna,3.4180024,3,1991;2001;2011
21,05,21005,Alwar,1.5552807,3,1991;2001;2011
21,06,21006,Bharatpur,1.3460708,3,1991;2001;2011
21,07,21007,Dholpur,1.9877943,3,1991;2001;2011
21,08,21008,Sawai Madhopur,2.8996868,3,1991;2001;2011
21,09,21009,Jaipur,3.2690146,3,1991;2001;2011
21,10,21010,Sikar,3.4259336,3,1991;2001;2011
21,11,21011,Ajmer,3.6056633,3,1991;2001;2011
21,12,21012,Tonk,3.6224587,3,1991;2001;2011
21,13,21013,Jaisalmer,3.5894885,3,1991;2001;2011
21,14,21014,Jodhpur,3.3924859,3,1991;2001;2011
21,15,21015,Nagaur,3.8180318,3,1991;2001;2011
21,16,21016,Pali,3.1671045,3,1991;2001;2011
21,17,21017,Barmer,3.928151,3,1991;2001;2011
21,18,21018,Jalor,3.2848163,3,1991;2001;2011
21,19,21019,Sirohi,1.9066092,3,1991;2001;2011
21,20,21020,Bhilwara,3.5565324,3,1991;2001;2011
21,21,21021,Udaipur,1.1534116,3,1991;2001;2011
21,22,21022,Chittaurgarh,2.531478,3,1991;2001;2011
21,23,21023,Dungarpur,1.0041709,3,1991;2001;2011
21,24,21024,Banswara,1.0071933,3,1991;2001;2011
21,25,21025,Bundi,1.7221038,3,1991;2001;2011
21,26,21026,Kota,2.7681835,3,1991;2001;2011
21,27,21027,Jhalawar,1.6790657,3,1991;2001;2011
