academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,ANDHRA PRADESH,VIZIANAGARAM,4,Oriya,District report card 2005-06 vol-1.pdf,47
2005-06,ANDHRA PRADESH,WARANGAL,1,Telugu,District report card 2005-06 vol-1.pdf,48
2005-06,ANDHRA PRADESH,WARANGAL,2,English,District report card 2005-06 vol-1.pdf,48
2005-06,ANDHRA PRADESH,WARANGAL,3,Urdu,District report card 2005-06 vol-1.pdf,48
2005-06,ANDHRA PRADESH,WEST GODAVARI,1,Telugu,District report card 2005-06 vol-1.pdf,49
2005-06,ANDHRA PRADESH,WEST GODAVARI,2,English,District report card 2005-06 vol-1.pdf,49
2005-06,ANDHRA PRADESH,WEST GODAVARI,3,Urdu,District report card 2005-06 vol-1.pdf,49
2005-06,ARUNACHAL PRADESH,CHANGLANG,1,English,District report card 2005-06 vol-1.pdf,50
2005-06,ARUNACHAL PRADESH,CHANGLANG,2,Manipuri,District report card 2005-06 vol-1.pdf,50
2005-06,ARUNACHAL PRADESH,DIBANG VALLEY,1,English,District report card 2005-06 vol-1.pdf,51
2005-06,ARUNACHAL PRADESH,EAST KAMENG,1,English,District report card 2005-06 vol-1.pdf,52
2005-06,ARUNACHAL PRADESH,EAST SIANG,1,English,District report card 2005-06 vol-1.pdf,53
2005-06,ARUNACHAL PRADESH,KURUNG KUMEY,1,English,District report card 2005-06 vol-1.pdf,54
2005-06,ARUNACHAL PRADESH,KURUNG KUMEY,2,Hindi,District report card 2005-06 vol-1.pdf,54
2005-06,ARUNACHAL PRADESH,KURUNG KUMEY,3,Manipuri,District report card 2005-06 vol-1.pdf,54
2005-06,ARUNACHAL PRADESH,LOHIT,1,English,District report card 2005-06 vol-1.pdf,55
2005-06,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,1,English,District report card 2005-06 vol-1.pdf,56
2005-06,ARUNACHAL PRADESH,LOWER SUBANSIRI,1,English,District report card 2005-06 vol-1.pdf,57
2005-06,ARUNACHAL PRADESH,LOWER SUBANSIRI,2,Hindi,District report card 2005-06 vol-1.pdf,57
2005-06,ARUNACHAL PRADESH,PAPUM PARE,1,English,District report card 2005-06 vol-1.pdf,58
2005-06,ARUNACHAL PRADESH,PAPUM PARE,2,Others,District report card 2005-06 vol-1.pdf,58
2005-06,ARUNACHAL PRADESH,TAWANG,1,English,District report card 2005-06 vol-1.pdf,59
2005-06,ARUNACHAL PRADESH,TIRAP,1,English,District report card 2005-06 vol-1.pdf,60
2005-06,ARUNACHAL PRADESH,UPPER SIANG,1,English,District report card 2005-06 vol-1.pdf,61
2005-06,ARUNACHAL PRADESH,UPPER SUBANSIRI,1,English,District report card 2005-06 vol-1.pdf,62
