academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,MAHARASHTRA,MUMBAI,1,English,District report card 2005-06 vol-2.pdf,41
2005-06,MAHARASHTRA,MUMBAI,2,Marathi,District report card 2005-06 vol-2.pdf,41
2005-06,MAHARASHTRA,MUMBAI,3,Hindi,District report card 2005-06 vol-2.pdf,41
2005-06,MAHARASHTRA,MUMBAI,4,Urdu,District report card 2005-06 vol-2.pdf,41
2005-06,MAHARASHTRA,MUMBAI,5,Gujarati,District report card 2005-06 vol-2.pdf,41
2005-06,MAHARASHTRA,MUMBAI (SUBURBAN),1,English,District report card 2005-06 vol-2.pdf,42
2005-06,MAHARASHTRA,MUMBAI (SUBURBAN),2,Marathi,District report card 2005-06 vol-2.pdf,42
2005-06,MAHARASHTRA,MUMBAI (SUBURBAN),3,Hindi,District report card 2005-06 vol-2.pdf,42
2005-06,MAHARASHTRA,MUMBAI (SUBURBAN),4,Urdu,District report card 2005-06 vol-2.pdf,42
2005-06,MAHARASHTRA,MUMBAI (SUBURBAN),5,Gujarati,District report card 2005-06 vol-2.pdf,42
2005-06,MAHARASHTRA,NAGPUR,1,Marathi,District report card 2005-06 vol-2.pdf,43
2005-06,MAHARASHTRA,NAGPUR,2,Hindi,District report card 2005-06 vol-2.pdf,43
2005-06,MAHARASHTRA,NAGPUR,3,English,District report card 2005-06 vol-2.pdf,43
2005-06,MAHARASHTRA,NAGPUR,4,Urdu,District report card 2005-06 vol-2.pdf,43
2005-06,MAHARASHTRA,NAGPUR,5,Others,District report card 2005-06 vol-2.pdf,43
2005-06,MAHARASHTRA,NANDED,1,Marathi,District report card 2005-06 vol-2.pdf,44
2005-06,MAHARASHTRA,NANDED,2,Urdu,District report card 2005-06 vol-2.pdf,44
2005-06,MAHARASHTRA,NANDED,3,English,District report card 2005-06 vol-2.pdf,44
2005-06,MAHARASHTRA,NANDED,4,Hindi,District report card 2005-06 vol-2.pdf,44
2005-06,MAHARASHTRA,NANDED,5,Others,District report card 2005-06 vol-2.pdf,44
2005-06,MAHARASHTRA,NANDURBAR,1,Marathi,District report card 2005-06 vol-2.pdf,45
2005-06,MAHARASHTRA,NANDURBAR,2,Urdu,District report card 2005-06 vol-2.pdf,45
2005-06,MAHARASHTRA,NANDURBAR,3,English,District report card 2005-06 vol-2.pdf,45
2005-06,MAHARASHTRA,NANDURBAR,4,Gujarati,District report card 2005-06 vol-2.pdf,45
2005-06,MAHARASHTRA,NANDURBAR,5,Others,District report card 2005-06 vol-2.pdf,45
2005-06,MAHARASHTRA,NASHIK,1,Marathi,District report card 2005-06 vol-2.pdf,46
2005-06,MAHARASHTRA,NASHIK,2,Urdu,District report card 2005-06 vol-2.pdf,46
2005-06,MAHARASHTRA,NASHIK,3,English,District report card 2005-06 vol-2.pdf,46
2005-06,MAHARASHTRA,NASHIK,4,Others,District report card 2005-06 vol-2.pdf,46
2005-06,MAHARASHTRA,NASHIK,5,Hindi,District report card 2005-06 vol-2.pdf,46
2005-06,MAHARASHTRA,OSMANABAD,1,Marathi,District report card 2005-06 vol-2.pdf,47
2005-06,MAHARASHTRA,OSMANABAD,2,Urdu,District report card 2005-06 vol-2.pdf,47
2005-06,MAHARASHTRA,OSMANABAD,3,English,District report card 2005-06 vol-2.pdf,47
2005-06,MAHARASHTRA,OSMANABAD,4,Others,District report card 2005-06 vol-2.pdf,47
2005-06,MAHARASHTRA,OSMANABAD,5,Nepali,District report card 2005-06 vol-2.pdf,47
2005-06,MAHARASHTRA,PARBHANI,1,Marathi,District report card 2005-06 vol-2.pdf,48
2005-06,MAHARASHTRA,PARBHANI,2,Urdu,District report card 2005-06 vol-2.pdf,48
2005-06,MAHARASHTRA,PARBHANI,3,Others,District report card 2005-06 vol-2.pdf,48
2005-06,MAHARASHTRA,PARBHANI,4,English,District report card 2005-06 vol-2.pdf,48
2005-06,MAHARASHTRA,PARBHANI,5,Nepali,District report card 2005-06 vol-2.pdf,48
2005-06,MAHARASHTRA,PUNE,1,Marathi,District report card 2005-06 vol-2.pdf,49
2005-06,MAHARASHTRA,PUNE,2,English,District report card 2005-06 vol-2.pdf,49
2005-06,MAHARASHTRA,PUNE,3,Urdu,District report card 2005-06 vol-2.pdf,49
2005-06,MAHARASHTRA,PUNE,4,Others,District report card 2005-06 vol-2.pdf,49
2005-06,MAHARASHTRA,PUNE,5,Hindi,District report card 2005-06 vol-2.pdf,49
2005-06,MAHARASHTRA,RAIGARH (MAHARASHTRA),1,Marathi,District report card 2005-06 vol-2.pdf,50
2005-06,MAHARASHTRA,RAIGARH (MAHARASHTRA),2,English,District report card 2005-06 vol-2.pdf,50
2005-06,MAHARASHTRA,RAIGARH (MAHARASHTRA),3,Urdu,District report card 2005-06 vol-2.pdf,50
2005-06,MAHARASHTRA,RAIGARH (MAHARASHTRA),4,Hindi,District report card 2005-06 vol-2.pdf,50
2005-06,MAHARASHTRA,RAIGARH (MAHARASHTRA),5,Manipuri,District report card 2005-06 vol-2.pdf,50
2005-06,MAHARASHTRA,RATNAGIRI,1,Marathi,District report card 2005-06 vol-2.pdf,51
2005-06,MAHARASHTRA,RATNAGIRI,2,Urdu,District report card 2005-06 vol-2.pdf,51
2005-06,MAHARASHTRA,RATNAGIRI,3,English,District report card 2005-06 vol-2.pdf,51
2005-06,MAHARASHTRA,RATNAGIRI,4,Others,District report card 2005-06 vol-2.pdf,51
2005-06,MAHARASHTRA,RATNAGIRI,5,Assamese,District report card 2005-06 vol-2.pdf,51
2005-06,MAHARASHTRA,SANGLI,1,Marathi,District report card 2005-06 vol-2.pdf,52
2005-06,MAHARASHTRA,SANGLI,2,Kannada,District report card 2005-06 vol-2.pdf,52
2005-06,MAHARASHTRA,SANGLI,3,English,District report card 2005-06 vol-2.pdf,52
2005-06,MAHARASHTRA,SANGLI,4,Urdu,District report card 2005-06 vol-2.pdf,52
2005-06,MAHARASHTRA,SANGLI,5,Others,District report card 2005-06 vol-2.pdf,52
2005-06,MAHARASHTRA,SATARA,1,Marathi,District report card 2005-06 vol-2.pdf,53
2005-06,MAHARASHTRA,SATARA,2,English,District report card 2005-06 vol-2.pdf,53
2005-06,MAHARASHTRA,SATARA,3,Assamese,District report card 2005-06 vol-2.pdf,53
2005-06,MAHARASHTRA,SATARA,4,Urdu,District report card 2005-06 vol-2.pdf,53
2005-06,MAHARASHTRA,SATARA,5,Others,District report card 2005-06 vol-2.pdf,53
2005-06,MAHARASHTRA,SINDHUDURG,1,Marathi,District report card 2005-06 vol-2.pdf,54
2005-06,MAHARASHTRA,SINDHUDURG,2,English,District report card 2005-06 vol-2.pdf,54
2005-06,MAHARASHTRA,SINDHUDURG,3,Urdu,District report card 2005-06 vol-2.pdf,54
2005-06,MAHARASHTRA,SINDHUDURG,4,Others,District report card 2005-06 vol-2.pdf,54
2005-06,MAHARASHTRA,SINDHUDURG,5,Assamese,District report card 2005-06 vol-2.pdf,54
2005-06,MAHARASHTRA,SOLAPUR,1,Marathi,District report card 2005-06 vol-2.pdf,55
2005-06,MAHARASHTRA,SOLAPUR,2,Urdu,District report card 2005-06 vol-2.pdf,55
2005-06,MAHARASHTRA,SOLAPUR,3,Kannada,District report card 2005-06 vol-2.pdf,55
2005-06,MAHARASHTRA,SOLAPUR,4,English,District report card 2005-06 vol-2.pdf,55
2005-06,MAHARASHTRA,SOLAPUR,5,Others,District report card 2005-06 vol-2.pdf,55
2005-06,MAHARASHTRA,THANE,1,Marathi,District report card 2005-06 vol-2.pdf,56
2005-06,MAHARASHTRA,THANE,2,English,District report card 2005-06 vol-2.pdf,56
2005-06,MAHARASHTRA,THANE,3,Hindi,District report card 2005-06 vol-2.pdf,56
2005-06,MAHARASHTRA,THANE,4,Urdu,District report card 2005-06 vol-2.pdf,56
2005-06,MAHARASHTRA,THANE,5,Gujarati,District report card 2005-06 vol-2.pdf,56
2005-06,MAHARASHTRA,WARDHA,1,Marathi,District report card 2005-06 vol-2.pdf,57
2005-06,MAHARASHTRA,WARDHA,2,English,District report card 2005-06 vol-2.pdf,57
2005-06,MAHARASHTRA,WARDHA,3,Urdu,District report card 2005-06 vol-2.pdf,57
2005-06,MAHARASHTRA,WARDHA,4,Hindi,District report card 2005-06 vol-2.pdf,57
2005-06,MAHARASHTRA,WARDHA,5,Others,District report card 2005-06 vol-2.pdf,57
2005-06,MAHARASHTRA,WASHIM,1,Marathi,District report card 2005-06 vol-2.pdf,58
2005-06,MAHARASHTRA,WASHIM,2,Urdu,District report card 2005-06 vol-2.pdf,58
2005-06,MAHARASHTRA,WASHIM,3,English,District report card 2005-06 vol-2.pdf,58
2005-06,MAHARASHTRA,WASHIM,4,Hindi,District report card 2005-06 vol-2.pdf,58
2005-06,MAHARASHTRA,WASHIM,5,Nepali,District report card 2005-06 vol-2.pdf,58
2005-06,MAHARASHTRA,YAVATMAL,1,Marathi,District report card 2005-06 vol-2.pdf,59
2005-06,MAHARASHTRA,YAVATMAL,2,Urdu,District report card 2005-06 vol-2.pdf,59
2005-06,MAHARASHTRA,YAVATMAL,3,English,District report card 2005-06 vol-2.pdf,59
2005-06,MAHARASHTRA,YAVATMAL,4,Hindi,District report card 2005-06 vol-2.pdf,59
2005-06,MAHARASHTRA,YAVATMAL,5,Others,District report card 2005-06 vol-2.pdf,59
2005-06,MANIPUR,BISHNUPUR,1,English,District report card 2005-06 vol-2.pdf,60
2005-06,MANIPUR,BISHNUPUR,2,Manipuri,District report card 2005-06 vol-2.pdf,60
2005-06,MANIPUR,CHANDEL,1,Manipuri,District report card 2005-06 vol-2.pdf,61
2005-06,MANIPUR,CHANDEL,2,English,District report card 2005-06 vol-2.pdf,61
2005-06,MANIPUR,CHANDEL,3,Others,District report card 2005-06 vol-2.pdf,61
2005-06,MANIPUR,CHURACHANDPUR,1,Others,District report card 2005-06 vol-2.pdf,62
2005-06,MANIPUR,CHURACHANDPUR,2,English,District report card 2005-06 vol-2.pdf,62
2005-06,MANIPUR,CHURACHANDPUR,3,Manipuri,District report card 2005-06 vol-2.pdf,62
2005-06,MANIPUR,IMPHAL EAST,1,English,District report card 2005-06 vol-2.pdf,63
2005-06,MANIPUR,IMPHAL EAST,2,Manipuri,District report card 2005-06 vol-2.pdf,63
2005-06,MANIPUR,IMPHAL EAST,3,Bengali,District report card 2005-06 vol-2.pdf,63
2005-06,MANIPUR,IMPHAL EAST,4,Others,District report card 2005-06 vol-2.pdf,63
2005-06,MANIPUR,IMPHAL EAST,5,Hindi,District report card 2005-06 vol-2.pdf,63
2005-06,MANIPUR,IMPHAL WEST,1,English,District report card 2005-06 vol-2.pdf,64
2005-06,MANIPUR,IMPHAL WEST,2,Manipuri,District report card 2005-06 vol-2.pdf,64
2005-06,MANIPUR,IMPHAL WEST,3,Hindi,District report card 2005-06 vol-2.pdf,64
2005-06,MANIPUR,IMPHAL WEST,4,Others,District report card 2005-06 vol-2.pdf,64
2005-06,MANIPUR,IMPHAL WEST,5,Marathi,District report card 2005-06 vol-2.pdf,64
2005-06,MANIPUR,SENAPATI,1,English,District report card 2005-06 vol-2.pdf,65
2005-06,MANIPUR,SENAPATI,2,Others,District report card 2005-06 vol-2.pdf,65
2005-06,MANIPUR,SENAPATI,3,Hindi,District report card 2005-06 vol-2.pdf,65
2005-06,MANIPUR,SENAPATI,4,Nepali,District report card 2005-06 vol-2.pdf,65
2005-06,MANIPUR,SENAPATI,5,Manipuri,District report card 2005-06 vol-2.pdf,65
2005-06,MANIPUR,TAMENGLONG,1,Others,District report card 2005-06 vol-2.pdf,66
2005-06,MANIPUR,TAMENGLONG,2,English,District report card 2005-06 vol-2.pdf,66
2005-06,MANIPUR,TAMENGLONG,3,Manipuri,District report card 2005-06 vol-2.pdf,66
2005-06,MANIPUR,THOUBAL,1,Manipuri,District report card 2005-06 vol-2.pdf,67
2005-06,MANIPUR,THOUBAL,2,English,District report card 2005-06 vol-2.pdf,67
2005-06,MANIPUR,THOUBAL,3,Urdu,District report card 2005-06 vol-2.pdf,67
2005-06,MANIPUR,THOUBAL,4,Hindi,District report card 2005-06 vol-2.pdf,67
2005-06,MANIPUR,THOUBAL,5,Bengali,District report card 2005-06 vol-2.pdf,67
2005-06,MANIPUR,UKHRUL,1,Others,District report card 2005-06 vol-2.pdf,68
2005-06,MANIPUR,UKHRUL,2,English,District report card 2005-06 vol-2.pdf,68
2005-06,MANIPUR,UKHRUL,3,Manipuri,District report card 2005-06 vol-2.pdf,68
2005-06,MANIPUR,UKHRUL,4,Hindi,District report card 2005-06 vol-2.pdf,68
2005-06,MANIPUR,UKHRUL,5,Mizo,District report card 2005-06 vol-2.pdf,68
2005-06,MEGHALAYA,EAST GARO HILLS,1,Garo,District report card 2005-06 vol-2.pdf,69
2005-06,MEGHALAYA,EAST GARO HILLS,2,English,District report card 2005-06 vol-2.pdf,69
2005-06,MEGHALAYA,EAST GARO HILLS,3,Assamese,District report card 2005-06 vol-2.pdf,69
2005-06,MEGHALAYA,EAST KHASI HILLS,1,Khasi,District report card 2005-06 vol-2.pdf,70
2005-06,MEGHALAYA,EAST KHASI HILLS,2,English,District report card 2005-06 vol-2.pdf,70
2005-06,MEGHALAYA,EAST KHASI HILLS,3,Bengali,District report card 2005-06 vol-2.pdf,70
2005-06,MEGHALAYA,EAST KHASI HILLS,4,Hindi,District report card 2005-06 vol-2.pdf,70
2005-06,MEGHALAYA,EAST KHASI HILLS,5,Garo,District report card 2005-06 vol-2.pdf,70
2005-06,MEGHALAYA,JAINTIA HILLS,1,Khasi,District report card 2005-06 vol-2.pdf,71
2005-06,MEGHALAYA,JAINTIA HILLS,2,English,District report card 2005-06 vol-2.pdf,71
2005-06,MEGHALAYA,JAINTIA HILLS,3,Bengali,District report card 2005-06 vol-2.pdf,71
2005-06,MEGHALAYA,JAINTIA HILLS,4,Nepali,District report card 2005-06 vol-2.pdf,71
2005-06,MEGHALAYA,JAINTIA HILLS,5,Garo,District report card 2005-06 vol-2.pdf,71
2005-06,MEGHALAYA,RI BHOI,1,Khasi,District report card 2005-06 vol-2.pdf,72
2005-06,MEGHALAYA,RI BHOI,2,English,District report card 2005-06 vol-2.pdf,72
2005-06,MEGHALAYA,RI BHOI,3,Garo,District report card 2005-06 vol-2.pdf,72
2005-06,MEGHALAYA,RI BHOI,4,Assamese,District report card 2005-06 vol-2.pdf,72
2005-06,MEGHALAYA,RI BHOI,5,Nepali,District report card 2005-06 vol-2.pdf,72
2005-06,MEGHALAYA,SOUTH GARO HILLS,1,Garo,District report card 2005-06 vol-2.pdf,73
2005-06,MEGHALAYA,SOUTH GARO HILLS,2,English,District report card 2005-06 vol-2.pdf,73
2005-06,MEGHALAYA,SOUTH GARO HILLS,3,Bengali,District report card 2005-06 vol-2.pdf,73
2005-06,MEGHALAYA,WEST GARO HILLS,1,Garo,District report card 2005-06 vol-2.pdf,74
2005-06,MEGHALAYA,WEST GARO HILLS,2,English,District report card 2005-06 vol-2.pdf,74
2005-06,MEGHALAYA,WEST GARO HILLS,3,Assamese,District report card 2005-06 vol-2.pdf,74
2005-06,MEGHALAYA,WEST GARO HILLS,4,Bengali,District report card 2005-06 vol-2.pdf,74
2005-06,MEGHALAYA,WEST GARO HILLS,5,Hindi,District report card 2005-06 vol-2.pdf,74
2005-06,MEGHALAYA,WEST KHASI HILLS,1,Khasi,District report card 2005-06 vol-2.pdf,75
2005-06,MEGHALAYA,WEST KHASI HILLS,2,English,District report card 2005-06 vol-2.pdf,75
2005-06,MEGHALAYA,WEST KHASI HILLS,3,Garo,District report card 2005-06 vol-2.pdf,75
2005-06,MEGHALAYA,WEST KHASI HILLS,4,Bengali,District report card 2005-06 vol-2.pdf,75
2005-06,MEGHALAYA,WEST KHASI HILLS,5,Hindi,District report card 2005-06 vol-2.pdf,75
2005-06,MIZORAM,AIZAWL,1,English,District report card 2005-06 vol-2.pdf,76
2005-06,MIZORAM,AIZAWL,2,Mizo,District report card 2005-06 vol-2.pdf,76
2005-06,MIZORAM,AIZAWL,3,Hindi,District report card 2005-06 vol-2.pdf,76
2005-06,MIZORAM,AIZAWL,4,Nepali,District report card 2005-06 vol-2.pdf,76
2005-06,MIZORAM,AIZAWL,5,Bengali,District report card 2005-06 vol-2.pdf,76
2005-06,MIZORAM,CHAMPHAI,1,Mizo,District report card 2005-06 vol-2.pdf,77
2005-06,MIZORAM,CHAMPHAI,2,English,District report card 2005-06 vol-2.pdf,77
2005-06,MIZORAM,KOLASIB,1,Mizo,District report card 2005-06 vol-2.pdf,78
2005-06,MIZORAM,KOLASIB,2,English,District report card 2005-06 vol-2.pdf,78
2005-06,MIZORAM,KOLASIB,3,Nepali,District report card 2005-06 vol-2.pdf,78
2005-06,MIZORAM,LAWNGTLAI,1,English,District report card 2005-06 vol-2.pdf,79
2005-06,MIZORAM,LAWNGTLAI,2,Mizo,District report card 2005-06 vol-2.pdf,79
2005-06,MIZORAM,LAWNGTLAI,3,Others,District report card 2005-06 vol-2.pdf,79
2005-06,MIZORAM,LUNGLEI,1,Mizo,District report card 2005-06 vol-2.pdf,80
2005-06,MIZORAM,LUNGLEI,2,English,District report card 2005-06 vol-2.pdf,80
2005-06,MIZORAM,LUNGLEI,3,Bengali,District report card 2005-06 vol-2.pdf,80
2005-06,MIZORAM,LUNGLEI,4,Others,District report card 2005-06 vol-2.pdf,80
2005-06,MIZORAM,LUNGLEI,5,Punjabi,District report card 2005-06 vol-2.pdf,80
2005-06,MIZORAM,MAMIT,1,Mizo,District report card 2005-06 vol-2.pdf,81
2005-06,MIZORAM,MAMIT,2,English,District report card 2005-06 vol-2.pdf,81
2005-06,MIZORAM,MAMIT,3,Others,District report card 2005-06 vol-2.pdf,81
2005-06,MIZORAM,SAIHA,1,English,District report card 2005-06 vol-2.pdf,82
2005-06,MIZORAM,SAIHA,2,Mizo,District report card 2005-06 vol-2.pdf,82
2005-06,MIZORAM,SERCHHIP,1,Mizo,District report card 2005-06 vol-2.pdf,83
2005-06,MIZORAM,SERCHHIP,2,English,District report card 2005-06 vol-2.pdf,83
2005-06,NAGALAND,DIMAPUR,1,English,District report card 2005-06 vol-2.pdf,84
2005-06,NAGALAND,DIMAPUR,2,Others,District report card 2005-06 vol-2.pdf,84
2005-06,NAGALAND,DIMAPUR,3,Manipuri,District report card 2005-06 vol-2.pdf,84
2005-06,NAGALAND,KOHIMA,1,English,District report card 2005-06 vol-2.pdf,85
2005-06,NAGALAND,MOKOKCHUNG,1,English,District report card 2005-06 vol-2.pdf,86
2005-06,NAGALAND,MOKOKCHUNG,2,Others,District report card 2005-06 vol-2.pdf,86
2005-06,NAGALAND,MON,1,English,District report card 2005-06 vol-2.pdf,87
2005-06,NAGALAND,PHEK,1,English,District report card 2005-06 vol-2.pdf,88
2005-06,NAGALAND,PHEK,2,Others,District report card 2005-06 vol-2.pdf,88
2005-06,NAGALAND,TUENSANG,1,English,District report card 2005-06 vol-2.pdf,89
2005-06,NAGALAND,TUENSANG,2,Others,District report card 2005-06 vol-2.pdf,89
2005-06,NAGALAND,WOKHA,1,English,District report card 2005-06 vol-2.pdf,90
2005-06,NAGALAND,WOKHA,2,Others,District report card 2005-06 vol-2.pdf,90
2005-06,NAGALAND,ZUNHEBOTO,1,English,District report card 2005-06 vol-2.pdf,91
2005-06,NAGALAND,ZUNHEBOTO,2,Others,District report card 2005-06 vol-2.pdf,91
2005-06,ORISSA,ANGUL,1,Oriya,District report card 2005-06 vol-2.pdf,92
2005-06,ORISSA,ANGUL,2,English,District report card 2005-06 vol-2.pdf,92
2005-06,ORISSA,BALASORE,1,Oriya,District report card 2005-06 vol-2.pdf,93
2005-06,ORISSA,BALASORE,2,Others,District report card 2005-06 vol-2.pdf,93
2005-06,ORISSA,BALASORE,3,Bodo,District report card 2005-06 vol-2.pdf,93
2005-06,ORISSA,BALASORE,4,English,District report card 2005-06 vol-2.pdf,93
2005-06,ORISSA,BALASORE,5,Bengali,District report card 2005-06 vol-2.pdf,93
2005-06,ORISSA,BARGARH,1,Oriya,District report card 2005-06 vol-2.pdf,94
2005-06,ORISSA,BARGARH,2,Others,District report card 2005-06 vol-2.pdf,94
2005-06,ORISSA,BARGARH,3,Hindi,District report card 2005-06 vol-2.pdf,94
2005-06,ORISSA,BARGARH,4,English,District report card 2005-06 vol-2.pdf,94
2005-06,ORISSA,BARGARH,5,Bengali,District report card 2005-06 vol-2.pdf,94
2005-06,ORISSA,BHADRAK,1,Oriya,District report card 2005-06 vol-2.pdf,95
2005-06,ORISSA,BHADRAK,2,Urdu,District report card 2005-06 vol-2.pdf,95
2005-06,ORISSA,BHADRAK,3,English,District report card 2005-06 vol-2.pdf,95
2005-06,ORISSA,BOLANGIR,1,Oriya,District report card 2005-06 vol-2.pdf,96
2005-06,ORISSA,BOLANGIR,2,Others,District report card 2005-06 vol-2.pdf,96
2005-06,ORISSA,BOLANGIR,3,English,District report card 2005-06 vol-2.pdf,96
2005-06,ORISSA,BOLANGIR,4,Hindi,District report card 2005-06 vol-2.pdf,96
2005-06,ORISSA,BOLANGIR,5,Dogri,District report card 2005-06 vol-2.pdf,96
2005-06,ORISSA,BOUDH,1,Oriya,District report card 2005-06 vol-2.pdf,97
2005-06,ORISSA,BOUDH,2,Others,District report card 2005-06 vol-2.pdf,97
2005-06,ORISSA,BOUDH,3,English,District report card 2005-06 vol-2.pdf,97
2005-06,ORISSA,CUTTACK,1,Oriya,District report card 2005-06 vol-2.pdf,98
2005-06,ORISSA,CUTTACK,2,Others,District report card 2005-06 vol-2.pdf,98
2005-06,ORISSA,CUTTACK,3,English,District report card 2005-06 vol-2.pdf,98
2005-06,ORISSA,CUTTACK,4,Urdu,District report card 2005-06 vol-2.pdf,98
2005-06,ORISSA,CUTTACK,5,Hindi,District report card 2005-06 vol-2.pdf,98
2005-06,ORISSA,DEOGARH,1,Oriya,District report card 2005-06 vol-2.pdf,99
2005-06,ORISSA,DHENKANAL,1,Oriya,District report card 2005-06 vol-2.pdf,100
2005-06,ORISSA,DHENKANAL,2,Others,District report card 2005-06 vol-2.pdf,100
2005-06,ORISSA,DHENKANAL,3,English,District report card 2005-06 vol-2.pdf,100
2005-06,ORISSA,DHENKANAL,4,Assamese,District report card 2005-06 vol-2.pdf,100
2005-06,ORISSA,DHENKANAL,5,Bodo,District report card 2005-06 vol-2.pdf,100
2005-06,ORISSA,GAJAPATI,1,Oriya,District report card 2005-06 vol-2.pdf,101
2005-06,ORISSA,GAJAPATI,2,Others,District report card 2005-06 vol-2.pdf,101
2005-06,ORISSA,GAJAPATI,3,Telugu,District report card 2005-06 vol-2.pdf,101
2005-06,ORISSA,GAJAPATI,4,English,District report card 2005-06 vol-2.pdf,101
2005-06,ORISSA,GAJAPATI,5,Sindhi,District report card 2005-06 vol-2.pdf,101
2005-06,ORISSA,GANJAM,1,Oriya,District report card 2005-06 vol-2.pdf,102
2005-06,ORISSA,GANJAM,2,Others,District report card 2005-06 vol-2.pdf,102
2005-06,ORISSA,GANJAM,3,English,District report card 2005-06 vol-2.pdf,102
2005-06,ORISSA,GANJAM,4,Telugu,District report card 2005-06 vol-2.pdf,102
2005-06,ORISSA,GANJAM,5,Bodo,District report card 2005-06 vol-2.pdf,102
2005-06,ORISSA,JAGATSINGHPUR,1,Oriya,District report card 2005-06 vol-2.pdf,103
2005-06,ORISSA,JAJPUR,1,Oriya,District report card 2005-06 vol-2.pdf,104
2005-06,ORISSA,JAJPUR,2,English,District report card 2005-06 vol-2.pdf,104
2005-06,ORISSA,JAJPUR,3,Urdu,District report card 2005-06 vol-2.pdf,104
2005-06,ORISSA,JAJPUR,4,Others,District report card 2005-06 vol-2.pdf,104
2005-06,ORISSA,JHARSUGUDA,1,Oriya,District report card 2005-06 vol-2.pdf,105
2005-06,ORISSA,JHARSUGUDA,2,Hindi,District report card 2005-06 vol-2.pdf,105
2005-06,ORISSA,JHARSUGUDA,3,English,District report card 2005-06 vol-2.pdf,105
2005-06,ORISSA,JHARSUGUDA,4,Others,District report card 2005-06 vol-2.pdf,105
2005-06,ORISSA,JHARSUGUDA,5,Bengali,District report card 2005-06 vol-2.pdf,105
2005-06,ORISSA,KALAHANDI,1,Oriya,District report card 2005-06 vol-2.pdf,106
2005-06,ORISSA,KALAHANDI,2,English,District report card 2005-06 vol-2.pdf,106
2005-06,ORISSA,KALAHANDI,3,Others,District report card 2005-06 vol-2.pdf,106
2005-06,ORISSA,KALAHANDI,4,Bodo,District report card 2005-06 vol-2.pdf,106
2005-06,ORISSA,KANDHAMAL,1,Oriya,District report card 2005-06 vol-2.pdf,107
2005-06,ORISSA,KANDHAMAL,2,Gujarati,District report card 2005-06 vol-2.pdf,107
2005-06,ORISSA,KANDHAMAL,3,English,District report card 2005-06 vol-2.pdf,107
2005-06,ORISSA,KANDHAMAL,4,Others,District report card 2005-06 vol-2.pdf,107
2005-06,ORISSA,KENDRAPARA,1,Oriya,District report card 2005-06 vol-2.pdf,108
2005-06,ORISSA,KENDRAPARA,2,Urdu,District report card 2005-06 vol-2.pdf,108
2005-06,ORISSA,KENDRAPARA,3,Others,District report card 2005-06 vol-2.pdf,108
2005-06,ORISSA,KENDRAPARA,4,Sanskrit,District report card 2005-06 vol-2.pdf,108
2005-06,ORISSA,KENDRAPARA,5,English,District report card 2005-06 vol-2.pdf,108
2005-06,ORISSA,KEONJHAR,1,Oriya,District report card 2005-06 vol-2.pdf,109
2005-06,ORISSA,KEONJHAR,2,Others,District report card 2005-06 vol-2.pdf,109
2005-06,ORISSA,KEONJHAR,3,English,District report card 2005-06 vol-2.pdf,109
2005-06,ORISSA,KEONJHAR,4,Hindi,District report card 2005-06 vol-2.pdf,109
2005-06,ORISSA,KEONJHAR,5,Urdu,District report card 2005-06 vol-2.pdf,109
2005-06,ORISSA,KHORDHA,1,Oriya,District report card 2005-06 vol-2.pdf,110
2005-06,ORISSA,KHORDHA,2,English,District report card 2005-06 vol-2.pdf,110
2005-06,ORISSA,KHORDHA,3,Urdu,District report card 2005-06 vol-2.pdf,110
2005-06,ORISSA,KHORDHA,4,Others,District report card 2005-06 vol-2.pdf,110
2005-06,ORISSA,KHORDHA,5,Bengali,District report card 2005-06 vol-2.pdf,110
2005-06,ORISSA,KORAPUT,1,Oriya,District report card 2005-06 vol-2.pdf,111
2005-06,ORISSA,KORAPUT,2,Others,District report card 2005-06 vol-2.pdf,111
2005-06,ORISSA,KORAPUT,3,English,District report card 2005-06 vol-2.pdf,111
2005-06,ORISSA,KORAPUT,4,Hindi,District report card 2005-06 vol-2.pdf,111
2005-06,ORISSA,KORAPUT,5,Bengali,District report card 2005-06 vol-2.pdf,111
2005-06,ORISSA,MALKANGIRI,1,Oriya,District report card 2005-06 vol-2.pdf,112
2005-06,ORISSA,MALKANGIRI,2,Others,District report card 2005-06 vol-2.pdf,112
2005-06,ORISSA,MALKANGIRI,3,English,District report card 2005-06 vol-2.pdf,112
2005-06,ORISSA,MALKANGIRI,4,Telugu,District report card 2005-06 vol-2.pdf,112
2005-06,ORISSA,MAYURBHANJ,1,Oriya,District report card 2005-06 vol-2.pdf,113
2005-06,ORISSA,MAYURBHANJ,2,Others,District report card 2005-06 vol-2.pdf,113
2005-06,ORISSA,MAYURBHANJ,3,English,District report card 2005-06 vol-2.pdf,113
2005-06,ORISSA,MAYURBHANJ,4,Bodo,District report card 2005-06 vol-2.pdf,113
2005-06,ORISSA,MAYURBHANJ,5,Hindi,District report card 2005-06 vol-2.pdf,113
2005-06,ORISSA,NAWARANGAPUR,1,Oriya,District report card 2005-06 vol-2.pdf,114
2005-06,ORISSA,NAWARANGAPUR,2,Others,District report card 2005-06 vol-2.pdf,114
2005-06,ORISSA,NAWARANGAPUR,3,English,District report card 2005-06 vol-2.pdf,114
2005-06,ORISSA,NAWARANGAPUR,4,Bodo,District report card 2005-06 vol-2.pdf,114
