"district_code_0708","state_code_2001","district_code_2001","social_group","reference_group","ling_distance_nonzero_mean","hindi_belt_2001","log_population_2001","urban_share_2001","adult_secondary_plus_share_2001","sc_share_2001","st_share_2001","muslim_share_2001","agricultural_worker_share_2001","dependency_ratio_2001","electricity_access_share_2001","log_population_density_2001","outcome","group_value","reference_value","gap_percentage_points"
"28521","28","21","Other Backward Class","Other",4.9730510105871,FALSE,15.0766650758587,23.1609403500898,15.5371123517993,17.8109666711432,1.97294569703193,16.2177354600971,68.1595443554394,66.9767745933209,67.9811277462284,5.28852602049768,"enrollment_rate_0708",61.477268453271,68.8260255375224,-7.3487570842514
"28522","28","22","Other Backward Class","Other",4.97510793901168,FALSE,15.1076255496727,25.2594027487599,15.287356140004,14.1436371817108,3.4929753730142,10.6909312458419,67.5182949881184,59.2601577031803,72.3990927505562,5.24369426633283,"enrollment_rate_0708",72.487440990556,75.4754740866504,-2.9880330960944
"28523","28","23","Other Backward Class","Other",4.98804512004031,FALSE,15.1361657925026,21.6512830780525,18.4957416377863,18.7491574064805,3.41936129742717,9.15580471852371,66.0562391220887,54.996835832549,70.3380474398745,5.50884532265075,"enrollment_rate_0708",76.6370644013147,85.8129702332927,-9.175905831978
"29116","29","16","Other Backward Class","Other",4.4885099351048,FALSE,13.9218892550994,18.5528701911363,22.9961650338491,6.08581038496084,3.74135867791481,7.46770265130911,37.9002935434774,50.2661012184706,69.7277691031995,5.66177030824784,"enrollment_rate_0708",88.4312999749791,95.1712041827972,-6.7399042078181
"29124","29","24","Other Backward Class","Other",4.57116164930312,FALSE,14.4561689930275,38.4302298008674,24.243054016662,6.91141521712783,3.31638325789232,22.0739515104888,9.74756707065797,50.4576079605528,71.4451164586282,6.02457791792017,"enrollment_rate_0708",82.6503121359315,79.6347402253139,3.0155719106176
"29215","29","15","Other Backward Class","Other",4.73563878620747,FALSE,14.3117574262259,34.7637355445361,23.2678603049955,16.4086219860034,3.40916078402723,12.2358291553656,61.8276101870651,51.7902030382678,78.2542196643614,5.27048521305081,"enrollment_rate_0708",78.6071488628916,87.7852965584761,-9.1781476955845
"29223","29","23","Other Backward Class","Other",4.94441750567565,FALSE,14.3588047271427,17.6963748548647,19.1549430881916,18.1060354806876,1.5363580339775,6.08305080709474,69.6735672380714,51.731841505986,83.5246286334767,5.53227626380126,"enrollment_rate_0708",80.3378770640629,90.4944940756221,-10.1566170115592
"29318","29","18","Other Backward Class","Other",4.92750800261286,FALSE,14.7651242608353,19.6231609646107,20.017183904234,18.3403096129509,7.49867199853291,8.19170886029424,69.5755080531444,53.9958244703214,79.9216488570889,5.49508902439277,"enrollment_rate_0708",82.6058052100059,76.3327502096521,6.27305500035379
"29320","29","20","Other Backward Class","Other",4.81968665394572,FALSE,15.693007871361,88.1119434173193,42.8828689112692,13.0186761028244,1.31583858589802,13.3789721596225,5.95485473997181,44.4375394764933,94.527490518505,8.00468147658118,"enrollment_rate_0708",82.5853166910973,83.6450489737612,-1.0597322826639
"29321","29","21","Other Backward Class","Other",4.93656471682481,FALSE,14.4475873298596,21.6525627765725,18.2448052293139,20.0731432240207,3.27156747172756,9.0655716619701,61.7680506335354,54.9927143454415,85.9546080210223,5.77812391375129,"enrollment_rate_0708",73.0070309695312,86.5851917445444,-13.5781607750132
