"social_group","reference_group","outcome","n_common_districts","mean_district_gap_percentage_points","median_district_gap_percentage_points","share_districts_group_below_other","crosscut","stratum","specification_id","analysis_id"
"Other Backward Class","Other","private_emi_exposure_all_children_0708",481,-4.94361736291216,0,0.399168399168399,"sector","Rural","sector__Rural__Other Backward Class__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sector__Rural__Other Backward Class__private_emi_exposure_all_children_0708"
"Scheduled Tribe","Other","enrollment_rate_0708",252,-8.20958263867315,0,0.492063492063492,"sector","Urban","sector__Urban__Scheduled Tribe__enrollment_rate_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Tribe__enrollment_rate_0708"
"Scheduled Caste","Other","enrollment_rate_0708",461,-11.6487297170837,-7.0550611790879,0.607375271149675,"sector","Urban","sector__Urban__Scheduled Caste__enrollment_rate_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Caste__enrollment_rate_0708"
"Other Backward Class","Other","enrollment_rate_0708",517,-7.00513629179859,-4.49752957186099,0.60541586073501,"sector","Urban","sector__Urban__Other Backward Class__enrollment_rate_0708","nss64_social_group_crosscut__sector__Urban__Other Backward Class__enrollment_rate_0708"
"Scheduled Tribe","Other","emi_share_enrolled_0708",227,-15.2381086618869,-15.406206492992,0.625550660792952,"sector","Urban","sector__Urban__Scheduled Tribe__emi_share_enrolled_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Tribe__emi_share_enrolled_0708"
"Scheduled Caste","Other","emi_share_enrolled_0708",444,-24.583810229779,-21.7555750902193,0.734234234234234,"sector","Urban","sector__Urban__Scheduled Caste__emi_share_enrolled_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Caste__emi_share_enrolled_0708"
"Other Backward Class","Other","emi_share_enrolled_0708",506,-18.1162763829629,-15.4099519054651,0.687747035573123,"sector","Urban","sector__Urban__Other Backward Class__emi_share_enrolled_0708","nss64_social_group_crosscut__sector__Urban__Other Backward Class__emi_share_enrolled_0708"
"Scheduled Tribe","Other","private_share_enrolled_0708",227,-13.3017945326293,-13.0765031329699,0.572687224669604,"sector","Urban","sector__Urban__Scheduled Tribe__private_share_enrolled_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Tribe__private_share_enrolled_0708"
"Scheduled Caste","Other","private_share_enrolled_0708",444,-23.521991179819,-22.7315552673325,0.725225225225225,"sector","Urban","sector__Urban__Scheduled Caste__private_share_enrolled_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Caste__private_share_enrolled_0708"
"Other Backward Class","Other","private_share_enrolled_0708",506,-14.8756126898641,-15.5242661920086,0.679841897233202,"sector","Urban","sector__Urban__Other Backward Class__private_share_enrolled_0708","nss64_social_group_crosscut__sector__Urban__Other Backward Class__private_share_enrolled_0708"
"Scheduled Tribe","Other","private_emi_exposure_all_children_0708",252,-13.0387203051205,-13.7515932315872,0.686507936507937,"sector","Urban","sector__Urban__Scheduled Tribe__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Tribe__private_emi_exposure_all_children_0708"
"Scheduled Caste","Other","private_emi_exposure_all_children_0708",461,-21.373122732494,-17.7183463329382,0.735357917570499,"sector","Urban","sector__Urban__Scheduled Caste__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sector__Urban__Scheduled Caste__private_emi_exposure_all_children_0708"
"Other Backward Class","Other","private_emi_exposure_all_children_0708",517,-15.3686588665512,-11.1275534824809,0.680851063829787,"sector","Urban","sector__Urban__Other Backward Class__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sector__Urban__Other Backward Class__private_emi_exposure_all_children_0708"
