"state","district","source"
"Tamil Nadu","Virudhunagar","panel"
"Andhra Pradesh","Adilabad","panel"
"Andhra Pradesh","Nizamabad","panel"
"Andhra Pradesh","Karimnagar","panel"
"Andhra Pradesh","Medak","panel"
"Andhra Pradesh","Hyderabad","panel"
"Andhra Pradesh","Nalgonda","panel"
"Andhra Pradesh","Warangal","panel"
"Andhra Pradesh","Khammam","panel"
"Tripura","Dhalai","panel"
"Tripura","South Tripura","panel"
"Tripura","West Tripura","panel"
"Tripura","North Tripura","panel"
"Uttar Pradesh","Agra","panel"
"Uttar Pradesh","Aligarh","panel"
"Uttar Pradesh","Allahabad","panel"
"Uttar Pradesh","Ambedkar Nagar","panel"
"Uttar Pradesh","Sultanpur","panel"
"Uttar Pradesh","Auraiya","panel"
"Uttar Pradesh","Azamgarh","panel"
"Uttar Pradesh","Baghpat","panel"
"Uttar Pradesh","Bahraich","panel"
"Uttar Pradesh","Ballia","panel"
"Uttar Pradesh","Balrampur","panel"
"Uttar Pradesh","Banda","panel"
"Uttar Pradesh","Bareilly","panel"
"Uttar Pradesh","Basti","panel"
"Uttar Pradesh","Bijnor","panel"
"Uttar Pradesh","Budaun","panel"
"Uttar Pradesh","Bulandshahar","panel"
"Uttar Pradesh","Chandauli","panel"
"Uttar Pradesh","Chitrakoot","panel"
"Uttar Pradesh","Deoria","panel"
"Uttar Pradesh","Etah","panel"
"Uttar Pradesh","Etawah","panel"
"Uttar Pradesh","Farrukhabad","panel"
"Uttar Pradesh","Fatehpur","panel"
"Uttar Pradesh","Firozabad","panel"
"Uttar Pradesh","Ghaziabad","panel"
"Uttar Pradesh","Ghazipur","panel"
"Uttar Pradesh","Gonda","panel"
"Uttar Pradesh","Gorakhpur","panel"
"Uttar Pradesh","Hamirpur","panel"
"Uttar Pradesh","Hardoi","panel"
"Uttar Pradesh","Hathras","panel"
"Uttar Pradesh","Jalaun","panel"
"Uttar Pradesh","Jaunpur","panel"
"Uttar Pradesh","Jhansi","panel"
"Uttar Pradesh","Kannauj","panel"
"Uttar Pradesh","Kanpur Dehat","panel"
"Uttar Pradesh","Kanpur Nagar","panel"
"Uttar Pradesh","Etah","panel"
"Uttar Pradesh","Kaushambi","panel"
"Uttar Pradesh","Lalitpur","panel"
"Uttar Pradesh","Lucknow","panel"
"Uttar Pradesh","Mahoba","panel"
"Uttar Pradesh","Mainpuri","panel"
"Uttar Pradesh","Mathura","panel"
"Uttar Pradesh","Mau","panel"
"Uttar Pradesh","Meerut","panel"
"Uttar Pradesh","Mirzapur","panel"
"Uttar Pradesh","Moradabad","panel"
"Uttar Pradesh","Muzaffarnagar","panel"
"Uttar Pradesh","Pilibhit","panel"
"Uttar Pradesh","Pratapgarh","panel"
"Uttar Pradesh","Rae Bareli","panel"
"Uttar Pradesh","Rampur","panel"
"Uttar Pradesh","Saharanpur","panel"
"Uttar Pradesh","Shahjahanpur","panel"
"Uttar Pradesh","Shrawasti","panel"
"Uttar Pradesh","Siddharthnagar","panel"
"Uttar Pradesh","Sitapur","panel"
"Uttar Pradesh","Sonbhadra","panel"
"Uttar Pradesh","Unnao","panel"
"Uttar Pradesh","Varanasi","panel"
"Uttaranchal","Almora","panel"
"Uttaranchal","Bageshwar","panel"
"Uttaranchal","Chamoli","panel"
"Uttaranchal","Champawat","panel"
"Uttaranchal","Dehradun","panel"
"Uttaranchal","Nainital","panel"
"Uttaranchal","Pithoragarh","panel"
"Uttaranchal","Rudraprayag","panel"
"Uttaranchal","Tehri Garhwal","panel"
"Uttaranchal","Udham Singh Nagar","panel"
"Uttaranchal","Uttarkashi","panel"
"West Bengal","Jalpaiguri","panel"
"West Bengal","Bankura","panel"
"West Bengal","Birbhum","panel"
"West Bengal","Medinipur","panel"
"West Bengal","Kolkata","panel"
"West Bengal","Murshidabad","panel"
"West Bengal","Nadia","panel"
"West Bengal","Uttar Dinajpur","panel"
"Andaman and Nicobar Islands","Nicobars","join_map"
"Andaman and Nicobar Islands","Andaman Islands","join_map"
"Andaman and Nicobar Islands","Andaman Islands","join_map"
"Andhra Pradesh","Anantapur","join_map"
"Andhra Pradesh","Chittoor","join_map"
"Andhra Pradesh","East Godavari","join_map"
"Andhra Pradesh","Guntur","join_map"
"Andhra Pradesh","Krishna","join_map"
"Andhra Pradesh","Kurnool","join_map"
"Andhra Pradesh","Prakasam","join_map"
"Andhra Pradesh","Nellore","join_map"
"Andhra Pradesh","Srikakulam","join_map"
"Andhra Pradesh","Visakhapatnam","join_map"
"Andhra Pradesh","Vizianagaram","join_map"
"Andhra Pradesh","West Godavari","join_map"
"Andhra Pradesh","Cuddapah","join_map"
"Arunachal Pradesh","Lohit","join_map"
"Arunachal Pradesh","Changlang","join_map"
"Arunachal Pradesh","East Kameng","join_map"
"Arunachal Pradesh","East Siang","join_map"
"Arunachal Pradesh","Kamle","join_map"
"Arunachal Pradesh","Kurung Kumey","join_map"
"Arunachal Pradesh","Kurung Kumey","join_map"
"Arunachal Pradesh","Lepa Rada","join_map"
"Arunachal Pradesh","Lohit","join_map"
"Arunachal Pradesh","Tirap","join_map"
"Arunachal Pradesh","Dibang Valley","join_map"
"Arunachal Pradesh","Lower Siang","join_map"
"Arunachal Pradesh","Lower Subansiri","join_map"
"Arunachal Pradesh","Lohit","join_map"
"Arunachal Pradesh","Pakke Kessang","join_map"
"Arunachal Pradesh","Papum Pare","join_map"
"Arunachal Pradesh","Shi Yomi","join_map"
"Arunachal Pradesh","Siang","join_map"
"Arunachal Pradesh","Tawang","join_map"
"Arunachal Pradesh","Tirap","join_map"
"Arunachal Pradesh","Dibang Valley","join_map"
"Arunachal Pradesh","Upper Siang","join_map"
"Arunachal Pradesh","Upper Subansiri","join_map"
"Arunachal Pradesh","West Kameng","join_map"
"Arunachal Pradesh","West Siang","join_map"
"Assam","Kamrup","join_map"
"Assam","Barpeta","join_map"
"Assam","Darrang","join_map"
"Assam","Bongaigaon","join_map"
"Assam","Cachar","join_map"
"Assam","Sivasagar","join_map"
"Assam","Bongaigaon","join_map"
"Assam","Darrang","join_map"
"Assam","Dhemaji","join_map"
"Assam","Dhubri","join_map"
"Assam","Dibrugarh","join_map"
"Assam","Dima Hasao","join_map"
"Assam","Goalpara","join_map"
"Assam","Golaghat","join_map"
"Assam","Hailakandi","join_map"
"Assam","Nagaon","join_map"
"Assam","Jorhat","join_map"
"Assam","Kamrup","join_map"
"Assam","Kamrup","join_map"
"Assam","Karbi Anglong","join_map"
"Assam","Karimganj","join_map"
"Assam","Kokrajhar","join_map"
"Assam","Lakhimpur","join_map"
"Assam","Sivasagar","join_map"
"Assam","Morigaon","join_map"
"Assam","Nagaon","join_map"
"Assam","Nalbari","join_map"
"Assam","Sivasagar","join_map"
"Assam","Sonitpur","join_map"
"Assam","Goalpara","join_map"
"Assam","Tinsukia","join_map"
"Assam","Darrang","join_map"
"Assam","Karbi Anglong","join_map"
"Bihar","Araria","join_map"
"Bihar","Jehanabad","join_map"
"Bihar","Aurangabad","join_map"
"Bihar","Banka","join_map"
"Bihar","Begusarai","join_map"
"Bihar","Bhagalpur","join_map"
"Bihar","Bhojpur","join_map"
"Bihar","Buxar","join_map"
"Bihar","Darbhanga","join_map"
"Bihar","East Champaran","join_map"
"Bihar","Gaya","join_map"
"Bihar","Gopalganj","join_map"
"Bihar","Jamui","join_map"
"Bihar","Jehanabad","join_map"
"Bihar","Kaimur","join_map"
"Bihar","Katihar","join_map"
"Bihar","Khagaria","join_map"
"Bihar","Kishanganj","join_map"
"Bihar","Lakhisarai","join_map"
"Bihar","Madhepura","join_map"
"Bihar","Madhubani","join_map"
"Bihar","Munger","join_map"
"Bihar","Muzaffarpur","join_map"
"Bihar","Nalanda","join_map"
"Bihar","Nawada","join_map"
"Bihar","Patna","join_map"
"Bihar","Purnia","join_map"
"Bihar","Rohtas","join_map"
"Bihar","Saharsa","join_map"
"Bihar","Samastipur","join_map"
"Bihar","Saran","join_map"
"Bihar","Sheikhpura","join_map"
"Bihar","Sheohar","join_map"
"Bihar","Sitamarhi","join_map"
"Bihar","Siwan","join_map"
"Bihar","Supaul","join_map"
"Bihar","Vaishali","join_map"
"Bihar","West Champaran","join_map"
"Chandigarh","Chandigarh","join_map"
"Chhattisgarh","Durg","join_map"
"Chhattisgarh","Raipur","join_map"
"Chhattisgarh","Surguja","join_map"
"Chhattisgarh","Durg","join_map"
"Chhattisgarh","Bastar","join_map"
"Chhattisgarh","Dantewada","join_map"
"Chhattisgarh","Bilaspur","join_map"
"Chhattisgarh","Dantewada","join_map"
"Chhattisgarh","Dhamtari","join_map"
"Chhattisgarh","Durg","join_map"
"Chhattisgarh","Raipur","join_map"
"Chhattisgarh","Janjgir Champa","join_map"
"Chhattisgarh","Jashpur","join_map"
"Chhattisgarh","Kabeerdham","join_map"
"Chhattisgarh","Bastar","join_map"
"Chhattisgarh","Korba","join_map"
"Chhattisgarh","Koriya","join_map"
"Chhattisgarh","Mahasamund","join_map"
"Chhattisgarh","Bilaspur","join_map"
"Chhattisgarh","Bastar","join_map"
"Chhattisgarh","Raigarh","join_map"
"Chhattisgarh","Raipur","join_map"
"Chhattisgarh","Rajnandgaon","join_map"
"Chhattisgarh","Dantewada","join_map"
"Chhattisgarh","Surguja","join_map"
"Chhattisgarh","Surguja","join_map"
"Chhattisgarh","Uttar Bastar Kanker","join_map"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli","join_map"
"Daman and Diu","Daman","join_map"
"Daman and Diu","Diu","join_map"
"Delhi","Central Delhi","join_map"
"Delhi","East Delhi","join_map"
"Delhi","New Delhi","join_map"
"Delhi","North Delhi","join_map"
"Delhi","North East Delhi","join_map"
"Delhi","North West Delhi","join_map"
"Delhi","East Delhi","join_map"
"Delhi","South Delhi","join_map"
"Delhi","South Delhi","join_map"
"Delhi","South West Delhi","join_map"
"Delhi","West Delhi","join_map"
"Goa","North Goa","join_map"
"Goa","South Goa","join_map"
"Gujarat","Ahmedabad","join_map"
"Gujarat","Amreli","join_map"
"Gujarat","Anand","join_map"
"Gujarat","Banaskantha","join_map"
"Gujarat","Banaskantha","join_map"
"Gujarat","Bharuch","join_map"
"Gujarat","Bhavnagar","join_map"
"Gujarat","Ahmedabad","join_map"
"Gujarat","Vadodara","join_map"
"Gujarat","Dahod","join_map"
"Gujarat","Dang","join_map"
"Gujarat","Devbhumi Dwarka","join_map"
"Gujarat","Gandhinagar","join_map"
"Gujarat","Junagadh","join_map"
"Gujarat","Jamnagar","join_map"
"Gujarat","Junagadh","join_map"
"Gujarat","Kheda","join_map"
"Gujarat","Kutch","join_map"
"Gujarat","Anand","join_map"
"Gujarat","Mehsana","join_map"
"Gujarat","Rajkot","join_map"
"Gujarat","Narmada","join_map"
"Gujarat","Navsari","join_map"
"Gujarat","Panchmahal","join_map"
"Gujarat","Patan","join_map"
"Gujarat","Dang","join_map"
"Gujarat","Rajkot","join_map"
"Gujarat","Sabarkantha","join_map"
"Gujarat","Surat","join_map"
"Gujarat","Surendranagar","join_map"
"Gujarat","Surat","join_map"
"Gujarat","Vadodara","join_map"
"Gujarat","Valsad","join_map"
"Haryana","Ambala","join_map"
"Haryana","Bhiwani","join_map"
"Haryana","Bhiwani","join_map"
"Haryana","Faridabad","join_map"
"Haryana","Fatehabad","join_map"
"Haryana","Gurgaon","join_map"
"Haryana","Hisar","join_map"
"Haryana","Jhajjar","join_map"
"Haryana","Jind","join_map"
"Haryana","Kaithal","join_map"
"Haryana","Karnal","join_map"
"Haryana","Kurukshetra","join_map"
"Haryana","Mahendragarh","join_map"
"Haryana","Gurgaon","join_map"
"Haryana","Gurgaon","join_map"
"Haryana","Panchkula","join_map"
"Haryana","Panipat","join_map"
"Haryana","Rewari","join_map"
"Haryana","Rohtak","join_map"
"Haryana","Sirsa","join_map"
"Haryana","Sonipat","join_map"
"Haryana","Yamunanagar","join_map"
"Himachal Pradesh","Bilaspur","join_map"
"Himachal Pradesh","Chamba","join_map"
"Himachal Pradesh","Hamirpur","join_map"
"Himachal Pradesh","Kangra","join_map"
"Himachal Pradesh","Kinnaur","join_map"
"Himachal Pradesh","Kullu","join_map"
"Himachal Pradesh","Lahaul and Spiti","join_map"
"Himachal Pradesh","Mandi","join_map"
"Himachal Pradesh","Shimla","join_map"
"Himachal Pradesh","Sirmaur","join_map"
"Himachal Pradesh","Solan","join_map"
"Himachal Pradesh","Una","join_map"
"Jammu and Kashmir","Anantnag","join_map"
"Jammu and Kashmir","Baramulla","join_map"
"Jammu and Kashmir","Baramulla","join_map"
"Jammu and Kashmir","Budgam","join_map"
"Jammu and Kashmir","Doda","join_map"
"Jammu and Kashmir","Srinagar","join_map"
"Jammu and Kashmir","Jammu","join_map"
"Jammu and Kashmir","Kathua","join_map"
"Jammu and Kashmir","Doda","join_map"
"Jammu and Kashmir","Anantnag","join_map"
"Jammu and Kashmir","Kupwara","join_map"
"Jammu and Kashmir","Mirpur","join_map"
"Jammu and Kashmir","Muzaffarabad","join_map"
"Jammu and Kashmir","Pulwama","join_map"
"Jammu and Kashmir","Punch","join_map"
"Jammu and Kashmir","Rajouri","join_map"
"Jammu and Kashmir","Doda","join_map"
"Jammu and Kashmir","Udhampur","join_map"
"Jammu and Kashmir","Jammu
","join_map"
"Jammu and Kashmir","Pulwama","join_map"
"Jammu and Kashmir","Srinagar","join_map"
"Jammu and Kashmir","Udhampur","join_map"
"Jammu and Kashmir","Kargil","join_map"
"Jammu and Kashmir","Leh","join_map"
"Jharkhand","Bokaro","join_map"
"Jharkhand","Chatra","join_map"
"Jharkhand","Deoghar","join_map"
"Jharkhand","Dhanbad","join_map"
"Jharkhand","Dumka","join_map"
"Jharkhand","East Singhbhum","join_map"
"Jharkhand","Garhwa","join_map"
"Jharkhand","Giridih","join_map"
"Jharkhand","Godda","join_map"
