"beta","statistic","p.value","accepted","acceptance_component","specification_id"
-0.021153053049138,0.000540824094518522,0.981456631060172,TRUE,1,"consumption__early_2009__ancova"
-0.0205120514415883,0.00176430878596021,0.966514315521087,TRUE,1,"consumption__early_2009__ancova"
-0.0198710498340387,0.00373782552166393,0.951276521738429,TRUE,1,"consumption__early_2009__ancova"
-0.0192300482264891,0.00650671205790889,0.935744716747622,TRUE,1,"consumption__early_2009__ancova"
-0.0185890466189394,0.0101181632909174,0.919921265715906,TRUE,1,"consumption__early_2009__ancova"
-0.0179480450113898,0.0146212270750315,0.903809507052612,TRUE,1,"consumption__early_2009__ancova"
-0.0173070434038401,0.0200667871199606,0.887413828772139,TRUE,1,"consumption__early_2009__ancova"
-0.0166660417962905,0.0265075311253568,0.870739745384586,TRUE,1,"consumption__early_2009__ancova"
-0.0160250401887409,0.0339979021726553,0.853793974455792,TRUE,1,"consumption__early_2009__ancova"
-0.0153840385811913,0.0425940312610916,0.836584511837499,TRUE,1,"consumption__early_2009__ancova"
-0.0147430369736416,0.0523536487526059,0.819120704419204,TRUE,1,"consumption__early_2009__ancova"
-0.014102035366092,0.0633359723809456,0.801413319105701,TRUE,1,"consumption__early_2009__ancova"
-0.0134610337585423,0.0756015693936538,0.783474606572417,TRUE,1,"consumption__early_2009__ancova"
-0.0128200321509927,0.0892121903342307,0.765318358208649,TRUE,1,"consumption__early_2009__ancova"
-0.0121790305434431,0.10423057194646,0.746959954525101,TRUE,1,"consumption__early_2009__ancova"
-0.0115380289358934,0.120720206699936,0.728416403187528,TRUE,1,"consumption__early_2009__ancova"
-0.0108970273283438,0.138745076506671,0.70970636474695,TRUE,1,"consumption__early_2009__ancova"
-0.0102560257207942,0.158369348330152,0.690850164080906,TRUE,1,"consumption__early_2009__ancova"
-0.00961502411324454,0.179657029595774,0.671869785542486,TRUE,1,"consumption__early_2009__ancova"
-0.0089740225056949,0.202671581599531,0.652788849850722,TRUE,1,"consumption__early_2009__ancova"
-0.00833302089814526,0.227475489498569,0.63363257084816,TRUE,1,"consumption__early_2009__ancova"
-0.00769201929059563,0.254129787955326,0.61442769041503,TRUE,1,"consumption__early_2009__ancova"
-0.00705101768304599,0.282693542112686,0.595202390065124,TRUE,1,"consumption__early_2009__ancova"
-0.00641001607549636,0.313223284301459,0.575986178067595,TRUE,1,"consumption__early_2009__ancova"
