"analysis_id","specification_id","welfare_specification_id","outcome_round","estimand","calibration_id","support_type","bound_fraction_of_reduced_form","calibration_role","reduced_form_estimate","reduced_form_std.error","minimum_gamma_for_zero_95","minimum_gamma_share_of_reduced_form_for_zero_95","gamma_lower","gamma_upper","exclusion_ar_p_beta0","exclusion_ar_95_lower","exclusion_ar_95_upper","exclusion_ar_95_empty","exclusion_ar_95_n_components","exclusion_ar_95_disconnected","exclusion_ar_95_contains_zero","exclusion_ar_95_grid_accepted_min","exclusion_ar_95_grid_accepted_max","exclusion_ar_95_left_truncated","exclusion_ar_95_right_truncated","exclusion_ar_95_components","exclusion_ar_95_information","exclusion_ar_95_sign_identified"
"consumption_exclusion_sensitivity__consumption__long_2023__ancova","consumption__long_2023__ancova","long_2023__ancova","hces_2023_24","ancova","same_sign_rf_025","same_sign_as_reduced_form",0.25,"observed_reduced_form_scale_fragility",0.00886155691635372,0.0177013310197166,0,0,0,0.00221538922908843,0.707483852992648,NA,NA,FALSE,1,FALSE,TRUE,-0.126003373683393,0.126003373683393,TRUE,TRUE,"[grid<= -0.126003, 0.126003 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__ancova","consumption__long_2023__ancova","long_2023__ancova","hces_2023_24","ancova","symmetric_rf_050","symmetric_around_zero",0.5,"observed_reduced_form_scale_fragility",0.00886155691635372,0.0177013310197166,0,0,-0.00443077845817686,0.00443077845817686,0.802456991620424,NA,NA,FALSE,1,FALSE,TRUE,-0.126003373683393,0.126003373683393,TRUE,TRUE,"[grid<= -0.126003, 0.126003 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__ancova","consumption__long_2023__ancova","long_2023__ancova","hces_2023_24","ancova","same_sign_rf_050","same_sign_as_reduced_form",0.5,"observed_reduced_form_scale_fragility",0.00886155691635372,0.0177013310197166,0,0,0,0.00443077845817686,0.802456991620424,NA,NA,FALSE,1,FALSE,TRUE,-0.126003373683393,0.126003373683393,TRUE,TRUE,"[grid<= -0.126003, 0.126003 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__ancova","consumption__long_2023__ancova","long_2023__ancova","hces_2023_24","ancova","symmetric_rf_100","symmetric_around_zero",1,"observed_reduced_form_scale_fragility",0.00886155691635372,0.0177013310197166,0,0,-0.00886155691635372,0.00886155691635372,1,NA,NA,FALSE,1,FALSE,TRUE,-0.126003373683393,0.126003373683393,TRUE,TRUE,"[grid<= -0.126003, 0.126003 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__ancova","consumption__long_2023__ancova","long_2023__ancova","hces_2023_24","ancova","same_sign_rf_100","same_sign_as_reduced_form",1,"observed_reduced_form_scale_fragility",0.00886155691635372,0.0177013310197166,0,0,0,0.00886155691635372,1,NA,NA,FALSE,1,FALSE,TRUE,-0.126003373683393,0.126003373683393,TRUE,TRUE,"[grid<= -0.126003, 0.126003 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","exact_exclusion","exact_exclusion",0,"maintained_model_benchmark",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,0,0,0.0144968879626446,NA,NA,FALSE,2,TRUE,FALSE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, -0.0511449] U [0.0148785, 0.185982 <=grid]","zero_excluded_both_signs",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","symmetric_rf_025","symmetric_around_zero",0.25,"observed_reduced_form_scale_fragility",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,-0.0140190719425494,0.0140190719425494,0.0663527091252657,NA,NA,FALSE,2,TRUE,TRUE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, -0.020458] U [-0.00743926, 0.185982 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","same_sign_rf_025","same_sign_as_reduced_form",0.25,"observed_reduced_form_scale_fragility",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,0,0.0140190719425494,0.0663527091252657,NA,NA,FALSE,2,TRUE,TRUE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, -0.020458] U [-0.00743926, 0.185982 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","symmetric_rf_050","symmetric_around_zero",0.5,"observed_reduced_form_scale_fragility",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,-0.0280381438850987,0.0280381438850987,0.220492535294092,NA,NA,FALSE,1,FALSE,TRUE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, 0.185982 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","same_sign_rf_050","same_sign_as_reduced_form",0.5,"observed_reduced_form_scale_fragility",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,0,0.0280381438850987,0.220492535294092,NA,NA,FALSE,1,FALSE,TRUE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, 0.185982 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","symmetric_rf_100","symmetric_around_zero",1,"observed_reduced_form_scale_fragility",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,-0.0560762877701974,0.0560762877701974,0.999999999999993,NA,NA,FALSE,1,FALSE,TRUE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, 0.185982 <=grid]","zero_included",FALSE
"consumption_exclusion_sensitivity__consumption__long_2023__change","consumption__long_2023__change","long_2023__change","hces_2023_24","change","same_sign_rf_100","same_sign_as_reduced_form",1,"observed_reduced_form_scale_fragility",0.0560762877701974,0.0228543065841719,0.0111692012105542,0.199178684158374,0,0.0560762877701974,0.999999999999993,NA,NA,FALSE,1,FALSE,TRUE,-0.18598150112228,0.18598150112228,TRUE,TRUE,"[grid<= -0.185982, 0.185982 <=grid]","zero_included",FALSE
