"survey_id","source_state_code","source_district_code","state_std","district_std","source_unit_kind","lineage_status"
"hces_2023_24","34","02","puducherry","puducherry","district","unresolved_no_stable_lineage"
"hces_2023_24","36","25","telangana","mahbubnagar","district","unresolved_no_stable_lineage"
"hces_2023_24","36","33","telangana","narayanpet","district","unresolved_no_stable_lineage"
"hces_2023_24","36","23","telangana","rangareddy","district","unresolved_no_stable_lineage"
"hces_2023_24","36","29","telangana","nalgonda","district","unresolved_no_stable_lineage"
"hces_2023_24","36","26","telangana","jogulamba","district","unresolved_no_stable_lineage"
"hces_2023_24","36","24","telangana","vikarabad","district","unresolved_no_stable_lineage"
"hces_2023_24","36","20","telangana","yadadri","district","unresolved_no_stable_lineage"
"hces_2023_24","36","06","telangana","jagtial","district","unresolved_no_stable_lineage"
"hces_2023_24","36","14","telangana","rajanna","district","unresolved_no_stable_lineage"
"hces_2023_24","36","01","telangana","adilabad","district","unresolved_no_stable_lineage"
"hces_2023_24","36","02","telangana","komaram bheem","district","unresolved_no_stable_lineage"
"hces_2023_24","36","05","telangana","nizamabad","district","unresolved_no_stable_lineage"
"hces_2023_24","36","32","telangana","mulugu","district","unresolved_no_stable_lineage"
"hces_2023_24","36","31","telangana","khammam","district","unresolved_no_stable_lineage"
"hces_2023_24","36","19","telangana","jangaon","district","unresolved_no_stable_lineage"
"hces_2023_24","36","09","telangana","bhadradri","district","unresolved_no_stable_lineage"
"hces_2023_24","36","10","telangana","mahabubabad","district","unresolved_no_stable_lineage"
"hces_2023_24","36","11","telangana","warangal rural","district","unresolved_no_stable_lineage"
"hces_2023_24","36","12","telangana","warangal urban","district","unresolved_no_stable_lineage"
"hces_2023_24","36","22","telangana","hyderabad","district","unresolved_no_stable_lineage"
"hces_2023_24","36","08","telangana","jayashankar","district","unresolved_no_stable_lineage"
"hces_2023_24","22","22","chhattisgarh","sukama","district","unresolved_no_stable_lineage"
"hces_2023_24","22","19","chhattisgarh","balodabazar","district","unresolved_no_stable_lineage"
"hces_2023_24","22","16","chhattisgarh","narayanpur","district","unresolved_no_stable_lineage"
"hces_2023_24","22","14","chhattisgarh","uttar bastar kanker","district","unresolved_no_stable_lineage"
"hces_2023_24","22","27","chhattisgarh","balrampur","district","unresolved_no_stable_lineage"
"hces_2023_24","22","26","chhattisgarh","surajpur","district","unresolved_no_stable_lineage"
"hces_2023_24","22","25","chhattisgarh","mungeli","district","unresolved_no_stable_lineage"
"hces_2023_24","22","08","chhattisgarh","kabeerdham","district","unresolved_no_stable_lineage"
"hces_2023_24","24","28","gujarat","botad","district","unresolved_no_stable_lineage"
"hces_2023_24","24","30","gujarat","dev bhumi dwarka","district","unresolved_no_stable_lineage"
"hces_2023_24","24","31","gujarat","gir somnath","district","unresolved_no_stable_lineage"
"hces_2023_24","24","33","gujarat","morbi","district","unresolved_no_stable_lineage"
"hces_2023_24","24","32","gujarat","mahisagar","district","unresolved_no_stable_lineage"
"hces_2023_24","24","29","gujarat","chhota udepur","district","unresolved_no_stable_lineage"
"hces_2023_24","24","27","gujarat","arvalli","district","unresolved_no_stable_lineage"
"hces_2023_24","24","26","gujarat","tapi","district","unresolved_no_stable_lineage"
"hces_2023_24","25","03","dadra and nagar haveli and daman and diu","dadra and nagar haveli","district","unresolved_no_stable_lineage"
"hces_2023_24","25","02","dadra and nagar haveli and daman and diu","daman","district","unresolved_no_stable_lineage"
"hces_2023_24","22","17","chhattisgarh","dakshin bastar dantewada","district","unresolved_no_stable_lineage"
