"beta","gamma_lower","gamma_upper","closest_gamma","direct_effect_estimate","direct_effect_std.error","statistic","p.value","accepted","analysis_id","specification_id","calibration_id"
-0.0963852557006741,0,0,0,0.0882537251691735,0.0823977309577754,1.14719061920854,0.284676272253026,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0957159136471972,0,0,0,0.0877675456457045,0.0819024045672192,1.14835086763313,0.284433135309223,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0950465715937203,0,0,0,0.0872813661222376,0.081407233749503,1.14952143885726,0.284188102380893,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0943772295402434,0,0,0,0.0867951865987703,0.0809122213608744,1.15070243860603,0.283941158047513,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0937078874867665,0,0,0,0.0863090070753035,0.0804173703269845,1.15189397288313,0.283692286969808,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0930385454332896,0,0,0,0.0858228275518359,0.079922683644975,1.15309614790254,0.28344147390565,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0923692033798127,0,0,0,0.0853366480283684,0.0794281643856468,1.15430907001511,0.283188703726984,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0916998613263358,0,0,0,0.0848504685049009,0.078933815695703,1.15553284562902,0.282933961437886,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0910305192728589,0,0,0,0.0843642889814355,0.0784396408000719,1.15676758112445,0.282677232193762,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.090361177219382,0,0,0,0.0838781094579675,0.077945643004318,1.15801338276101,0.282418501321872,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.089691835165905,0,0,0,0.0833919299344993,0.0774518256971394,1.15927035657902,0.282157754343052,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0890224931124281,0,0,0,0.082905750411032,0.0769581923529571,1.16053860829249,0.281894976994953,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
