"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","working_age_migrants_15_64","work_migrants_age_20_49","education_migrants_age_15_24","census_year","working_age_15_64_share_among_migrants","age_20_49_share_among_work_migrants","age_15_24_share_among_education_migrants"
"pc2001__10__12",1,"Saharsa",TRUE,488683,12367,1128,1719,384469,3570,20398,65032,430912,7442,657,2011,0.881782259665264,0.60176275572087,0.382198952879581
"pc2001__10__14",1,"Muzaffarpur",TRUE,1326190,41551,4929,8210,976293,16028,64442,214737,1133669,24346,2844,2011,0.854831509813828,0.58593054318789,0.346406820950061
"pc2001__10__15",1,"Gopalganj",TRUE,693775,13571,2006,2694,549737,4820,27975,92972,598194,8992,1072,2011,0.862230550250441,0.662589344926682,0.397921306607275
"pc2001__10__16",1,"Siwan",TRUE,853521,13684,2362,3812,729135,2913,21658,79957,742980,8706,1294,2011,0.870488248092314,0.636217480268927,0.339454354669465
"pc2001__10__17",1,"Saran",TRUE,1038596,13328,1922,2142,862211,7886,28465,122642,889412,8044,976,2011,0.85635993206213,0.603541416566627,0.455648926237162
"pc2001__10__19",1,"Samastipur",TRUE,1102714,15175,1782,2799,927468,16408,29645,109437,965379,9173,904,2011,0.875457280854329,0.604481054365733,0.322972490175063
"pc2001__10__20",1,"Begusarai",TRUE,834026,20517,2337,3117,594587,9603,41140,162725,711240,13225,1071,2011,0.852779169953934,0.64458741531413,0.343599615014437
"pc2001__10__21",1,"Khagaria",TRUE,426316,6542,976,1156,334219,2914,12082,68427,374108,4273,421,2011,0.877536850599086,0.6531641699786,0.364186851211073
"pc2001__10__23",1,"Banka",TRUE,542079,7469,959,983,436656,4162,13788,78062,472800,4864,387,2011,0.872197594815516,0.651225063596198,0.393692777212614
"pc2001__10__24",1,"Munger",TRUE,370054,11210,887,1828,272138,3732,17789,62470,318231,6404,774,2011,0.859958276359666,0.571275646743979,0.423413566739606
"pc2001__10__25",1,"Lakhisarai",TRUE,264355,6612,654,974,204859,1657,12026,37573,230079,4183,342,2011,0.870341018705907,0.632637628554144,0.351129363449692
"pc2001__10__26",1,"Sheikhpura",TRUE,172236,4102,489,891,122649,1431,9315,33359,144173,2630,312,2011,0.837066583060452,0.641150658215505,0.35016835016835
"pc2001__10__27",1,"Nalanda",TRUE,811986,21993,2520,4582,586498,10301,38549,147543,681654,13823,1741,2011,0.839489843420946,0.628518164870641,0.379965080750764
"pc2001__10__28",1,"Patna",TRUE,1936192,155807,14052,22228,953908,55111,283853,451233,1556756,89608,8878,2011,0.804029765643077,0.575121785285642,0.399406154399856
"pc2001__10__30",1,"Buxar",TRUE,465802,10699,1115,3695,368643,2646,24530,54474,399030,6627,1560,2011,0.856651538636588,0.619403682587158,0.422192151556157
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,445699,7465,1927,1831,344528,5446,13732,70770,375951,4778,683,2011,0.843508735716257,0.640053583389149,0.373020207536865
"pc2001__10__32",1,"Rohtas",TRUE,862875,26602,3366,4579,611819,17758,49686,149065,719308,16032,1762,2011,0.833617847312763,0.602661454026013,0.384800174710635
"pc2001__10__35",1,"Gaya",TRUE,1186336,32303,5782,5907,778153,15686,53504,295001,967859,18921,2131,2011,0.815838851724975,0.585735071046033,0.360758422210936
"pc2001__10__36",1,"Nawada",TRUE,555514,13676,1974,1879,428758,4193,24920,80114,482715,8652,727,2011,0.868951997609421,0.63264112313542,0.386907929749867
"pc2001__10__37",1,"Jamui",TRUE,427378,7278,858,677,357224,3929,12659,44753,380888,4794,290,2011,0.891220418458601,0.658697444352844,0.428360413589365
"pc2001__11__03",1,"South District",TRUE,50948,9250,1097,1370,18731,1144,10598,8758,41708,6816,696,2011,0.818638611918034,0.736864864864865,0.508029197080292
"pc2001__11__04",1,"East District",TRUE,144928,29834,3134,4915,33228,3977,28727,41113,113656,21340,2889,2011,0.78422389048355,0.715291278407186,0.587792472024415
"pc2001__12__01",1,"Tawang",TRUE,20168,7319,556,750,2295,230,2751,6267,15630,6029,439,2011,0.774990083300278,0.82374641344446,0.585333333333333
"pc2001__12__09",1,"Upper Siang",TRUE,12813,2836,371,421,739,99,3047,5300,8932,2302,258,2011,0.697104503238898,0.811706629055007,0.612826603325416
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,33812,8840,1114,1404,3914,448,9126,8966,25346,6499,870,2011,0.749615521116763,0.735180995475113,0.61965811965812
"pc2001__12__12",1,"Changlang",TRUE,58512,10893,1781,1127,8013,730,20948,15020,44498,7830,646,2011,0.760493573967733,0.71881024511154,0.573203194321207
"pc2001__12__13",1,"Tirap",TRUE,35950,5202,1031,2109,3002,372,9328,14906,23197,3961,1112,2011,0.645257301808067,0.761437908496732,0.527264106211475
"pc2001__13__01",1,"Mon",TRUE,42972,6200,1492,4515,6574,227,8082,15882,33973,4543,2421,2011,0.790584566694592,0.732741935483871,0.536212624584718
"pc2001__13__03",1,"Mokokchung",TRUE,48282,13540,1551,4310,4944,292,11325,12320,38768,9027,2225,2011,0.802949339298289,0.666691285081241,0.516241299303944
"pc2001__13__04",1,"Zunheboto",TRUE,33150,5744,1077,3453,5228,242,4598,12808,27624,4109,1860,2011,0.833303167420814,0.715355153203343,0.53866203301477
"pc2001__13__05",1,"Wokha",TRUE,34512,7106,1315,2156,5736,136,8716,9347,29467,4957,1123,2011,0.85381896152063,0.697579510273009,0.520871985157699
"pc2001__14__04",1,"Bishnupur",TRUE,40497,908,250,72,23623,3638,2904,9102,31292,592,31,2011,0.77269921228733,0.651982378854626,0.430555555555556
"pc2001__14__05",1,"Thoubal",TRUE,69253,869,305,102,46621,751,3317,17288,58195,492,43,2011,0.840324606876236,0.566168009205984,0.42156862745098
"pc2001__14__06",1,"Imphal West",TRUE,169803,5943,2992,2390,78669,8680,24001,47128,132251,3693,1679,2011,0.77884960807524,0.621403331650682,0.702510460251046
"pc2001__14__08",1,"Ukhrul",TRUE,42983,3306,1042,3902,5258,538,5616,23321,30627,2192,1900,2011,0.712537514831445,0.663036902601331,0.486929779600205
"pc2001__15__01",1,"Mamit",TRUE,23274,3076,201,369,2437,455,9705,7031,17093,2315,121,2011,0.734424679900318,0.75260078023407,0.327913279132791
"pc2001__15__02",1,"Kolasib",TRUE,37402,4447,251,465,3133,1181,13259,14666,26263,3069,192,2011,0.702181701513288,0.690128176298628,0.412903225806452
"pc2001__15__07",1,"Lawngtlai",TRUE,29568,3605,507,1494,3378,801,10494,9289,22323,2588,751,2011,0.754971590909091,0.717891816920943,0.502677376171352
"pc2001__16__01",1,"West Tripura",TRUE,662870,46814,6933,5945,257728,4513,138168,202769,535060,29190,2234,2011,0.807186929563866,0.623531422224121,0.375777964676199
"pc2001__16__02",1,"South Tripura",TRUE,292750,18293,2170,2977,131707,2223,65190,70190,236614,11160,1082,2011,0.808245943637916,0.610069425463292,0.363453140745717
"pc2001__16__03",1,"Dhalai",TRUE,113100,9992,1467,1078,37355,1071,24933,37204,86239,6407,492,2011,0.762502210433245,0.641212970376301,0.456400742115028
"pc2001__16__04",1,"North Tripura",TRUE,230903,16998,2447,2294,87368,1859,49884,70053,185251,10618,1019,2011,0.80228927298476,0.624661724908813,0.444202266782912
"pc2001__17__03",1,"South Garo Hills",TRUE,31970,1285,642,653,9787,180,4081,15342,23387,936,286,2011,0.731529558961526,0.7284046692607,0.437978560490046
"pc2001__17__05",1,"Ribhoi",TRUE,60209,5757,800,528,11928,1820,14817,24559,43871,3739,279,2011,0.728645219153283,0.649470210178913,0.528409090909091
"pc2001__17__06",1,"East Khasi Hills",TRUE,221486,30561,3499,13835,42198,15760,46312,69321,161202,21411,7412,2011,0.727820268549705,0.70059880239521,0.535742681604626
"pc2001__18__03",1,"Goalpara",TRUE,347643,8990,4338,1366,148199,2636,82749,99365,278176,5664,347,2011,0.800177193270108,0.630033370411568,0.25402635431918
"pc2001__18__13",1,"Dhemaji",TRUE,246602,10294,5222,1237,94111,3289,62880,69569,199549,6443,632,2011,0.809194572631203,0.625898581698077,0.510913500404204
"pc2001__18__14",1,"Tinsukia",TRUE,433963,40292,16333,2670,160087,6138,77756,130687,351131,25046,1302,2011,0.809126584524487,0.621612230715775,0.487640449438202
"pc2001__18__15",1,"Dibrugarh",TRUE,487837,35989,12648,3627,203387,4247,46614,181325,395762,22073,1730,2011,0.811258678616013,0.613326294145433,0.476978218913703
"pc2001__19__07",1,"Murshidabad",TRUE,2235468,41971,13851,9653,1218019,180750,181746,589478,1750452,24387,6188,2011,0.783036035407351,0.581044054227919,0.641044234952864
"pc2001__19__08",1,"Birbhum",TRUE,1192589,37232,10691,4585,714283,92597,87243,245958,967358,20680,1419,2011,0.811141139151879,0.555436183927804,0.30948745910578
"pc2001__19__13",1,"Bankura",TRUE,1334084,25644,6557,3913,891706,142943,64800,198521,1047841,14562,1527,2011,0.785438548097421,0.567852129153018,0.390237669307437
"pc2001__19__14",1,"Puruliya",TRUE,921486,16172,3682,4214,678957,15545,36188,166728,774305,9186,1855,2011,0.840278636897359,0.568018797922335,0.440199335548173
"pc2001__19__16",1,"Haora",TRUE,1845731,122255,28938,7395,844803,143340,226846,472154,1443571,73821,3793,2011,0.782113428229791,0.603828064291849,0.512914131169709
"pc2001__19__17",1,"Kolkata",TRUE,837138,175582,28266,16099,149299,22806,186521,258565,652952,103983,5471,2011,0.779981317297745,0.592219020172911,0.339834772346108
