"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","working_age_migrants_15_64","work_migrants_age_20_49","education_migrants_age_15_24","census_year","working_age_15_64_share_among_migrants","age_20_49_share_among_work_migrants","age_15_24_share_among_education_migrants"
"pc2001__32__06",1,"Palakkad",TRUE,1389287,57806,4087,4349,475859,328704,198466,320016,938702,30886,1703,2011,0.675671765445153,0.534304397467391,0.391584272246493
"pc2001__32__07",1,"Thrissur",TRUE,1821649,62668,4513,8601,592828,445043,342744,365252,1256415,35033,4411,2011,0.689713001791234,0.559025339886385,0.512847343332171
"pc2001__32__08",1,"Ernakulam",TRUE,1837383,126566,8776,10041,540748,386310,381423,383519,1293701,74904,5221,2011,0.704099798463358,0.591817707757218,0.519968130664276
"pc2001__32__09",1,"Idukki",TRUE,677458,59613,1871,2484,151549,124232,190350,147359,475641,29716,1186,2011,0.702096661342843,0.498481874758861,0.477455716586151
"pc2001__32__10",1,"Kottayam",TRUE,1299170,51846,3414,7798,378955,338695,241900,276562,879222,29672,4203,2011,0.676756698507509,0.572310303591405,0.538984354962811
"pc2001__32__11",1,"Alappuzha",TRUE,1154093,22887,2271,3326,395494,275974,143304,310837,793389,13077,1739,2011,0.687456730090209,0.57137239480928,0.52285027059531
"pc2001__32__12",1,"Pathanamthitta",TRUE,719060,25424,1587,2768,247856,151689,106054,183682,492291,14493,1356,2011,0.684631324228854,0.570051919446193,0.489884393063584
"pc2001__32__13",1,"Kollam",TRUE,1230997,32979,2799,4537,419309,278828,175185,317360,848925,18928,1914,2011,0.689623938969794,0.573940992752964,0.421864668283006
"pc2001__32__14",1,"Thiruvananthapuram",TRUE,1550749,70348,4885,10717,394082,301465,273641,495611,1082605,37816,4103,2011,0.698117490322418,0.537556149428555,0.382849678081553
"pc2001__33__02",1,"Chennai",TRUE,1370604,244095,14930,32756,191894,83192,244808,558929,1083728,153132,18364,2011,0.790693737943272,0.627345910403736,0.56063011356698
"pc2001__33__05",2,"Dharmapuri;Krishnagiri",TRUE,1229175,117079,6103,18704,504552,144556,180048,258133,927491,82368,10990,2011,0.754563833465536,0.703524970319186,0.587574850299401
"pc2001__33__06",1,"Tiruvannamalai",TRUE,825047,44563,3546,7978,384094,100274,86733,197859,625731,27104,4485,2011,0.758418611303356,0.6082175796064,0.562170970167962
"pc2001__33__08",1,"Salem",TRUE,1111989,110483,5784,17097,431456,142280,177293,227596,842614,66271,10215,2011,0.757753898644681,0.599829838074636,0.59747324091946
"pc2001__33__09",1,"Namakkal",TRUE,828782,108280,3290,56392,252647,107654,162802,137717,624219,67480,46723,2011,0.75317634794192,0.623199113409679,0.828539509150234
"pc2001__33__11",1,"The Nilgiris",TRUE,368187,39201,1524,4128,85658,35861,80496,121319,279030,21698,2475,2011,0.757848593242021,0.553506288104895,0.599563953488372
"pc2001__33__13",1,"Dindigul",TRUE,761754,68945,3743,10029,265440,83359,107238,223000,578091,41252,4844,2011,0.758894603769721,0.598332003771122,0.48299930202413
"pc2001__33__14",1,"Karur",TRUE,535716,62341,2134,6910,170064,93319,103262,97686,385737,39309,4492,2011,0.720040095871693,0.630548114403041,0.650072358900145
"pc2001__33__15",1,"Tiruchirappalli",TRUE,1249669,128985,6636,37607,365710,167998,235633,307100,923418,72229,26029,2011,0.738930068682187,0.559979842617359,0.692131783976387
"pc2001__33__16",1,"Perambalur",TRUE,228531,14864,959,12457,88134,42489,24488,45140,163756,9166,9720,2011,0.716559241415825,0.616657696447793,0.780284177570844
"pc2001__33__17",1,"Ariyalur",TRUE,324838,13872,1181,1735,129242,64841,29332,84635,225600,8626,735,2011,0.694500027706118,0.621828143021915,0.423631123919308
"pc2001__33__18",1,"Cuddalore",TRUE,1150284,77677,6039,17447,409442,119792,138917,380970,865569,46654,9178,2011,0.75248286510114,0.600615368770679,0.526050323837909
"pc2001__33__20",1,"Thiruvarur",TRUE,602538,25756,2517,5446,229857,97899,64697,176366,437696,15111,2699,2011,0.726420574304027,0.58669824506911,0.495593095850165
"pc2001__33__21",1,"Thanjavur",TRUE,1157271,69710,5259,27158,397273,298326,160226,199319,817639,38830,16980,2011,0.70652336401759,0.557021948070578,0.62523013476692
"pc2001__33__22",1,"Pudukkottai",TRUE,702796,35984,1974,8659,275805,163327,74231,142816,492213,22067,4597,2011,0.700363974752275,0.613244775455758,0.530892712784386
"pc2001__33__23",1,"Sivaganga",TRUE,600537,49905,2714,16039,200880,75087,87736,168176,442435,31319,6303,2011,0.736732291265984,0.627572387536319,0.392979612195274
"pc2001__33__24",1,"Madurai",TRUE,1207276,148803,7355,16415,322350,111594,233626,367133,913670,88321,8451,2011,0.756802918305342,0.593543140931298,0.514833993298812
"pc2001__33__25",1,"Theni",TRUE,400674,38512,2355,10022,136974,44461,61404,106946,299961,24211,5182,2011,0.748641039847856,0.628661196510179,0.517062462582319
"pc2001__33__26",1,"Virudhunagar",TRUE,739970,92287,2752,14714,225129,89627,132877,182584,555581,58764,10100,2011,0.750815573604335,0.636752738738934,0.686421095555254
"pc2001__33__27",1,"Ramanathapuram",TRUE,416291,31228,2250,10107,121375,34339,48359,168633,312103,20671,5225,2011,0.749723150392394,0.661938004355066,0.516968437716434
"pc2001__33__30",1,"Kanniyakumari",TRUE,734919,38656,2691,6084,292542,78644,112923,203379,556577,22007,2544,2011,0.757331080023785,0.569303600993378,0.418145956607495
"pc2001__34__01",1,"Yanam",TRUE,29980,5525,311,304,5899,1758,10645,5538,23237,3914,116,2011,0.775083388925951,0.70841628959276,0.381578947368421
"pc2001__34__03",1,"Mahe",TRUE,19964,888,92,261,5022,5193,4681,3827,13239,532,140,2011,0.663143658585454,0.599099099099099,0.53639846743295
"pc2001__34__04",1,"Karaikal",TRUE,101877,7927,715,1299,31009,18422,20433,22072,73480,5092,469,2011,0.721261913876537,0.642361549135865,0.361046959199384
"pc2001__35__01",2,"North  & Middle Andaman;South Andaman",TRUE,197763,48204,2977,3820,38342,12772,61025,30623,157264,31705,2427,2011,0.795214473890465,0.65772549995851,0.635340314136126
"pc2001__35__02",1,"Nicobars",TRUE,18578,3925,81,252,898,718,6248,6456,14232,3172,135,2011,0.766067391538379,0.808152866242038,0.535714285714286
