"target_unit_2001","migrant_stock_share_population_2011","recent_0_9_migrant_share_population_2011","interdistrict_migrant_share_population_2011","interstate_migrant_share_population_2011","migrant_stock_share_population_2001","recent_0_9_migrant_share_population_2001","interdistrict_migrant_share_population_2001","interstate_migrant_share_population_2001","migrant_stock_share_population_change_2011_2001","recent_0_9_migrant_share_population_change_2011_2001","interdistrict_migrant_share_population_change_2011_2001","interstate_migrant_share_population_change_2011_2001"
"pc2001__09__25",0.226200601293232,0.0543450826991982,0.061875297012225,0.00269592422874553,0.237030744141346,0.0582184182354385,0.0566361593099621,0.00503221310853113,-0.010830142848114,-0.0038733355362403,0.0052391377022629,-0.0023362888797856
"pc2001__09__26",0.291598771959682,0.0651489994585581,0.078387783681914,0.00338666573155615,0.268535183185425,0.0615292831526883,0.0653843760970906,0.00347291658334333,0.023063588774257,0.0036197163058698,0.0130034075848234,-8.62508517871802e-05
"pc2001__09__27",0.403466963322017,0.124379771137892,0.218172623957534,0.0318819531321149,0.280923419212607,0.0824217878335473,0.181240155116708,0.0360221983785446,0.12254354410941,0.0419579833043447,0.036932468840826,-0.0041402452464297
"pc2001__09__28",0.277923829832342,0.0579229430469418,0.071439373095577,0.00436903310146734,0.257848057416701,0.0569641075988699,0.0615119754485462,0.0063370045624901,0.020075772415641,0.000958835448071904,0.00992739764703081,-0.00196797146102276
"pc2001__09__29",0.259620709482899,0.0709403332477546,0.144512211940989,0.00914861203349876,0.225262479559452,0.0542865293605229,0.120727225026872,0.00779096897112088,0.034358229923447,0.0166538038872317,0.023784986914117,0.00135764306237788
"pc2001__09__30",0.248989506318906,0.0637015458018032,0.142303949738503,0.00594706316973879,0.225650378026716,0.0524175926239252,0.125859388893409,0.00501971671575746,0.02333912829219,0.011283953177878,0.016444560845094,0.00092734645398133
"pc2001__09__31",0.311531726313527,0.0825756570005247,0.159576687465625,0.0187266485861134,0.253253674177721,0.0602783987404313,0.122967784050891,0.0145719789285151,0.058278052135806,0.0222972582600934,0.036608903414734,0.0041546696575983
"pc2001__09__32",0.293947642157378,0.0776161705489854,0.167622658195275,0.00818385772120518,0.253446418749942,0.0651130981285482,0.150194111320999,0.00734072151275474,0.040501223407436,0.0125030724204372,0.017428546874276,0.00084313620845044
"pc2001__09__33",0.2760997759695,0.065592389198434,0.126405757984705,0.00420502576573447,0.266187818869392,0.0673585204971932,0.0877725581704765,0.00562770895060307,0.009911957100108,-0.00176613129875919,0.0386331998142285,-0.0014226831848686
"pc2001__09__34",0.292151430564638,0.0756679155203319,0.176096661448315,0.0179908706497852,0.217915839231247,0.0538870090899734,0.15913151610641,0.0177917509097291,0.074235591333391,0.0217809064303585,0.016965145341905,0.000199119740056101
"pc2001__09__35",0.317898381868597,0.0754703918521823,0.107883908273145,0.0228039011251061,0.278042176709854,0.0603876924092373,0.0812065300195538,0.0169871539246397,0.039856205158743,0.015082699442945,0.0266773782535912,0.0058167472004664
"pc2001__09__36",0.331086764104727,0.0825621696755184,0.141821062011815,0.0801334732310519,0.285774623753031,0.0708956399995186,0.119631091429976,0.066636445796424,0.045312140351696,0.0116665296759998,0.022189970581839,0.0134970274346279
"pc2001__09__37",0.292790064113059,0.0838405948958408,0.0889273996555315,0.0699636212417894,0.280724614261138,0.078373054429937,0.0777941648751092,0.0588350205679663,0.012065449851921,0.00546754046590379,0.0111332347804223,0.0111286006738231
"pc2001__09__38",0.285591129101636,0.0654197059635873,0.117273167705801,0.0117216117216117,0.25900621237032,0.0648504777124987,0.0922149917027873,0.0105353522578766,0.026584916731316,0.000569228251088599,0.0250581760030137,0.0011862594637351
"pc2001__09__39",0.297614725820188,0.071528543605972,0.144073117660892,0.0607175229862619,0.26644194978594,0.0729299439478183,0.136549381958001,0.0573973776443404,0.031172776034248,-0.0014014003418463,0.007523735702891,0.0033201453419215
"pc2001__09__40",0.265187478117828,0.0651680272978365,0.079477161958642,0.0265992742065455,0.261301057545075,0.0663460250017238,0.0646944645730856,0.0220570155867235,0.00388642057275301,-0.00117799770388731,0.0147826973855564,0.004542258619822
"pc2001__09__41",0.25323525556351,0.0678874290381455,0.0873776128583385,0.0270688594677987,0.258096512121113,0.067670723351496,0.0730529544193938,0.0243140069822833,-0.004861256557603,0.000216705686649499,0.0143246584389447,0.0027548524855154
"pc2001__09__42",0.261111172306497,0.0574266361229946,0.059883398734319,0.00277240418986658,0.25452351081969,0.0524054923270998,0.04892730152349,0.00277033630453166,0.00658766148680701,0.0050211437958948,0.010956097210829,2.06788533492009e-06
"pc2001__09__43",0.267760126463748,0.0520559863215733,0.0722049919277464,0.00418710178206567,0.252983515513841,0.0515979575083828,0.0603249738024747,0.00552765953395866,0.014776610949907,0.0004580288131905,0.0118800181252717,-0.00134055775189299
"pc2001__09__48",0.256101619425094,0.0551518669762725,0.0770035964982518,0.00373453639202498,0.250243724825791,0.0537837539148917,0.0639688861084743,0.0055326522194747,0.00585789459930303,0.0013681130613808,0.0130347103897775,-0.00179811582744972
"pc2001__09__50",0.241232193652549,0.0607423565636226,0.0533891518583285,0.00443841569203588,0.213417317913948,0.0479246322664749,0.0355520538648138,0.00523461701284127,0.027814875738601,0.0128177242971477,0.0178370979935147,-0.00079620132080539
"pc2001__09__52",0.235046412539879,0.0588663193192052,0.05611996286066,0.00445392836947593,0.24926323297768,0.0536921568044699,0.0389692988973757,0.00285196302790739,-0.014216820437801,0.0051741625147353,0.0171506639632843,0.00160196534156854
"pc2001__09__53",0.266270404165037,0.0607303200803513,0.0671032135586192,0.00509971260242306,0.24870714561037,0.0546925678680757,0.0548545588529881,0.00588157446559246,0.017563258554667,0.0060377522122756,0.0122486547056311,-0.0007818618631694
"pc2001__09__55",0.259766829622993,0.0617984275688344,0.0760790175875971,0.00588647267722312,0.247671494915134,0.0529970539338281,0.0522195265380988,0.00601108779967901,0.012095334707859,0.0088013736350063,0.0238594910494983,-0.00012461512245589
"pc2001__09__60",0.278146410804961,0.0618798263497655,0.0835899754462025,0.0360344875402538,0.258595469374965,0.053284058024441,0.0572241166387112,0.0272268814627763,0.019550941429996,0.0085957683253245,0.0263658588074913,0.0088076060774775
"pc2001__09__61",0.264349804601864,0.0545426409210577,0.0695687153182125,0.00320075389371234,0.260500731487676,0.0547577664092331,0.0519508537745475,0.004294761614207,0.00384907311418803,-0.000215125488175399,0.017617861543665,-0.00109400772049466
"pc2001__09__62",0.247389354695988,0.0515973033153699,0.102366852103022,0.00474802898319468,0.232903289487523,0.0479229470166349,0.0821894533809925,0.00495523994914771,0.014486065208465,0.003674356298735,0.0201773987220295,-0.00020721096595303
