"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","population_total_2011","census_year"
"pc2001__32__03",1,"32/590",TRUE,817420,2011
"pc2001__32__04",1,"32/591",TRUE,3086293,2011
"pc2001__32__05",1,"32/592",TRUE,4112920,2011
"pc2001__32__06",1,"32/593",TRUE,2809934,2011
"pc2001__32__07",1,"32/594",TRUE,3121200,2011
"pc2001__32__08",1,"32/595",TRUE,3282388,2011
"pc2001__32__09",1,"32/596",TRUE,1108974,2011
"pc2001__32__10",1,"32/597",TRUE,1974551,2011
"pc2001__32__11",1,"32/598",TRUE,2127789,2011
"pc2001__32__12",1,"32/599",TRUE,1197412,2011
"pc2001__32__13",1,"32/600",TRUE,2635375,2011
"pc2001__32__14",1,"32/601",TRUE,3301427,2011
"pc2001__33__02",1,"33/603",TRUE,4646732,2011
"pc2001__33__05",2,"33/630;33/631",TRUE,3386652,2011
"pc2001__33__06",1,"33/606",TRUE,2464875,2011
"pc2001__33__08",1,"33/608",TRUE,3482056,2011
"pc2001__33__09",1,"33/609",TRUE,1726601,2011
"pc2001__33__11",1,"33/611",TRUE,735394,2011
"pc2001__33__13",1,"33/612",TRUE,2159775,2011
"pc2001__33__14",1,"33/613",TRUE,1064493,2011
"pc2001__33__15",1,"33/614",TRUE,2722290,2011
"pc2001__33__16",1,"33/615",TRUE,565223,2011
"pc2001__33__17",1,"33/616",TRUE,754894,2011
"pc2001__33__18",1,"33/617",TRUE,2605914,2011
"pc2001__33__20",1,"33/619",TRUE,1264277,2011
"pc2001__33__21",1,"33/620",TRUE,2405890,2011
"pc2001__33__22",1,"33/621",TRUE,1618345,2011
"pc2001__33__23",1,"33/622",TRUE,1339101,2011
"pc2001__33__24",1,"33/623",TRUE,3038252,2011
"pc2001__33__25",1,"33/624",TRUE,1245899,2011
"pc2001__33__26",1,"33/625",TRUE,1942288,2011
"pc2001__33__27",1,"33/626",TRUE,1353445,2011
"pc2001__33__30",1,"33/629",TRUE,1870374,2011
"pc2001__34__01",1,"34/634",TRUE,55626,2011
"pc2001__34__03",1,"34/636",TRUE,41816,2011
"pc2001__34__04",1,"34/637",TRUE,200222,2011
"pc2001__35__01",2,"35/639;35/640",TRUE,343739,2011
"pc2001__35__02",1,"35/638",TRUE,36842,2011
