"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__19__13","19","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__14","19","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__16","19","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__17","19","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__01","20","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__02","20","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__03","20","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__04","20","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__05","20","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__06","20","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__07","20","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__08","20","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__09","20","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__10","20","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__11","20","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__12","20","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__13","20","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__14","20","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__15","20","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__16","20","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__17","20","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__18","20","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__02","21","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__03","21","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__07","21","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__09","21","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__14","21","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__17","21","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__18","21","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__19","21","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__20","21","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__22","21","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__24","21","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__25","21","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__26","21","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__28","21","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__30","21","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__03","22","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__05","22","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__10","22","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__11","22","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__12","22","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__13","22","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__01","23","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__02","23","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__03","23","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__04","23","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__07","23","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__09","23","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__10","23","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__11","23","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__12","23","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__15","23","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__16","23","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__18","23","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__19","23","19",TRUE,TRUE,TRUE,TRUE,"included"
