"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_recent_0_9","migrants_within_state_outside_place","migrants_within_district","migrants_other_district_same_state","migrants_interstate","migrants_outside_india","population_total_2011","census_year","migrant_stock_share_population","recent_0_9_migrant_share_population","interdistrict_migrant_share_population","interstate_migrant_share_population","recent_0_9_share_among_migrants","within_district_share_among_migrants","other_district_same_state_share_among_migrants","interstate_share_among_migrants","outside_india_share_among_migrants"
"pc2001__03__14",1,"Bathinda",TRUE,746639,214638,588874,323582,265292,152321,5352,1388525,2011,0.537720962892278,0.1545798599233,0.3007601591617,0.109699861363677,0.28747225901674,0.433384808454956,0.355314951402217,0.204008898544009,0.00716812274740537
"pc2001__03__15",1,"Mansa",TRUE,401427,99543,331680,192397,139283,66826,2880,769751,2011,0.521502407921523,0.129318441937718,0.267760613497092,0.0868150869566912,0.247972856833247,0.479282659113612,0.346969685646456,0.166471114299736,0.00717440530905993
"pc2001__04__01",1,"Chandigarh",TRUE,678188,260786,30733,30733,0,633966,13092,1055450,2011,0.642558150551897,0.247085129565588,0.600659434364489,0.600659434364489,0.384533492188007,0.0453163429609489,0,0.934793891959162,0.0193043816758775
"pc2001__05__08",1,"Bageshwar",TRUE,93524,27819,88954,71457,17497,2559,1982,259898,2011,0.359848863785023,0.107038145734096,0.0771687354269752,0.00984617042070351,0.297453060177067,0.7640498695522,0.187085667849964,0.0273619605662718,0.0211924211966982
"pc2001__05__09",1,"Almora",TRUE,236692,71823,222005,182383,39622,12596,2051,622506,2011,0.380224447635846,0.115377201183603,0.083883528833457,0.0202343431227972,0.303444983353895,0.770549912967063,0.167398982644111,0.0532168387609214,0.0086652696331097
"pc2001__05__13",1,"Hardwar",TRUE,673506,258966,342392,284073,58319,325128,5759,1890422,2011,0.356272832203603,0.136988460777541,0.202836721113064,0.171986995496244,0.38450436967154,0.421782434009497,0.0865901714312864,0.482739574703121,0.00855077757287983
"pc2001__06__01",1,"Panchkula",TRUE,345592,149927,136611,73352,63259,203673,5203,561293,2011,0.615706948064558,0.267110047693451,0.475566237241512,0.362863958752381,0.433826593208176,0.212250283571379,0.183045325123267,0.589345239473136,0.0150553253547536
"pc2001__06__02",1,"Ambala",TRUE,499726,154314,304128,171738,132390,181718,13782,1128350,2011,0.442882084459609,0.136760756857358,0.278378162804094,0.161047547303585,0.308797220877041,0.343664328051772,0.264925178998091,0.363635272129127,0.0275791133541181
"pc2001__06__03",1,"Yamunanagar",TRUE,498307,160009,309949,187710,122239,176484,11824,1214205,2011,0.410397749968086,0.131780877199484,0.246023529799334,0.145349426167739,0.321105262418549,0.376695490932297,0.245308614970289,0.354167210173648,0.023728344173371
"pc2001__06__04",1,"Kurukshetra",TRUE,420787,158195,310194,126045,184149,101401,9128,964655,2011,0.43620465347715,0.163991271490844,0.296012564077313,0.105116336928747,0.375950302647183,0.299545850988743,0.437629964804046,0.240979402880792,0.0216926853728846
"pc2001__06__05",1,"Kaithal",TRUE,398147,116537,328168,157510,170658,64471,5466,1074304,2011,0.370609250268081,0.108476744012868,0.218866354402478,0.060011877457405,0.292698425455925,0.395607652449975,0.42863063139996,0.161927629744793,0.0137285977289795
"pc2001__06__06",1,"Karnal",TRUE,604177,199149,445186,225926,219260,143098,15862,1505324,2011,0.401360105864252,0.132296435850355,0.240717612952428,0.0950612625587581,0.329620293390844,0.373940087093683,0.362906896488943,0.236847811154678,0.0262538957954374
"pc2001__06__07",1,"Panipat",TRUE,554577,196628,344300,157517,186783,200641,9578,1205437,2011,0.460063031083333,0.163117607971217,0.321397136474158,0.166446691116997,0.3545549130238,0.284030892013192,0.336802644177454,0.361791058770919,0.017270820823799
"pc2001__06__08",1,"Sonipat",TRUE,588030,193073,429011,245765,183246,152496,6464,1450001,2011,0.405537651353344,0.133153701273309,0.231546047209623,0.105169582641667,0.328338690202881,0.417946363280785,0.311626957808275,0.259333707463905,0.0109926364301141
"pc2001__06__09",1,"Jind",TRUE,490182,142116,445639,194597,251042,40954,3575,1334152,2011,0.367410909701443,0.106521595740216,0.218862618352332,0.0306966522555151,0.289924966645042,0.396989281532166,0.512140388671963,0.0835485595146293,0.00729320946097572
"pc2001__06__10",1,"Fatehabad",TRUE,377867,115845,261365,118018,143347,110080,6397,942011,2011,0.401128012305589,0.122976270977727,0.269027644050866,0.11685638490421,0.306576123344986,0.312326823988335,0.379358345661304,0.291319432498736,0.0169292370066717
"pc2001__06__11",1,"Sirsa",TRUE,570094,172684,299071,224388,74683,261140,9841,1295189,2011,0.4401627870527,0.133327259573699,0.259284938337185,0.201623083580852,0.302904433303981,0.393598248709862,0.131001203310331,0.458064810364607,0.0172620655541016
"pc2001__06__14",1,"Rohtak",TRUE,395123,120552,325715,116183,209532,61182,8184,1061204,2011,0.372334631230188,0.113599270262834,0.255100810023332,0.0576533823845368,0.305099930907591,0.294042614578245,0.530295629462218,0.154842922330515,0.0207125376148693
"pc2001__06__15",1,"Jhajjar",TRUE,366378,112622,278465,118801,159664,86030,1870,958405,2011,0.382278890448193,0.11750982100469,0.25635717676765,0.08976372201731,0.307392911146412,0.324258006758048,0.4357903585914,0.234812133916338,0.00510401825437117
"pc2001__06__16",1,"Mahendragarh",TRUE,335147,97729,216544,135042,81502,117420,1162,922088,2011,0.363465309167889,0.105986630343308,0.215729952021933,0.127341425113438,0.291600402211567,0.402933638075233,0.24318284215583,0.350353725380206,0.00346713531674161
"pc2001__06__17",1,"Rewari",TRUE,359654,130892,230111,107751,122360,126905,2606,900332,2011,0.399468196176522,0.145381925778491,0.276858980909265,0.140953559353661,0.363938674392611,0.299596278645587,0.340215874145707,0.352853019846853,0.00724585295867695
"pc2001__08__02",1,"Hanumangarh",TRUE,725683,247927,517395,332399,184996,199732,7030,1774692,2011,0.408906446865146,0.139701424247137,0.216785785927924,0.112544599288215,0.341646421371315,0.458049864748106,0.254926737983389,0.275233125207563,0.00968742550121747
"pc2001__08__05",1,"Jhunjhunun",TRUE,715173,227272,616968,443509,173459,91519,4474,2137045,2011,0.334655096172519,0.106348719844458,0.123992709559228,0.0428250224024295,0.317786046173443,0.620142259285516,0.242541315178286,0.127967638599332,0.00625582900920477
"pc2001__08__17",1,"Barmer",TRUE,663717,196976,626912,507529,119383,18979,14386,2603751,2011,0.254908015397786,0.0756508590875241,0.0531394899128219,0.00728909945689891,0.296777090235748,0.764676812557159,0.179870336302972,0.0285950186600614,0.0216749005976945
"pc2001__08__18",1,"Jalor",TRUE,520975,169103,485064,385586,99478,33519,1886,1828730,2011,0.284883498384125,0.0924701842262116,0.072726427630104,0.0183291136471759,0.324589471663707,0.74012380632468,0.190945822736216,0.0643389797974951,0.00362013532319209
"pc2001__08__19",1,"Sirohi",TRUE,321506,117148,275331,200158,75173,43493,1595,1036346,2011,0.310230367078177,0.113039467513745,0.114504229282498,0.041967644010784,0.364372671116558,0.622563809073548,0.233815232064098,0.135278968355178,0.00496102716590048
"pc2001__08__20",1,"Pali",TRUE,676970,196221,644204,449677,194527,27499,4336,2037573,2011,0.3322433110372,0.0963013349705753,0.108965911896163,0.013495958181621,0.289851839815649,0.664249523612568,0.287349513272375,0.0406207069737211,0.00640501056176788
"pc2001__08__23",1,"Bundi",TRUE,400307,138622,380151,264352,115799,17418,1742,1110906,2011,0.36034281928444,0.124782834911325,0.119917436758826,0.015679094360819,0.346289223021331,0.660373163596939,0.28927548106828,0.0435116048432828,0.00435166010087258
"pc2001__08__27",1,"Dungarpur",TRUE,453175,134444,420295,365769,54526,29874,1664,1388552,2011,0.32636516313397,0.096823165427006,0.0607827434622542,0.0215144985567699,0.29667126386054,0.807125282727423,0.120319964693551,0.0659215534837535,0.00367187069013074
"pc2001__08__32",1,"Jhalawar",TRUE,485497,165192,359389,290398,68991,123064,1297,1411129,2011,0.344048630564605,0.117063712814349,0.13610024313865,0.0872096030908585,0.340253389825272,0.598145817584867,0.142103864699473,0.25348045405018,0.00267148921620525
"pc2001__09__01",1,"Saharanpur",TRUE,930988,265867,775610,582228,193382,145480,9856,3466382,2011,0.268576285014173,0.0766987019895672,0.0977566811736271,0.041968830902076,0.285575109453613,0.625387223036172,0.207716963054304,0.156264097926074,0.0105866026200123
"pc2001__09__03",1,"Bijnor",TRUE,865866,240279,799157,684175,114982,62900,3651,3682713,2011,0.23511633950297,0.065245105985723,0.0483018904812838,0.0170797995933976,0.277501368572042,0.790162681061504,0.132794219890838,0.0726440349892478,0.00421658778610085
"pc2001__09__05",1,"Rampur",TRUE,490595,135052,436743,299075,137668,49689,4137,2335819,2011,0.210031256702681,0.0578178360566465,0.0802104101387993,0.0212726242915226,0.275282055463264,0.609616893771848,0.280614356037057,0.101283135784099,0.00843261753584933
"pc2001__09__08",1,"Baghpat",TRUE,352917,106959,332110,158416,173694,19417,1370,1303048,2011,0.270839600690074,0.0820836991423186,0.148199452360926,0.0149012162253424,0.303071260381336,0.448876081344905,0.492166713419869,0.0550186021075777,0.00388193257904833
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,848470,434064,530310,166468,363842,312238,5765,1648115,2011,0.514812376563529,0.263369971148858,0.410214093069962,0.189451585599306,0.511584381298101,0.196197862034014,0.428821290086862,0.368001225735736,0.00679458319092013
"pc2001__09__11",1,"Bulandshahr",TRUE,961176,288925,911899,547820,364079,43936,4367,3499171,2011,0.274686775810613,0.0825695571894029,0.116603332617926,0.0125561168631084,0.300595312408966,0.569947647465188,0.378784946773536,0.0457106710945758,0.00454339267730364
"pc2001__09__12",1,"Aligarh",TRUE,1119225,325511,1066315,583097,483218,50687,2215,3673889,2011,0.304643117960287,0.088601207058787,0.145324205494505,0.0137965518283214,0.290836069601733,0.520982822935513,0.431743393866291,0.0452875873930622,0.00197904800196565
"pc2001__09__14",1,"Mathura",TRUE,823035,236797,660833,424519,236314,155212,4255,2547184,2011,0.323115644570632,0.0929642303029542,0.153709351189392,0.0609347420523998,0.287711944206504,0.515797019567819,0.287125091885521,0.188584932597034,0.00516988949437144
"pc2001__09__15",1,"Agra",TRUE,1324168,313499,1105289,805404,299885,207149,9280,4418797,2011,0.29966708133458,0.07094668526298,0.114744804977463,0.0468790487546724,0.236751681055576,0.608234000519572,0.226470508273875,0.156437098615886,0.00700817418937778
"pc2001__09__16",1,"Firozabad",TRUE,746651,188941,721568,393689,327879,20660,4352,2498156,2011,0.298880854518293,0.0756321863006153,0.139518508852129,0.00827010002577902,0.25305129170121,0.527273116891292,0.439132874662995,0.0276702234377239,0.00582869372705588
"pc2001__09__18",1,"Mainpuri",TRUE,501121,130992,489424,216991,272433,10133,1525,1868529,2011,0.26819011104457,0.0701043441124007,0.151223770142181,0.00542298246374555,0.261397945805504,0.433011188914454,0.543647143105158,0.0202206652684681,0.00304317719672494
"pc2001__09__20",1,"Bareilly",TRUE,1154125,305077,1077970,768407,309563,69615,6215,4448359,2011,0.259449608271275,0.0685819197596237,0.0852399727629897,0.0156495912312833,0.264336185421856,0.665791833640204,0.268223112747753,0.0603184230477635,0.00538503195061194
"pc2001__09__21",1,"Pilibhit",TRUE,507796,128300,458382,313573,144809,39318,10056,2031007,2011,0.250021787221807,0.0631706340746241,0.0906579839458948,0.019358869762635,0.252660517215575,0.617517664573963,0.285171604345052,0.0774287312227745,0.0198032280679643
"pc2001__09__22",1,"Shahjahanpur",TRUE,748473,190393,710643,439958,270685,31463,4738,3006538,2011,0.248948458326487,0.0633263241642048,0.100496983573798,0.0104648602478997,0.25437524132467,0.587807442619841,0.361649652024856,0.0420362524767092,0.00633022166464255
"pc2001__09__24",1,"Sitapur",TRUE,1182024,277559,1157772,923782,233990,16496,6581,4483992,2011,0.263609747742636,0.061899976627969,0.0558622762930888,0.00367886472589603,0.234816721149486,0.781525586620915,0.197957063477561,0.0139557234032473,0.00556756884800985
"pc2001__09__25",1,"Hardoi",TRUE,925804,222426,912343,670131,242212,11034,2173,4092845,2011,0.226200601293232,0.0543450826991982,0.061875297012225,0.00269592422874553,0.240251716346008,0.723836794829143,0.261623410570704,0.0119182894003482,0.00234714907258988
"pc2001__09__26",1,"Unnao",TRUE,906396,202507,892401,659270,233131,10527,2545,3108367,2011,0.291598771959682,0.0651489994585581,0.078387783681914,0.00338666573155615,0.223420006266577,0.727353165724474,0.25720656313576,0.0116141289237817,0.00280782351201903
"pc2001__09__27",1,"Lucknow",TRUE,1851848,570883,1693798,838754,855044,146333,11072,4589838,2011,0.403466963322017,0.124379771137892,0.218172623957534,0.0318819531321149,0.308277461217119,0.452928102090452,0.461724720387418,0.0790199843615675,0.00597889243609627
"pc2001__09__28",1,"Rae Bareli",TRUE,946486,197260,929443,701031,228412,14879,2038,3405559,2011,0.277923829832342,0.0579229430469418,0.071439373095577,0.00436903310146734,0.20841301403296,0.740667056881982,0.241326337632041,0.0157202536540424,0.00215322783432613
"pc2001__09__29",1,"Farrukhabad",TRUE,489438,133737,470682,215494,255188,17247,1314,1885204,2011,0.259620709482899,0.0709403332477546,0.144512211940989,0.00914861203349876,0.273246049550709,0.44028865760321,0.521389838958152,0.0352383754428549,0.00268471185318672
"pc2001__09__30",1,"Kannauj",TRUE,412480,105529,401391,175500,225891,9852,1156,1656616,2011,0.248989506318906,0.0637015458018032,0.142303949738503,0.00594706316973879,0.255840283165244,0.425475174553918,0.547641097750194,0.0238847944142746,0.00280256012412723
"pc2001__09__31",1,"Etawah",TRUE,492784,130619,461729,238931,222798,29622,1329,1581810,2011,0.311531726313527,0.0825756570005247,0.159576687465625,0.0187266485861134,0.265063394915419,0.484859492191305,0.452121010422416,0.0601115295951167,0.0026969219779863
"pc2001__09__32",1,"Auraiya",TRUE,405514,107075,393127,173174,219953,11290,1006,1379545,2011,0.293947642157378,0.0776161705489854,0.167622658195275,0.00818385772120518,0.264047603781867,0.427048141371198,0.542405440995872,0.0278412089348333,0.0024808021424661
"pc2001__09__33",1,"Kanpur Dehat",TRUE,495926,117816,487090,267595,219495,7553,1188,1796184,2011,0.2760997759695,0.065592389198434,0.126405757984705,0.00420502576573447,0.237567701632905,0.539586551219335,0.442596274444171,0.0152300948125325,0.00239551868625561
"pc2001__09__34",1,"Kanpur Nagar",TRUE,1338424,346655,1246968,522643,724325,82421,8762,4581268,2011,0.292151430564638,0.0756679155203319,0.176096661448315,0.0179908706497852,0.259002378917294,0.390491354010388,0.541177534174522,0.0615806351350544,0.0065465054422216
"pc2001__09__35",1,"Jalaun",TRUE,537240,127543,497001,353218,143783,38538,1504,1689974,2011,0.317898381868597,0.0754703918521823,0.107883908273145,0.0228039011251061,0.237404139676867,0.657467798376889,0.267632715359988,0.0717333035514854,0.00279949370858462
"pc2001__09__36",1,"Jhansi",TRUE,661711,165009,499192,375903,123289,160155,2167,1998603,2011,0.331086764104727,0.0825621696755184,0.141821062011815,0.0801334732310519,0.249367170864622,0.568077302629093,0.186318498559039,0.242031642212386,0.0032748435495254
"pc2001__09__37",1,"Lalitpur",TRUE,357670,102419,271244,248078,23166,85467,806,1221592,2011,0.292790064113059,0.0838405948958408,0.0889273996555315,0.0699636212417894,0.286350546593228,0.693594654290268,0.0647692006598261,0.238954902563816,0.0022534738725641
"pc2001__09__38",1,"Hamirpur",TRUE,315374,72242,301586,185027,116559,12944,759,1104285,2011,0.285591129101636,0.0654197059635873,0.117273167705801,0.0117216117216117,0.2290677100839,0.586690722760912,0.369589756923526,0.0410433326780267,0.00240666637072175
"pc2001__09__39",1,"Mahoba",TRUE,260698,62656,206922,133906,73016,53186,507,875958,2011,0.297614725820188,0.071528543605972,0.144073117660892,0.0607175229862619,0.240339396543127,0.513644139962716,0.280078865200347,0.204013839768621,0.00194477901633308
"pc2001__09__40",1,"Banda",TRUE,477181,117264,428060,332911,95149,47863,1165,1799410,2011,0.265187478117828,0.0651680272978365,0.079477161958642,0.0265992742065455,0.2457432295083,0.69766189349534,0.19939813194574,0.100303658360245,0.00244142159893206
"pc2001__09__41",1,"Chitrakoot",TRUE,251141,67326,223711,163901,59810,26845,515,991730,2011,0.25323525556351,0.0678874290381455,0.0873776128583385,0.0270688594677987,0.268080480686148,0.6526254175941,0.238153069391298,0.106892144253626,0.00205064087504629
"pc2001__09__42",1,"Fatehpur",TRUE,687436,151189,678325,527967,150358,7299,1746,2632733,2011,0.261111172306497,0.0574266361229946,0.059883398734319,0.00277240418986658,0.219931746373481,0.768023496005446,0.218722906568757,0.0106177156855329,0.00253987280270454
"pc2001__09__43",1,"Pratapgarh",TRUE,859280,167055,842547,624268,218279,13437,3140,3209141,2011,0.267760126463748,0.0520559863215733,0.0722049919277464,0.00418710178206567,0.194412764174658,0.726501256866214,0.254025463178475,0.0156375104738851,0.0036542221394656
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,614103,132248,603109,427418,175691,8955,1913,2397888,2011,0.256101619425094,0.0551518669762725,0.0770035964982518,0.00373453639202498,0.215351496410211,0.696003764840751,0.286093700893824,0.0145822443466324,0.00311511261140232
"pc2001__09__50",1,"Bahraich",TRUE,841353,211853,806821,636094,170727,15480,18889,3487731,2011,0.241232193652549,0.0607423565636226,0.0533891518583285,0.00443841569203588,0.251800373921529,0.756037002304621,0.202919583100078,0.0183989359995151,0.0224507430293824
"pc2001__09__52",1,"Balrampur",TRUE,505036,126484,484823,373810,111013,9570,10530,2148665,2011,0.235046412539879,0.0588663193192052,0.05611996286066,0.00445392836947593,0.250445512795128,0.740165057540453,0.219812053002162,0.018949144219422,0.0208499988119659
"pc2001__09__53",1,"Gonda",TRUE,914351,208543,893620,680705,212915,17512,2992,3433919,2011,0.266270404165037,0.0607303200803513,0.0671032135586192,0.00509971260242306,0.228077620082441,0.744467934086582,0.23285915365106,0.0191523824001942,0.00327226633973168
"pc2001__09__55",1,"Basti",TRUE,640186,152300,623383,450396,172987,14507,2199,2464464,2011,0.259766829622993,0.0617984275688344,0.0760790175875971,0.00588647267722312,0.23789961042572,0.703539283895618,0.270213656656034,0.0226606017626127,0.00343493922078896
"pc2001__09__60",1,"Deoria",TRUE,862517,191886,746378,598911,147467,111741,4275,3100946,2011,0.278146410804961,0.0618798263497655,0.0835899754462025,0.0360344875402538,0.222472136781072,0.694375878968183,0.17097286198417,0.129552229115484,0.00495642404729414
"pc2001__09__61",1,"Azamgarh",TRUE,1219687,251655,1201184,894968,306216,14768,3625,4613913,2011,0.264349804601864,0.0545426409210577,0.0695687153182125,0.00320075389371234,0.206327525012565,0.733768581611512,0.25106113289721,0.0121080244357774,0.00297207398291529
"pc2001__09__62",1,"Mau",TRUE,545733,113822,533460,318116,215344,10474,1676,2205968,2011,0.247389354695988,0.0515973033153699,0.102366852103022,0.00474802898319468,0.208567193114582,0.58291508851398,0.394595892130401,0.0191925355439382,0.00307109887069318
"pc2001__09__63",1,"Ballia",TRUE,927433,171367,849409,749077,100332,76740,975,3239774,2011,0.286264720934238,0.0528947389540135,0.0546556642531238,0.0236868374152024,0.184775611823172,0.807688533834789,0.108182477871717,0.0827445217066893,0.00105128888016708
"pc2001__09__64",1,"Jaunpur",TRUE,1258743,244274,1236738,867717,369021,20082,1794,4494204,2011,0.28008141152471,0.0543531179270011,0.0865788468881252,0.00446842199419519,0.194061853769991,0.689351996396405,0.293166277786649,0.0159540112636178,0.00142523136176328
"pc2001__09__65",1,"Ghazipur",TRUE,968892,197424,902240,711672,190568,63984,2505,3620268,2011,0.267629910271836,0.0545329793263924,0.0703130265494157,0.0176738296722784,0.20376264846856,0.734521494655751,0.196686524401068,0.0660383200604402,0.00258542747798516
"pc2001__09__66",1,"Chandauli",TRUE,561809,129273,491602,356343,135259,67525,2489,1952756,2011,0.287700562691908,0.0662002830870831,0.103845027233305,0.0345793330042258,0.230101333371306,0.634277841757608,0.240756200060875,0.120192093754283,0.00443033130476728
"pc2001__09__67",1,"Varanasi",TRUE,1200983,301336,1118990,779132,339858,77957,3916,3676841,2011,0.326634466924188,0.081955134856253,0.113634231123946,0.0212021678391859,0.250907798028781,0.648745236194018,0.28298318960385,0.0649109937442911,0.00326066230745981
"pc2001__09__69",1,"Mirzapur",TRUE,676304,161530,644376,437336,207040,29810,2041,2496970,2011,0.270849870042492,0.0646904047705819,0.0948549642166306,0.011938469424943,0.238842295772315,0.646655941706688,0.306134519387731,0.0440778111618444,0.00301787361896425
"pc2001__09__70",1,"Sonbhadra",TRUE,592083,154518,479439,352489,126950,110735,1805,1862559,2011,0.317886842779209,0.0829600565673356,0.1276120649064,0.059453150208933,0.260973545938661,0.595337140232028,0.214412506354683,0.187026143294099,0.00304855907026549
"pc2001__10__01",1,"Pashchim Champaran",TRUE,992018,242543,924758,827937,96821,40059,27115,3935042,2011,0.252098452824646,0.0616366991762731,0.0347848892082982,0.0101800692343309,0.244494555542339,0.834598767361076,0.0976000435475969,0.0403813237259808,0.027333173389999
"pc2001__10__02",1,"Purba Champaran",TRUE,1249887,309448,1174846,948552,226294,12103,62826,5099371,2011,0.245106112106768,0.0606835627374435,0.0467502756712544,0.00237342997793257,0.24758078130263,0.758910205482576,0.181051567061662,0.00968327536809328,0.0502653439870964
"pc2001__10__03",1,"Sheohar",TRUE,84994,21110,82921,37724,45197,1108,817,656246,2011,0.129515456094209,0.0321678151181112,0.0705604300826215,0.00168839124352758,0.248370473209874,0.443843094806692,0.531766948255171,0.0130362143210109,0.00961244323128691
"pc2001__10__04",1,"Sitamarhi",TRUE,852953,209653,773645,585003,188642,8999,70227,3423574,2011,0.249141102251624,0.0612380512295046,0.0577294371320731,0.0026285396489166,0.245796661715241,0.685856078822631,0.221163416976082,0.0105504054736896,0.0823339621292146
"pc2001__10__05",1,"Madhubani",TRUE,1143850,274760,1074295,890826,183469,8768,60719,4487379,2011,0.254903809105493,0.0612295061326445,0.04283948380558,0.00195392455150323,0.240206320758841,0.778796170826594,0.160396030948114,0.00766534073523626,0.0530830091358133
"pc2001__10__06",1,"Supaul",TRUE,575469,161327,546879,391740,155139,4227,24264,2229076,2011,0.258164818068114,0.0723739343117956,0.0714941975957751,0.00189630142713842,0.280340035692626,0.680731716217555,0.269587067244282,0.00734531312720581,0.042163869817488
"pc2001__10__08",1,"Kishanganj",TRUE,352376,98005,292738,243600,49138,48984,10451,1690400,2011,0.208457169900615,0.0579774017983909,0.0580466161855182,0.0289777567439659,0.278126206098032,0.691307012963425,0.139447635480282,0.139010602311168,0.029658660067655
"pc2001__10__09",1,"Purnia",TRUE,763104,196673,736042,471727,264315,21999,4988,3264619,2011,0.233749788260131,0.0602437834246508,0.0877021177662692,0.00673861176449687,0.25772764918019,0.618168689981968,0.346368253868411,0.0288283117373254,0.00653646160942676
