"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_illiterate","migrants_literate","migrants_literate_below_matric","migrants_matric_below_graduate","migrants_technical_diploma_below_degree","migrants_graduate_nontechnical","migrants_technical_degree","migrants_literate_education_not_classified","census_year","literate_share_among_migrants","graduate_or_technical_degree_share_among_migrants","technical_credential_share_among_migrants"
"pc2001__09__37",1,"Lalitpur",TRUE,357670,223739,133931,90746,22324,226,11665,1518,7452,2011,0.374454105739928,0.036857997595549,0.00487600301954315
"pc2001__09__38",1,"Hamirpur",TRUE,315374,178613,136761,86003,27261,89,13952,1554,7902,2011,0.433647034948981,0.049167020743625,0.0052096875455808
"pc2001__09__39",1,"Mahoba",TRUE,260698,152902,107796,69487,18783,148,9102,1063,9213,2011,0.413489938549586,0.0389914767278614,0.00464522167412101
"pc2001__09__40",1,"Banda",TRUE,477181,288240,188941,118946,37942,253,21194,2136,8470,2011,0.395952479247916,0.0488913012043648,0.00500648600845382
"pc2001__09__41",1,"Chitrakoot",TRUE,251141,160214,90927,57332,18792,80,8319,960,5444,2011,0.362055578340454,0.0369473721933097,0.00414110001951095
"pc2001__09__42",1,"Fatehpur",TRUE,687436,398021,289415,168177,70254,257,31358,2026,17343,2011,0.421006464601796,0.0485630662345295,0.00332103643102776
"pc2001__09__43",1,"Pratapgarh",TRUE,859280,496022,363258,199479,98200,232,34494,2369,28484,2011,0.422746950935667,0.0428998696583186,0.00302695279769109
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,614103,340920,273183,147268,68136,339,37990,2715,16735,2011,0.44484882829102,0.0662836690262057,0.00497310711720998
"pc2001__09__50",1,"Bahraich",TRUE,841353,615363,225990,135362,46600,211,19804,1348,22665,2011,0.268603071481293,0.0251404582856423,0.00185296777927933
"pc2001__09__52",1,"Balrampur",TRUE,505036,384929,120107,78250,21523,109,9436,855,9934,2011,0.237818690152781,0.0203767652206971,0.00190877482001283
"pc2001__09__53",1,"Gonda",TRUE,914351,601516,312835,186677,71951,592,29020,2188,22407,2011,0.342138850397714,0.0341313128109446,0.00304040789587369
"pc2001__09__55",1,"Basti",TRUE,640186,390053,250133,137869,61323,369,28541,2267,19764,2011,0.390719259715145,0.0481235141037136,0.00411755333606171
"pc2001__09__60",1,"Deoria",TRUE,862517,493003,369514,179288,120968,451,40919,3348,24540,2011,0.42841358489166,0.0513230463863321,0.00440455086682349
"pc2001__09__61",1,"Azamgarh",TRUE,1219687,691514,528173,284519,140187,470,59245,4803,38949,2011,0.433039788076777,0.0525118329538644,0.00432324030673443
"pc2001__09__62",1,"Mau",TRUE,545733,290080,255653,112334,79818,478,33691,2815,26517,2011,0.468458018848045,0.0668935175259697,0.00603408626562806
"pc2001__09__63",1,"Ballia",TRUE,927433,486463,440970,194650,145691,591,46221,3847,49970,2011,0.475473699986953,0.0539855709253391,0.00478525133351951
"pc2001__09__64",1,"Jaunpur",TRUE,1258743,711763,546980,298641,152001,440,55841,5100,34957,2011,0.434544621102163,0.0484141719159511,0.00440121613387324
"pc2001__09__65",1,"Ghazipur",TRUE,968892,527886,441006,204026,145886,415,46983,3448,40248,2011,0.455165281579371,0.0520501769031017,0.00398702848201864
"pc2001__09__66",1,"Chandauli",TRUE,561809,294024,267785,136605,84653,679,28003,2238,15607,2011,0.476647757511895,0.0538279023653946,0.00519215605303582
"pc2001__09__67",1,"Varanasi",TRUE,1200983,480923,720060,310958,216529,3052,130122,17563,41836,2011,0.599558861366064,0.12297010032615,0.0171651055843422
"pc2001__09__69",1,"Mirzapur",TRUE,676304,389973,286331,154937,78399,538,31099,2191,19167,2011,0.423376174028248,0.0492234261515531,0.00403516761692966
"pc2001__09__70",1,"Sonbhadra",TRUE,592083,317759,274324,136407,78859,3890,33970,5023,16175,2011,0.463320176394188,0.065857320679702,0.0150536326832556
"pc2001__10__01",1,"Pashchim Champaran",TRUE,992018,678549,313469,202825,57807,172,15132,1494,36039,2011,0.315991242094397,0.0167597765363128,0.00167940501079618
"pc2001__10__02",1,"Purba Champaran",TRUE,1249887,860389,389498,238232,87818,181,20469,1799,40999,2011,0.311626571042022,0.0178160105673553,0.00158414320654587
"pc2001__10__03",1,"Sheohar",TRUE,84994,56506,28488,16023,4813,8,893,80,6671,2011,0.335176600701226,0.0114478669082523,0.00103536720239076
"pc2001__10__04",1,"Sitamarhi",TRUE,852953,584978,267975,157399,61314,124,17924,1624,29590,2011,0.3141732311159,0.0229180271363135,0.00204935090210129
