"specification_id","adjustment_id","construction_id","fixed_effect","tested_variable","n_excluded_instruments","excluded_instruments","estimate","std.error","p.value","standardized_effect","joint_f","joint_p","n","status","reason","p_holm_within_spec"
"state_main__nonzero_mean","state_main","nonzero_mean","state","migrant_stock_share_population",1,"ling_distance_nonzero_mean",-0.00886082880437219,0.0051715948430147,0.0872335397394997,-0.0953241206892469,2.93561909722867,0.0872335397394996,573,"estimated",,0.261700619218499
"state_main__nonzero_mean","state_main","nonzero_mean","state","recent_0_9_migrant_share_population",1,"ling_distance_nonzero_mean",-0.00306864034139978,0.00288934959445881,0.288698392125677,-0.0613353185382242,1.1279550578682,0.288698392125677,573,"estimated",,0.56045610633169
"state_main__nonzero_mean","state_main","nonzero_mean","state","interdistrict_migrant_share_population",1,"ling_distance_nonzero_mean",-0.00938407222453777,0.00364876101064913,0.0103885220133722,-0.11383062991784,6.61442118992076,0.0103885220133722,573,"estimated",,0.0415540880534888
"state_main__nonzero_mean","state_main","nonzero_mean","state","interstate_migrant_share_population",1,"ling_distance_nonzero_mean",-0.00439325731835321,0.00406437672486614,0.280228053165845,-0.0717748373910771,1.16838338106664,0.280228053165845,573,"estimated",,0.56045610633169
"state_main__glottolog_mean","state_main","glottolog_mean","state","migrant_stock_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.00138707525111421,0.0016079452468447,0.388728712882985,-0.0463685334644218,0.744144940579444,0.388728712882985,573,"estimated",,1
"state_main__glottolog_mean","state_main","glottolog_mean","state","recent_0_9_migrant_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.000193013831322964,0.000901771099168012,0.830599736184925,-0.0119880333356649,0.0458125259625705,0.830599736184925,573,"estimated",,1
"state_main__glottolog_mean","state_main","glottolog_mean","state","interdistrict_migrant_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.000612819154361671,0.00148117818347912,0.679234580754088,-0.0230990970817169,0.171178828221771,0.679234580754088,573,"estimated",,1
"state_main__glottolog_mean","state_main","glottolog_mean","state","interstate_migrant_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.000606561510377014,0.00199691803048428,0.761439140697186,-0.0307932338436355,0.0922633502087822,0.761439140697186,573,"estimated",,1
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","migrant_stock_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000216223008559496,0.000193840949958253,0.265159122414345,-0.0437327902807408,1.24426462127661,0.265159122414345,573,"estimated",,0.53031824482869
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","recent_0_9_migrant_share_population",1,"ling_distance_dyen_noncognate_pct",2.38838602093502e-05,0.000119951207701748,0.842251048117998,0.00897523802924764,0.039646037863046,0.842251048117998,573,"estimated",,0.842251048117998
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","interdistrict_migrant_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000316889128020501,0.000195877688845726,0.106306018762473,-0.0722689852279972,2.61724715648828,0.106306018762473,573,"estimated",,0.318918056287419
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","interstate_migrant_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000348725506334657,0.000189559101615814,0.0663794882802319,-0.107113968328565,3.38437239104236,0.0663794882802319,573,"estimated",,0.265517953120928
