"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","recent_0_9_work_employment_within_india_classified_origin","census_year","work_employment_share_among_migrants","business_share_among_migrants","education_share_among_migrants","marriage_share_among_migrants","moved_after_birth_share_among_migrants","moved_with_household_share_among_migrants","other_reason_share_among_migrants"
"pc2001__03__03",1,"Kapurthala",TRUE,411079,41515,2350,1887,167292,22761,66225,109049,15378,2011,0.100990320595311,0.00571666273392706,0.00459035854422143,0.406958273227287,0.0553689193561335,0.161100421086944,0.265275044456175
"pc2001__03__04",1,"Jalandhar",TRUE,1079124,123276,5546,7333,384853,82719,210796,264601,48484,2011,0.114237103428336,0.00513935377213369,0.00679532657970724,0.356634640690041,0.0766538414491754,0.195339923864171,0.245199810216435
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,353009,33843,1539,714,134741,49171,49118,83883,15579,2011,0.0958700769668762,0.00435966221824373,0.00202261132152438,0.381692818030135,0.139291066233439,0.139140928418256,0.237622836811526
"pc2001__03__10",1,"Moga",TRUE,557354,29393,1515,1307,212202,75153,49915,187869,9385,2011,0.0527366808168597,0.00271820064088533,0.00234500873771427,0.380731097291847,0.134838899514492,0.0895570858018423,0.33707302719636
"pc2001__03__12",1,"Muktsar",TRUE,390879,28227,858,732,209061,33809,38485,79707,9556,2011,0.0722141634623502,0.00219505268893954,0.00187270229406031,0.534848380189266,0.0864947976227938,0.0984575789438675,0.203917324798723
"pc2001__03__13",1,"Faridkot",TRUE,304868,18734,973,1299,138791,35288,31574,78209,5893,2011,0.0614495453770156,0.00319154519332957,0.00426086043796004,0.455249485023026,0.115748455069079,0.103566133539761,0.256533975359828
"pc2001__03__14",1,"Bathinda",TRUE,746639,75104,2494,2097,306948,110426,94473,155097,36365,2011,0.100589441483769,0.00334030234155998,0.00280858621100693,0.411106304385386,0.147897444414235,0.126531027712188,0.207726893451856
"pc2001__03__15",1,"Mansa",TRUE,401427,18291,1270,812,184768,76191,30778,89317,7429,2011,0.0455649470513942,0.00316371345225907,0.00202278371908217,0.460277958383467,0.189800387118953,0.0766714745146689,0.222498735760176
"pc2001__04__01",1,"Chandigarh",TRUE,678188,206642,8540,23114,110477,37108,198558,93749,75750,2011,0.304697222599043,0.0125923785145122,0.0340819949630486,0.16290025774564,0.0547163913251193,0.29277722401458,0.138234530838057
"pc2001__05__08",1,"Bageshwar",TRUE,93524,6106,274,1175,66375,392,8837,10365,2670,2011,0.0652880544031479,0.00292972926735383,0.0125636200333604,0.709710876352594,0.00419143749198067,0.094489115093452,0.110827167358111
"pc2001__05__09",1,"Almora",TRUE,236692,16724,725,4751,161050,1387,28001,24054,8261,2011,0.0706572254237575,0.00306305240565799,0.020072499281767,0.68042012404306,0.00585993611951397,0.118301421256316,0.101625741469927
"pc2001__05__13",1,"Hardwar",TRUE,673506,90435,2731,10300,320420,10651,145810,93159,47391,2011,0.134274973051465,0.0040549007729701,0.0152931080049769,0.475749288053856,0.0158142614913601,0.21649398817531,0.138319480450063
"pc2001__06__01",1,"Panchkula",TRUE,345592,61575,3159,2371,85448,20813,118315,53911,27227,2011,0.178172527141832,0.00914083659343966,0.00686069121970416,0.247251093775319,0.060224195004514,0.342354568392787,0.155996087872404
"pc2001__06__02",1,"Ambala",TRUE,499726,47953,2576,2128,229781,26585,101034,89669,18206,2011,0.095958585304747,0.00515482484401452,0.0042583335667946,0.459813978059977,0.0531991531359185,0.202178793979101,0.179436331109448
"pc2001__06__03",1,"Yamunanagar",TRUE,498307,62252,2367,2664,255474,21308,98718,55524,25020,2011,0.124927002831588,0.00475008378369158,0.00534610190103691,0.512683947847411,0.0427607880282637,0.19810678958955,0.111425286018458
"pc2001__06__04",1,"Kurukshetra",TRUE,420787,46185,1202,11351,214675,27567,84652,35155,20149,2011,0.109758618968742,0.00285655212732333,0.026975643258941,0.510174981641543,0.0655129554857921,0.20117541654091,0.0835458319767483
"pc2001__06__05",1,"Kaithal",TRUE,398147,31639,1147,2154,249261,12491,49179,52276,11980,2011,0.0794656245055218,0.00288084551685684,0.00541006211273726,0.626052689082173,0.0313728346565465,0.123519705033568,0.131298239092596
"pc2001__06__06",1,"Karnal",TRUE,604177,67116,2550,2589,315502,23901,101980,90539,28691,2011,0.111086651759335,0.00422061746805986,0.0042851680881596,0.522201275454047,0.0395595992565093,0.168791595840292,0.149855092133597
"pc2001__06__07",1,"Panipat",TRUE,554577,97877,2764,2009,212481,15510,142870,81066,42423,2011,0.176489468549904,0.00498397878022349,0.00362258081384551,0.383140663965509,0.0279672615344668,0.257619771465459,0.146176274890592
"pc2001__06__08",1,"Sonipat",TRUE,588030,72524,1799,7231,310687,8974,114885,71930,32254,2011,0.123333843511385,0.00305936771933405,0.0122969916500859,0.528352294950938,0.0152611261330204,0.195372685067088,0.122323690968148
"pc2001__06__09",1,"Jind",TRUE,490182,39843,1477,2178,314792,12168,72263,47461,15872,2011,0.081282054420603,0.00301316653814298,0.00444324761007136,0.642194123815236,0.0248234329289937,0.147420753924053,0.0968232207629003
"pc2001__06__10",1,"Fatehabad",TRUE,377867,39578,1135,1001,211488,24871,67773,32021,13524,2011,0.1047405568626,0.00300370236088359,0.00264908023193346,0.559688991100043,0.0658194549934236,0.179356757801025,0.0847414566500912
"pc2001__06__11",1,"Sirsa",TRUE,570094,55845,1895,3935,284199,59725,94030,70465,20570,2011,0.0979575298108733,0.00332401323290545,0.00690237048627068,0.498512526004483,0.104763424979039,0.164937712026438,0.123602423459991
"pc2001__06__14",1,"Rohtak",TRUE,395123,44671,1137,4655,229104,4532,76938,34086,15971,2011,0.113055934481162,0.00287758495455845,0.0117811415685748,0.579829572057309,0.0114698460985567,0.194719112782602,0.0862668080572379
"pc2001__06__15",1,"Jhajjar",TRUE,366378,34088,1010,3444,228937,6545,51500,40854,15673,2011,0.093040520991981,0.00275671574166571,0.00940012773692744,0.624865575989825,0.0178640638902991,0.140565208609687,0.111507787039615
"pc2001__06__16",1,"Mahendragarh",TRUE,335147,13891,556,1488,246500,14962,29571,28179,6985,2011,0.0414474842382596,0.0016589735250502,0.00443984281524227,0.735498154541142,0.0446430969097142,0.0882329246569416,0.0840795233136504
"pc2001__06__17",1,"Rewari",TRUE,359654,44581,725,2078,204214,8020,57654,42382,22097,2011,0.123955245875202,0.002015826321965,0.00577777530626658,0.567806836570704,0.0222992097960818,0.160304070022855,0.117841036106925
"pc2001__08__02",1,"Hanumangarh",TRUE,725683,80695,2156,1883,364479,59192,128702,88576,27011,2011,0.111198691439651,0.002970994221995,0.00259479690167745,0.502256494915824,0.0815672959129537,0.177352921316884,0.122058805291015
"pc2001__08__05",1,"Jhunjhunun",TRUE,715173,30945,1846,9729,524999,16584,60340,70730,13915,2011,0.0432692509364867,0.00258119364125883,0.013603701482019,0.734086717479547,0.0231887948790013,0.0843711941026856,0.0988991474790016
"pc2001__08__17",1,"Barmer",TRUE,663717,22249,1745,1122,502931,18941,42861,73868,8349,2011,0.0335218172805578,0.00262913259717621,0.00169047952666573,0.757749161163568,0.028537765342759,0.0645772219183779,0.111294422170895
"pc2001__08__18",1,"Jalor",TRUE,520975,19461,1334,1961,388782,34723,33244,41470,9405,2011,0.0373549594510293,0.00256058352128221,0.00376409616584289,0.746258457699506,0.0666500311915159,0.0638111233744422,0.0796007485963818
"pc2001__08__19",1,"Sirohi",TRUE,321506,24855,1028,1642,206061,27273,37711,22936,13061,2011,0.077308044017841,0.0031974519915647,0.00510721417329692,0.640924275130169,0.084828898994109,0.117294856083557,0.071339259609463
"pc2001__08__20",1,"Pali",TRUE,676970,47218,2402,3714,434942,49493,64522,74679,18312,2011,0.0697490287605064,0.00354816313869152,0.00548621061494601,0.642483418763018,0.073109591266969,0.0953099841942774,0.110313603261592
"pc2001__08__23",1,"Bundi",TRUE,400307,35173,707,2759,238916,31215,48605,42932,14723,2011,0.0878650635637148,0.00176614448410845,0.00689221022864951,0.596831931492579,0.0779776521519734,0.121419310679054,0.107247687399921
"pc2001__08__27",1,"Dungarpur",TRUE,453175,10847,1239,2872,307953,45395,16506,68363,5185,2011,0.023935565730678,0.0027340431400673,0.00633750758536989,0.679545429469852,0.10017101561207,0.0364230153914051,0.150853423070558
"pc2001__08__32",1,"Jhalawar",TRUE,485497,29949,836,2503,334418,26407,40252,51132,12751,2011,0.0616873018782814,0.00172194678854864,0.00515554164083403,0.68881579082878,0.0543916852215359,0.0829088542256698,0.105318879416351
"pc2001__09__01",1,"Saharanpur",TRUE,930988,55699,3376,10802,612761,10311,100791,137248,19881,2011,0.0598278388121007,0.00362625511821849,0.0116027274250581,0.658183564127572,0.0110753307239191,0.108262405100818,0.147421878692314
"pc2001__09__03",1,"Bijnor",TRUE,865866,37704,4177,3395,637321,4411,71229,107629,13068,2011,0.0435448441213767,0.00482407208505704,0.00392093002843396,0.736050381929767,0.00509432175417443,0.0822633063314647,0.124302143749726
"pc2001__09__05",1,"Rampur",TRUE,490595,23001,1502,1658,344527,2168,48247,69492,8713,2011,0.0468838858936597,0.00306158847929555,0.00337956970617312,0.702263577900305,0.00441912371711901,0.0983438477766793,0.141648406526769
"pc2001__09__08",1,"Baghpat",TRUE,352917,23098,1038,1689,259131,1798,34080,32083,12274,2011,0.0654488165772689,0.00294120147230085,0.0047858278292063,0.734254796453557,0.00509468231907219,0.0965666148131147,0.09090806053548
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,848470,183627,9157,8555,223463,23130,272107,128431,114405,2011,0.21642132308744,0.0107923674378587,0.0100828550213914,0.26337171614789,0.0272608342074558,0.320703148019376,0.151367756078589
"pc2001__09__11",1,"Bulandshahr",TRUE,961176,52511,4016,4653,713102,4836,88226,93832,21926,2011,0.0546320340915712,0.00417821501993391,0.00484094484256785,0.741905748791064,0.0050313366126495,0.0917896410230801,0.0976220796191332
"pc2001__09__12",1,"Aligarh",TRUE,1119225,90809,10129,17678,636417,18602,150273,195317,31861,2011,0.081135607228216,0.00905001228528669,0.0157948580490965,0.568622931046036,0.0166204293149277,0.134265228171279,0.174510933905158
"pc2001__09__14",1,"Mathura",TRUE,823035,52451,5418,7387,459394,10902,96883,190600,20134,2011,0.0637287600162812,0.00658295212232773,0.00897531696707916,0.558170673179148,0.0132460952450382,0.117714313486061,0.231581888984065
"pc2001__09__15",1,"Agra",TRUE,1324168,84986,12271,8167,669320,29289,155174,364961,26523,2011,0.0641806779804375,0.00926695102132056,0.00616764640136297,0.505464563408873,0.0221187945940394,0.117186036817081,0.275615329776886
"pc2001__09__16",1,"Firozabad",TRUE,746651,53711,5203,5533,441824,17148,84509,138723,15074,2011,0.0719358843690024,0.00696844978443744,0.00741042334370409,0.591740987422504,0.022966553316074,0.113184071272924,0.185793630491354
"pc2001__09__18",1,"Mainpuri",TRUE,501121,18529,2084,3001,378800,3645,36344,58718,7212,2011,0.0369751018217157,0.00415867624785232,0.00598857361794856,0.755905260406169,0.00727369238168027,0.072525398057555,0.117173297467079
"pc2001__09__20",1,"Bareilly",TRUE,1154125,67520,7256,6987,646352,13425,142611,269974,23343,2011,0.0585031950611935,0.00628701397162352,0.0060539369652334,0.560036391205459,0.0116321888876855,0.123566338134951,0.233920935773855
"pc2001__09__21",1,"Pilibhit",TRUE,507796,26149,1740,1797,361899,3880,49475,62856,6684,2011,0.0514950885788781,0.00342657287572175,0.00353882267682298,0.712685802960244,0.00764086365390826,0.0974308580611112,0.123781991193314
"pc2001__09__22",1,"Shahjahanpur",TRUE,748473,35203,4040,2494,509203,4252,58077,135204,11239,2011,0.0470330927100911,0.00539765629488305,0.00333211752461345,0.680322469882013,0.00568089964501058,0.0775939813460205,0.180639782597368
"pc2001__09__24",1,"Sitapur",TRUE,1182024,38558,3917,4167,854036,6077,59383,215886,13296,2011,0.0326203190459754,0.00331380750306254,0.00352530913077907,0.722520016514047,0.00514118156653334,0.0502384046347621,0.18264096160484
"pc2001__09__25",1,"Hardoi",TRUE,925804,23251,3216,3315,723826,5779,43489,122928,7840,2011,0.0251143870624884,0.0034737374217437,0.00358067150282349,0.781835032037019,0.00624214196525398,0.0469743055765583,0.132779724434113
"pc2001__09__26",1,"Unnao",TRUE,906396,41865,4789,2720,603389,7606,71313,174714,13543,2011,0.0461884209550792,0.00528356259295054,0.00300089585567456,0.665701304948389,0.00839147569053703,0.0786775316748971,0.192756808282473
"pc2001__09__27",1,"Lucknow",TRUE,1851848,279808,16586,34381,558600,66001,469651,426821,103821,2011,0.151096634280999,0.00895645862943395,0.0185657786168195,0.301644627420825,0.0356406141324774,0.2536120675131,0.230483819406344
"pc2001__09__28",1,"Rae Bareli",TRUE,946486,33488,2791,3605,663937,12262,52079,178324,10603,2011,0.0353814002531469,0.00294880220098343,0.00380882548711761,0.701475774602054,0.0129552893545177,0.0550235291383074,0.188406378963873
"pc2001__09__29",1,"Farrukhabad",TRUE,489438,17954,1892,2868,354975,2705,33606,75438,7456,2011,0.0366828893547293,0.00386565816303597,0.0058597820357226,0.72527061650301,0.00552674700370629,0.0686624250671178,0.154131881872678
"pc2001__09__30",1,"Kannauj",TRUE,412480,14130,1282,1930,327114,1791,23281,42952,5433,2011,0.0342562063615206,0.00310802948021722,0.00467901474010861,0.793042086889061,0.00434202870442203,0.0564415244375485,0.104131109387122
"pc2001__09__31",1,"Etawah",TRUE,492784,26454,1809,4451,317309,5403,55565,81793,10956,2011,0.0536827494399169,0.003670979577259,0.00903235494658917,0.643910922432547,0.0109642358518134,0.112757313549141,0.165981444202734
"pc2001__09__32",1,"Auraiya",TRUE,405514,19357,1501,3435,285785,2134,39057,54245,7104,2011,0.047734480190573,0.00370147516485251,0.00847073097352989,0.704747554954946,0.00526245702984361,0.096314800475446,0.133768501210809
"pc2001__09__33",1,"Kanpur Dehat",TRUE,495926,17105,2016,3541,369206,3574,31713,68771,5716,2011,0.0344910329363655,0.00406512261910043,0.00714017817174336,0.744478006799402,0.00720672035747269,0.063947040485879,0.138671898630038
"pc2001__09__34",1,"Kanpur Nagar",TRUE,1338424,195270,14992,16055,545904,44247,233753,288203,66000,2011,0.145895471091373,0.0112012336897724,0.011995451366682,0.407870749478491,0.0330590306210887,0.174647944149238,0.215330119603354
"pc2001__09__35",1,"Jalaun",TRUE,537240,28358,1818,3945,365446,3778,49403,84492,7924,2011,0.0527846027846028,0.00338396247487157,0.00734308688854143,0.680228575683121,0.00703223885042067,0.0919570396843124,0.15727049363413
"pc2001__09__36",1,"Jhansi",TRUE,661711,42323,3158,4668,399835,12495,67098,132134,14773,2011,0.0639599462605276,0.00477247620184643,0.00705443917359693,0.604244148880705,0.0188828657827964,0.101400762568553,0.199685361131975
"pc2001__09__37",1,"Lalitpur",TRUE,357670,14703,999,1343,271854,2896,21762,44113,4855,2011,0.0411077249979031,0.00279307741773143,0.00375485782984315,0.760069337657617,0.00809684905080102,0.0608437945592306,0.123334358486873
"pc2001__09__38",1,"Hamirpur",TRUE,315374,14023,1292,1585,232457,1745,19497,44775,4110,2011,0.04446466734734,0.00409672325556324,0.00502577891646109,0.737083589642773,0.00553311306575685,0.0618218369301211,0.141974290841984
"pc2001__09__39",1,"Mahoba",TRUE,260698,10991,1112,1634,185182,1964,17443,42372,3824,2011,0.0421598938235046,0.00426547192536958,0.00626778878242257,0.710331494679668,0.00753362127826067,0.0669088370451634,0.162532892465612
"pc2001__09__40",1,"Banda",TRUE,477181,18970,1462,3442,370243,3958,29753,49353,5631,2011,0.0397543070658723,0.00306382693359543,0.00721319583135121,0.775896357985754,0.00829454651379665,0.0623516024317817,0.103426163237849
"pc2001__09__41",1,"Chitrakoot",TRUE,251141,9049,790,657,200540,868,15461,23776,2879,2011,0.0360315519966871,0.00314564328405159,0.00261606030078721,0.798515574916083,0.00345622578551491,0.0615630263477489,0.0946719173691273
"pc2001__09__42",1,"Fatehpur",TRUE,687436,21673,2496,2666,519206,4109,39425,97861,7373,2011,0.031527298541246,0.00363088345678725,0.003878179205046,0.755279036884888,0.00597728370350113,0.0573507933829476,0.142356524825584
"pc2001__09__43",1,"Pratapgarh",TRUE,859280,18008,3262,2592,645178,4658,24378,161204,5709,2011,0.0209570803463365,0.00379620147099898,0.00301647891257797,0.750835583279024,0.00542081742854483,0.0283702634763988,0.187603575086119
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,614103,13174,2191,1986,473366,3220,19105,101061,4862,2011,0.0214524273615338,0.00356780540072268,0.00323398517838213,0.770825089602233,0.0052434200777394,0.031110416330811,0.164566856048578
"pc2001__09__50",1,"Bahraich",TRUE,841353,21533,2563,2081,634545,1975,41892,136764,5639,2011,0.0255933003150877,0.00304628378338224,0.00247339701647228,0.754195920142913,0.00234740947022237,0.0497912291273698,0.162552460144553
"pc2001__09__52",1,"Balrampur",TRUE,505036,8897,1321,1571,411511,1311,16012,64413,3247,2011,0.017616565947774,0.00261565512161509,0.0031106693384234,0.814815181492012,0.00259585455294276,0.0317046705581384,0.127541402989094
"pc2001__09__53",1,"Gonda",TRUE,914351,20916,2563,3638,675101,6017,35451,170665,7018,2011,0.022875241564782,0.00280308109249074,0.00397877839035556,0.738338996731015,0.00658062385232804,0.0387717627038194,0.18665151566521
"pc2001__09__55",1,"Basti",TRUE,640186,16656,2624,2986,500475,3422,26066,87957,6321,2011,0.0260174386818831,0.00409880878369724,0.00466426944669206,0.781764987050638,0.00534532151593443,0.0407162918276876,0.137392882693467
"pc2001__09__60",1,"Deoria",TRUE,862517,18134,3658,4623,671384,6987,37215,120516,6776,2011,0.0210245131400309,0.00424107582807064,0.00535989435570545,0.778400889489714,0.00810070989905127,0.0431469756538132,0.139725941633614
"pc2001__09__61",1,"Azamgarh",TRUE,1219687,19873,2872,4819,964336,6667,38155,182965,6998,2011,0.0162935244862001,0.00235470247694695,0.00395101366170173,0.790642189348579,0.00546615648113,0.0312826159498297,0.150009797595613
"pc2001__09__62",1,"Mau",TRUE,545733,12543,2312,3815,406396,2480,21708,96479,3775,2011,0.0229837667870552,0.00423650393140968,0.00699059796640482,0.744679174614693,0.00454434677763668,0.0397776934874746,0.176787916435326
"pc2001__09__63",1,"Ballia",TRUE,927433,16508,4221,3796,647690,6604,35503,213111,4052,2011,0.0177996685474854,0.0045512721673695,0.00409301804011718,0.698368507482481,0.00712073001499839,0.0382809324231508,0.229785871324398
"pc2001__09__64",1,"Jaunpur",TRUE,1258743,20903,5453,3727,944642,8372,33067,242579,7290,2011,0.0166062492502441,0.00433209956281783,0.00296089034854613,0.75046455074626,0.00665107968822865,0.0262698581044741,0.192715272299429
"pc2001__09__65",1,"Ghazipur",TRUE,968892,17266,2748,3111,735617,5375,33079,171696,5357,2011,0.0178203556227113,0.00283622942495139,0.00321088418523427,0.759235291446312,0.00554757392980848,0.0341410600975134,0.177208605293469
"pc2001__09__66",1,"Chandauli",TRUE,561809,15516,1458,1458,415158,4552,35749,87918,4666,2011,0.0276179270890997,0.00259518804433535,0.00259518804433535,0.738966445891753,0.00810239778999624,0.0636319460884393,0.156490907052041
"pc2001__09__67",1,"Varanasi",TRUE,1200983,68744,9277,17234,639312,30175,154055,282186,24924,2011,0.0572397777487275,0.00772450567576727,0.0143499116973346,0.532323937974143,0.0251252515647599,0.128274088808917,0.234962526530351
"pc2001__09__69",1,"Mirzapur",TRUE,676304,17297,2450,1322,510155,6059,30315,108706,5226,2011,0.0255757765738484,0.00362263124275474,0.00195474224609052,0.754327935366344,0.00895898885708202,0.044824516785351,0.160735408928529
"pc2001__09__70",1,"Sonbhadra",TRUE,592083,60311,2966,2579,342103,9902,90888,83334,13588,2011,0.101862407804311,0.00500943279911769,0.00435580822283362,0.577795680673149,0.016724006600426,0.153505505140327,0.140747158759836
"pc2001__10__01",1,"Pashchim Champaran",TRUE,992018,18795,2265,3093,763048,7786,45701,151330,4922,2011,0.0189462287982678,0.00228322469955182,0.00311788697382507,0.769187655869148,0.00784864790759845,0.0460687205272485,0.152547635224361
"pc2001__10__02",1,"Purba Champaran",TRUE,1249887,18735,3689,3547,1034951,8101,28829,152035,5848,2011,0.0149893550376954,0.00295146681259986,0.00283785654223142,0.82803565442316,0.00648138591728692,0.0230652851017732,0.121638996165253
"pc2001__10__03",1,"Sheohar",TRUE,84994,920,220,406,69678,356,1538,11876,366,2011,0.0108242934795397,0.00258841800597689,0.00477680777466645,0.819799044638445,0.00418853095512624,0.0180953949690566,0.139727510177189
"pc2001__10__04",1,"Sitamarhi",TRUE,852953,13650,1874,2748,691377,7827,20531,114946,4082,2011,0.0160032264380335,0.00219707299229852,0.00322174844334916,0.810568694875333,0.00917635555534713,0.0240704939193602,0.134762407776278
"pc2001__10__05",1,"Madhubani",TRUE,1143850,12556,2894,2660,919944,6211,23057,176528,4117,2011,0.0109769637627311,0.00253005201730996,0.00232547973947633,0.804252305809328,0.00542990776762687,0.0201573632906413,0.154327927612886
"pc2001__10__06",1,"Supaul",TRUE,575469,10631,1194,1607,453533,3238,19125,86141,3023,2011,0.0184736275976638,0.00207482940001981,0.00279250489600656,0.788110219664309,0.00562671490558136,0.0332337623746892,0.149688341161731
"pc2001__10__08",1,"Kishanganj",TRUE,352376,17048,1007,2170,257099,4016,22800,48236,5242,2011,0.0483801393965537,0.00285774286557541,0.00615819465570867,0.729615524326288,0.0113969169296433,0.064703612050764,0.136887869775467
"pc2001__10__09",1,"Purnia",TRUE,763104,30165,2809,3209,529926,8862,45339,142794,7595,2011,0.0395293433136244,0.00368101857676018,0.00420519352539103,0.694434834570386,0.0116130959869166,0.0594139199899358,0.187122594036986
"pc2001__10__11",1,"Madhepura",TRUE,490529,6065,1033,983,418895,3012,9165,51376,1748,2011,0.0123642027280752,0.00210588976390794,0.00200395899121153,0.853965820573299,0.00614030974723207,0.018683910635253,0.104735907561021
"pc2001__10__12",1,"Saharsa",TRUE,488683,12367,1128,1719,384469,3570,20398,65032,3595,2011,0.0253067939748262,0.0023082448130997,0.00351761776038864,0.78674519064506,0.00730534927550171,0.0417407603702196,0.133076043160904
"pc2001__10__14",1,"Muzaffarpur",TRUE,1326190,41551,4929,8210,976293,16028,64442,214737,12752,2011,0.0313311064025517,0.00371666201675476,0.00619066649575099,0.736163747276031,0.0120857494024235,0.0485918307331529,0.161920237673335
"pc2001__10__15",1,"Gopalganj",TRUE,693775,13571,2006,2694,549737,4820,27975,92972,4563,2011,0.0195610968974091,0.00289142733595186,0.00388310331159237,0.79238513927426,0.00694749738748153,0.040322871247883,0.134008864545422
"pc2001__10__16",1,"Siwan",TRUE,853521,13684,2362,3812,729135,2913,21658,79957,4939,2011,0.0160324116219753,0.00276736014696768,0.00446620528375986,0.854267206079288,0.00341292129894871,0.0253748882569966,0.0936790073120638
"pc2001__10__17",1,"Saran",TRUE,1038596,13328,1922,2142,862211,7886,28465,122642,4910,2011,0.0128327087722271,0.00185057519959638,0.00206239962410793,0.830169767647863,0.00759294278044591,0.0274071920169151,0.118084413958844
"pc2001__10__19",1,"Samastipur",TRUE,1102714,15175,1782,2799,927468,16408,29645,109437,5303,2011,0.0137615011689341,0.00161601285555457,0.00253828281857308,0.841077559548532,0.0148796514780804,0.0268836706525899,0.0992433214777358
"pc2001__10__20",1,"Begusarai",TRUE,834026,20517,2337,3117,594587,9603,41140,162725,6995,2011,0.0245999525194658,0.00280207091865242,0.0037372935615916,0.712911827688825,0.0115140295386475,0.0493269993981003,0.195107826374717
"pc2001__10__21",1,"Khagaria",TRUE,426316,6542,976,1156,334219,2914,12082,68427,2036,2011,0.015345424520778,0.00228938158549057,0.0027116035992081,0.783970106681429,0.00683530526651592,0.0283404798318618,0.160507698514717
"pc2001__10__23",1,"Banka",TRUE,542079,7469,959,983,436656,4162,13788,78062,2553,2011,0.0137784345086233,0.00176911483381574,0.00181338882340028,0.805520966501193,0.00767784769378633,0.0254354070163205,0.144004840622861
"pc2001__10__24",1,"Munger",TRUE,370054,11210,887,1828,272138,3732,17789,62470,3468,2011,0.0302928761748285,0.00239694747253104,0.00493981959389711,0.735400779345717,0.010085014619488,0.048071362557897,0.168813200235641
"pc2001__10__25",1,"Lakhisarai",TRUE,264355,6612,654,974,204859,1657,12026,37573,2493,2011,0.0250118212252464,0.00247394601955704,0.00368443948478372,0.774939002477729,0.00626808647462692,0.0454918575400503,0.142130846778007
"pc2001__10__26",1,"Sheikhpura",TRUE,172236,4102,489,891,122649,1431,9315,33359,1608,2011,0.0238161592233912,0.002839127708493,0.00517313453633387,0.712098515989689,0.00830836758865742,0.0540827701525813,0.193681924800855
