"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","main_workers","marginal_workers","marginal_workers_seeking_work","non_workers","non_workers_seeking_work","working_age_migrants_15_64","working_age_main_workers","working_age_marginal_workers","working_age_marginal_workers_seeking_work","working_age_non_workers","working_age_non_workers_seeking_work","census_year","main_worker_share_among_working_age_migrants","marginal_worker_share_among_working_age_migrants","non_worker_share_among_working_age_migrants","seeking_work_share_among_working_age_migrants","seeking_work_share_among_working_age_non_main"
"pc2001__27__22",1,"Mumbai Suburban",TRUE,4271562,1928168,109942,28381,2233452,94592,3437041,1854266,99219,26772,1483556,89271,2011,0.539494873642764,0.02886756369796,0.431637562659276,0.0337624718471499,0.0733161693860467
"pc2001__27__23",1,"Mumbai",TRUE,1233320,587737,32081,8270,613502,30695,989460,558414,28618,7703,402428,28837,2011,0.564362379479716,0.0289228468053282,0.406714773714956,0.036929234127706,0.0847705349313066
"pc2001__27__24",1,"Raigarh",TRUE,1479878,484593,110050,36145,885235,52396,1077170,462926,100423,34456,513821,49784,2011,0.429761319011855,0.0932285525961547,0.47701012839199,0.0782049258705683,0.137144196768711
"pc2001__27__25",1,"Pune",TRUE,6094325,2512008,210653,54880,3371664,145347,4443994,2395479,189771,51972,1858744,137546,2011,0.539037406441143,0.0427028029290769,0.41825979062978,0.0426458721591433,0.0925148217123136
"pc2001__27__27",1,"Bid",TRUE,896928,471424,52215,15403,373289,17385,683480,431529,45828,14295,206123,16430,2011,0.63137034002458,0.0670509744250015,0.301578685550418,0.0449537660209516,0.121948315347032
"pc2001__27__31",1,"Satara",TRUE,1924434,697341,122839,27952,1104254,56187,1315006,644126,108879,26640,562001,52985,2011,0.489827422840656,0.0827973408486349,0.427375236310709,0.0605510545199033,0.118687395659432
"pc2001__27__32",1,"Ratnagiri",TRUE,831042,282670,88657,23400,459715,25982,576829,266420,79517,22752,230892,24985,2011,0.461869982265108,0.137851945723949,0.400278072010943,0.0827576283439286,0.153787422400768
"pc2001__27__33",1,"Sindhudurg",TRUE,524613,119376,70640,24494,334597,29189,354509,112456,64259,23795,177794,28212,2011,0.317216206076574,0.181261970782124,0.501521823141302,0.146701494179273,0.214857903021239
"pc2001__27__34",1,"Kolhapur",TRUE,2291809,813144,133212,25983,1345453,57310,1600688,762700,119811,24915,718177,54068,2011,0.476482612476635,0.0748496896334576,0.448667697889907,0.0493431574422998,0.0942531396630978
"pc2001__27__35",1,"Sangli",TRUE,1665083,582803,96258,20106,986022,41859,1147559,539986,85570,18839,522003,39003,2011,0.470551840907526,0.07456697215568,0.454881186936794,0.0504043800798042,0.0952017288457519
"pc2001__28__01",1,"Adilabad",TRUE,1227496,542558,141411,75034,543527,54728,905788,503308,125345,68531,277135,49212,2011,0.555657615247718,0.138382270465054,0.305960114287228,0.129989578135281,0.292543728880938
"pc2001__28__02",1,"Nizamabad",TRUE,1077145,509873,109499,49866,457773,33512,803801,481704,100777,47140,221320,30558,2011,0.599282658269895,0.125375559373527,0.275341782356578,0.0966632288340024,0.241225469346191
"pc2001__28__03",1,"Karimnagar",TRUE,1615095,748272,157549,68417,709274,55449,1224854,701053,142214,63890,381587,51307,2011,0.572356378801065,0.11610689927126,0.311536721927675,0.0940495765209568,0.219925124236113
"pc2001__28__04",1,"Medak",TRUE,1373113,593667,139435,64304,640011,50935,1036541,568751,129708,61757,338082,48030,2011,0.548700919693481,0.125135426384485,0.326163653922035,0.105916697940554,0.234692917762244
"pc2001__28__05",1,"Hyderabad",TRUE,2110198,671381,201526,72319,1237291,121592,1493212,620905,161629,62008,710678,112392,2011,0.415818383457942,0.108242500060273,0.475939116481786,0.116795203896031,0.199929611937082
"pc2001__28__06",1,"Rangareddy",TRUE,3546914,1299370,263421,85192,1984123,141970,2548135,1219283,226666,77092,1102186,131395,2011,0.478500157958664,0.088953685734861,0.432546156306475,0.0818194483416303,0.156892565914037
"pc2001__28__07",1,"Mahbubnagar",TRUE,1666317,852096,150993,73762,663228,49453,1260899,805294,138100,69863,317505,45562,2011,0.638666538715631,0.10952502936397,0.2518084319204,0.0915418284890384,0.253344454077545
"pc2001__28__08",1,"Nalgonda",TRUE,1540904,709280,149025,67390,682599,52822,1159982,676482,137973,64290,345527,49631,2011,0.583183187325321,0.11894408706342,0.29787272561126,0.0982092825578328,0.235617373319545
"pc2001__28__09",1,"Warangal",TRUE,1478737,668701,149510,67909,660526,51481,1115555,631533,136341,64309,347681,48036,2011,0.566115520973865,0.122218088754028,0.311666390272107,0.100707719475956,0.232107218266938
"pc2001__28__10",1,"Khammam",TRUE,1277314,582758,105148,48290,589408,39566,960175,552520,96050,45275,311605,37340,2011,0.575436769338923,0.100033847996459,0.324529382664618,0.0860416069987242,0.202659111258294
"pc2001__28__11",1,"Srikakulam",TRUE,851656,276503,127704,70086,447449,47269,649214,266396,121587,67984,261231,45304,2011,0.410336191148065,0.187283391916995,0.40238041693494,0.174500241830891,0.295931748245903
"pc2001__28__12",1,"Vizianagaram",TRUE,941835,358689,97108,46879,486038,40134,688991,341887,91188,44810,255916,38029,2011,0.496214028920552,0.132350059725018,0.37143591135443,0.120232339754801,0.238657578132202
"pc2001__28__13",1,"Visakhapatnam",TRUE,2033960,691538,204200,97210,1138222,97357,1481923,654390,186653,91766,640880,90570,2011,0.441581647629465,0.125953237786309,0.432465114584226,0.123040130964969,0.220336832488855
"pc2001__28__14",1,"East Godavari",TRUE,2501379,710766,172094,74131,1618519,99937,1808657,677117,161448,71454,970092,95817,2011,0.374375572593366,0.0892640229739525,0.536360404432681,0.0924835388910114,0.147825971684607
"pc2001__28__15",1,"West Godavari",TRUE,1944000,649186,130079,49111,1164735,60041,1396999,617321,121869,47202,657809,57511,2011,0.44189079591324,0.0872362829178833,0.470872921168877,0.0749556728387064,0.134302878880769
"pc2001__28__16",1,"Krishna",TRUE,2318200,860613,166866,63342,1290721,77056,1688659,806118,151925,59749,730616,72488,2011,0.47737168960696,0.0899678383853697,0.43266047200767,0.0783088829657142,0.149836664812173
"pc2001__28__17",1,"Guntur",TRUE,2253509,952247,147171,53360,1154091,62808,1671745,904072,135298,50811,632375,59720,2011,0.540795396427087,0.0809321995878558,0.378272403985058,0.0661171410711562,0.143981877700531
"pc2001__28__18",1,"Prakasam",TRUE,1251646,554432,114431,47099,582783,36226,958074,527983,106606,45175,323485,34251,2011,0.551087911789695,0.111271154420222,0.337640933790083,0.0829017382790891,0.184672546042582
"pc2001__28__19",1,"Sri Potti Sriramulu Nellore",TRUE,1310523,445879,119466,41371,745178,62979,991722,426846,112948,39891,451928,60977,2011,0.430408925081827,0.113890787942589,0.455700286975584,0.101709955007553,0.178566623471346
"pc2001__28__20",1,"Y.S.R.",TRUE,1198150,467725,130449,48541,599976,46343,916602,445292,120732,46246,350578,44027,2011,0.485807362410294,0.131716928394221,0.382475709195485,0.0984865841444815,0.19153635611381
"pc2001__28__21",1,"Kurnool",TRUE,1593260,753998,142539,68204,696723,45618,1209808,714708,129820,63871,365280,42276,2011,0.59076150926428,0.107306283311071,0.301932207424649,0.0877387155647838,0.214395071702686
"pc2001__28__22",1,"Anantapur",TRUE,1622352,707182,179432,70689,735738,49481,1238894,669079,166775,67163,403040,46005,2011,0.540061538759571,0.134616036561643,0.325322424678786,0.0913459908595893,0.198604810333178
"pc2001__28__23",1,"Chittoor",TRUE,1626941,665342,120749,36774,840850,59513,1258216,628148,111296,35003,518772,56690,2011,0.499237014948149,0.0884554003446149,0.412307584707236,0.0728754045410327,0.145528736580814
"pc2001__29__02",1,"Bagalkot",TRUE,834572,282958,73280,19686,478334,19752,576152,269285,69025,18724,237842,18620,2011,0.467385342756773,0.119803454643913,0.412811202599314,0.0648162290506672,0.121694414844216
"pc2001__29__05",1,"Bidar",TRUE,560462,192139,72105,22968,296218,18990,434860,179117,66627,21563,189116,17875,2011,0.411895782550706,0.153214827760659,0.434889389688635,0.0906912569562618,0.154209499380237
"pc2001__29__06",1,"Raichur",TRUE,662263,272734,83957,26141,305572,16349,504252,260545,78592,24931,165115,15095,2011,0.51669601707083,0.155858578647184,0.327445404281986,0.0793769781775779,0.164238204072924
"pc2001__29__07",1,"Koppal",TRUE,533941,202552,72616,20142,258773,12569,394378,193056,69185,19420,132137,11790,2011,0.489520206502391,0.175428142543448,0.335051650954161,0.0791372743915736,0.155025282880162
"pc2001__29__08",1,"Gadag",TRUE,495567,180318,39617,8552,275632,12405,346608,172430,37614,8252,136564,11710,2011,0.497478419424826,0.108520288048747,0.394001292526428,0.0575924387203988,0.114606896393345
"pc2001__29__09",1,"Dharwad",TRUE,866022,312473,51095,10620,502454,22290,610048,298890,47341,10186,263817,21142,2011,0.489945053503987,0.0776020903273185,0.432452856168695,0.0513533361309274,0.100681968646154
"pc2001__29__11",1,"Haveri",TRUE,690579,217391,65644,13731,407544,16574,489436,208568,62628,13304,218240,15709,2011,0.426139474824083,0.127959528927173,0.445900996248743,0.0592784347698167,0.103297634475982
"pc2001__29__13",1,"Chitradurga",TRUE,609033,240055,91335,17279,277643,18305,469269,227328,84998,16554,156943,17059,2011,0.484430039060752,0.181128521168029,0.334441439771219,0.07162842633969,0.138930565716435
"pc2001__29__16",1,"Udupi",TRUE,557952,182743,20575,3184,354634,12092,373871,173071,18887,3076,181913,11592,2011,0.462916353501609,0.0505174244592386,0.486566222039153,0.0392327835001912,0.0730478087649402
"pc2001__29__20",1,"Bangalore",TRUE,5140755,2355200,228948,57057,2556607,155061,4027159,2280824,203048,52793,1543287,146690,2011,0.566360553432333,0.0504196630925176,0.38321978347515,0.0495344236470425,0.114229514955607
"pc2001__29__22",1,"Mandya",TRUE,717189,248345,81592,10377,387252,19067,555268,233077,75879,10002,246312,18302,2011,0.419755865636053,0.136652931557374,0.443591202806573,0.0509735839270406,0.087848512217908
"pc2001__29__23",1,"Hassan",TRUE,764073,309490,90576,12092,364007,23112,594769,290734,84154,11745,219881,22004,2011,0.488818347963663,0.141490225617004,0.369691426419333,0.0567430380534291,0.111003667340931
"pc2001__29__24",1,"Dakshina Kannada",TRUE,1062515,430538,45947,7021,586030,19745,761292,416294,43009,6773,301989,19013,2011,0.546825659536682,0.0564947484014018,0.396679592061916,0.0338713660461426,0.0747424622751436
