"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","recent_work_migrants_total","recent_work_migrants_within_state","recent_work_migrants_outside_state","recent_work_migrants_rural_origin","recent_work_migrants_urban_origin","recent_work_migrants_illiterate","recent_work_migrants_literate","recent_work_migrants_literate_below_matric","recent_work_migrants_matric_below_graduate","recent_work_migrants_technical_diploma_below_degree","recent_work_migrants_graduate_nontechnical","recent_work_migrants_technical_degree","recent_work_migrants_literate_education_not_classified","census_year","outside_state_share_among_recent_work_migrants","rural_origin_share_among_recent_work_migrants","literate_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants"
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,114405,58127,56278,63547,50858,13394,101011,22183,27596,2003,27679,13780,7770,2011,0.491919059481666,0.555456492286176,0.882924697347144,0.362388007517154,0.137957257112888
"pc2001__09__11",1,"Bulandshahr",TRUE,21926,19247,2679,16143,5783,6643,15283,5477,4907,153,3432,681,633,2011,0.122183708838821,0.736249201860805,0.697026361397428,0.187585514913801,0.0380370336586701
"pc2001__09__12",1,"Aligarh",TRUE,31861,28025,3836,21532,10329,11301,20560,7070,6665,226,4512,893,1194,2011,0.120397978720065,0.675810552085622,0.645303035058535,0.169643137377986,0.0351213081824174
"pc2001__09__14",1,"Mathura",TRUE,20134,15318,4816,13075,7059,4794,15340,4482,5337,152,3583,740,1046,2011,0.239197377570279,0.649399026522301,0.761895301480083,0.214711433396245,0.044303168769246
"pc2001__09__15",1,"Agra",TRUE,26523,21894,4629,13273,13250,6078,20445,5753,6481,197,5454,1071,1489,2011,0.174527768351996,0.500433585944275,0.770840402669381,0.246012894468951,0.0478075632469932
"pc2001__09__16",1,"Firozabad",TRUE,15074,14449,625,9990,5084,4455,10619,4139,3762,32,1750,260,676,2011,0.0414621202069789,0.662730529388351,0.704458007164654,0.133342178585644,0.0193711025607005
"pc2001__09__18",1,"Mainpuri",TRUE,7212,6615,597,5747,1465,1879,5333,1472,1808,21,1422,227,383,2011,0.0827787021630616,0.796866333887964,0.739462007764836,0.228646699944537,0.0343871325568497
"pc2001__09__20",1,"Bareilly",TRUE,23343,20941,2402,13524,9819,6989,16354,4743,4558,234,4409,982,1428,2011,0.102900227048794,0.57935997943709,0.700595467591998,0.230947179025832,0.0520927044510132
"pc2001__09__21",1,"Pilibhit",TRUE,6684,5975,709,4767,1917,1946,4738,1753,1323,29,1260,196,177,2011,0.10607420706164,0.713195691202873,0.70885697187313,0.217833632555356,0.0336624775583483
"pc2001__09__22",1,"Shahjahanpur",TRUE,11239,10252,987,8463,2776,3683,7556,2661,2104,71,2047,362,311,2011,0.0878192009965299,0.753002936204289,0.672301806210517,0.214342913070558,0.038526559302429
"pc2001__09__24",1,"Sitapur",TRUE,13296,12781,515,10389,2907,3377,9919,2921,2587,47,2655,270,1439,2011,0.0387334536702768,0.781362815884477,0.746013838748496,0.219990974729242,0.0238417569193742
"pc2001__09__25",1,"Hardoi",TRUE,7840,7319,521,6173,1667,2139,5701,2132,1716,34,1360,165,294,2011,0.0664540816326531,0.787372448979592,0.727168367346939,0.194515306122449,0.0253826530612245
