"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","recent_work_migrants_total","recent_work_migrants_within_state","recent_work_migrants_outside_state","recent_work_migrants_rural_origin","recent_work_migrants_urban_origin","recent_work_migrants_illiterate","recent_work_migrants_literate","recent_work_migrants_literate_below_matric","recent_work_migrants_matric_below_graduate","recent_work_migrants_technical_diploma_below_degree","recent_work_migrants_graduate_nontechnical","recent_work_migrants_technical_degree","recent_work_migrants_literate_education_not_classified","census_year","outside_state_share_among_recent_work_migrants","rural_origin_share_among_recent_work_migrants","literate_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants"
"pc2001__24__21",1,"Bharuch",TRUE,45796,29007,16789,31482,14314,4963,40833,13232,12485,2647,5657,2854,3958,2011,0.366604070224474,0.687439951087431,0.891628089789501,0.185845925408333,0.120119661105773
"pc2001__24__23",1,"The Dangs",TRUE,1203,1014,189,898,305,160,1043,352,207,164,201,80,39,2011,0.1571072319202,0.746467165419784,0.866999168744805,0.233582709891937,0.202826267664173
"pc2001__24__24",1,"Navsari",TRUE,24542,13929,10613,17890,6652,3508,21034,9905,6381,669,1850,604,1625,2011,0.432442343737267,0.728954445440469,0.857061364191997,0.099991850704914,0.0518702632222313
"pc2001__24__25",1,"Valsad",TRUE,62166,18374,43792,47960,14206,6049,56117,20925,21015,1206,6477,1829,4665,2011,0.704436508702506,0.771482804105138,0.902696007463887,0.133610011903613,0.0488208988836341
"pc2001__25__01",1,"Diu",TRUE,415,41,374,248,167,27,388,168,108,8,69,25,10,2011,0.901204819277108,0.597590361445783,0.934939759036145,0.226506024096386,0.0795180722891566
"pc2001__25__02",1,"Daman",TRUE,61625,1948,59677,55218,6407,6500,55125,28519,19966,711,2969,572,2388,2011,0.968389452332657,0.896032454361055,0.894523326572008,0.0574604462474645,0.0208194726166329
"pc2001__26__01",1,"Dadra & Nagar Haveli",TRUE,48310,3625,44685,40343,7967,3202,45108,16598,17924,1321,4955,1185,3125,2011,0.924963775615815,0.83508590353964,0.933719726764645,0.127095839370731,0.0518733181535914
"pc2001__27__01",1,"Nandurbar",TRUE,15614,12947,2667,11420,4194,4028,11586,2983,3368,440,2352,1365,1078,2011,0.170808249007301,0.731394902011016,0.74202638657615,0.23805559113616,0.115601383373895
"pc2001__27__02",1,"Dhule",TRUE,26008,21914,4094,19055,6953,6901,19107,5589,6003,716,3545,1917,1337,2011,0.157413103660412,0.732659181790218,0.734658566594894,0.21001230390649,0.101238080590588
"pc2001__27__04",1,"Buldana",TRUE,25040,23335,1705,16916,8124,3487,21553,7358,6012,446,3506,1800,2431,2011,0.068091054313099,0.67555910543131,0.860742811501597,0.211900958466454,0.0896964856230032
"pc2001__27__05",1,"Akola",TRUE,20813,19056,1757,12864,7949,2207,18606,6050,5918,405,3278,1436,1519,2011,0.0844183923509345,0.618075241435641,0.893960505453322,0.22649305722385,0.0884543314274732
"pc2001__27__06",1,"Washim",TRUE,9065,8615,450,6506,2559,1048,8017,2391,2580,161,1528,825,532,2011,0.0496414782129068,0.717705460562603,0.884390512961941,0.259569773855488,0.10876999448428
"pc2001__27__07",1,"Amravati",TRUE,33699,27358,6341,23271,10428,4798,28901,11159,8786,613,5573,2165,605,2011,0.188165820944242,0.690554615863972,0.857621887889848,0.229621057004659,0.0824356805839936
"pc2001__27__08",1,"Wardha",TRUE,32497,27360,5137,23356,9141,4368,28129,12602,8712,639,4132,1595,449,2011,0.158076130104317,0.718712496538142,0.865587592700865,0.176231652152506,0.0687448072129735
"pc2001__27__09",1,"Nagpur",TRUE,148322,89039,59283,103691,44631,18291,130031,51564,42978,3109,19946,6937,5497,2011,0.399691212362293,0.699093863351357,0.876680465473767,0.181247555993042,0.0677310176507868
"pc2001__27__10",1,"Bhandara",TRUE,16969,14559,2410,13166,3803,1574,15395,4642,5158,453,3361,1428,353,2011,0.142023690258707,0.775885438151924,0.907242618893276,0.282220519771348,0.110849195591962
"pc2001__27__11",1,"Gondiya",TRUE,14103,11510,2593,10958,3145,1247,12856,3596,4078,253,2688,1245,996,2011,0.183861589732681,0.776997801886124,0.911579096646104,0.278876834716018,0.106218535063462
"pc2001__27__12",1,"Gadchiroli",TRUE,18105,16756,1349,14389,3716,1812,16293,3653,6087,206,3454,1553,1340,2011,0.0745098039215686,0.794752830709749,0.899917149958575,0.276553438276719,0.0971554819110743
"pc2001__27__13",1,"Chandrapur",TRUE,54024,42533,11491,39148,14876,7109,46915,16595,16757,1208,7966,3262,1127,2011,0.212701762179772,0.724640900340589,0.868410336146898,0.207833555456834,0.082741003998223
"pc2001__27__14",1,"Yavatmal",TRUE,41880,37308,4572,31282,10598,5820,36060,14083,9991,608,5313,2208,3857,2011,0.109169054441261,0.74694364851958,0.861031518624642,0.17958452722063,0.0672397325692455
"pc2001__27__15",1,"Nanded",TRUE,32123,29317,2806,23113,9010,6096,26027,9173,7389,523,4998,2035,1909,2011,0.0873517417426766,0.719515611866887,0.810229430626031,0.218939700526103,0.0796314167418983
"pc2001__27__16",1,"Hingoli",TRUE,9976,9623,353,7022,2954,1640,8336,2773,2158,125,1598,670,1012,2011,0.0353849238171612,0.703889334402566,0.83560545308741,0.227345629510826,0.079691259021652
"pc2001__27__17",1,"Parbhani",TRUE,14575,14065,510,9784,4791,3182,11393,4325,3069,198,2214,968,619,2011,0.034991423670669,0.671286449399657,0.781680960548885,0.218319039451115,0.08
"pc2001__27__20",1,"Nashik",TRUE,171848,137188,34660,116673,55175,28327,143521,48393,44715,6478,21893,10103,11939,2011,0.201689865462502,0.678931381220614,0.835162469158791,0.186187793864345,0.0964864298682557
"pc2001__27__22",1,"Mumbai Suburban",TRUE,422043,87626,334417,314997,107046,47938,374105,164362,122028,4293,52118,18785,12519,2011,0.7923766061752,0.746362337486939,0.886414417488265,0.167999469248394,0.054681631966411
"pc2001__27__23",1,"Mumbai",TRUE,157831,29630,128201,123864,33967,24758,133073,77042,36076,885,10654,2173,6243,2011,0.812267552001825,0.784788793076138,0.843136012570408,0.0812704728475395,0.0193751544373412
"pc2001__27__24",1,"Raigarh",TRUE,139958,90123,49835,82359,57599,17212,122746,40627,40644,3664,21983,9698,6130,2011,0.3560711070464,0.58845510796096,0.877020248931822,0.226360765372469,0.0954714985924349
"pc2001__27__25",1,"Pune",TRUE,673709,466372,207337,404828,268881,80394,593315,164156,186586,29097,97876,78323,37277,2011,0.307754534969846,0.600894451461981,0.880669547237754,0.261535766926076,0.159445695396677
"pc2001__27__27",1,"Bid",TRUE,20375,19421,954,14986,5389,4117,16258,5452,4254,358,3254,1500,1440,2011,0.0468220858895706,0.735509202453988,0.797938650306748,0.233325153374233,0.0911901840490797
"pc2001__27__31",1,"Satara",TRUE,65455,55049,10406,47565,17890,14341,51114,21085,14561,1368,8331,3351,2418,2011,0.158979451531587,0.726682453594072,0.780902910396456,0.178473760598885,0.0720953326713009
"pc2001__27__32",1,"Ratnagiri",TRUE,36666,26429,10237,25644,11022,6014,30652,11761,9193,1002,5073,3019,604,2011,0.279195985381552,0.699394534446081,0.835978835978836,0.22069492172585,0.109665630284187
"pc2001__27__33",1,"Sindhudurg",TRUE,19956,13245,6711,13539,6417,4056,15900,6182,4638,371,2577,1138,994,2011,0.336289837642814,0.678442573662057,0.796752856283824,0.186159551012227,0.075616355983163
"pc2001__27__34",1,"Kolhapur",TRUE,75390,54935,20455,51609,23781,14528,60862,24085,19758,1677,9038,3111,3193,2011,0.271322456559225,0.684560286510147,0.807295397267542,0.161148693460671,0.0635097493036212
"pc2001__27__35",1,"Sangli",TRUE,49385,38418,10967,37297,12088,13502,35883,16316,9722,941,5012,2156,1736,2011,0.222071479194087,0.75522932064392,0.726597144882049,0.145145287030475,0.062711349600081
"pc2001__28__01",1,"Adilabad",TRUE,33508,28127,5381,24749,8759,10237,23271,6282,8183,601,4422,1357,2426,2011,0.160588516175242,0.738599737376149,0.694490867852453,0.172466276710039,0.058433806852095
"pc2001__28__02",1,"Nizamabad",TRUE,22457,19294,3163,17165,5292,7495,14962,4647,4865,320,3131,919,1080,2011,0.140846951952621,0.764349645990114,0.666251057576702,0.180344658681035,0.0551721066927907
"pc2001__28__03",1,"Karimnagar",TRUE,48075,43966,4109,34576,13499,11889,36186,10416,12776,1253,7392,2419,1930,2011,0.085470618824753,0.719209568382735,0.752698907956318,0.204076963078523,0.076380655226209
"pc2001__28__04",1,"Medak",TRUE,56862,45098,11764,38424,18438,12678,44184,11114,16282,2959,7611,3258,2960,2011,0.206886848862157,0.675741268333861,0.777039147409518,0.191146987443284,0.109334880939819
"pc2001__28__05",1,"Hyderabad",TRUE,96992,80726,16266,28644,68348,16855,80137,13455,20674,1472,23333,13583,7620,2011,0.167704552952821,0.295323325635104,0.82622278126031,0.380608709996701,0.155218987132959
"pc2001__28__06",1,"Rangareddy",TRUE,308359,270620,37739,148680,159679,56798,251561,45901,73440,8199,62974,37497,23550,2011,0.122386568901832,0.482165268404684,0.815805603209246,0.325824769181376,0.148190907351496
"pc2001__28__07",1,"Mahbubnagar",TRUE,24333,21333,3000,16885,7448,5179,19154,3796,6759,793,4643,1504,1659,2011,0.123289360128221,0.693913615255004,0.787161467965315,0.252619898902725,0.0943985534048412
"pc2001__28__08",1,"Nalgonda",TRUE,51958,48526,3432,39157,12801,12858,39100,11227,12738,1153,8812,2713,2457,2011,0.066053350783325,0.753627930251357,0.752530890334501,0.221813772662535,0.0744062512028947
"pc2001__28__09",1,"Warangal",TRUE,44389,42517,1872,31260,13129,9442,34947,8269,12201,1278,8706,2754,1739,2011,0.0421726103313884,0.704228525085044,0.787289643830679,0.258172069656897,0.0908333145599135
"pc2001__28__10",1,"Khammam",TRUE,56980,52553,4427,39449,17531,13936,43044,12096,12724,2059,9763,3755,2647,2011,0.0776939276939277,0.692330642330642,0.755422955422955,0.237241137241137,0.102035802035802
"pc2001__28__11",1,"Srikakulam",TRUE,22561,20089,2472,14454,8107,3088,19473,4091,5599,822,6076,1883,1002,2011,0.109569611276096,0.640663091175037,0.863126634457692,0.352776915916848,0.119897167678738
"pc2001__28__12",1,"Vizianagaram",TRUE,23916,21830,2086,15329,8587,4033,19883,4266,5542,969,5996,1753,1357,2011,0.0872219434688075,0.640951664157886,0.831368121759492,0.324009031610637,0.113815019233986
"pc2001__28__13",1,"Visakhapatnam",TRUE,89237,77280,11957,45570,43667,15838,73399,15042,22916,4263,20049,6760,4369,2011,0.133991505765546,0.510662617524121,0.822517565583783,0.300424711722716,0.123524995237402
"pc2001__28__14",1,"East Godavari",TRUE,71734,68410,3324,44789,26945,13143,58591,16941,15442,3318,15715,4895,2280,2011,0.0463378593135752,0.624376167507737,0.816781442551649,0.287311456213232,0.114492430367748
"pc2001__28__15",1,"West Godavari",TRUE,60407,58079,2328,42090,18317,12117,48290,16167,12158,2761,11505,3453,2246,2011,0.038538579965898,0.696773552733955,0.799410664326982,0.247620308904597,0.102868872812753
"pc2001__28__16",1,"Krishna",TRUE,94554,90286,4268,58139,36415,19318,75236,22185,19709,4133,16504,5457,7248,2011,0.0451382278909406,0.614876155424414,0.795693466167481,0.232258815068638,0.101423525181378
"pc2001__28__17",1,"Guntur",TRUE,95145,90459,4686,60825,34320,25647,69498,23061,18897,2999,15981,5181,3379,2011,0.049251142992275,0.63928740343686,0.73044300804036,0.222418413999685,0.0859740396237322
"pc2001__28__18",1,"Prakasam",TRUE,48947,46715,2232,35644,13303,11157,37790,11156,11333,1590,8826,3226,1659,2011,0.0456003432283899,0.728216233885631,0.77205957464196,0.246225509224263,0.0983921384354506
"pc2001__28__19",1,"Sri Potti Sriramulu Nellore",TRUE,50867,46653,4214,33831,17036,12399,38468,12579,10526,1806,8438,3724,1395,2011,0.0828434938172096,0.665087384748462,0.756246682525016,0.239094108164429,0.108714883912949
"pc2001__28__20",1,"Y.S.R.",TRUE,44669,42441,2228,29985,14684,12212,32457,9439,8895,1581,7512,3036,1994,2011,0.0498779914482079,0.671270903758759,0.726611296424814,0.23613691822069,0.103360272224585
"pc2001__28__21",1,"Kurnool",TRUE,39121,37331,1790,24889,14232,9013,30108,7050,8949,1283,8216,2996,1614,2011,0.0457554765982465,0.636205618465786,0.76961222872626,0.286597990848905,0.109378594616702
"pc2001__28__22",1,"Anantapur",TRUE,52843,48297,4546,35129,17714,12679,40164,11964,11299,1300,9574,3293,2734,2011,0.086028423821509,0.664780576424503,0.760062827621445,0.243494881062771,0.0869178509925629
"pc2001__28__23",1,"Chittoor",TRUE,73122,63669,9453,43128,29994,13825,59297,16971,16529,2459,14286,4881,4171,2011,0.129277098547633,0.589808812669238,0.810932414321271,0.262123574300484,0.100380186537567
"pc2001__29__02",1,"Bagalkot",TRUE,19732,18153,1579,12106,7626,4036,15696,4094,4826,1206,3313,1357,900,2011,0.0800222988039732,0.613521183863775,0.795459152645449,0.236671396715994,0.129890533144131
"pc2001__29__05",1,"Bidar",TRUE,12461,9193,3268,9380,3081,3721,8740,1899,3108,390,1920,841,582,2011,0.262258245726667,0.752748575555734,0.701388331594575,0.221571302463687,0.0987882192440414
"pc2001__29__06",1,"Raichur",TRUE,19229,16321,2908,12670,6559,4397,14832,3615,4328,839,3046,2071,933,2011,0.15122991315201,0.658900618856935,0.771334962816579,0.266108481980342,0.15133392272089
"pc2001__29__07",1,"Koppal",TRUE,18003,15865,2138,12029,5974,3158,14845,3950,4604,1152,2888,1362,889,2011,0.118757984780314,0.668166416708326,0.824584791423652,0.236071765816808,0.139643392767872
"pc2001__29__08",1,"Gadag",TRUE,9776,9089,687,5805,3971,1412,8364,2075,2586,672,1780,717,534,2011,0.0702741407528642,0.593801145662848,0.85556464811784,0.255421440261866,0.142082651391162
"pc2001__29__09",1,"Dharwad",TRUE,29013,25771,3242,12762,16251,3113,25900,5472,7834,1977,7251,2484,882,2011,0.111743011753352,0.439871781615138,0.892703270947506,0.335539241029883,0.153758659911074
"pc2001__29__11",1,"Haveri",TRUE,14157,13639,518,9067,5090,1678,12479,3033,3732,904,2944,1336,530,2011,0.0365896729533093,0.640460549551459,0.881472063290245,0.302323938687575,0.158225612771067
"pc2001__29__13",1,"Chitradurga",TRUE,15083,13841,1242,9531,5552,1803,13280,2833,4444,1013,3031,1290,669,2011,0.0823443612013525,0.631903467479944,0.880461446661805,0.286481469203739,0.152688457203474
"pc2001__29__16",1,"Udupi",TRUE,19796,15733,4063,12518,7278,2506,17290,5898,4718,690,3131,1238,1615,2011,0.205243483532027,0.632349969690847,0.873408769448373,0.220701151747828,0.0973934128106688
"pc2001__29__20",1,"Bangalore",TRUE,826973,473921,353052,387718,439255,84249,742724,146107,255716,40549,138038,132021,30293,2011,0.426920830547067,0.468839974219231,0.898123638861245,0.326563261436589,0.208676704076191
"pc2001__29__22",1,"Mandya",TRUE,13577,12275,1302,9119,4458,2667,10910,2958,3643,665,2170,816,658,2011,0.0958974736687044,0.67165058554909,0.803564852323783,0.219930765264786,0.10908153494881
"pc2001__29__23",1,"Hassan",TRUE,25820,23900,1920,16253,9567,3717,22103,5784,7268,1394,4604,1637,1416,2011,0.0743609604957397,0.629473276529822,0.856041828040279,0.241711851278079,0.117389620449264
"pc2001__29__24",1,"Dakshina Kannada",TRUE,43178,29473,13705,25711,17467,4832,38346,13049,10540,1778,6696,3472,2811,2011,0.317407012830608,0.595465283246098,0.888091157533929,0.235490295984066,0.121589698457548
"pc2001__29__25",1,"Kodagu",TRUE,23340,20307,3033,18020,5320,7977,15363,7112,3861,237,1737,554,1862,2011,0.129948586118252,0.772065124250214,0.658226221079692,0.0981576692373608,0.0338903170522708
"pc2001__30__01",1,"North Goa",TRUE,35782,12295,23487,22169,13613,5334,30448,11454,9270,1372,4242,1293,2817,2011,0.656391481750601,0.619557319322564,0.850930635515063,0.154686713990274,0.0744787882175395
"pc2001__31__01",1,"Lakshadweep",TRUE,4974,3165,1809,1617,3357,92,4882,1755,1807,383,462,296,179,2011,0.363691194209891,0.325090470446321,0.981503819863289,0.152392440691596,0.136509851226377
"pc2001__32__01",1,"Kasaragod",TRUE,12760,8848,3912,9529,3231,1028,11732,5611,3134,494,1624,512,357,2011,0.306583072100313,0.746786833855799,0.919435736677116,0.167398119122257,0.0788401253918495
"pc2001__32__02",1,"Kannur",TRUE,22668,13767,8901,15573,7095,2235,20433,8368,6142,1052,3054,1053,764,2011,0.392668078348332,0.687003705664373,0.901402858655373,0.181180518793012,0.0928621845773778
"pc2001__32__03",1,"Wayanad",TRUE,9456,7472,1984,7751,1705,726,8730,3265,2597,484,1516,454,414,2011,0.209813874788494,0.819691201353638,0.923223350253807,0.208333333333333,0.0991962774957699
"pc2001__32__04",1,"Kozhikode",TRUE,22739,15273,7466,14159,8580,1323,21416,8215,5087,1192,4162,1656,1104,2011,0.328334579357052,0.622674699854875,0.941818021900699,0.255859976252254,0.125247372355864
"pc2001__32__05",1,"Malappuram",TRUE,25474,16761,8713,19455,6019,2102,23372,11479,5547,921,3045,1308,1072,2011,0.342035016094842,0.763719871241266,0.917484493993876,0.17088011305645,0.0875009813927927
"pc2001__32__06",1,"Palakkad",TRUE,23215,16802,6413,16278,6937,1926,21289,7818,6021,1426,3835,1174,1015,2011,0.276243807882834,0.701184578936033,0.917036398880034,0.215765668748654,0.111996553952186
"pc2001__32__07",1,"Thrissur",TRUE,30481,21274,9207,21246,9235,1921,28560,10200,7806,1838,5168,1767,1781,2011,0.302057019126669,0.697024375840688,0.936977133296152,0.227518782192185,0.118270397952823
"pc2001__32__08",1,"Ernakulam",TRUE,66076,45778,20298,38489,27587,4037,62039,17130,16464,4457,14884,5320,3784,2011,0.307191718627036,0.582495913796235,0.938903686663842,0.305769114353169,0.147965978570131
"pc2001__32__09",1,"Idukki",TRUE,18719,13756,4963,16325,2394,1912,16807,6458,5103,1004,2411,676,1155,2011,0.26513168438485,0.872108552807308,0.897857791548694,0.164912655590576,0.0897483839948715
"pc2001__32__10",1,"Kottayam",TRUE,26402,19646,6756,20299,6103,1481,24921,8200,7299,1707,4511,1523,1681,2011,0.255889705325354,0.768843269449284,0.943905764714794,0.228543292174835,0.122339216726006
"pc2001__32__11",1,"Alappuzha",TRUE,11003,7360,3643,7239,3764,530,10473,3401,3155,793,1761,613,750,2011,0.331091520494411,0.657911478687631,0.951831318731255,0.215759338362265,0.127783331818595
"pc2001__32__12",1,"Pathanamthitta",TRUE,12333,8675,3658,9243,3090,716,11617,4283,3619,742,1657,567,749,2011,0.296602610881375,0.749452687910484,0.941944376875051,0.180329198086435,0.106138003729831
"pc2001__32__13",1,"Kollam",TRUE,14533,10382,4151,10539,3994,943,13590,5199,3941,804,2160,680,806,2011,0.285625817105897,0.725177182962912,0.935113190669511,0.195417326085461,0.102112433771417
"pc2001__32__14",1,"Thiruvananthapuram",TRUE,29959,23667,6292,16596,13363,1111,28848,6010,7017,1945,8370,3887,1619,2011,0.210020361160252,0.553957074668714,0.962915985179746,0.409125805267198,0.19466604359291
"pc2001__33__02",1,"Chennai",TRUE,88603,63191,25412,26468,62135,4754,83849,15059,19564,4450,23448,18746,2582,2011,0.28680744444319,0.298725776779567,0.946344931887182,0.476214123675271,0.261797004616097
"pc2001__33__05",2,"Dharmapuri;Krishnagiri",TRUE,50053,41321,8732,26745,23308,6601,43452,11510,13909,4447,7774,3644,2168,2011,0.174455077617725,0.53433360637724,0.8681197930194,0.228118194713604,0.161648652428426
"pc2001__33__06",1,"Tiruvannamalai",TRUE,15889,15014,875,8001,7888,1947,13942,4395,4513,956,2619,862,597,2011,0.055069544968217,0.503555919189376,0.877462395367865,0.219082384039272,0.11441878028825
"pc2001__33__08",1,"Salem",TRUE,44435,40807,3628,21868,22567,7816,36619,13501,9984,2350,6265,2523,1996,2011,0.0816473500618882,0.492134578597952,0.824102621807134,0.197772026555643,0.109665803983346
"pc2001__33__09",1,"Namakkal",TRUE,47089,45352,1737,26567,20522,9951,37138,17360,9561,1629,4772,1644,2172,2011,0.0368875958291745,0.564186965108624,0.788676761026991,0.136252628002294,0.0695066788421924
"pc2001__33__11",1,"The Nilgiris",TRUE,10883,8507,2376,6339,4544,1215,9668,2872,3090,584,1904,597,621,2011,0.218322153817881,0.58246806946614,0.888357989524947,0.229807957364697,0.108517871910319
"pc2001__33__13",1,"Dindigul",TRUE,25400,24174,1226,13436,11964,2829,22571,8148,6732,1546,3786,1233,1126,2011,0.0482677165354331,0.528976377952756,0.888622047244094,0.19759842519685,0.109409448818898
"pc2001__33__14",1,"Karur",TRUE,27684,26152,1532,13917,13767,3616,24068,10019,7245,1240,3523,1009,1032,2011,0.055338823869383,0.502709146077156,0.869383037133362,0.163704666955642,0.081238260366999
"pc2001__33__15",1,"Tiruchirappalli",TRUE,49959,47195,2764,19270,30689,2944,47015,11020,13599,5689,10723,4200,1784,2011,0.0553253668007766,0.385716287355632,0.941071678776597,0.2987049380492,0.197942312696411
"pc2001__33__16",1,"Perambalur",TRUE,5578,5369,209,2969,2609,808,4770,1417,1309,345,1144,443,112,2011,0.0374686267479383,0.532269630692004,0.855145213338114,0.284510577267838,0.141269272140552
"pc2001__33__17",1,"Ariyalur",TRUE,4868,4539,329,2841,2027,485,4383,1054,1213,561,1019,411,125,2011,0.0675842235004109,0.583607230895645,0.900369761709121,0.293755135579293,0.199671322925226
"pc2001__33__18",1,"Cuddalore",TRUE,26515,25027,1488,11684,14831,1756,24759,6038,7681,2514,5389,2112,1025,2011,0.0561191778238733,0.440656232321328,0.933773335847633,0.282896473694135,0.174467282670187
"pc2001__33__20",1,"Thiruvarur",TRUE,9609,9222,387,5464,4145,625,8984,2513,2990,744,2031,491,215,2011,0.0402747424289728,0.568633572692268,0.934956811322718,0.262462274950567,0.128525340826309
"pc2001__33__21",1,"Thanjavur",TRUE,26499,25436,1063,11332,15167,1770,24729,6708,7370,1788,5709,1787,1367,2011,0.0401147213102381,0.427638778821842,0.933205026604778,0.282878599192422,0.134910751349108
"pc2001__33__22",1,"Pudukkottai",TRUE,12506,12126,380,6523,5983,894,11612,3638,3586,912,2269,759,448,2011,0.0303854150007996,0.521589636974252,0.928514313129698,0.242123780585319,0.133615864385095
"pc2001__33__23",1,"Sivaganga",TRUE,20003,19609,394,10100,9903,1570,18433,6160,5585,1186,3351,1064,1087,2011,0.0196970454431835,0.504924261360796,0.921511773234015,0.22071689246613,0.11248312753087
"pc2001__33__24",1,"Madurai",TRUE,57858,55982,1876,22709,35149,4494,53364,17059,15275,3255,11866,3470,2439,2011,0.0324242109993432,0.392495419820941,0.922327076635902,0.265062739811262,0.116232845933147
"pc2001__33__25",1,"Theni",TRUE,15747,15053,694,7351,8396,1964,13783,5094,3852,994,2523,782,538,2011,0.0440718867085794,0.466819076649521,0.875277830697911,0.209881247221693,0.112783387311869
"pc2001__33__26",1,"Virudhunagar",TRUE,36112,35261,851,21254,14858,5562,30550,14212,7906,1861,3936,1130,1505,2011,0.0235655737704918,0.588557820115197,0.845979175897209,0.14028577758086,0.0828256535223748
"pc2001__33__27",1,"Ramanathapuram",TRUE,11219,10842,377,5765,5454,916,10303,3482,3130,656,2027,571,437,2011,0.033603707995365,0.513860415366789,0.918352794366699,0.231571441304929,0.109368036366878
"pc2001__33__30",1,"Kanniyakumari",TRUE,16130,14674,1456,8132,7998,712,15418,4699,4731,1332,3013,990,653,2011,0.0902665840049597,0.504153750774954,0.955858648481091,0.248171109733416,0.143955362678239
"pc2001__34__01",1,"Yanam",TRUE,2414,20,2394,1773,641,656,1758,751,500,144,214,85,64,2011,0.991714995857498,0.734465617232809,0.728251864125932,0.123860811930406,0.0948632974316487
"pc2001__34__03",1,"Mahe",TRUE,462,100,362,187,275,15,447,138,119,32,83,47,28,2011,0.783549783549784,0.404761904761905,0.967532467532468,0.281385281385281,0.170995670995671
"pc2001__34__04",1,"Karaikal",TRUE,3626,1122,2504,1722,1904,173,3453,878,987,353,800,352,83,2011,0.690568119139548,0.474903474903475,0.952289023717595,0.317705460562603,0.194429123000552
"pc2001__35__01",2,"North  & Middle Andaman;South Andaman",TRUE,20899,12172,8727,16366,4533,2019,18880,8726,5217,864,2637,1005,431,2011,0.417579788506627,0.783099669840662,0.903392506818508,0.174266711325901,0.0894301162735059
"pc2001__35__02",1,"Nicobars",TRUE,2805,1813,992,1966,839,360,2445,1297,627,109,230,121,61,2011,0.353654188948307,0.700891265597148,0.871657754010695,0.125133689839572,0.0819964349376114
