"target_unit_2001","census_2011_source_district_count","census_2011_parent_reconstruction_complete","log_nonfarm_employment_2013","log_firms_total_2013","mean_employment_per_firm_2013","female_employment_share_2013","hired_employment_share_2013","private_employment_share_2013","manufacturing_employment_share_2013","services_employment_share_2013","log_nonfarm_employment_2005","log_firms_total_2005","mean_employment_per_firm_2005","female_employment_share_2005","hired_employment_share_2005","private_employment_share_2005","manufacturing_employment_share_2005","services_employment_share_2005","log_nonfarm_employment_change_2013_2005","log_firms_total_change_2013_2005","mean_employment_per_firm_change_2013_2005","female_employment_share_change_2013_2005","hired_employment_share_change_2013_2005","private_employment_share_change_2013_2005","manufacturing_employment_share_change_2013_2005","services_employment_share_change_2013_2005"
"pc2001__27__29",,,,,,,,,,,11.7029836831359,10.8700530602839,2.30004945034045,0.235529057652234,0.53272913703569,0.80328614427943,0.190594714384944,0.806990705520458,,,,,,,,
"pc2001__27__30",,,,,,,,,,,12.6468180211151,11.7077683023179,2.55754987161762,0.21238975071837,0.612601480823624,0.858938839603183,0.242292605857008,0.755355194949368,,,,,,,,
"pc2001__27__31",1,TRUE,12.7689516747261,12.0022046218352,2.15275206297436,0.247117991479279,0.456542045428656,0.91776593078623,0.260673683730891,0.731694119791311,12.3119990010704,11.5791157462007,2.08107222747396,0.204814075233418,0.500751074891611,0.822759817943044,0.201431989493946,0.795590695666253,0.4569526736557,0.4230888756345,0.0716798355004,0.042303916245861,-0.044209029462955,0.095006112843186,0.059241694236945,-0.0638965758749419
"pc2001__27__32",1,TRUE,11.9271388616361,11.1465320204465,2.18279647447456,0.231955220132436,0.537450931151614,0.851531212413593,0.194900804927371,0.737929393727118,11.9932382715671,10.9590357517332,2.81286213916584,0.270466045602445,0.646667656410447,0.837286122555024,0.179335387051677,0.737062193024781,-0.0660994099309988,0.1874962687133,-0.63006566469128,-0.038510825470009,-0.109216725258833,0.014245089858569,0.015565417875694,0.000867200702336923
"pc2001__27__33",1,TRUE,11.4076982737576,10.752655092554,1.92522564914232,0.241367817624317,0.458072257032396,0.857630093765276,0.192352130827001,0.73779051681998,11.2625777121651,10.6018709998913,1.93616015916439,0.191591846171631,0.502909329120265,0.810257793533968,0.196305858476873,0.752520776334888,0.145120561592499,0.1507840926627,-0.0109345100220699,0.049775971452686,-0.044837072087869,0.047372300231308,-0.00395372764987201,-0.014730259514908
"pc2001__27__34",1,TRUE,13.1995225470599,12.416147167904,2.18884800246399,0.233557424732507,0.465646621873073,0.94284651004338,0.263949550737169,0.725961707587571,12.8641261848476,11.9599866679057,2.46980578240211,0.171014950570421,0.544737782426995,0.886640808273305,0.279609845522856,0.717099164694489,0.3353963622123,0.456160499998301,-0.28095777993812,0.062542474162086,-0.079091160553922,0.056205701770075,-0.015660294785687,0.00886254289308197
"pc2001__27__35",1,TRUE,12.3722563515237,11.4688168253442,2.46807754611486,0.257941716986086,0.516671042268312,0.909992462673295,0.240783712599192,0.75493102075729,12.27626546346,11.4705293154512,2.23834364469113,0.165342145863533,0.528975543364267,0.810569442955491,0.21828258204649,0.779424171378232,0.0959908880636995,-0.00171249010699981,0.22973390142373,0.092599571122553,-0.012304501095955,0.099423019717804,0.022501130552702,-0.0244931506209419
"pc2001__28__01",1,TRUE,12.1810778622909,11.516588746952,1.94349736467166,0.379877270420326,0.440555102710406,0.88241234883089,0.389991951318292,0.560352296437561,11.8994931359739,10.829233443181,2.9161367013373,0.251263655633458,0.677061253328985,0.786102505570955,0.182706940594598,0.742947986303603,0.281584726317,0.687355303771,-0.97263933666564,0.128613614786868,-0.236506150618579,0.0963098432599351,0.207285010723694,-0.182595689866042
"pc2001__28__02",1,TRUE,12.5834160183213,11.4348666214695,3.1536149463191,0.524288520678412,0.6353104933129,0.929045772607746,0.467863864975778,0.517260294636949,12.5077500744985,11.2177755776709,3.63269390935225,0.518132569104188,0.759108810206157,0.923084034390312,0.537524267356938,0.454103725617084,0.0756659438228002,0.2170910437986,-0.47907896303315,0.006155951574224,-0.123798316893257,0.00596173821743406,-0.0696604023811601,0.063156569019865
"pc2001__28__03",1,TRUE,12.6852713700154,11.7973973904091,2.42995801543948,0.313281066151426,0.52930739791179,0.925314903578196,0.332602583633684,0.627779016336591,12.665318618123,11.6505546999583,2.75871203869112,0.276916127564945,0.622292909127666,0.834295714141312,0.234673506519761,0.670123445870818,0.019952751892399,0.1468426904508,-0.32875402325164,0.036364938586481,-0.092985511215876,0.091019189436884,0.097929077113923,-0.042344429534227
"pc2001__28__04",1,TRUE,12.9236001948155,12.0218913605132,2.46380975853135,0.35029472615841,0.521816567123395,0.903857789748995,0.418313522270367,0.569780321661397,12.6158949140797,11.3739277305138,3.46241798145318,0.27658557631675,0.695629086323056,0.837489628621685,0.427091699578507,0.565686502273406,0.307705280735799,0.647963629999399,-0.99860822292183,0.07370914984166,-0.173812519199661,0.06636816112731,-0.00877817730814001,0.00409381938799103
"pc2001__28__05",1,TRUE,14.2029386391861,12.7859475391927,4.12469096742944,0.291907273143192,0.721401967299467,0.982949890271907,0.14006911546192,0.85833502467779,13.9367046582083,12.1011120498937,6.26884801634902,0.368655899309382,0.82621602276311,0.916798955391533,0.135649389995429,0.863214049062581,0.2662339809778,0.684835489298999,-2.14415704891958,-0.07674862616619,-0.104814055463643,0.066150934880374,0.004419725466491,-0.00487902438479104
"pc2001__28__06",1,TRUE,13.7479627133515,12.4414214092827,3.69337732643142,0.261047863286269,0.677747428807414,0.967338659203174,0.23720341548953,0.75852989730208,13.11840555555,11.7211665236944,4.04401913098554,0.275709050750464,0.743727724511822,0.882704683499824,0.229207369107977,0.74698659705838,0.6295571578015,0.7202548855883,-0.35064180455412,-0.014661187464195,-0.065980295704408,0.08463397570335,0.00799604638155299,0.0115433002437
"pc2001__28__07",1,TRUE,12.7044207477851,11.9606259682772,2.10390423784599,0.316063183475091,0.432077764277035,0.89935297691373,0.232184082624544,0.75703219927096,12.5613491120551,11.5490645115861,2.75188078703704,0.349319173545029,0.563443912868233,0.893801587718837,0.268334998159929,0.719517025042497,0.143071635730001,0.4115614566911,-0.64797654919105,-0.033255990069938,-0.131366148591198,0.00555138919489295,-0.036150915535385,0.037515174228463
"pc2001__28__08",1,TRUE,12.999628350855,12.2751975083059,2.06355627723807,0.367670701346979,0.374029110297593,0.921394960757401,0.255910132074917,0.725491747861499,12.6328914649632,11.5782261955524,2.87101397684266,0.343904070478832,0.585310384207521,0.911558854718982,0.345757402724529,0.636515213312668,0.3667368858918,0.696971312753501,-0.80745769960459,0.023766630868147,-0.211281273909928,0.009836106038419,-0.089847270649612,0.0889765345488309
"pc2001__28__09",1,TRUE,12.7302448067036,12.0180367932034,2.03848730063904,0.261817223781275,0.454344428261873,0.885957278012622,0.267471256201674,0.71204397712337,12.6934279843589,11.769658519278,2.51876692194631,0.301952389581113,0.534893934600938,0.892497258915052,0.308463426095129,0.675406402314489,0.0368168223447007,0.2483782739254,-0.48027962130727,-0.040135165799838,-0.080549506339065,-0.00653998090243002,-0.040992169893455,0.036637574808881
