"target_unit_2001","level","state_code","district_code","state_std","district_std","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","nonfarm_employment","female_employment","hired_employment","private_employment","manufacturing_employment","services_employment","firms_total","harmonized_available","log_nonfarm_employment","log_firms_total","mean_employment_per_firm","female_employment_share","hired_employment_share","private_employment_share","manufacturing_employment_share","services_employment_share"
"pc2001__08__16","district","08","16","rajasthan","jaisalmer",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__17","district","08","17","rajasthan","barmer",1,"barmer",TRUE,108017,13575,53761,87733,24265,82134,55448,TRUE,11.5900439011265,10.9232009235978,1.9480774779974,0.125674662321672,0.49770869400187,0.812214743975485,0.224640565836859,0.76038031050668
"pc2001__08__18","district","08","18","rajasthan","jalor",1,"jalor",TRUE,97412,13748,41219,84845,27223,69451,52282,TRUE,11.4867046853271,10.8644074225535,1.86320339696263,0.141132509341765,0.423140886133125,0.870991253644315,0.279462489221041,0.71296144212212
"pc2001__08__19","district","08","19","rajasthan","sirohi",1,"sirohi",TRUE,74155,9662,39580,64047,14355,59199,32598,TRUE,11.2139127761761,10.3920062157796,2.27483281182895,0.130294653091498,0.533746881531926,0.863690917672443,0.193581012743578,0.798314341581822
"pc2001__08__20","district","08","20","rajasthan","pali",1,"pali",TRUE,166330,24250,83174,145259,37969,127388,78539,TRUE,12.0217290457846,11.2713505956853,2.11780134710144,0.145794504899898,0.500054109300788,0.873318102567186,0.228275115733782,0.765875067636626
"pc2001__08__21","district","08","21","rajasthan","ajmer",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__22","district","08","22","rajasthan","tonk",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__23","district","08","23","rajasthan","bundi",1,"bundi",TRUE,85688,13489,37571,74506,16542,68047,45329,TRUE,11.3584680714445,10.7217022832459,1.89035716649386,0.157419942115582,0.438462795257212,0.869503314349734,0.193049201755205,0.794125198394174
"pc2001__08__24","district","08","24","rajasthan","bhilwara",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__25","district","08","25","rajasthan","rajsamand",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__26","district","08","26","rajasthan","udaipur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__27","district","08","27","rajasthan","dungarpur",1,"dungarpur",TRUE,56062,13153,27520,45815,10151,45218,27315,TRUE,10.9342135001438,10.2151912808298,2.05242540728537,0.234615247404659,0.490885091505833,0.817220220470194,0.181067389675716,0.806571296065071
"pc2001__08__28","district","08","28","rajasthan","banswara",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__29","district","08","29","rajasthan","chittaurgarh",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__30","district","08","30","rajasthan","kota",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__31","district","08","31","rajasthan","baran",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__32","district","08","32","rajasthan","jhalawar",1,"jhalawar",TRUE,97995,15432,46191,81160,19096,77977,49174,TRUE,11.492671735943,10.8031203075141,1.99282140968805,0.157477422317465,0.471360783713455,0.828205520689831,0.19486708505536,0.795724271646513
"pc2001__09__01","district","09","01","uttar pradesh","saharanpur",1,"saharanpur",TRUE,247479,29102,121277,232816,69718,176615,115774,TRUE,12.4190810089062,11.6593952938683,2.13760429802892,0.117593816040957,0.490049660779298,0.940750528327656,0.281712791792435,0.713656512269728
"pc2001__09__02","district","09","02","uttar pradesh","muzaffarnagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__03","district","09","03","uttar pradesh","bijnor",1,"bijnor",TRUE,232944,39309,99455,218537,59913,171937,110409,TRUE,12.3585533603131,11.6119469312415,2.10982800315192,0.168748712136823,0.426948107699705,0.938152517343224,0.257199155161756,0.738104437117934
"pc2001__09__04","district","09","04","uttar pradesh","moradabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__05","district","09","05","uttar pradesh","rampur",1,"rampur",TRUE,163398,28209,56740,151460,63998,98165,86390,TRUE,12.003944221431,11.3666272073529,1.89139946753096,0.172639811992803,0.347250272341155,0.926939130221912,0.391669420678344,0.600772347274752
"pc2001__09__06","district","09","06","uttar pradesh","jyotiba phule nagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__07","district","09","07","uttar pradesh","meerut",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__08","district","09","08","uttar pradesh","baghpat",1,"baghpat",TRUE,65114,10688,26658,59344,20391,44652,33116,TRUE,11.0838948588394,10.4077718282587,1.96623988404397,0.164142887858218,0.409405043462235,0.911386184230734,0.313158460546119,0.685751144147188
"pc2001__09__09","district","09","09","uttar pradesh","ghaziabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__10","district","09","10","uttar pradesh","gautam buddha nagar",1,"gautam buddha nagar",TRUE,608571,105143,541299,591431,309026,299148,59817,TRUE,13.3188688649646,10.999045180475,10.1738803350218,0.172770309462659,0.889459077083857,0.971835660917132,0.507789559476216,0.491558092646544
"pc2001__09__11","district","09","11","uttar pradesh","bulandshahar",1,"bulandshahr",TRUE,199007,30797,74054,185281,55586,143125,100659,TRUE,12.2010952789674,11.5194938458483,1.97704129784719,0.15475335038466,0.372117563703789,0.93102755179466,0.279316807951479,0.719195807182662
"pc2001__09__12","district","09","12","uttar pradesh","aligarh",1,"aligarh",TRUE,215594,30439,85585,201653,67454,147888,101784,TRUE,12.2811522883162,11.5306081998225,2.1181521653698,0.141186674953848,0.396973014091301,0.935336790448714,0.312875126394983,0.685956009907511
"pc2001__09__13","district","09","13","uttar pradesh","hathras",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__14","district","09","14","uttar pradesh","mathura",1,"mathura",TRUE,115634,14667,47219,109370,27446,88108,55270,TRUE,11.6581853096234,10.9199855448273,2.09216573186177,0.126839856789526,0.408348755556324,0.945829081412041,0.237352335818185,0.7619558261411
"pc2001__09__15","district","09","15","uttar pradesh","agra",1,"agra",TRUE,380399,47246,183214,364027,97648,281892,155610,TRUE,12.8489759808381,11.9551081560136,2.44456654456654,0.124201167721261,0.481636387056748,0.956960980444218,0.25669888722105,0.741042957526176
"pc2001__09__16","district","09","16","uttar pradesh","firozabad",1,"firozabad",TRUE,211687,33946,123513,202839,115929,95681,68335,TRUE,12.2628640475851,11.1321773593989,3.0977829809029,0.160359398545966,0.583469934384256,0.95820244039549,0.547643454723247,0.451992800691587
"pc2001__09__17","district","09","17","uttar pradesh","etah",,,,,,,,,,,FALSE,,,,,,,,
