"target_unit_2001","level","state_code","district_code","state_std","district_std","name_key","key","nonfarm_firms_raw","nonfarm_employment_raw","it_firms","it_employment","ec05_source_district_count","source_available","it_firm_share_nonfarm","it_employment_share_nonfarm"
"pc2001__01__14","district","01","14","jammu and kashmir","kathua","kathua","01/14",17584,42265,30,94,1,TRUE,0.00170609645131938,0.00222406246303088
"pc2001__02__01","district","02","01","himachal pradesh","chamba","chamba","02/01",15503,35316,6,10,1,TRUE,0.000387021866735471,0.000283157775512516
"pc2001__02__02","district","02","02","himachal pradesh","kangra","kangra","02/02",57746,120108,128,246,1,TRUE,0.00221660374744571,0.00204815665900689
"pc2001__02__03","district","02","03","himachal pradesh","lahul and spiti","lahul and spiti","02/03",1962,5883,0,0,1,TRUE,0,0
"pc2001__02__04","district","02","04","himachal pradesh","kullu","kullu","02/04",17649,40207,20,58,1,TRUE,0.00113320868037849,0.00144253488198572
"pc2001__02__05","district","02","05","himachal pradesh","mandi","mandi","02/05",36476,78464,31,53,1,TRUE,0.000849873889680886,0.000675469004893964
"pc2001__02__06","district","02","06","himachal pradesh","hamirpur","hamirpur","02/06",19607,39617,25,46,1,TRUE,0.00127505482735758,0.00116111770199662
"pc2001__02__07","district","02","07","himachal pradesh","una","una","02/07",18815,40373,17,57,1,TRUE,0.000903534414031358,0.00141183464196369
"pc2001__02__08","district","02","08","himachal pradesh","bilaspur","bilaspur","02/08",17099,35720,2,4,1,TRUE,0.000116965904438856,0.000111982082866741
"pc2001__02__09","district","02","09","himachal pradesh","solan","solan","02/09",22143,89317,16,146,1,TRUE,0.000722575983380752,0.00163462722661979
"pc2001__02__10","district","02","10","himachal pradesh","sirmaur","sirmaur","02/10",16234,46135,25,38,1,TRUE,0.00153997782431933,0.000823669665113255
"pc2001__02__11","district","02","11","himachal pradesh","shimla","shimla","02/11",28614,97936,14,26,1,TRUE,0.000489270986230517,0.000265479496814246
"pc2001__02__12","district","02","12","himachal pradesh","kinnaur","kinnaur","02/12",3911,11287,0,0,1,TRUE,0,0
"pc2001__03__01","district","03","01","punjab","gurdaspur","gurdaspur","03/01",78530,152981,161,288,1,TRUE,0.00205017190882465,0.00188258672645623
"pc2001__03__02","district","03","02","punjab","amritsar","amritsar","03/02",132058,286853,237,476,1,TRUE,0.00179466598009965,0.00165938651504429
"pc2001__03__03","district","03","03","punjab","kapurthala","kapurthala","03/03",31214,87673,68,129,1,TRUE,0.00217850964310886,0.00147137659256556
"pc2001__03__04","district","03","04","punjab","jalandhar","jalandhar","03/04",106176,278245,174,363,1,TRUE,0.00163878842676311,0.00130460565329116
"pc2001__03__05","district","03","05","punjab","hoshiarpur","hoshiarpur","03/05",69966,147403,123,256,1,TRUE,0.00175799674127433,0.0017367353445995
"pc2001__03__06","district","03","06","punjab","nawanshahr","nawanshahr","03/06",25186,56754,92,106,1,TRUE,0.00365282299690304,0.00186770976495049
"pc2001__03__07","district","03","07","punjab","rupnagar","rupnagar","03/07",36337,116349,138,445,1,TRUE,0.0037977818752236,0.00382469982552493
"pc2001__03__08","district","03","08","punjab","fatehgarh sahib","fatehgarh sahib","03/08",23883,69003,46,73,1,TRUE,0.00192605619059582,0.00105792501775285
"pc2001__03__09","district","03","09","punjab","ludhiana","ludhiana","03/09",149918,521684,396,914,1,TRUE,0.00264144398938086,0.00175201846328429
"pc2001__03__10","district","03","10","punjab","moga","moga","03/10",30965,73873,16,32,1,TRUE,0.000516712417245277,0.000433175855860734
"pc2001__03__11","district","03","11","punjab","firozpur","firozpur","03/11",64652,138003,129,217,1,TRUE,0.00199529790261709,0.0015724295848641
"pc2001__03__12","district","03","12","punjab","muktsar","muktsar","03/12",22421,49995,7,8,1,TRUE,0.000312207305650952,0.00016001600160016
"pc2001__03__13","district","03","13","punjab","faridkot","faridkot","03/13",20191,47210,8,14,1,TRUE,0.000396216135902135,0.000296547341664901
"pc2001__03__14","district","03","14","punjab","bathinda","bathinda","03/14",35659,88772,56,101,1,TRUE,0.00157043102723015,0.00113774613616906
"pc2001__03__15","district","03","15","punjab","mansa","mansa","03/15",18680,40633,33,63,1,TRUE,0.00176659528907923,0.00155046390864568
"pc2001__03__16","district","03","16","punjab","sangrur","sangrur","03/16",74178,184092,122,221,1,TRUE,0.00164469249642751,0.00120048671316516
"pc2001__03__17","district","03","17","punjab","patiala","patiala","03/17",90207,228718,180,495,1,TRUE,0.00199541055572184,0.00216423718290646
"pc2001__04__01","district","04","01","chandigarh","chandigarh","chandigarh","04/01",63386,247683,366,3265,1,TRUE,0.00577414571040924,0.0131821723735581
"pc2001__05__01","district","05","01","uttarakhand","uttarkashi","uttarkashi","05/01",10483,21786,6,7,1,TRUE,0.00057235524182009,0.000321307261544111
"pc2001__05__02","district","05","02","uttarakhand","chamoli","chamoli","05/02",14723,28455,3,5,1,TRUE,0.00020376282007743,0.000175716042874714
"pc2001__05__03","district","05","03","uttarakhand","rudraprayag","rudraprayag","05/03",7150,13124,3,4,1,TRUE,0.00041958041958042,0.000304785126485827
"pc2001__05__04","district","05","04","uttarakhand","tehri garhwal","tehri garhwal","05/04",16685,33433,38,79,1,TRUE,0.00227749475576865,0.00236293482487363
"pc2001__05__05","district","05","05","uttarakhand","dehradun","dehradun","05/05",43954,116609,154,412,1,TRUE,0.0035036629203258,0.00353317496934199
"pc2001__05__06","district","05","06","uttarakhand","garhwal","garhwal","05/06",18940,42859,6,7,1,TRUE,0.000316789862724393,0.000163326255862246
"pc2001__05__07","district","05","07","uttarakhand","pithoragarh","pithoragarh","05/07",18433,31307,33,67,1,TRUE,0.00179026745510769,0.00214009646404957
"pc2001__05__08","district","05","08","uttarakhand","bageshwar","bageshwar","05/08",7108,12619,3,7,1,TRUE,0.000422059651097355,0.000554719074411602
"pc2001__05__09","district","05","09","uttarakhand","almora","almora","05/09",21477,42785,15,33,1,TRUE,0.000698421567257997,0.000771298352226248
"pc2001__05__10","district","05","10","uttarakhand","champawat","champawat","05/10",9220,17560,6,9,1,TRUE,0.000650759219088937,0.0005125284738041
"pc2001__05__11","district","05","11","uttarakhand","nainital","nainital","05/11",27203,75312,20,30,1,TRUE,0.000735213027974856,0.000398342893562779
"pc2001__05__12","district","05","12","uttarakhand","udham singh nagar","udham singh nagar","05/12",42911,104152,3,3,1,TRUE,6.99121437393675e-05,2.880405561103e-05
"pc2001__05__13","district","05","13","uttarakhand","hardwar","hardwar","05/13",54990,143408,64,122,1,TRUE,0.00116384797235861,0.000850719625125516
"pc2001__06__01","district","06","01","haryana","panchkula","panchkula","06/01",15823,53586,27,120,1,TRUE,0.00170637679327561,0.0022393908856791
"pc2001__06__02","district","06","02","haryana","ambala","ambala","06/02",43473,103972,83,190,1,TRUE,0.00190923101695305,0.00182741507328896
"pc2001__06__03","district","06","03","haryana","yamunanagar","yamunanagar","06/03",43748,115926,49,96,1,TRUE,0.00112005120234068,0.000828114486827804
"pc2001__06__04","district","06","04","haryana","kurukshetra","kurukshetra","06/04",36236,80822,5,6,1,TRUE,0.000137984324980682,7.42372126401227e-05
"pc2001__06__05","district","06","05","haryana","kaithal","kaithal","06/05",40500,85800,19,34,1,TRUE,0.000469135802469136,0.000396270396270396
"pc2001__06__06","district","06","06","haryana","karnal","karnal","06/06",45725,101602,58,118,1,TRUE,0.00126845270639694,0.00116139446073896
"pc2001__06__07","district","06","07","haryana","panipat","panipat","06/07",41673,131439,78,201,1,TRUE,0.00187171549924411,0.00152922648528975
"pc2001__06__08","district","06","08","haryana","sonipat","sonipat","06/08",36992,126922,74,184,1,TRUE,0.00200043252595156,0.00144970927026048
"pc2001__06__09","district","06","09","haryana","jind","jind","06/09",38769,83366,7,9,1,TRUE,0.000180556630297403,0.000107957680589209
"pc2001__06__10","district","06","10","haryana","fatehabad","fatehabad","06/10",31466,68806,50,104,1,TRUE,0.00158901671645586,0.00151149609045723
"pc2001__06__11","district","06","11","haryana","sirsa","sirsa","06/11",40057,95147,54,110,1,TRUE,0.00134807898744289,0.00115610581521225
"pc2001__06__12","district","06","12","haryana","hisar","hisar","06/12",50889,121262,93,213,1,TRUE,0.00182750692684077,0.0017565271890617
"pc2001__06__13","district","06","13","haryana","bhiwani","bhiwani","06/13",40942,95828,82,140,1,TRUE,0.00200283327634214,0.0014609508703093
"pc2001__06__14","district","06","14","haryana","rohtak","rohtak","06/14",36246,86261,47,85,1,TRUE,0.00129669480770292,0.000985381574523829
"pc2001__06__15","district","06","15","haryana","jhajjar","jhajjar","06/15",23638,90590,20,62,1,TRUE,0.000846095270327439,0.000684402251904184
"pc2001__06__16","district","06","16","haryana","mahendragarh","mahendragarh","06/16",26745,54623,60,120,1,TRUE,0.00224340998317443,0.00219687677352031
"pc2001__06__17","district","06","17","haryana","rewari","rewari","06/17",27157,74668,34,57,1,TRUE,0.00125197923187392,0.000763379225370975
"pc2001__06__18","district","06","18","haryana","gurgaon","gurgaon","06/18",61932,248113,137,3887,1,TRUE,0.00221210359749403,0.0156662488462918
"pc2001__06__19","district","06","19","haryana","faridabad","faridabad","06/19",77022,269051,137,366,1,TRUE,0.00177871257562774,0.00136033688780194
"pc2001__07__01","district","07","01","delhi","north west","north west","07/01",130870,529740,561,2701,1,TRUE,0.0042866967219378,0.0050987276777287
"pc2001__07__02","district","07","02","delhi","north","north","07/02",71627,347087,396,2791,1,TRUE,0.00552864143409608,0.0080412115694336
"pc2001__07__03","district","07","03","delhi","north east","north east","07/03",97085,452035,177,652,1,TRUE,0.00182314466704434,0.00144236618845886
"pc2001__07__04","district","07","04","delhi","east","east","07/04",94152,378448,517,2586,1,TRUE,0.00549112074092956,0.00683317126791527
"pc2001__07__05","district","07","05","delhi","new delhi","new delhi","07/05",13629,189594,92,1526,1,TRUE,0.0067503118350576,0.00804877791491292
"pc2001__07__06","district","07","06","delhi","central","central","07/06",80576,360190,523,2897,1,TRUE,0.00649076648133439,0.00804297731752686
"pc2001__07__07","district","07","07","delhi","west","west","07/07",101251,409276,548,2966,1,TRUE,0.00541229222427433,0.0072469433829494
"pc2001__07__08","district","07","08","delhi","south west","south west","07/08",60727,290248,400,2556,1,TRUE,0.00658685592899369,0.00880626223091976
"pc2001__07__09","district","07","09","delhi","south","south","07/09",104536,587507,996,14857,1,TRUE,0.00952781816790388,0.0252882093319739
"pc2001__08__01","district","08","01","rajasthan","ganganagar","ganganagar","08/01",56279,130185,139,278,1,TRUE,0.00246983777252616,0.00213542266774206
"pc2001__08__02","district","08","02","rajasthan","hanumangarh","hanumangarh","08/02",45703,94973,17,37,1,TRUE,0.000371966829310986,0.000389584408200225
"pc2001__08__03","district","08","03","rajasthan","bikaner","bikaner","08/03",58418,130450,106,190,1,TRUE,0.00181450922660824,0.00145649674204676
"pc2001__08__04","district","08","04","rajasthan","churu","churu","08/04",54093,97723,49,82,1,TRUE,0.000905847336993696,0.000839106453956592
"pc2001__08__05","district","08","05","rajasthan","jhunjhunun","jhunjhunun","08/05",51524,101004,70,116,1,TRUE,0.00135859017157053,0.0011484693675498
"pc2001__08__06","district","08","06","rajasthan","alwar","alwar","08/06",80952,200296,45,124,1,TRUE,0.000555884968870442,0.000619083756041059
"pc2001__08__07","district","08","07","rajasthan","bharatpur","bharatpur","08/07",60283,125291,79,133,1,TRUE,0.00131048554318796,0.00106152876104429
"pc2001__08__08","district","08","08","rajasthan","dhaulpur","dhaulpur","08/08",20941,41480,18,26,1,TRUE,0.000859557805262404,0.000626808100289296
"pc2001__08__09","district","08","09","rajasthan","karauli","karauli","08/09",23707,47055,0,0,1,TRUE,0,0
"pc2001__08__10","district","08","10","rajasthan","sawai madhopur","sawai madhopur","08/10",34653,62102,51,87,1,TRUE,0.00147173404900009,0.00140092106534411
"pc2001__08__11","district","08","11","rajasthan","dausa","dausa","08/11",39425,80630,42,74,1,TRUE,0.00106531388712746,0.000917772541237753
"pc2001__08__12","district","08","12","rajasthan","jaipur","jaipur","08/12",179054,554648,478,1407,1,TRUE,0.00266958571157305,0.0025367440250393
"pc2001__08__13","district","08","13","rajasthan","sikar","sikar","08/13",78198,143559,172,312,1,TRUE,0.00219954474538991,0.002173322466721
"pc2001__08__14","district","08","14","rajasthan","nagaur","nagaur","08/14",71997,140222,112,196,1,TRUE,0.0015556203730711,0.00139778351471238
"pc2001__08__15","district","08","15","rajasthan","jodhpur","jodhpur","08/15",82567,208453,191,331,1,TRUE,0.00231327285719476,0.00158788791718037
"pc2001__08__16","district","08","16","rajasthan","jaisalmer","jaisalmer","08/16",12264,27446,24,40,1,TRUE,0.00195694716242661,0.00145740727246229
"pc2001__08__17","district","08","17","rajasthan","barmer","barmer","08/17",39883,78579,19,62,1,TRUE,0.000476393450843718,0.000789014876748241
"pc2001__08__18","district","08","18","rajasthan","jalor","jalor","08/18",55205,95974,33,46,1,TRUE,0.000597771940947378,0.000479296476128952
"pc2001__08__19","district","08","19","rajasthan","sirohi","sirohi","08/19",28902,68360,15,28,1,TRUE,0.000518995225243928,0.000409596255119953
"pc2001__08__20","district","08","20","rajasthan","pali","pali","08/20",60465,129992,71,122,1,TRUE,0.00117423302737121,0.000938519293494984
"pc2001__08__21","district","08","21","rajasthan","ajmer","ajmer","08/21",88040,212770,203,422,1,TRUE,0.00230577010449796,0.00198336231611599
"pc2001__08__22","district","08","22","rajasthan","tonk","tonk","08/22",41513,80893,62,108,1,TRUE,0.00149350805771686,0.00133509697996118
"pc2001__08__23","district","08","23","rajasthan","bundi","bundi","08/23",34315,65870,38,66,1,TRUE,0.00110738743989509,0.00100197358433278
"pc2001__08__24","district","08","24","rajasthan","bhilwara","bhilwara","08/24",68629,170091,81,146,1,TRUE,0.00118025907415233,0.000858364052183831
"pc2001__08__25","district","08","25","rajasthan","rajsamand","rajsamand","08/25",38988,89181,65,102,1,TRUE,0.00166717964501898,0.00114374137989034
"pc2001__08__26","district","08","26","rajasthan","udaipur","udaipur","08/26",72820,172112,248,593,1,TRUE,0.00340565778632244,0.00344543088221623
"pc2001__08__27","district","08","27","rajasthan","dungarpur","dungarpur","08/27",24699,52511,39,65,1,TRUE,0.00157901129600389,0.00123783588200567
"pc2001__08__28","district","08","28","rajasthan","banswara","banswara","08/28",27383,72787,22,35,1,TRUE,0.000803418179162254,0.000480855097750972
"pc2001__08__29","district","08","29","rajasthan","chittaurgarh","chittaurgarh","08/29",66074,127692,91,165,1,TRUE,0.00137724369646154,0.00129217178836576
"pc2001__08__30","district","08","30","rajasthan","kota","kota","08/30",53179,131283,108,162,1,TRUE,0.00203087684988435,0.00123397545759923
"pc2001__08__31","district","08","31","rajasthan","baran","baran","08/31",30984,56809,17,25,1,TRUE,0.00054867028143558,0.000440071115492264
"pc2001__08__32","district","08","32","rajasthan","jhalawar","jhalawar","08/32",34567,69552,29,39,1,TRUE,0.000838950444065149,0.000560731538992409
"pc2001__09__01","district","09","01","uttar pradesh","saharanpur","saharanpur","09/01",97659,202422,56,118,1,TRUE,0.000573423852384317,0.00058294058946162
"pc2001__09__02","district","09","02","uttar pradesh","muzaffarnagar","muzaffarnagar","09/02",93630,189932,116,251,1,TRUE,0.00123891914984513,0.0013215255986353
"pc2001__09__03","district","09","03","uttar pradesh","bijnor","bijnor","09/03",84275,160421,43,85,1,TRUE,0.000510234351824384,0.00052985581688183
"pc2001__09__04","district","09","04","uttar pradesh","moradabad","moradabad","09/04",89806,203441,151,290,1,TRUE,0.00168140213348774,0.0014254747076548
"pc2001__09__05","district","09","05","uttar pradesh","rampur","rampur","09/05",52869,88781,28,55,1,TRUE,0.000529610925116798,0.000619501920455953
"pc2001__09__06","district","09","06","uttar pradesh","jyotiba phule nagar","jyotiba phule nagar","09/06",35932,63282,5,7,1,TRUE,0.000139151731047534,0.000110615972946493
"pc2001__09__07","district","09","07","uttar pradesh","meerut","meerut","09/07",95747,200762,153,340,1,TRUE,0.00159796129382644,0.00169354758370608
"pc2001__09__08","district","09","08","uttar pradesh","baghpat","baghpat","09/08",31589,67597,22,34,1,TRUE,0.000696444965019469,0.000502980901519298
"pc2001__09__09","district","09","09","uttar pradesh","ghaziabad","ghaziabad","09/09",115188,252586,172,369,1,TRUE,0.0014932110983783,0.00146088856864593
"pc2001__09__10","district","09","10","uttar pradesh","gautam buddha nagar","gautam buddha nagar","09/10",43162,294480,157,30196,1,TRUE,0.00363745887586303,0.10254007063298
"pc2001__09__11","district","09","11","uttar pradesh","bulandshahar","bulandshahar","09/11",64514,115017,97,176,1,TRUE,0.00150354961713737,0.0015302085778624
"pc2001__09__12","district","09","12","uttar pradesh","aligarh","aligarh","09/12",73271,171243,88,216,1,TRUE,0.00120102086773758,0.00126136542807589
"pc2001__09__13","district","09","13","uttar pradesh","hathras","hathras","09/13",29613,57952,18,36,1,TRUE,0.000607841150845912,0.000621203754831585
"pc2001__09__14","district","09","14","uttar pradesh","mathura","mathura","09/14",48417,90670,61,103,1,TRUE,0.00125988805584815,0.00113598764751296
"pc2001__09__15","district","09","15","uttar pradesh","agra","agra","09/15",88001,195296,87,171,1,TRUE,0.000988625129259895,0.000875593970178601
"pc2001__09__16","district","09","16","uttar pradesh","firozabad","firozabad","09/16",48577,110114,83,160,1,TRUE,0.0017086275397822,0.00145303957716548
"pc2001__09__17","district","09","17","uttar pradesh","etah","etah","09/17",58460,112712,4,11,1,TRUE,6.84228532329798e-05,9.75938675562496e-05
"pc2001__09__18","district","09","18","uttar pradesh","mainpuri","mainpuri","09/18",22944,42085,15,22,1,TRUE,0.000653765690376569,0.000522751574195081
"pc2001__09__19","district","09","19","uttar pradesh","budaun","budaun","09/19",70576,126298,5,10,1,TRUE,7.08456132396282e-05,7.91778175426373e-05
"pc2001__09__20","district","09","20","uttar pradesh","bareilly","bareilly","09/20",101738,189185,46,95,1,TRUE,0.000452141775934263,0.000502153976266617
"pc2001__09__21","district","09","21","uttar pradesh","pilibhit","pilibhit","09/21",42956,78324,12,23,1,TRUE,0.000279355619703883,0.000293652009601144
"pc2001__09__22","district","09","22","uttar pradesh","shahjahanpur","shahjahanpur","09/22",48134,93205,21,37,1,TRUE,0.000436282045955042,0.000396974411244032
"pc2001__09__23","district","09","23","uttar pradesh","kheri","kheri","09/23",48312,83703,50,87,1,TRUE,0.00103493955952972,0.00103938926920182
"pc2001__09__24","district","09","24","uttar pradesh","sitapur","sitapur","09/24",81488,130208,43,78,1,TRUE,0.000527685057922639,0.000599041533546326
"pc2001__09__25","district","09","25","uttar pradesh","hardoi","hardoi","09/25",56375,96800,5,10,1,TRUE,8.86917960088692e-05,0.000103305785123967
"pc2001__09__26","district","09","26","uttar pradesh","unnao","unnao","09/26",49878,84557,5,12,1,TRUE,0.000100244596816232,0.000141916103929893
"pc2001__09__27","district","09","27","uttar pradesh","lucknow","lucknow","09/27",155698,382052,312,829,1,TRUE,0.00200387930480803,0.00216986169421963
"pc2001__09__28","district","09","28","uttar pradesh","rae bareli","rae bareli","09/28",46249,77864,9,21,1,TRUE,0.000194598802136262,0.000269701017158122
"pc2001__09__29","district","09","29","uttar pradesh","farrukhabad","farrukhabad","09/29",29500,53260,44,84,1,TRUE,0.00149152542372881,0.0015771686068344
"pc2001__09__30","district","09","30","uttar pradesh","kannauj","kannauj","09/30",21200,32350,19,19,1,TRUE,0.00089622641509434,0.000587326120556414
"pc2001__09__31","district","09","31","uttar pradesh","etawah","etawah","09/31",28341,63352,10,18,1,TRUE,0.000352845700575138,0.000284126783684809
"pc2001__09__32","district","09","32","uttar pradesh","auraiya","auraiya","09/32",23955,44223,10,13,1,TRUE,0.000417449384262158,0.000293964679013183
"pc2001__09__33","district","09","33","uttar pradesh","kanpur dehat","kanpur dehat","09/33",26798,66085,10,15,1,TRUE,0.000373162176281812,0.000226980404025119
"pc2001__09__34","district","09","34","uttar pradesh","kanpur nagar","kanpur nagar","09/34",140017,367822,140,393,1,TRUE,0.000999878586171679,0.00106845158799637
"pc2001__09__35","district","09","35","uttar pradesh","jalaun","jalaun","09/35",39016,69860,54,87,1,TRUE,0.0013840475702276,0.00124534783853421
"pc2001__09__36","district","09","36","uttar pradesh","jhansi","jhansi","09/36",40948,74941,54,95,1,TRUE,0.001318745726287,0.00126766389559787
"pc2001__09__37","district","09","37","uttar pradesh","lalitpur","lalitpur","09/37",22036,39007,28,35,1,TRUE,0.00127064803049555,0.000897274848104186
"pc2001__09__38","district","09","38","uttar pradesh","hamirpur","hamirpur","09/38",19646,34283,15,19,1,TRUE,0.000763514201364145,0.000554210541667882
"pc2001__09__39","district","09","39","uttar pradesh","mahoba","mahoba","09/39",19710,32484,3,3,1,TRUE,0.00015220700152207,9.235315847802e-05
"pc2001__09__40","district","09","40","uttar pradesh","banda","banda","09/40",27342,49269,4,105,1,TRUE,0.000146295077170653,0.00213115752298606
"pc2001__09__41","district","09","41","uttar pradesh","chitrakoot","chitrakoot","09/41",13988,24152,5,7,1,TRUE,0.000357449242207607,0.000289831069890692
"pc2001__09__42","district","09","42","uttar pradesh","fatehpur","fatehpur","09/42",51978,89618,3,3,1,TRUE,5.77167263072838e-05,3.34754178847999e-05
"pc2001__09__43","district","09","43","uttar pradesh","pratapgarh","pratapgarh","09/43",45932,77675,26,47,1,TRUE,0.000566054167029522,0.00060508529127776
"pc2001__09__44","district","09","44","uttar pradesh","kaushambi","kaushambi","09/44",15815,25777,12,16,1,TRUE,0.000758773316471704,0.000620708383442604
"pc2001__09__45","district","09","45","uttar pradesh","allahabad","allahabad","09/45",111650,216666,74,142,1,TRUE,0.000662785490371697,0.000655386631958868
"pc2001__09__46","district","09","46","uttar pradesh","barabanki","barabanki","09/46",63966,120934,14,31,1,TRUE,0.000218866272707376,0.000256338167926307
"pc2001__09__47","district","09","47","uttar pradesh","faizabad","faizabad","09/47",35738,66267,10,15,1,TRUE,0.000279814203368963,0.000226357010276608
"pc2001__09__48","district","09","48","uttar pradesh","ambedkar nagar","ambedkar nagar","09/48",38851,65312,1,1,1,TRUE,2.57393632081542e-05,1.53111219990201e-05
"pc2001__09__49","district","09","49","uttar pradesh","sultanpur","sultanpur","09/49",59798,111335,67,119,1,TRUE,0.00112043881066256,0.00106884627475637
"pc2001__09__50","district","09","50","uttar pradesh","bahraich","bahraich","09/50",38245,65785,8,13,1,TRUE,0.000209177670283697,0.000197613437713765
"pc2001__09__51","district","09","51","uttar pradesh","shrawasti","shrawasti","09/51",12713,18511,2,2,1,TRUE,0.0001573192794777,0.000108043865809519
"pc2001__09__52","district","09","52","uttar pradesh","balrampur","balrampur","09/52",28123,43876,2,2,1,TRUE,7.11161682608541e-05,4.5583006655119e-05
"pc2001__09__53","district","09","53","uttar pradesh","gonda","gonda","09/53",41782,70536,5,9,1,TRUE,0.000119668756880954,0.000127594419870704
"pc2001__09__54","district","09","54","uttar pradesh","siddharthnagar","siddharthnagar","09/54",27056,44909,3,7,1,TRUE,0.000110881135422827,0.000155870760871986
"pc2001__09__55","district","09","55","uttar pradesh","basti","basti","09/55",29825,59983,29,56,1,TRUE,0.000972338642078793,0.000933597852724939
"pc2001__09__56","district","09","56","uttar pradesh","sant kabir nagar","sant kabir nagar","09/56",27419,50001,4,5,1,TRUE,0.000145884240854882,9.99980000399992e-05
"pc2001__09__57","district","09","57","uttar pradesh","maharajganj","maharajganj","09/57",45248,72713,22,34,1,TRUE,0.000486209335219236,0.000467591764883858
"pc2001__09__58","district","09","58","uttar pradesh","gorakhpur","gorakhpur","09/58",102542,188908,106,211,1,TRUE,0.00103372276725634,0.00111694581489402
"pc2001__09__59","district","09","59","uttar pradesh","kushinagar","kushinagar","09/59",38071,62561,31,48,1,TRUE,0.000814268078064669,0.000767251162865044
"pc2001__09__60","district","09","60","uttar pradesh","deoria","deoria","09/60",59948,107151,43,62,1,TRUE,0.000717288316541002,0.000578622691342125
"pc2001__09__61","district","09","61","uttar pradesh","azamgarh","azamgarh","09/61",71756,136516,45,88,1,TRUE,0.000627125257818162,0.000644613085645639
"pc2001__09__62","district","09","62","uttar pradesh","mau","mau","09/62",55247,125778,5,8,1,TRUE,9.05026517276956e-05,6.36041279079012e-05
"pc2001__09__63","district","09","63","uttar pradesh","ballia","ballia","09/63",61400,104992,39,58,1,TRUE,0.000635179153094462,0.000552423041755562
"pc2001__09__64","district","09","64","uttar pradesh","jaunpur","jaunpur","09/64",81742,157757,31,74,1,TRUE,0.000379242005333855,0.00046907585717274
"pc2001__09__65","district","09","65","uttar pradesh","ghazipur","ghazipur","09/65",68788,125602,14,17,1,TRUE,0.000203523870442519,0.000135348163245808
"pc2001__09__66","district","09","66","uttar pradesh","chandauli","chandauli","09/66",25804,52066,13,28,1,TRUE,0.000503797860796776,0.000537778972842162
"pc2001__09__67","district","09","67","uttar pradesh","varanasi","varanasi","09/67",111800,261488,157,354,1,TRUE,0.00140429338103757,0.00135379061371841
"pc2001__09__68","district","09","68","uttar pradesh","sant ravidas nagar bhadohi","sant ravidas nagar bhadohi","09/68",23175,59141,18,44,1,TRUE,0.000776699029126214,0.000743984714495866
"pc2001__09__69","district","09","69","uttar pradesh","mirzapur","mirzapur","09/69",37434,72543,15,30,1,TRUE,0.000400705241224555,0.00041354782680617
"pc2001__09__70","district","09","70","uttar pradesh","sonbhadra","sonbhadra","09/70",24059,57182,25,48,1,TRUE,0.00103911218255123,0.000839424993879193
"pc2001__10__01","district","10","01","bihar","pashchim champaran","pashchim champaran","10/01",51678,94146,19,27,1,TRUE,0.000367661287201517,0.000286788604932764
"pc2001__10__02","district","10","02","bihar","purba champaran","purba champaran","10/02",48945,86757,4,8,1,TRUE,8.17243845132291e-05,9.22115794690918e-05
"pc2001__10__03","district","10","03","bihar","sheohar","sheohar","10/03",6728,10218,3,6,1,TRUE,0.00044589774078478,0.000587199060481503
