"term","estimate","std.error","statistic","p.value","missing_var","pseudoR2","nobs","status","reason","p_adj"
"SECTORUrban",-0.187767081808968,0.0336805410246755,-5.57494256613644,2.47611543886096e-08,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",3.96178470217754e-07
"SEXFemale",0.0622087160119328,0.0273496935453571,2.27456720525095,0.0229319052872778,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.122303494865482
"AGE",-0.0125905943193376,0.00330014246465806,-3.81516690693598,0.000136090916902313,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.00122481825212082
"HH_SIZE",-0.0185821904519581,0.00602932275624721,-3.08196976728513,0.00205635721548312,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.0141007351918842
"RELIGIONMuslim",0.275382297291697,0.0410534878615485,6.70789040435283,1.97458136453864e-11,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",4.06199594990806e-10
"RELIGIONChristian",-0.286897568855338,0.295271299618595,-0.971640553030133,0.331229400439098,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.935235954180982
"RELIGIONSikh",-0.682813042802334,0.115849569428815,-5.8939627153461,3.77042279429805e-09,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",6.78676102973648e-08
"RELIGIONJain",-0.165345543294429,0.103209404272653,-1.60203950850862,0.109146873154651,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.392928743356743
"RELIGIONBuddhist",1.24070195815106,0.134112212550772,9.25122279733741,2.21938913334968e-20,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",7.98980088005884e-19
"RELIGIONZoroastrian",0.123914820459753,0.350827811242865,0.353206947934843,0.723933299461966,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"RELIGIONOther",0.259934790838154,10226.8516167338,2.54168927622684e-05,0.999979720253684,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"SOCIAL_GROUPScheduled Tribe",0.6740324011171,0.055395827591003,12.1675662306843,4.6267276833473e-34,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",3.33124393201005e-32
"SOCIAL_GROUPScheduled Caste",0.193715031893481,0.0481262768298571,4.02514062283126,5.69412784260531e-05,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.000611839992924864
"SOCIAL_GROUPOther Backward Class",0.15579186251845,0.0403958457413021,3.85663079110045,0.000114960599308063,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.00110362175335741
"state_0708Andhra Pardesh",-0.141792411053452,856.041744375517,-0.000165637262417489,0.999867840586228,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Arunachal Pradesh",19.9816727231857,830.328887385773,0.0240647688244311,0.980800945584228,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Assam",17.8930211235126,830.328887276886,0.0215493178639055,0.982807462616168,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Bihar",19.2411861251546,830.328884910033,0.0231729697410675,0.981512299838106,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Chandigarh",0.0855049784315589,1296.19948640185,6.59659098221943e-05,0.999947366819052,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Chhattisgarh",17.0807640840235,830.32889093132,0.0205710824597049,0.98358780843753,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Dadra & Nagar Haveli",-0.418092037994448,1344.50721245775,-0.000310963031005373,0.999751887402579,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Daman & Diu",-0.125474412456161,1345.99374062504,-9.32206507869013e-05,0.999925620682097,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Delhi",18.8003418927489,830.328888333316,0.022642042396581,0.981935807431011,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Goa",0.0139840738227827,1305.34467812269,1.07129358683212e-05,0.99999145231387,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Gujrat",18.0485280823228,830.328885929819,0.021736601469804,0.982658066912643,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Haryana",-0.0307838987715409,902.504388855173,-3.4109417252353e-05,0.999972784622602,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Himachal Pradesh",17.1266737319915,830.328893344327,0.0206263733193845,0.983543702072569,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Jammu & Kashmir",15.5233394491531,830.328922482029,0.0186954097693605,0.985084090089567,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Jharkhand",19.1743776031258,830.328885543617,0.0230925094103794,0.981576480719051,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Karnataka",16.4226752740738,830.328891552925,0.019778518417394,0.98422005435152,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Kerala",-0.122588569336146,900.760982384348,-0.000136094448731171,0.999891412340882,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Lakshadweep",40.3772034344134,1382.64794867513,0.0292028086203024,0.97670284123532,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Madhya Pradesh",16.3642722082089,830.328888847295,0.0197081812135028,0.984276164383636,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Maharastra",-0.201904151769474,849.862264033938,-0.000237572793044276,0.999810444338146,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Manipur",-0.24768248597289,906.305426304942,-0.000273288097791387,0.999781947648835,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Meghalaya",-0.426166056437569,920.069572577175,-0.00046318894694436,0.999630428703713,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Mizoram",18.5906053873384,830.328890393196,0.0223894478470272,0.982137297641619,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Nagaland",-0.450495917186073,951.092329762702,-0.00047366160265268,0.99962207273433,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Orissa",17.2244402304058,830.328887528001,0.0207441177696288,0.983449775690384,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Pondicheri",-0.0779228545001218,1206.39008842904,-6.45917562217314e-05,0.999948463234991,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Punjab",0.133911891987765,887.405502961305,0.000150902706306075,0.999879597060912,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Rajasthan",18.1440725090838,830.328885626662,0.0218516696494188,0.982566277590573,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Sikkim",-0.96406955710724,946.282500690062,-0.00101879677200435,0.999187117925643,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Tamil Nadu",-0.104738252360193,864.20452651587,-0.000121196139509308,0.999903299471693,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Tripura",-0.388703004505447,897.33300523336,-0.000433175869201825,0.99965437567266,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Uttar Pradesh",16.1182977466232,830.328887277042,0.0194119438617643,0.984512482380567,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Uttaranchal",17.6960683227028,830.328890290921,0.0213121192453061,0.982996676275742,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708West Bengal",-0.149087695604906,853.504251391606,-0.00017467715639591,0.999860627794495,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",0.999998237887418
"(Intercept)",-3.77525766366465,0.271720354433722,-13.8939082113759,6.89671174138696e-44,"father_educ",0.0230209989667974,127181,"estimated",NA,NA
"SECTORUrban",0.166455386572346,0.0318114393241145,5.23256382323339,1.67174902152396e-07,"father_educ",0.0230209989667974,127181,"estimated",NA,2.18847144635863e-06
"SEXFemale",0.19904040905676,0.0289500448867098,6.87530571491908,6.18570583519603e-12,"father_educ",0.0230209989667974,127181,"estimated",NA,1.48456940044705e-10
"AGE",0.0498291883553962,0.00342768597900186,14.5372676087167,7.03449314359616e-48,"father_educ",0.0230209989667974,127181,"estimated",NA,1.01296701267785e-45
"HH_SIZE",-0.0802574542354251,0.00701549197790834,-11.4400322155815,2.63787563448362e-30,"father_educ",0.0230209989667974,127181,"estimated",NA,1.26618030455214e-28
"RELIGIONMuslim",-0.361409020212307,0.0482466899696562,-7.49085627303362,6.84257166779314e-14,"father_educ",0.0230209989667974,127181,"estimated",NA,1.97066064032443e-12
"RELIGIONChristian",0.0473688983922711,0.131294755908091,0.360782866494913,0.71826177194441,"father_educ",0.0230209989667974,127181,"estimated",NA,0.999998237887418
"RELIGIONSikh",-0.206149186412009,0.203956806062936,-1.01074923848532,0.312136464057325,"father_educ",0.0230209989667974,127181,"estimated",NA,0.898953016485097
"RELIGIONJain",0.101102535769282,0.09778918378859,1.03388260186173,0.301191049457503,"father_educ",0.0230209989667974,127181,"estimated",NA,0.888694281240441
"RELIGIONBuddhist",0.115027959403723,0.136816408043795,0.840746815739395,0.400489787531642,"father_educ",0.0230209989667974,127181,"estimated",NA,0.999998237887418
"RELIGIONZoroastrian",0.677971706041255,0.217356986945722,3.11916223889576,0.00181366066739493,"father_educ",0.0230209989667974,127181,"estimated",NA,0.0133533858293434
"RELIGIONOther",-7.25107648536238,68.7770982398614,-0.105428648066455,0.9160356848634,"father_educ",0.0230209989667974,127181,"estimated",NA,0.999998237887418
