"","miss_TUTION_FEE","miss_EXAMINATION_FEE","miss_OTHER_FEES_PAYMENTS","miss_BOOKS","miss_STATIONERY","miss_UNIFORM","miss_TRANSPORT","AGE","HH_SIZE","SECTORRural","SECTORUrban","SEXMale","RELIGIONChristian","RELIGIONHindu","RELIGIONJain","RELIGIONMuslim","RELIGIONOther","RELIGIONSikh","RELIGIONZoroastrian","SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Caste","SOCIAL_GROUPScheduled Tribe","state_0708Andhra Pardesh","state_0708Arunachal Pradesh","state_0708Assam","state_0708Bihar","state_0708Chandigarh","state_0708Chhattisgarh","state_0708Dadra & Nagar Haveli","state_0708Daman & Diu","state_0708Delhi","state_0708Goa","state_0708Gujrat","state_0708Haryana","state_0708Himachal Pradesh","state_0708Jammu & Kashmir","state_0708Jharkhand","state_0708Karnataka","state_0708Kerala","state_0708Lakshadweep","state_0708Madhya Pradesh","state_0708Maharastra","state_0708Manipur","state_0708Meghalaya","state_0708Mizoram","state_0708Nagaland","state_0708Orissa","state_0708Pondicheri","state_0708Punjab","state_0708Rajasthan","state_0708Sikkim","state_0708Tamil Nadu","state_0708Tripura","state_0708Uttar Pradesh","state_0708Uttaranchal","state_0708West Bengal"
"RELIGIONHindu",-0.00851414428541625,0.0436012523371952,0.0244828238540735,-0.00604966944284606,-0.00930591980028068,0.0469524624158025,-0.0182967589712908,-0.00996901690747721,-0.0623424854325094,0.0640113465718199,-0.0640113465718199,-0.00965505168199121,-0.244665502645653,1,-0.480062208085166,-0.692449884981076,-0.0104335429876383,-0.16194347818466,-0.100227430304487,0.142576882618293,0.173765549964062,-0.246399015955626,0.0705333040007141,-0.137026779585425,-0.0156654265676274,0.0640469842803537,0.00450525208629829,0.0630794592545086,0.0248530375377591,0.0122356178882915,0.0145300815762718,-0.00624052279219139,0.0528049753328651,0.0346377065788996,0.0521276550027135,-0.124876653884768,0.0067467012309051,0.025985300364555,-0.086545086054277,-0.087059812163404,0.0814208268157427,0.030248608468717,-0.0846221387267563,-0.207589607579059,-0.2133846638528,-0.201568468572556,0.0906083700724558,0.00563961548861687,-0.133036763295133,0.0653262861370285,-0.0347418568639129,0.0644775097390732,0.0328299711832988,0.0429404756136369,0.0238022659403022,-0.0246993923822812
"RELIGIONJain",-0.0082912254478466,-0.0566958106205932,-0.0248015548054176,0.00333527993062921,0.0107151901735538,-0.082462352809394,0.00985636321486402,0.0347435086134049,-0.0448203107758644,-0.00782694197141297,0.007826941971413,0.0123705214494565,-0.0360302949746957,-0.480062208085166,1,-0.101972584370801,-0.0015364799181402,-0.023848361232521,-0.0147598408414349,-0.174251376258384,-0.10019221037212,0.503686999682562,-0.046726153188572,0.0801920368031855,-0.0278427621961031,-0.075171728344113,-0.0122486078262022,-0.0253022831366777,-0.00958417276932995,-0.00827042911983723,-0.0263170006319637,0.0193487449817181,-0.0476388132588326,-0.0372393451045618,-0.0348565840878102,-0.0341759831014538,-0.012798153167224,-0.0371404669136778,0.0906876291626584,-0.0110486664227149,-0.0656214796389492,-0.0659446661764761,0.175043471603811,0.388595370895933,0.418244402854174,0.418452541270751,-0.0416339663086143,0.000592230999719931,-0.0322541099934312,-0.0601252732130414,-0.0120764984022762,-0.011007597929141,-0.0337072665325423,-0.0988601680796841,-0.032342157335589,-0.0614565165360476
"RELIGIONMuslim",0.0113473428884124,0.0107534350322165,0.00813099582642002,-0.000565394651495085,-0.00878026595298428,0.0334198639925251,0.0290344943633865,-0.0292240135897587,0.118151528750081,-0.0765050723855216,0.0765050723855216,0.00277654442055404,-0.0519707096096349,-0.692449884981076,-0.101972584370801,1,-0.00221624473802059,-0.0343992814146867,-0.0212898451926491,0.0198294019678592,-0.165348771638977,-0.126464476599308,-0.0256082969910319,-0.0364320070294467,0.0576473659484674,0.00862124947829801,-0.0150506546372061,-0.0460752883333021,-0.0183729280242935,-0.00319220845577367,-0.0022914809327588,-0.000324205521395582,-0.0111298472034717,-0.0303862595509581,-0.0404350434295713,0.192449907198094,-0.00590237932469222,0.0121036066632284,0.0613958247931507,0.124447440843675,-0.0330136116958996,-0.00645421624268727,-0.0225694257917254,-0.0332916714981278,-0.0456115902926377,-0.0417388622684666,-0.0615288972819569,-4.00956823580005e-06,-0.0538661999245377,-0.0228827746191821,-0.0365229366002805,-0.0466271105443197,-0.00890029376808132,0.05859072616811,0.00557850888485911,0.101687782372689
"RELIGIONOther",-0.000995425861672046,0.00392169924791425,-0.00450487086348168,-0.000681391993359188,-0.000542193854279361,-0.00389425556370881,-0.0123944303805881,0.00181853680427605,-0.00284293606475919,0.000196941576591139,-0.00019694157659116,0.00251408318137815,-0.000783072745873776,-0.0104335429876383,-0.0015364799181402,-0.00221624473802059,1,-0.000518313872480982,-0.000320786413334777,-0.0046161662087383,-0.00264132681097707,-0.00231138908087454,-0.00144253103194723,-0.000644559116756885,-0.000899870213624739,-0.00166308419938187,-0.000303416785704719,-0.000832808738123207,-0.000286961911728157,-0.00029466948106556,-0.000618030396944405,-0.000292761420680347,-0.00117054511100689,-0.000816383044707602,-0.00077961989868089,-0.000786511523777227,-0.000884145768269199,-0.00116830644428573,-0.000918757635816153,-0.000280378765556147,-0.001459033589065,0.0199118538719171,-0.000842522734718381,-0.000728110246596217,-0.000687256216477562,-0.00066004665231912,-0.00113639846629175,-0.000361906925634562,-0.000935629229448384,-0.00131574705902266,-0.000637726978843952,-0.00133578426523388,-0.000829547541689098,-0.00216932512793253,-0.000726528144539351,-0.00145499355584671
"RELIGIONSikh",0.0107212732350917,0.00241884773582214,0.0159884205187625,0.00770997529415709,0.030589675563677,-0.0210342923762493,0.0251598867673386,0.00686731078856385,-7.13440466582966e-05,0.00226978145508802,-0.00226978145508802,0.00809489187592016,-0.0121544066372495,-0.16194347818466,-0.023848361232521,-0.0343992814146867,-0.000518313872480982,1,-0.00497906296946848,-0.0634405366866645,-0.0340490160085464,0.179620442101395,-0.0202607190277383,0.436240465116191,-0.0123216504117101,-0.0248720968079005,-0.0023203868833294,-0.0129263802214503,-0.00445405842932687,-0.00457369090588808,-0.00722661327044017,-0.00454407508547803,-0.0175256220537697,-0.00996196570480093,-0.0111566994961879,-0.0122077813782081,0.0808302860413934,-0.0181337834518639,-0.0134537256051425,-0.0043518786051082,-0.0189569719348238,-0.026030417650485,0.0526414533309588,0.0623261754573032,-0.0106671973491779,-0.00913536341772124,-0.0149956209097709,-0.00561731200857817,-0.0145223009947272,-0.0204222722235661,-0.00989843289175816,-0.0207332782615856,-0.0128757617983571,-0.0336710221012842,-0.011276753722657,-0.00462026127891551
"RELIGIONZoroastrian",0.00366249248640436,-0.00381315259406126,-0.0175576306720992,0.0159371415306031,-0.000883433701327562,-0.0126713675431432,-0.0402893846927651,0.0118093400380556,0.00966781371364099,-0.0588470827574801,0.0588470827574801,-0.00172220680614183,-0.00752240817465562,-0.100227430304487,-0.0147598408414349,-0.0212898451926491,-0.000320786413334777,-0.00497906296946848,1,-0.0431067898187455,-0.0211175804869235,-0.0192873609751629,-0.0104336494251092,-0.00619180886382401,-0.00732147896229802,-0.0129490431419678,-0.00291470354589372,-0.00230183247305312,-0.00275663358476007,-0.00283067457635401,0.0111820539378409,-0.00281234523324035,0.00632784188677354,-0.00639029970347906,-0.00748923919246071,-0.00755544200340202,-0.00849334291079144,0.0281257855932513,-0.00882583385333764,-0.00269339410562114,0.0266585859096241,0.0500136946556426,-0.00809350081501115,-0.00537279899876041,-0.00660196872912198,-0.00634058631102793,-0.0109165504194743,-0.00347657561853398,-0.00261391695276282,0.0273139592028942,-0.00612617750280172,-0.00641573786182789,-0.00796885760834762,-0.0171714498854761,-0.00697922547092212,-0.013977060849344
"SOCIAL_GROUPOther Backward Class",-0.00580261402909509,0.0379516262910837,0.0284369749816386,-0.000180154627451244,-0.0059887102424865,0.0559109731630665,0.0321275707288174,-0.0335298590402594,0.0536774647245904,0.0555943422155035,-0.0555943422155035,-0.00290255778703982,-0.0615912752120185,0.142576882618293,-0.174251376258384,0.0198294019678592,-0.0046161662087383,-0.0634405366866645,-0.0431067898187455,1,-0.365125695740288,-0.319516518279027,0.0417784662967973,-0.0843358409537397,-0.0503785907054466,0.139990142822419,-0.0275576800113433,-1.38995515153894e-05,-0.0258449087859382,0.0099794338516024,-0.0511115026770693,-0.0287258855141107,0.0123906863934493,-0.0299623441731994,-0.0777969030058729,-0.0718287018241383,0.022060056761216,0.0120675440913846,0.0764175253907921,-0.0387583586472119,0.020838960830158,-0.0368067716584972,0.0247105270604535,-0.0977063224979656,-0.0950033532958054,-0.0875980245843202,0.000479360400733553,0.0429082945607609,-0.0811615287674704,0.0395527057505927,0.00709763876540316,0.152167130591094,-0.055440484717432,0.126342245710365,-0.0504541699801616,-0.163728227359894
"SOCIAL_GROUPScheduled Caste",0.000981643468844359,0.0446429917653826,0.00838793884106727,0.000529107563149447,-0.000787549149894336,0.0633417071266428,0.0714361116374513,-0.0355557089467478,-0.0128502139369254,0.0665328843984568,-0.0665328843984568,-0.00538941314362533,0.0466898497545465,0.173765549964062,-0.10019221037212,-0.165348771638977,-0.00264132681097707,-0.0340490160085464,-0.0211175804869235,-0.365125695740288,1,-0.182824341264665,0.015316724284107,-0.0386906645736535,-0.0299325090007146,0.00934927862017406,0.000738971566834692,-0.0143686942681943,-0.0185377547302798,-0.0163614962816669,0.0326910353163466,-0.0132525948277983,-0.0316130132220302,0.023420073416987,0.028763272498899,-0.0214539774134855,-0.00947924458111973,-0.00313687704108758,-0.0345119328988456,-0.0221771676354593,-0.0119621607476275,-0.0256358693368873,-0.0567429436666735,-0.0561673069654043,-0.0528537814284762,-0.0506411866746153,0.0108734723380569,0.00488030095089619,0.0702313266177566,0.00785660261008975,-0.0331615539505302,0.0393736077383842,0.00387445088951103,0.0481597302756663,0.0100858887035755,0.0628387613903694
"SOCIAL_GROUPScheduled Tribe",-0.0223979953142151,-0.00763381274394089,0.0393568491802263,-0.000810274507463625,0.0211260846373564,-0.0536895041178521,0.0844998718706833,-0.0089745952408536,-0.0251686650390189,0.103148693307518,-0.103148693307518,-0.00082053127995925,-0.0522611400784437,-0.246399015955626,0.503686999682562,-0.126464476599308,-0.00231138908087454,0.179620442101395,-0.0192873609751629,-0.319516518279027,-0.182824341264665,1,-0.0617957338988706,0.184514893276678,0.0113891196080649,-0.104789887066127,-0.021001556393647,0.0941714965459711,0.0628965064677828,-0.00452893023995716,-0.0400306153221855,-0.0157924131524433,0.00342085664061373,-0.0562744155307873,-0.021073796051374,-0.0488838721827091,0.0454665098137358,-0.041312970384398,-0.0594302199397012,0.119302528029674,0.0362347314367632,-0.048305563788329,0.0949859275916337,0.278833449395762,0.295407875837424,0.277260062555034,0.0348925152652497,-0.0250500600694801,-0.0647613149690551,-0.0200892858271171,0.0751733213603935,-0.0886339713230593,0.069265736208241,-0.144463673035142,-0.0416812425912479,-0.0573562266319859
"state_0708Andhra Pardesh",-0.0220479073732264,0.127802661074068,0.172218050658931,-0.00173840393016371,0.00204286904263011,0.0587854251902755,-0.0571394404836274,-0.0130556000230681,-0.114286207536847,-0.00304875424080698,0.00304875424080699,0.0124107791718209,-0.0338272033222132,0.0705333040007141,-0.046726153188572,-0.0256082969910319,-0.00144253103194723,-0.0202607190277383,-0.0104336494251092,0.0417784662967973,0.015316724284107,-0.0617957338988706,1,-0.0278436868230024,-0.0388726243382475,-0.0718419682601746,-0.0131070087108473,-0.0359757004204689,-0.012396190500662,-0.0127291423451993,-0.0266976982749309,-0.0126467178872309,-0.0505652478348418,-0.03526614275322,-0.0336780471108513,-0.0339757517680388,-0.0381933592087362,-0.0504685418330495,-0.0396885238494998,-0.0121118115266516,-0.0630273830001286,-0.072445842623487,-0.0363953259784212,-0.0314529313941057,-0.0296881176005046,-0.0285127179151191,-0.0490901799057655,-0.0156336677807284,-0.0404173435298292,-0.0568376865630462,-0.0275485518951827,-0.0577032544840732,-0.0358348231450954,-0.093710581246775,-0.0313845876952063,-0.0628528615067089
"state_0708Arunachal Pradesh",0.0236650904672825,0.00467182514068766,-6.52705928743481e-05,0.0259414162298669,0.0536256762702063,-0.0420293954476478,0.0393412877232015,0.0116450999860415,-0.00699493696625207,-0.0142085093773116,0.0142085093773116,0.00466255349383117,-0.0135963117678155,-0.137026779585425,0.0801920368031855,-0.0364320070294467,-0.000644559116756885,0.436240465116191,-0.00619180886382401,-0.0843358409537397,-0.0386906645736535,0.184514893276678,-0.0278436868230024,1,-0.0173692654470498,-0.0321007968509893,-0.0058565408791044,-0.0160748470391582,-0.00553892943951551,-0.00568770069091118,-0.0119292025186699,-0.00565087137172741,-0.0225938234680557,-0.01575779884177,-0.0150481977989356,-0.0151812197212331,-0.0170657527168077,-0.0225506127961859,-0.0177338298527405,-0.00541186176730507,-0.0281622186409382,-0.0323706230923399,-0.0162623462838618,-0.0140539601782042,-0.0132653970243376,-0.0127401989064064,-0.0219347260479423,-0.00698551564801508,-0.0180594848014909,-0.0253965067220275,-0.0123093852986832,-0.025783264221376,-0.0160118995321767,-0.0418722427051418,-0.0140234224960436,-0.0280842380519197
"state_0708Assam",0.0086234164783325,-0.0476420142081914,-0.0619060677698787,0.000523891885330711,-0.00122901625789561,-0.0390641466054664,0.0198420388482046,-0.00410621322371799,-0.00921758582145894,0.0103737751402364,-0.0103737751402364,-0.00847802124018966,-0.0189011023829554,-0.0156654265676274,-0.0278427621961031,0.0576473659484674,-0.000899870213624739,-0.0123216504117101,-0.00732147896229802,-0.0503785907054466,-0.0299325090007146,0.0113891196080649,-0.0388726243382475,-0.0173692654470498,1,-0.0448159837770565,-0.00817632790381717,-0.0224421246446164,-0.00773290996654607,-0.0079406097946806,-0.0166543824140114,-0.00788919231184124,-0.031543280084455,-0.0219994930508488,-0.0210088176800964,-0.0211945298398393,-0.0238255299533216,-0.0314829535828304,-0.024758233718362,-0.0075555105467445,-0.0393173272176051,-0.0451926887076899,-0.0227038926981836,-0.0196207606394177,-0.0185198461146858,-0.0177866160193464,-0.0306231129177985,-0.00975249173434481,-0.0252128812142376,-0.0354561115266485,-0.0171851563190216,-0.0359960644100073,-0.022354243509953,-0.0584579179913568,-0.0195781269229964,-0.0392084583683031
"state_0708Bihar",-0.0065173167411626,0.039264330401503,0.0891655579903552,-0.00116549469852671,0.0175750279995122,0.31084828494805,0.0792860356289859,-0.052223304301213,0.0602314320960794,0.0954104706179026,-0.0954104706179026,-0.0300424112820902,-0.0386844270161039,0.0640469842803537,-0.075171728344113,0.00862124947829801,-0.00166308419938187,-0.0248720968079005,-0.0129490431419678,0.139990142822419,0.00934927862017406,-0.104789887066127,-0.0718419682601746,-0.0321007968509893,-0.0448159837770565,1,-0.0151109810503037,-0.0414761399276989,-0.0142914835782803,-0.0146753414915389,-0.0307795944611279,-0.0145803148954561,-0.0582963297492073,-0.0406580957267553,-0.038827191079937,-0.0391704127509341,-0.0440328636365611,-0.0581848380586191,-0.0457566287650853,-0.0139636249964605,-0.0726638404821835,-0.0835223184179636,-0.0419599233745073,-0.0362618703287289,-0.0342272285290916,-0.0328721182393971,-0.0565957339827325,-0.0180239490788693,-0.04659688000927,-0.0655277816277055,-0.0317605378034154,-0.06652568898688,-0.0413137234767288,-0.108038290708971,-0.0361830773440371,-0.0724626358414275
