"term","estimate","std.error","statistic","p.value","missing_var","pseudoR2","nobs","p_adj"
"state_0708Chhattisgarh",1.06024209976131,0.148132461495738,7.15739203315547,8.22263025653847e-13,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,3.58805683921679e-12
"state_0708Dadra & Nagar Haveli",3.44505052545022,0.255725642552781,13.47166631809,2.29624670311607e-41,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,3.67399472498571e-40
"state_0708Daman & Diu",2.14319075277969,0.197028985241973,10.8775404296359,1.47488948190496e-27,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,1.37656351644463e-26
"state_0708Delhi",0.498119670283178,0.158270320554531,3.14727150698828,0.00164801855124697,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.00374144752174988
"state_0708Goa",0.761490046919717,0.201624328425511,3.77677660660403,0.000158871105302158,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.000384033750946224
"state_0708Gujrat",2.1589233499266,0.144292318608531,14.9621502429649,1.29764556052996e-50,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,2.56475828434156e-49
"state_0708Haryana",-0.557239520653948,0.158771301131617,-3.5096992761432,0.000448613756422505,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.00106150860674621
"state_0708Himachal Pradesh",-0.833516934301654,0.164257598583062,-5.0744497757902,3.88618855649197e-07,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,1.16585656694759e-06
"state_0708Jammu & Kashmir",-0.169001081304228,0.155464684162308,-1.08707056020381,0.277005627348237,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.392716838772185
"state_0708Jharkhand",1.86714488045178,0.147249891096304,12.6801104337024,7.62243985266982e-37,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,1.11353903934655e-35
"state_0708Karnataka",1.63275164619658,0.143751394394346,11.3581621456661,6.7550775807014e-30,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,6.67560607975197e-29
"state_0708Kerala",0.952650815718329,0.146503026362646,6.50260161425054,7.89426605964772e-11,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,3.04881999545016e-10
"state_0708Lakshadweep",4.24465310965966,0.370721872985839,11.4496969803069,2.35968928250345e-30,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,2.40259272400351e-29
"state_0708Madhya Pradesh",0.626168143342478,0.142986936621051,4.3791982550264,1.19116729780665e-05,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,3.25392042327671e-05
"state_0708Maharastra",1.92285699461876,0.141750845916199,13.5650477582018,6.45376189827485e-42,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,1.08423199891017e-40
"state_0708Manipur",-0.606397461108667,0.156695645831403,-3.86990626249513,0.000108877207531716,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.000268990748019533
"state_0708Meghalaya",1.1586885349413,0.153887931982359,7.52943080081239,5.09619849152858e-14,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,2.34564752486795e-13
"state_0708Mizoram",0.841881089843668,0.156816825915837,5.3685635130474,7.93662417675834e-08,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,2.49224833961757e-07
"state_0708Nagaland",-0.971784975433255,0.17474490881148,-5.56116330966554,2.67982276449347e-08,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,8.74194610553208e-08
"state_0708Orissa",0.987926661321004,0.144297612777794,6.84645187333992,7.57040973942152e-12,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,3.10202155176297e-11
"state_0708Pondicheri",1.77077947690983,0.177201912580637,9.99300431423965,1.63548274454658e-23,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,1.37380550541912e-22
"state_0708Punjab",0.0640850442269651,0.157490769227511,0.406913018085448,0.68407187431089,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.808368062924433
"state_0708Rajasthan",0.51203885364128,0.143809248471443,3.56054189201162,0.000370090260089911,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.000888216624215787
"state_0708Sikkim",-1.82313108792166,0.208146397043005,-8.75888852183675,1.97185008780659e-18,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,1.14231315431554e-17
"state_0708Tamil Nadu",0.967928518998399,0.143381690040827,6.75071216361577,1.47121211166077e-11,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,5.95575023515683e-11
"state_0708Tripura",0.891991969604854,0.148235006562661,6.01741781707817,1.77221235903902e-09,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,6.20274325663658e-09
"state_0708Uttar Pradesh",-0.0832070137327794,0.142080913532159,-0.585631184824458,0.558123387299658,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.694553548639574
"state_0708Uttaranchal",0.253050310492907,0.153799608433961,1.64532480329144,0.0999028475087278,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.168680184738354
"state_0708West Bengal",0.487058507631098,0.142957592610064,3.40701391747421,0.00065677777965927,"OTHER_FEES_PAYMENTS",0.1337742030321,89841,0.00154319813961898
"(Intercept)",-5.9737198789025,0.521581668515678,-11.4530863323908,2.26919586894883e-30,"BOOKS",0.0271347149034037,89841,NA
"SECTORUrban",0.0251123228144797,0.0637064986110659,0.394187773021286,0.693442412141062,"BOOKS",0.0271347149034037,89841,0.809016147497906
"SEXFemale",-0.101166671436335,0.0578253352215212,-1.74952157300566,0.080200903090169,"BOOKS",0.0271347149034037,89841,0.136789357554806
"AGE",0.0937515514708977,0.00784875000943044,11.9447748186977,6.91373496855644e-33,"BOOKS",0.0271347149034037,89841,8.01039637736195e-32
"HH_SIZE",0.0377278097047401,0.0115971157393638,3.25320627582265,0.00114110628842768,"BOOKS",0.0271347149034037,89841,0.00264421870973587
"RELIGIONMuslim",0.0650551074382933,0.0940942193483522,0.691382615094012,0.489325126325428,"BOOKS",0.0271347149034037,89841,0.627994637423148
"RELIGIONChristian",0.00614385766119831,0.302578669891387,0.0203049926268884,0.983800073068776,"BOOKS",0.0271347149034037,89841,0.992469663036324
"RELIGIONSikh",0.0535148856618226,0.307488687991394,0.174038550853358,0.861835165326575,"BOOKS",0.0271347149034037,89841,0.916520819578405
"RELIGIONJain",0.309144221379602,0.167303412321084,1.84780583426655,0.0646304366127541,"BOOKS",0.0271347149034037,89841,0.11310326407232
"RELIGIONBuddhist",0.361576806837096,0.248494385689779,1.45507032617022,0.14564979316961,"BOOKS",0.0271347149034037,89841,0.228683787406491
"RELIGIONZoroastrian",1.18707238073823,0.294107026197115,4.0361918451504,5.43257990386956e-05,"BOOKS",0.0271347149034037,89841,0.000141026569763101
"RELIGIONOther",-13.2758957356987,2271.51598945213,-0.00584450904037031,0.995336783019147,"BOOKS",0.0271347149034037,89841,0.995336783019147
"SOCIAL_GROUPScheduled Tribe",-0.0527123105462513,0.124303793355746,-0.424060353455132,0.671521798484375,"BOOKS",0.0271347149034037,89841,0.800111079045213
"SOCIAL_GROUPScheduled Caste",0.136346137702023,0.0915829210586984,1.48877253668983,0.136547276518297,"BOOKS",0.0271347149034037,89841,0.218475642429275
"SOCIAL_GROUPOther Backward Class",0.0756614812402017,0.0765262001973535,0.988700354193442,0.322809769474143,"BOOKS",0.0271347149034037,89841,0.446354249149432
