"","miss_DIST_FROM_NEAREST_PRIMARY_CLASS","miss_dmean_num_ENROLLMENT_COST","miss_father_educ","AGE","HH_SIZE","SECTORRural","SECTORUrban","SEXMale","RELIGIONChristian","RELIGIONHindu","RELIGIONJain","RELIGIONMuslim","RELIGIONOther","RELIGIONSikh","RELIGIONZoroastrian","SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Caste","SOCIAL_GROUPScheduled Tribe","state_0708Andhra Pardesh","state_0708Arunachal Pradesh","state_0708Assam","state_0708Bihar","state_0708Chandigarh","state_0708Chhattisgarh","state_0708Dadra & Nagar Haveli","state_0708Daman & Diu","state_0708Delhi","state_0708Goa","state_0708Gujrat","state_0708Haryana","state_0708Himachal Pradesh","state_0708Jammu & Kashmir","state_0708Jharkhand","state_0708Karnataka","state_0708Kerala","state_0708Lakshadweep","state_0708Madhya Pradesh","state_0708Maharastra","state_0708Manipur","state_0708Meghalaya","state_0708Mizoram","state_0708Nagaland","state_0708Orissa","state_0708Pondicheri","state_0708Punjab","state_0708Rajasthan","state_0708Sikkim","state_0708Tamil Nadu","state_0708Tripura","state_0708Uttar Pradesh","state_0708Uttaranchal","state_0708West Bengal"
"state_0708Bihar",0.0334291288551684,0.247015617170005,0.00693249672922524,-0.073712751591762,0.0586538472310252,0.0995227120928139,-0.0995227120928139,-0.0186098897105631,-0.0416869189500932,0.0619457532132072,-0.077142022917307,0.00910789812736302,-0.00150809893203664,-0.0251399191795312,-0.0126634174312485,0.149078264164582,0.0196787120946671,-0.11424445341506,-0.0761154402857998,-0.0337503047483899,-0.0470540788890589,1,-0.0154970070261875,-0.0444152643127871,-0.0145069939341952,-0.014533213513595,-0.0316772890225681,-0.0152991024963386,-0.0646678900619317,-0.0439867827274822,-0.0376941711483236,-0.0405731978005808,-0.0494276557796549,-0.0615081731609885,-0.0445040533206681,-0.0139450988512798,-0.0795917237896007,-0.0877205828594097,-0.0426775807565427,-0.0390885061511313,-0.0342979756681401,-0.033438485163956,-0.0626833923585332,-0.0176370190321605,-0.0498213008835857,-0.0730796569560064,-0.0328653841985434,-0.0657640825877351,-0.0452697610679531,-0.122939410847985,-0.0376527315476776,-0.0804482648571636
"state_0708Chandigarh",-0.00247498270272925,-0.0121438393746609,0.00484171089406015,0.00504331352799043,-0.0158037266647687,-0.0460023158361835,0.0460023158361835,-0.00509886056161577,0.0457070845921233,0.00530848447026303,-0.0112551344260195,-0.0134397462613454,-0.000242397011578455,-0.0025245454390989,-0.00240644967568355,-0.0234851661976171,0.00337284681368685,-0.0202697199341908,-0.0122340483560464,-0.00542469252977752,-0.00756301053137134,-0.0154970070261875,1,-0.00713887339159026,-0.00233171173451202,-0.00233592601221456,-0.00509149634075497,-0.00245902748563438,-0.010394081557324,-0.00707000346960138,-0.00605859088301344,-0.00652133735265977,-0.00794451597027405,-0.00988621969365574,-0.00715314446477745,-0.00224139823714182,-0.0127927920264644,-0.0140993450013325,-0.00685957520227612,-0.00628270259779268,-0.00551271977489492,-0.0053745737121443,-0.0100751128857924,-0.00283480122936325,-0.00800778661833229,-0.0117461063573076,-0.00528245909127574,-0.0105702727783693,-0.00727621680826764,-0.0197600735346846,-0.00605193028854438,-0.0129304640257728
"state_0708Chhattisgarh",-0.00482558639173907,-0.00965413852059251,0.00557281091911134,0.00228613823800697,0.0080757096946266,0.00754822074458027,-0.00754822074458027,0.0017914216358636,-0.0167602573655223,0.0674551618109027,-0.0235380569255528,-0.052217533751654,-0.000694723008102189,-0.0124680583272038,-0.00223277182882275,0.00171038750382418,-0.0189882201529894,0.0939538246433362,-0.0350634474403067,-0.0155474635920691,-0.0216759991901509,-0.0444152643127871,-0.00713887339159026,1,-0.00668281254654349,-0.0066948908954584,-0.0145925052068691,-0.0070477064081955,-0.0297900026033802,-0.0202630141588833,-0.0173642507210442,-0.0186905072508215,-0.0227694145107385,-0.028334442902569,-0.0205013007693776,-0.00642396915508887,-0.0366648371646052,-0.0404094889942148,-0.0196599153090661,-0.0180065670750291,-0.0157997544602446,-0.0154038203369864,-0.0288758210566274,-0.00812469437890482,-0.0229507516265433,-0.0336649791554065,-0.0151398148275426,-0.0302949762179525,-0.0208540327940424,-0.0566334445996977,-0.0173451610954568,-0.0370594125961113
"state_0708Dadra & Nagar Haveli",-0.00231687054118543,-0.0113680405415809,-0.00879765006239988,-0.00894115886365182,0.0016042490778088,-0.0104653378371587,0.0104653378371587,-0.0101265417714631,-0.00630382386834674,0.0245238093778771,-0.00822667009963281,-0.019148929069573,-0.00022691168498918,-0.00407233975351779,-0.00225271568818352,-0.0273621287679693,-0.0192781540993483,0.066171732890071,-0.0114524865988953,-0.00507814066879775,-0.00707985404644352,-0.0145069939341952,-0.00233171173451202,-0.00668281254654349,1,-0.00218669736888031,-0.004766230434419,-0.0023019346095434,-0.00973006451165199,-0.0066183423208217,-0.00567154296569545,-0.00610472727135918,-0.00743698733540765,-0.00925464697051644,-0.00669617192435493,-0.00209820842019794,-0.0119755354059483,-0.013198620357072,-0.00642135708406021,-0.00588133749456785,-0.00516054436830269,-0.00503122364910208,-0.00943147288204591,-0.00265370236776971,-0.00749621599204081,-0.0109957163591888,-0.0049449936922971,-0.00989499990667851,-0.00681138189600422,-0.0184977180704249,-0.00566530787767567,-0.0121044123468311
"state_0708Daman & Diu",-0.0023210579952905,-0.0113885868548748,-0.00286693013521022,-0.00249418722729094,-0.0145474607458279,-0.0157229088315976,0.0157229088315976,-0.00621516729812965,-0.00631521724260067,0.0144470368553878,-0.00754434312198171,-0.00739553440997943,-0.000227321799515716,-0.0040796999989561,-0.00225678719040328,0.0135430860384832,-0.0158606018859735,-0.00597031064206931,-0.0114731855378891,-0.00508731877372931,-0.00709264999828514,-0.014533213513595,-0.00233592601221456,-0.0066948908954584,-0.00218669736888031,1,-0.00477484480058102,-0.00230609506881831,-0.00974765038789519,-0.00663030414786266,-0.00568179357115793,-0.00611576080333748,-0.00745042876106479,-0.00927137358890411,-0.00670827441868695,-0.00210200066982825,-0.0119971796903536,-0.013222475214731,-0.00643296288490446,-0.00589196727742865,-0.00516987140763906,-0.00504031695739437,-0.00944851909114709,-0.00265849860332498,-0.00750976446605735,-0.011015589743011,-0.00495393115071433,-0.00991288388304171,-0.0068236926179429,-0.0185311503852601,-0.00567554721397258,-0.0121262895601734
"state_0708Delhi",-0.0050590892981777,0.0385697321937718,0.00448489074528589,-0.00273641763365645,-0.0129126838835254,-0.121840774473,0.121840774473,-0.0062180834590503,0.0109172809874939,0.0105476345892405,-0.0240873818758695,0.00230871595577877,-0.000495481494002758,-0.00709187696073741,0.00965062412060658,-0.0479372368072734,0.0301723980378971,-0.0385292803315487,-0.0250075053222738,-0.0110885639293269,-0.0154594800192881,-0.0316772890225681,-0.00509149634075497,-0.0145925052068691,-0.004766230434419,-0.00477484480058102,1,-0.0050264753861579,-0.0212464461721262,-0.0144517288348777,-0.0123843097021274,-0.0133302054896121,-0.0162393117657408,-0.0202083304242622,-0.0146216765757409,-0.00458162144806441,-0.0261496281018645,-0.0288203409780068,-0.014021594355941,-0.0128424143898236,-0.0112684996085568,-0.0109861165167237,-0.020594445254899,-0.00579459102723208,-0.0163686427133168,-0.0240101075867672,-0.0107978258704725,-0.0216065970209525,-0.0148732476169473,-0.0403913839236246,-0.0123706948425499,-0.0264310421647639
"state_0708Goa",-0.00244337593586143,-0.0119887564727295,-0.00290762417692706,0.0040508954815778,-0.0197903543546969,-0.0263012620006889,0.0263012620006889,-0.000442391434382528,-0.00664802425082952,-0.00498381046028998,0.0186063591949608,-0.000976945197507615,-0.000239301480515602,-0.00429469699731463,-0.0023757181098381,-0.0266820072586723,-0.0136602075075337,-0.0154223530777135,-0.0120778134401777,-0.00535541649326944,-0.00746642710456691,-0.0152991024963386,-0.00245902748563438,-0.0070477064081955,-0.0023019346095434,-0.00230609506881831,-0.0050264753861579,1,-0.0102613439376689,-0.00697971598952145,-0.00598121964747104,-0.00643805661328151,-0.00784306052823738,-0.00975996772397888,-0.00706179523261151,-0.0022127744607204,-0.0126294216745501,-0.0139192893145162,-0.00677197499638215,-0.0062024693436311,-0.00544231958639322,-0.00530593771796504,-0.00994644865562576,-0.00279859939995204,-0.00790552317848229,-0.0115961027048751,-0.00521499944685058,-0.010435285108736,-0.00718329588070078,-0.0195077275135235,-0.00597464411216997,-0.0127653355335329
"state_0708Gujrat",-0.010327923905211,0.0287176479634346,0.000936213256552418,0.00757720244703625,0.00455615177678565,-0.0398113600461492,0.0398113600461492,0.000774566117359201,-0.027208800404019,0.0505725482975403,-0.0462130033319466,-0.0112226205609358,-0.00101150520674691,-0.0167872233159208,0.0046975020421535,0.0237778940202634,-0.0378849392251523,0.00671101234892033,-0.0510517994062174,-0.02263684978293,-0.0315598962271823,-0.0646678900619317,-0.010394081557324,-0.0297900026033802,-0.00973006451165199,-0.00974765038789519,-0.0212464461721262,-0.0102613439376689,1,-0.0295026133971741,-0.0252820617870148,-0.0272130693537892,-0.033151890845345,-0.0412544801196038,-0.0298495547600073,-0.00935319281582028,-0.0533833963521779,-0.0588355474673614,-0.0286245114491249,-0.0262172637723174,-0.023004181113177,-0.0224277075797207,-0.0420427177557649,-0.0118294206060178,-0.0334159146858464,-0.0490156527185234,-0.0220433199256889,-0.0441089841929604,-0.0303631267525336,-0.0824573584304817,-0.0252542676078611,-0.0539578916531498
"state_0708Haryana",-0.00702500335803538,-0.0344691347915936,-0.00867716096190808,0.015754349158007,0.0173367750799355,-0.009984176011894,0.009984176011894,-0.00746030450746856,0.0565113274626166,0.0338995338750924,-0.0350113758339818,-0.0311061635615538,-0.000688020897449348,-0.0103842974505933,-0.00565351246523683,-0.0299059120222175,0.0361449744252084,-0.0565592626342581,-0.0347251844177117,-0.0153974745746044,-0.0214668871508475,-0.0439867827274822,-0.00707000346960138,-0.0202630141588833,-0.0066183423208217,-0.00663030414786266,-0.0144517288348777,-0.00697971598952145,-0.0295026133971741,1,-0.017196734850238,-0.0185101967585013,-0.0225497541084447,-0.0280610957277658,-0.0203035212448562,-0.00636199603545833,-0.0363111252636769,-0.040019651802559,-0.019470252772692,-0.0178328546693407,-0.0156473315501546,-0.0152552170705064,-0.0285972511149678,-0.00804631407466888,-0.0227293418343122,-0.0333402073934972,-0.0149937584669475,-0.0300027154458446,-0.0206528504038883,-0.0560870921576579,-0.0171778293853629,-0.0367018941593203
"state_0708Himachal Pradesh",-0.00602002834668855,-0.0092244572690633,0.00711358317680819,0.0115582005807837,-0.0182153541666602,0.0294388365339078,-0.0294388365339078,-0.00181980764917243,-0.0129076350631071,0.0492736607660147,-0.0295078953002223,-0.040489381394075,-0.000589594779484908,-0.00906181873264825,-0.00585333192285348,-0.0723113747966003,0.0258460676583911,-0.0187623873001326,-0.0297575081296379,-0.0131947600139444,-0.0183959014074976,-0.0376941711483236,-0.00605859088301344,-0.0173642507210442,-0.00567154296569545,-0.00568179357115793,-0.0123843097021274,-0.00598121964747104,-0.0252820617870148,-0.017196734850238,1,-0.0158621858965006,-0.0193238568046159,-0.0240467631274054,-0.0173989629899774,-0.00545186877823789,-0.0311165692380258,-0.0342945655675113,-0.016684899299516,-0.0152817422484547,-0.0134088732317665,-0.0130728534232923,-0.0245062178015336,-0.0068952335460856,-0.0194777532721464,-0.0285706615872712,-0.0128487982700613,-0.0257106208005724,-0.017698318211987,-0.048063448152392,-0.0147204228332249,-0.0314514359571186
"state_0708Jammu & Kashmir",-0.0064798294652059,-0.0275314798487831,0.00514648076837377,0.0301138339990543,0.0124966284760468,-0.016826634410748,0.016826634410748,0.00222323468891526,-0.00238954191649558,-0.119030427673586,-0.0314064449147193,0.173468019676245,-0.000634627181901791,-0.0113895302556528,-0.00630040100792559,-0.0675390557977132,-0.024481134169127,-0.0441157942255541,-0.032030343859926,-0.0142025568321963,-0.0198009539348806,-0.0405731978005808,-0.00652133735265977,-0.0186905072508215,-0.00610472727135918,-0.00611576080333748,-0.0133302054896121,-0.00643805661328151,-0.0272130693537892,-0.0185101967585013,-0.0158621858965006,1,-0.0207997852324992,-0.025883420356547,-0.0187278707929311,-0.00586827468498998,-0.0334932081035501,-0.0369139352280821,-0.0179592679434715,-0.0164489397722588,-0.014433023710113,-0.0140713391913057,-0.0263779675187677,-0.00742188158069249,-0.0209654360911472,-0.0307528476830832,-0.0138301710272038,-0.0276743610889615,-0.0190500903367068,-0.0517344652881871,-0.0158447475861114,-0.0338536514618172
"state_0708Jharkhand",-0.00789394964362074,0.127059952231996,0.00496520680159336,-0.0147815746447346,0.00608600519962171,0.023206843056162,-0.023206843056162,-0.0034645732047433,-0.0210959451192937,0.00586273868204012,-0.00981765166266768,-0.00712845877103771,-0.000773124515596443,0.0838963914525914,-0.00767536376665747,0.0133608594452979,-0.00414012862435448,0.0530202164862672,-0.0390204592352728,-0.0173020399758304,-0.0241221986006722,-0.0494276557796549,-0.00794451597027405,-0.0227694145107385,-0.00743698733540765,-0.00745042876106479,-0.0162393117657408,-0.00784306052823738,-0.033151890845345,-0.0225497541084447,-0.0193238568046159,-0.0207997852324992,1,-0.031532067008436,-0.0228149320542979,-0.00714893271607061,-0.0408025704368706,-0.0449698170923828,-0.0218785938031479,-0.0200386604231201,-0.0175828026006739,-0.017142186162574,-0.0321345412582906,-0.00904158971677893,-0.0255408105489872,-0.037464169746253,-0.0168483868654369,-0.0337138521976798,-0.0232074709114689,-0.063024693168404,-0.0193026128593347,-0.0412416748509402
"state_0708Karnataka",-0.00982329454922493,-0.0327563540860528,-0.0100899907393496,0.010827486520336,-0.0172685158046506,-0.0267574608049556,0.0267574608049556,0.00542375788742034,-0.0264162767915308,0.0277092966372097,-0.0353462386989783,0.00589376370049877,-0.000962082377364917,-0.0172663047814575,0.0281792121926607,0.0068685953298406,-0.00349384628317591,-0.036316947562159,-0.0485573739153811,-0.0215307979729804,-0.03001785832544,-0.0615081731609885,-0.00988621969365574,-0.028334442902569,-0.00925464697051644,-0.00927137358890411,-0.0202083304242622,-0.00975996772397888,-0.0412544801196038,-0.0280610957277658,-0.0240467631274054,-0.025883420356547,-0.031532067008436,1,-0.0283910853006074,-0.00889618948094099,-0.0507750474557641,-0.0559608027752793,-0.0272258984354906,-0.0249362705103425,-0.0218801812457672,-0.0213318745995863,-0.0399884820951498,-0.0112514271044396,-0.0317831904654762,-0.0466207147338745,-0.0209662683865546,-0.0419537893551002,-0.0288795638176778,-0.078428436058055,-0.0240203269906646,-0.0513214725270374
"state_0708Kerala",-0.00710761516618079,-0.0348744808683579,-0.00896830840671216,0.00949069858703529,-0.04673870832784,-0.00666450504114017,0.00666450504114017,0.00508166910921513,-0.0193386524344848,-0.0727912225313134,0.0826138235481317,0.048640405302708,-0.000696111804670302,-0.011845795759275,-0.00691080313112658,0.0700996349591354,-0.033615437577342,-0.0537137558392174,-0.0351335415568956,-0.0155785439850453,-0.021719330925166,-0.0445040533206681,-0.00715314446477745,-0.0205013007693776,-0.00669617192435493,-0.00670827441868695,-0.0146216765757409,-0.00706179523261151,-0.0298495547600073,-0.0203035212448562,-0.0173989629899774,-0.0187278707929311,-0.0228149320542979,-0.0283910853006074,1,-0.00643681108809391,-0.036738132563514,-0.0404902701963255,-0.0196992167610467,-0.0180425633761711,-0.0158313391990872,-0.015434613577683,-0.0289335457048587,-0.00814093617248129,-0.0229966316747709,-0.0337322776426234,-0.0151700803040904,-0.0303555378497731,-0.0208957213646214,-0.0567466585463666,-0.0173798352028906,-0.0371334967771095
