"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__23__02",1,"Morena",TRUE,362309,13129,163602,104702,216784,47948,31794,280588,955,72770,76634,75643,68273,5948,13985,178461,98208,314954,45765,131486,227377,774,1007,566,1099,75574,128607,38502,89156,195957,172169,48525,5829,20172,1781,346829,12915,292392,33620,32345,25441,6904,3952,2011,0.0362370241975772,0.451553784200779,0.598340090916869,0.13234007435642,0.0877538233938434,0.774443913896701,0.00263587159027239,0.200850655103793,0.211515584763282,0.208780350474319,0.188438597992321,0.016416925883707,0.0385996483664496,0.492565738085446,0.271061442028765,0.869296650097017,0.126314830710802,0.362911216668645,0.627577565006666,0.00213629802185427,0.00303332238503598,0.208589905301828,0.354964960848337,0.106268406249914,0.246077243457932,0.540856009649222,0.475199346414249,0.133932637610437,0.0160884769630343,0.807023838767461,0.0927937202774427,0.0892746246988068,0.019055557548943,0.957274039562915,0.0356463681553591,0.0556762321664656,0.00491569351023574
"pc2001__23__03",1,"Bhind",TRUE,298256,6779,88495,99160,153312,39417,31934,225700,193,51290,77185,75056,59197,7572,8554,133600,93482,264529,32910,107819,187797,584,1161,421,474,68734,102502,44068,75539,177168,165675,46137,4463,14368,1166,288622,7464,215708,39449,40560,36048,4512,2539,2011,0.0227287967383724,0.29670819698514,0.514028217370313,0.132158280135186,0.107069095005633,0.756732471433936,0.000647095112923126,0.171966364465426,0.258787752802961,0.251649589614291,0.198477147148758,0.02538758650287,0.0286800600826136,0.447937342417252,0.313428732364144,0.886919290810579,0.110341451638861,0.361498176063516,0.629650367469556,0.00195804946086583,0.00158923877474384,0.230453033635535,0.343671208626147,0.147752266509307,0.253269003808809,0.594013196716914,0.555479185666005,0.15468926023282,0.0149636553832949,0.723231049836382,0.132265570516603,0.135990558446435,0.0151279437798401,0.967698889544552,0.0250254814655866,0.0481733812563704,0.00390939327289309
"pc2001__23__04",1,"Gwalior",TRUE,369505,5890,107669,116584,173393,163561,15111,181937,4086,177949,61468,203512,211270,8095,124463,77060,201725,190780,166460,306859,58583,1481,936,520,1126,221052,203748,55302,232840,253163,194763,126189,21313,46454,15779,316586,45158,286191,41862,36591,33363,3228,4861,2011,0.0159402443809962,0.291387126019946,0.469257520195938,0.442648949269969,0.0408952517557273,0.492380346680018,0.0110580371036928,0.481587529262121,0.166352282107143,0.550769272404974,0.571764928756038,0.0219076873114031,0.336837119930718,0.20854927538193,0.545933072624186,0.516312363838108,0.450494580587543,0.830459669016657,0.158544539316112,0.00400806484350685,0.00304732006332797,0.598238183515785,0.551407964709544,0.1496650924886,0.630140322864373,0.685140931787121,0.527091649639382,0.341508233988715,0.0576798690139511,0.774525378546975,0.113292107008024,0.0990270767648611,0.00873601169131676,0.856784075993559,0.122212148685403,0.125719543713887,0.0427030757364582
"pc2001__23__07",2,"Ashoknagar;Guna",TRUE,412137,4709,182802,136705,235649,63772,78863,264403,2798,81079,132614,75836,68936,3722,20192,231874,142819,357101,51681,228968,179145,834,1519,605,1066,74130,134016,57369,123540,202146,120208,67206,8341,17756,3101,386841,18962,138985,220061,49886,42556,7330,3205,2011,0.0114258122905733,0.443546684718916,0.57177346367834,0.15473495463887,0.191351419552236,0.641541526240061,0.00678900462710215,0.196728272394859,0.321771643895113,0.184006774446361,0.167264768754079,0.009030977563286,0.048993417237472,0.562613888100316,0.346532827676234,0.866461880394141,0.125397622635192,0.555562834688465,0.434673421702007,0.00202359894889321,0.00258651856057573,0.179867374198385,0.325173425341573,0.13919885863196,0.299754693220944,0.490482533720583,0.291670002935917,0.163067135442826,0.0202384158665686,0.337230095817653,0.533951089079602,0.121042274777562,0.0177853480760039,0.938622351305513,0.0460089727445,0.0430827613148055,0.00752419705098062
"pc2001__23__09",1,"Chhatarpur",TRUE,370885,3620,132878,129553,187131,25858,143055,199315,1217,47529,137637,57401,53393,2592,20530,268301,122261,333007,36726,176056,192108,820,1160,295,446,56851,156073,65630,82967,180063,197839,48339,6206,15567,1880,354948,12483,165237,179153,24720,22681,2039,1775,2011,0.00976043787157744,0.358272779972229,0.504552624128773,0.0697197244428866,0.385712552408428,0.537403777451231,0.00328134057726789,0.128150235248123,0.371104250643731,0.154767650349839,0.143961066098656,0.0069886892163339,0.0553540854982002,0.723407525243674,0.329646655971528,0.897871307817787,0.0990226080860644,0.474691615999569,0.517971878075414,0.00221092791566119,0.00120252908583523,0.153284710894213,0.420812381196328,0.176955120859566,0.223700068754466,0.485495503997196,0.533424107203041,0.130334200628227,0.0167329495665772,0.445520848780619,0.483041913261523,0.0666513878965178,0.00549766100004044,0.957029807083058,0.0336573331356081,0.0419725791013387,0.00506895668468663
"pc2001__23__10",1,"Panna",TRUE,233654,4496,110328,77289,122571,20499,71547,132218,7322,25909,88998,19332,21510,1634,11152,188886,81762,219639,13438,76097,156291,669,369,80,148,23811,104073,42939,30800,82991,96258,18488,2219,8501,653,226597,5039,56856,147581,28467,26593,1874,750,2011,0.0192421272479821,0.4721853681084,0.524583358299023,0.0877322879128968,0.306209181096835,0.56587090313027,0.031336934099138,0.110886182132555,0.380896539327381,0.0827377233002645,0.092059198644149,0.00699324642419989,0.0477286928535356,0.808400455374186,0.349927670829517,0.940018146490109,0.0575123901152987,0.325682419303757,0.668899312658889,0.00286320799130338,0.000633415220796562,0.101907093394506,0.445415015364599,0.183771730849889,0.131818843246852,0.355187585061672,0.411968123806997,0.0791255446086949,0.00949694847937549,0.243334160767631,0.631621970948496,0.12183399385416,0.00802040624170782,0.969797221532694,0.0215660763350938,0.0363828567026458,0.00279473067013618
"pc2001__23__11",1,"Sagar",TRUE,509355,13649,244893,157330,277961,108648,156339,240463,2009,107537,160286,108652,115619,10953,38707,337091,153802,435568,69586,366494,139587,646,921,556,1151,127876,196816,81461,160622,213013,174324,71201,11291,24811,4546,466797,29071,234256,234068,36944,30400,6544,4087,2011,0.0267966349599003,0.480790411402656,0.545711733466836,0.213305062284654,0.306935241629119,0.47209313739926,0.00394420394420394,0.211123872348362,0.3146842575414,0.213312915353732,0.22699099841957,0.0215036664016256,0.0759921861962678,0.66179972710585,0.301954432566677,0.855136397993541,0.136615916207753,0.719525674627715,0.274046588332303,0.00126827065602576,0.00225972062706757,0.25105476534048,0.386402410892207,0.159929715031756,0.315343915343915,0.418201450854512,0.342244603469093,0.139786592847817,0.0221672507386793,0.459907137458158,0.459538043211513,0.0725309460003338,0.0128476210108863,0.916447271549312,0.0570741427884285,0.0487106242208283,0.00892501300664566
"pc2001__23__12",1,"Damoh",TRUE,301115,8092,158765,92354,162414,37933,93950,153855,11824,36196,133080,36407,40026,2795,13534,235891,64450,276140,23500,187731,111888,434,409,226,427,43355,91702,45871,66044,104780,116361,28333,3031,10504,1432,283661,10655,165317,116153,17810,14515,3295,1835,2011,0.0268734536638826,0.527257028045763,0.539375321720937,0.125975125782508,0.312007040499477,0.510950965577935,0.0392673895355595,0.120206565597861,0.441957391694203,0.120907294555236,0.132925958520831,0.00928216794248045,0.0449462829815851,0.783391727413115,0.214037826079737,0.917058266775152,0.0780432725038606,0.62345283363499,0.371578964847317,0.00144130979858194,0.00141806286634674,0.143981535293825,0.304541454261661,0.152337146937217,0.219331484648722,0.347973365657639,0.386433754545606,0.0940936187171014,0.0100659216578384,0.549016156617903,0.385742988559188,0.0591468375869684,0.0109426631021371,0.942035434966707,0.0353851518522824,0.0348836823140661,0.00475565813725653
"pc2001__23__15",1,"Umaria",TRUE,144429,2096,74772,43106,80441,17731,54825,68755,2166,29250,42395,15039,18017,1087,6554,120903,62223,130986,12955,67975,75419,195,277,180,383,19781,89029,26128,22502,39260,66004,14918,1873,6360,839,134416,4877,31884,80330,31564,29861,1703,651,2011,0.0145123209327767,0.517707662588538,0.556958782515977,0.122766203463293,0.379598280123798,0.476047054261956,0.0149969881395011,0.202521654238415,0.29353523184402,0.10412728745612,0.124746415193625,0.00752618933870622,0.0453786981838827,0.837110275637164,0.430820680057329,0.906923124857196,0.0896980523302107,0.470646476815598,0.52218737234212,0.00135014436158943,0.00265182200250642,0.13696002880308,0.616420524963823,0.180905496818506,0.155799735510181,0.271829064800006,0.456999633037686,0.103289505570211,0.0129683096884975,0.22075898884573,0.556190238802457,0.218543367329276,0.011791260757881,0.930671817986692,0.0337674566742136,0.0440354776395322,0.00580908266345402
"pc2001__23__16",2,"Anuppur;Shahdol",TRUE,417602,5828,158546,144688,176852,56096,160777,189366,6230,122249,118918,55228,66734,5588,22693,324005,241366,366479,49012,194522,221031,639,561,249,600,73418,272406,80835,86752,129285,217290,58902,6714,18083,3023,378614,26113,100772,253766,61747,59170,2577,1317,2011,0.0139558718588513,0.379658143399696,0.423494140353734,0.134328858578264,0.385000550763646,0.453460471932606,0.0149185109266718,0.292740456223869,0.28476396185842,0.132250324471626,0.159802874507306,0.0133811619676151,0.0543412148409251,0.775870326291541,0.577980948367106,0.877579609293059,0.11736533828861,0.465807156095996,0.529286258207576,0.00153016508541626,0.00143677472809038,0.175808544978233,0.652310094300315,0.193569475241977,0.207738468685495,0.309589034535275,0.520327967777932,0.141048175056633,0.0160775092073314,0.241311104831873,0.60767429274764,0.147860881892328,0.00617094745714819,0.906638378168687,0.0625308307910403,0.0433019956800973,0.00723895000502871
"pc2001__23__18",1,"Neemuch",TRUE,175666,3963,93185,48209,100890,74329,47079,50773,1690,50706,51390,47186,43264,2589,13032,80414,59560,138439,34894,145258,29266,152,244,170,576,46190,74213,16426,73279,105328,84293,47549,4498,8342,1945,157683,14613,118332,47839,8715,7685,1030,780,2011,0.0225598579121742,0.530466908792823,0.574328555326586,0.423126842986121,0.268002914622067,0.289031457424886,0.00962052986918356,0.288650051802853,0.292543804720322,0.268612025093074,0.246285564651099,0.0147381963498913,0.0741862397959765,0.457766443136407,0.339052520123416,0.788080789680416,0.198638325003131,0.826898773809388,0.166600252752382,0.000865278426104084,0.00327894982523653,0.262942174353603,0.422466498924095,0.0935069962314847,0.417149590700534,0.599592408320335,0.479848120865734,0.27067844659752,0.0256054102672116,0.673619254722029,0.272329306752587,0.0496111939703756,0.00586339986110004,0.897629592522173,0.0831862739517038,0.047487846253686,0.0110721482813977
"pc2001__23__19",1,"Mandsaur",TRUE,284411,9367,138591,87559,162563,100429,102922,75760,2118,69544,94307,67048,63473,4387,19076,124998,101984,232119,48539,239885,42711,277,495,259,784,68287,110811,33459,109904,166980,123272,62695,5435,12507,2324,261639,18028,131521,133284,17817,14845,2972,1789,2011,0.03293473177901,0.487291279169934,0.571577751915362,0.353112221397907,0.361877705152051,0.266375069881263,0.00744696935069319,0.244519375129654,0.331587034256762,0.235743343260282,0.223173505947379,0.0154248605011761,0.0670719486939675,0.439497769073629,0.358579661124218,0.816139319505926,0.170664988344333,0.843444873791801,0.150173516495494,0.000973942639349392,0.00275657411281561,0.240099714849285,0.389615732162258,0.117643129133543,0.38642668532511,0.587108093568814,0.433429086779344,0.220438028065019,0.0191096687540215,0.462432887616864,0.46863166333229,0.0626452563367802,0.010449666152153,0.919932773345616,0.0633871404411222,0.0439750923839092,0.00817127326298912
"pc2001__23__20",1,"Ratlam",TRUE,293116,9746,134974,87799,164749,92722,41903,150946,5622,62856,101787,91362,89903,4503,30229,147235,124272,218862,68654,213825,76595,336,686,375,1299,96263,134890,26769,107463,146318,106605,67819,5757,14905,3644,265828,21958,128478,147613,15194,11154,4040,1831,2011,0.0332496349568089,0.460479810041076,0.562060754104177,0.31633210060181,0.142957054544958,0.514970182453363,0.0191801198160455,0.21444069924535,0.347258423286344,0.311692299294477,0.30671474774492,0.0153625185933214,0.103129818911284,0.502309665797841,0.423968667694701,0.746673671856876,0.234221263936462,0.729489348926705,0.261312927305231,0.00114630385239973,0.00443169257222397,0.328412642093915,0.460193234077976,0.0913256185264537,0.366622770507239,0.499181211534,0.36369560174129,0.231372562398504,0.0196406883281704,0.438317935561348,0.503599257631791,0.0518361331350046,0.0137829391776635,0.906903751415822,0.0749123214017659,0.0508501753571965,0.0124319382087638
"pc2001__23__21",1,"Ujjain",TRUE,384278,12995,145212,129493,205073,129402,45440,204927,2250,111850,112781,161997,157494,5279,49640,163883,196262,250955,124452,323379,58422,388,569,614,906,165304,184415,45472,181659,248508,163671,107407,12167,27733,7501,338261,36739,198401,162906,21076,17076,4000,1895,2011,0.0338166639776412,0.377882678685743,0.533657924731575,0.336740588844534,0.118247726906042,0.533277991454104,0.00585513612540921,0.291065322500898,0.293488047715456,0.421561994181296,0.40984391508231,0.0137374504915712,0.129177314340139,0.42646989939575,0.510729211664472,0.653055860600919,0.323859289368634,0.841523584488313,0.152030561208292,0.00100968569629279,0.00235766814649811,0.430167743144286,0.479899968252151,0.118330999953159,0.472728077069205,0.646688074779196,0.4259182154586,0.279503380365256,0.0316619738834906,0.516295494407694,0.423927469175961,0.0548457106573887,0.0104091308896164,0.880250755963131,0.095605264938404,0.0721691067404327,0.0195197227007531
"pc2001__23__23",1,"Dewas",TRUE,304742,9457,109244,108928,159069,64926,41278,191227,3132,69986,83175,106779,106623,4755,29444,170361,153116,237165,63190,270457,32576,358,403,323,625,112895,143806,35470,124826,168269,117794,77281,9017,16523,3518,278354,18785,148037,130076,22781,10225,12556,3848,2011,0.0310328080802777,0.358480288243826,0.521979248019636,0.213052352481771,0.135452284227314,0.627504577642727,0.0102775462522396,0.229656561944202,0.272935794869102,0.350391478693452,0.349879570259433,0.0156033628446358,0.0966194354568783,0.559033543128286,0.502444690918876,0.778248485604216,0.207355730421143,0.887494995766911,0.106896981709118,0.00117476422678856,0.00205091520039903,0.370460914478477,0.471894258093732,0.116393539453046,0.409612065288014,0.55216871976951,0.386536808185285,0.253594844163259,0.0295889637791968,0.485778133634353,0.426839752971366,0.0747550386884643,0.0412020660099363,0.913408719506993,0.0616423072631931,0.054219634969909,0.011544191480006
"pc2001__23__24",2,"Alirajpur;Jhabua",TRUE,339368,24975,162242,113645,242232,29542,42144,254420,10924,34479,128741,35014,35326,2447,8771,296264,79304,310574,26115,206417,127953,2857,607,348,1186,38152,135703,18086,33732,93569,59097,29964,3389,10717,1041,324332,11464,127116,179713,31789,22322,9467,750,2011,0.0735926781546875,0.478071002569482,0.71377383842908,0.087050045967799,0.124183776902949,0.749687654699323,0.0321892458923646,0.101597675679498,0.379355154286792,0.103174135451781,0.104093491431131,0.0072104617995804,0.0258451003040947,0.872987435468282,0.23368143136654,0.915154051059617,0.0769518634638505,0.608239433299545,0.377033191108178,0.00841858984936706,0.00349473138304142,0.112420735013319,0.399869757902925,0.0532931802644916,0.0993965253058627,0.275715447537776,0.174138398434738,0.0882935338629452,0.00998620966030975,0.374566841894345,0.529551990759294,0.0936711770113859,0.027895971334952,0.955694113764409,0.0337804389335471,0.0315792885599114,0.00306746658494613
"pc2001__23__25",1,"Dhar",TRUE,419813,17788,193089,136318,254611,122739,58933,219663,12600,89435,158954,116682,112056,12831,33618,263705,179902,332689,79014,349639,67015,874,713,282,1290,126246,179333,31650,123750,183741,114497,85477,8080,18626,2388,378227,33109,192634,187079,37258,26591,10667,2842,2011,0.0423712462453521,0.459940497316662,0.606486697648715,0.292365886716228,0.140379168820403,0.523240109286754,0.030013363092615,0.21303532763397,0.378630485478058,0.277938034315278,0.26691884243699,0.0305636080826463,0.0800785111466296,0.628148723360163,0.428528892626003,0.792469504279286,0.188212370746023,0.832844623677685,0.159630597432666,0.00208187931293219,0.00307279669757725,0.30071960611034,0.427173527260947,0.0753907096731164,0.294774101802469,0.437673440317475,0.272733336032948,0.203607320402179,0.0192466645863754,0.458856681427207,0.445624599524074,0.0887490382622739,0.0254089320721369,0.900941609716707,0.0788660665582057,0.0443673730923054,0.00568824690993371
"pc2001__23__26",1,"Indore",TRUE,615334,8878,177420,192921,269641,291070,14642,291978,5280,302125,111910,474404,461285,11302,319319,134454,453565,169123,418725,593576,18176,821,544,699,1518,480633,380531,199866,464337,479762,318881,286973,64865,111478,48691,457287,134832,481352,113187,17656,9719,7937,3139,2011,0.0144279366977934,0.288331215242454,0.438202667169375,0.473027656524749,0.0237952071557886,0.474503277894607,0.00858070576304901,0.490993509216133,0.181868708701291,0.770969912275285,0.749649783694709,0.0183672607071932,0.518936057490729,0.218505722095642,0.737103751783584,0.274847481205329,0.680484094816799,0.964640341668102,0.0295384295358293,0.00133423474080743,0.00246695290687659,0.781092869888548,0.618413739530076,0.324808965537415,0.754609691647138,0.779677378464379,0.518224248944476,0.46636948389005,0.105414295325791,0.782261340995297,0.183944004394361,0.0286933600288624,0.0128986859169167,0.743152499293067,0.219120022621861,0.181166650957041,0.079129383391784
"pc2001__23__28",1,"Barwani",TRUE,243061,10562,109779,82927,162119,70117,26443,130983,9243,48225,67109,44201,39883,5093,11499,167610,90205,210007,30821,181139,59132,920,762,186,922,45979,93187,18097,48847,70169,51163,31152,3102,8516,1158,224957,12865,70197,135173,36966,16237,20729,725,2011,0.0434541123421692,0.451652054422552,0.666988945161914,0.288474909590597,0.108791620210564,0.538889414591399,0.0380274910413435,0.198406984254981,0.276099415373096,0.181851469384229,0.164086381607909,0.0209535877824908,0.0473091117044692,0.689579981979832,0.371120829750556,0.864009446188405,0.126803559600265,0.745240906603692,0.243280493374091,0.00378505807184205,0.00379328645895475,0.189166505527419,0.383389354935592,0.0744545607892669,0.200966012647031,0.288688847655527,0.210494484923538,0.128165357667417,0.0127622284117979,0.288804045075105,0.556127885592506,0.152085279004036,0.0852831182295802,0.925516639855839,0.0529291001024434,0.035036472325877,0.00476423613825336
"pc2001__23__30",1,"Rajgarh",TRUE,341848,15305,202659,88431,207264,44489,120572,172927,2228,35811,156011,50071,47783,5222,10145,180164,108438,307976,31208,231130,108167,717,1328,187,319,54463,123791,32273,76942,150010,85879,46026,4185,12718,1611,324899,11977,141005,176847,22326,17726,4600,1670,2011,0.0447713603706911,0.592833657063958,0.606304556411037,0.130142636493412,0.352706466031687,0.505859329292551,0.0065175165570663,0.104757085020243,0.456375348107931,0.146471531206852,0.139778498045915,0.0152757950902155,0.0296769324378086,0.527029556996092,0.317211158175563,0.900915026561513,0.091292036226627,0.676119210877349,0.316418408181414,0.00209742341625518,0.000933163277246027,0.159319346610189,0.362122931829351,0.0944074559453324,0.225076642250357,0.438820762444127,0.251219840396902,0.134638786829234,0.0122422831199831,0.412478645479862,0.517326414078772,0.0653097283002972,0.0134562729634223,0.950419484683251,0.0350360394093281,0.0372036694671316,0.004712620813929
"pc2001__23__31",1,"Vidisha",TRUE,297419,3899,120135,105251,158919,47389,39154,208963,987,80188,69081,74896,68321,4249,17092,136905,116463,252368,42020,181510,113529,332,1043,337,668,73505,111331,31152,96565,150643,70884,55126,5682,12888,1926,275519,15915,88071,183190,24410,21125,3285,1748,2011,0.0131094516490204,0.40392510229676,0.534326993231771,0.159334138034221,0.131645927126377,0.70258793150404,0.00331855059696926,0.269612903008886,0.232268281448058,0.25181982321237,0.229712963865792,0.0142862426408535,0.0574677475211738,0.460310202105447,0.391578883662443,0.848526825791224,0.141282164219502,0.61028380836463,0.381714012890905,0.00111627031225308,0.00224598966441283,0.247142919584828,0.374323765462193,0.104741122793097,0.324676634646744,0.506500929664884,0.238330436185987,0.185347943473685,0.0191043611874157,0.296117598404944,0.615932405125429,0.082072766030415,0.0110450240233475,0.926366506511016,0.053510367528638,0.0433328065792703,0.00647571271505855
"pc2001__23__32",1,"Bhopal",TRUE,487750,5750,170474,151023,227115,290507,14459,159967,10364,237019,81968,345636,341458,5810,235491,96542,329539,143522,282775,452912,31691,583,1017,674,873,352351,301988,128211,339750,353909,159808,213130,60383,94729,40788,357177,107036,361878,98680,24056,16792,7264,3136,2011,0.0117888262429523,0.349511019989749,0.465638134290108,0.595606355715018,0.0296442849820605,0.327969246540236,0.0212485904664275,0.485943618657099,0.168053305996925,0.708633521271143,0.700067657611481,0.0119118400820092,0.48281086622245,0.197933367503844,0.675630958482829,0.294253203485392,0.579753972321886,0.928574064582266,0.0649738595592004,0.00119528446950282,0.00178985135827781,0.72240082009226,0.619145053818555,0.262862121988724,0.696565863659662,0.725595079446438,0.327643259866735,0.436965658636597,0.123799077396207,0.741933367503844,0.202316760635571,0.0493203485392107,0.014892875448488,0.732295233213737,0.219448487954895,0.194216299333675,0.0836248077908765
"pc2001__23__33",1,"Sehore",TRUE,251586,4249,101542,92773,144387,42540,48470,157489,2073,55011,55177,67978,73571,5911,7899,163666,117721,216851,32462,212138,38312,199,345,167,425,80229,131887,24647,100011,141356,82644,60435,6041,11166,1566,235670,11139,134540,100157,15138,7260,7878,1751,2011,0.0168888570906171,0.403607513931618,0.573907133147313,0.169087310104696,0.192657779049709,0.625984752728689,0.00823972717082827,0.218656841000692,0.219316655139793,0.270197864746051,0.292428831493008,0.0234949480495735,0.03139681858291,0.650536993314413,0.467915543790195,0.861935878784988,0.129029437250085,0.843202721932063,0.152281923477459,0.00079098201012775,0.00168928318745876,0.318892943168539,0.524222333516173,0.0979665005206967,0.397522119672796,0.561859562932755,0.328492046457275,0.240216069256636,0.0240116699657374,0.534767435389887,0.398102438132488,0.0601702797452958,0.0313133481195297,0.936737338325662,0.0442751186473015,0.0443824378145048,0.00622451169778923
"pc2001__23__34",1,"Raisen",TRUE,274210,12349,149323,76438,170755,55642,30042,185407,1860,70591,87256,64859,76370,5251,14259,191713,108249,235209,35538,194373,76614,1731,692,242,558,82664,96515,30270,87258,133315,64233,48130,6017,9931,1141,248660,17923,103263,149744,20361,13854,6507,842,2011,0.0450348273221254,0.544557091280406,0.622716166441778,0.202917472010503,0.10955836767441,0.676149666314139,0.00678312242441924,0.257434083366763,0.318208672185551,0.236530396411509,0.278509171802633,0.0191495569089384,0.052000291747201,0.699146639436928,0.39476678458116,0.85776959264797,0.129601400386565,0.70884723387185,0.279399000765836,0.00631268006272565,0.00203493672732577,0.301462382845265,0.351974763867109,0.110389847197403,0.318215965865577,0.486178476350243,0.234247474563291,0.175522409831881,0.0219430363589949,0.376583640275701,0.546092410925933,0.0742533095073119,0.023729987965428,0.906823237664564,0.0653623135553043,0.0362167681703804,0.00416104445497976
"pc2001__23__35",1,"Betul",TRUE,327074,7848,81910,113894,134104,88762,64474,170964,1789,68321,96819,75563,71170,9059,10312,230163,221024,277304,46945,230974,88951,5602,656,241,650,81190,202719,40590,94586,121106,114524,59230,5740,13755,2109,284681,23266,104086,203642,18397,11732,6665,949,2011,0.0239945700361386,0.250432623809902,0.410011190128228,0.271382011410262,0.197123586711264,0.522707399548726,0.00546971021848267,0.208885450998857,0.296015580571981,0.231027229312021,0.217596018026502,0.0276970960700025,0.0315280334113993,0.703703137516281,0.675761448479549,0.84783260057357,0.143530210288803,0.706182698716498,0.27195986229416,0.0171276224952151,0.00198731785467509,0.248231287109339,0.619795520279814,0.124100356494249,0.289188379388151,0.370270947858894,0.350147061521246,0.181090517742162,0.0175495453628231,0.318233794187248,0.622617511633453,0.0562472101114732,0.02037765154063,0.870387129518091,0.0711337495490317,0.042054703217009,0.00644808208539963
"pc2001__23__36",1,"Harda",TRUE,110981,2294,40979,39641,60042,21860,21900,65843,994,38378,26483,41823,47999,3451,7621,65935,58662,84970,24987,95066,15290,156,209,27,233,51766,50040,6664,45661,63615,29025,30952,3556,5376,986,99039,7072,56144,41527,12456,5189,7267,854,2011,0.0206702048098323,0.369243384002667,0.541011524495184,0.196970652634235,0.19733107468846,0.593281732909237,0.00895648804750363,0.345806939926654,0.238626431551347,0.376848289346825,0.432497454519242,0.0310954127283048,0.068669411881313,0.594110703633955,0.528576963624404,0.765626548688514,0.225146646723313,0.85659707517503,0.137771330227697,0.00140564601147944,0.00209945846586353,0.466440201475928,0.450887989836098,0.060046314233968,0.411430785449762,0.573206224488876,0.261531253097377,0.27889458555969,0.0320415206206468,0.505888395310909,0.374181166145556,0.11223542768582,0.0654796767014174,0.892395995710978,0.0637226191870681,0.0484407240879069,0.00888440363665853
"pc2001__23__38",1,"Katni",TRUE,289026,4222,146300,87212,159956,50054,45111,192309,1067,55142,81858,46185,52657,2956,20414,211896,97265,248228,38786,172416,115231,356,343,151,529,56180,145653,35724,76207,100862,133962,35359,3958,13094,2179,268593,16045,95736,161078,31062,29566,1496,1150,2011,0.0146076823538367,0.506182834762271,0.553431179201871,0.173181651477722,0.15607938386166,0.665369205538602,0.00369170939638648,0.190785604063302,0.283220194722966,0.159795312532437,0.182187761654661,0.0102274535854906,0.0706303239154955,0.733138195179672,0.336526817656543,0.858843149059254,0.134195539501637,0.596541487617031,0.398687315328033,0.001231723097576,0.00183028516465647,0.194376976465785,0.503944281829316,0.123601336903946,0.263668320497118,0.348972064796939,0.463494633700774,0.122338474739297,0.0136942697196792,0.331236636150381,0.55731318289704,0.107471300159847,0.00517600492689239,0.929303938054016,0.0555140367994575,0.0453038826956744,0.00753911412814072
"pc2001__23__39",1,"Jabalpur",TRUE,515029,9749,200010,158136,245569,229977,27956,251028,2970,187442,114859,229432,266184,15989,101707,204388,273600,307692,193596,452023,59941,526,754,525,1260,286802,296870,96985,285248,274726,271469,154678,26487,58601,20443,434882,64448,278203,186431,47237,40951,6286,3158,2011,0.0189290311807685,0.388347063951739,0.476806160429801,0.446532137025294,0.0542804385772452,0.487405563570207,0.005766665566405,0.36394455457848,0.223014626360846,0.445473944185667,0.516833032703013,0.0310448537849325,0.197478200256685,0.396847556157032,0.531232221874885,0.597426552679558,0.375893396294189,0.877665141186225,0.116383737614775,0.00102130171310742,0.00244646417968697,0.556865729890938,0.57641414366958,0.188309784497572,0.553848424069324,0.5334185065307,0.527094590790033,0.300328719353667,0.0514281720058482,0.540169582683694,0.361981558320017,0.0917171654411693,0.012205137963105,0.844383520151292,0.125134701152751,0.11378194237606,0.0396929104963022
