"model","term","estimate","std.error","statistic","p.value","partial_f","partial_p","model_f","model_p","nobs","r.squared","adj.r.squared","sigma","status"
"consumption_ancova","muslim_share_2001","0.0540259581801439","0.0391158209344354","1.38117919781616","0.167810333576964","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","agricultural_worker_share_2001","-0.0292110416903937","0.0499362724038041","-0.584966403863345","0.558821145542225","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","dependency_ratio_2001","-0.00730033352564282","0.0683401988242827","-0.106823416543074","0.914969799300033","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","electricity_access_share_2001","-0.0613587544681477","0.042123990763001","-1.4566225411397","0.145817260222112","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","log_population_density_2001","0.918184432860814","0.754771955249079","1.21650576240317","0.224337905364795","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200102","-35.0939695218974","2.66946293904165","-13.1464531717741","2.46496389283979e-34","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200103","-30.4759289763593","3.16149906795329","-9.63970835395153","2.3286089013086e-20","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200104","-33.5648797990431","4.46699877585171","-7.51396664366521","2.48300038809632e-13","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200105","-38.4899770696737","2.42660764257595","-15.8616400914385","1.36820725596676e-46","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200106","-36.108315663472","2.90185640231157","-12.4431779721108","2.45304909815857e-31","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
