"district_order","district_code","state","district","emi_exposure_all_children_0708","ling_distance_nonzero_mean","region","state_prefix"
86,"08208","Rajasthan","Dhaulpur",0.663036737170493,1.05368162989264,"Northern","08"
87,"08209","Rajasthan","Karauli",0,1.02983518988991,"Northern","08"
88,"08210","Rajasthan","Sawai Madhopur",0,1.17071716117489,"Northern","08"
89,"08211","Rajasthan","Dausa",0.707778883793315,1.00197393231969,"Northern","08"
90,"08212","Rajasthan","Jaipur",16.1720897292441,1.12185382183728,"Northern","08"
91,"08221","Rajasthan","Ajmer",14.289048380109,1.13162389491211,"Northern","08"
92,"08222","Rajasthan","Tonk",0.853500227606041,1.01272206200288,"Northern","08"
93,"08325","Rajasthan","Rajsamand",0.0810326863756451,1.0061047380462,"Northern","08"
94,"08327","Rajasthan","Dungarpur",2.96619716928584,1.01603791212942,"Northern","08"
95,"08328","Rajasthan","Banswara",0.573130110759624,1.04341980027496,"Northern","08"
96,"08423","Rajasthan","Bundi",0,1.01213552511023,"Northern","08"
97,"08429","Rajasthan","Chittaurgarh",2.63469805285851,1.01668165071074,"Northern","08"
98,"08431","Rajasthan","Baran",0,1.02079295677835,"Northern","08"
99,"08432","Rajasthan","Jhalawar",0,1.02080363831635,"Northern","08"
100,"08501","Rajasthan","Ganganagar",9.37415115983526,1.06632484287132,"Northern","08"
101,"08502","Rajasthan","Hanumangarh",3.06622502066055,1.02147540163518,"Northern","08"
102,"08504","Rajasthan","Churu",0.241420008645338,1.00198782914024,"Northern","08"
103,"08505","Rajasthan","Jhunjhunun",10.8656845683027,1.00561666145742,"Northern","08"
104,"08513","Rajasthan","Sikar",3.89299386817548,1.00276953349705,"Northern","08"
105,"08514","Rajasthan","Nagaur",0.634233967977713,1.00180396369537,"Northern","08"
106,"09101","Uttar Pradesh","Saharanpur",6.35849726327176,1.17083231234175,"Central","09"
107,"09102","Uttar Pradesh","Muzaffarnagar",9.64658845755504,1.3788868723533,"Central","09"
108,"09103","Uttar Pradesh","Bijnor",5.57630302355391,1.18992297653471,"Central","09"
109,"09104","Uttar Pradesh","Moradabad",1.28915365864879,1.71530503032465,"Central","09"
110,"09105","Uttar Pradesh","Rampur",0.944938076347742,1.30317656601114,"Central","09"
111,"09106","Uttar Pradesh","J Phule Nagar",9.24131909014111,1.27209197475203,"Central","09"
112,"09107","Uttar Pradesh","Meerut",12.562791308199,2.0120631817475,"Central","09"
113,"09108","Uttar Pradesh","Baghpat",4.41259093407995,3.08798646362098,"Central","09"
114,"09110","Uttar Pradesh","G. Buddha Nagar",6.42038824264593,2.78255000613572,"Central","09"
115,"09224","Uttar Pradesh","Sitapur",0.740623018507014,1.46907880609835,"Central","09"
116,"09225","Uttar Pradesh","Hardoi",0.282623448640215,1.15893140140367,"Central","09"
117,"09226","Uttar Pradesh","Unnao",1.44738849414412,2.35539215686275,"Central","09"
118,"09227","Uttar Pradesh","Lucknow",11.0799639656237,2.41773858543162,"Central","09"
119,"09228","Uttar Pradesh","Rai Bareli",6.93708340365675,2.50855920114123,"Central","09"
120,"09233","Uttar Pradesh","Kanpur Dehat",0.389549683856005,2.84456671251719,"Central","09"
121,"09234","Uttar Pradesh","Kanpur Nagar",14.9721402149668,2.076947095213,"Central","09"
122,"09242","Uttar Pradesh","Fatepur",1.22410898280149,1.98605577689243,"Central","09"
123,"09246","Uttar Pradesh","Barabanki",2.87468051032095,2.0933081998115,"Central","09"
124,"09343","Uttar Pradesh","Pratapgarh",0.299714908615051,2.17973174366617,"Central","09"
125,"09344","Uttar Pradesh","Kaushambi",0.493697003145685,3.01775147928994,"Central","09"
126,"09347","Uttar Pradesh","Faizabad",4.77644107824223,2.54481026285099,"Central","09"
127,"09348","Uttar Pradesh","Ambedkar Nag.",1.81823652232663,2.96395604395604,"Central","09"
128,"09349","Uttar Pradesh","Sultanpur",1.33097167497684,2.53480519480519,"Central","09"
129,"09350","Uttar Pradesh","Bahraich",0.988408106164821,2.53148975634432,"Central","09"
130,"09351","Uttar Pradesh","Shrawasti",0,2.89143501126972,"Central","09"
131,"09352","Uttar Pradesh","Balrampur",0.4273477623198,2.78494623655914,"Central","09"
132,"09353","Uttar Pradesh","Gonda",2.63935224347667,3.14071996259935,"Central","09"
133,"09354","Uttar Pradesh","Sidhartha Nagar",2.26225555186964,2.99306937993069,"Central","09"
134,"09355","Uttar Pradesh","Basti",1.06122559169301,2.85029369741229,"Central","09"
135,"09356","Uttar Pradesh","S. Kabir Nagar",0.764944001473722,2.99710382777429,"Central","09"
136,"09357","Uttar Pradesh","Maharajganj",1.22321236490523,2.9980616541587,"Central","09"
137,"09358","Uttar Pradesh","Gorakhpur",6.89389717834601,2.9984886044909,"Central","09"
138,"09359","Uttar Pradesh","Kushinagar",1.16137224628696,2.99990015769963,"Central","09"
139,"09360","Uttar Pradesh","Deoria",3.59094637993971,2.99974680727814,"Central","09"
140,"09361","Uttar Pradesh","Azamgarh",0.832883178832858,2.99987668732839,"Central","09"
141,"09362","Uttar Pradesh","Mau",1.96801997750099,3.00017993316768,"Central","09"
142,"09363","Uttar Pradesh","Ballia",13.7898449188692,2.99948599438973,"Central","09"
143,"09364","Uttar Pradesh","Jaunpur",2.05801012562408,2.99913081269013,"Central","09"
144,"09365","Uttar Pradesh","Ghazipur",0.846532306858736,3.00019914272655,"Central","09"
145,"09366","Uttar Pradesh","Chandauli",5.02020507441386,2.99127343437778,"Central","09"
146,"09367","Uttar Pradesh","Varanashi",8.44215684532591,2.9895760818349,"Central","09"
147,"09368","Uttar Pradesh","S R Nagar (Bhadohi)",4.46085802939128,3.01041152263374,"Central","09"
148,"09369","Uttar Pradesh","Mirzapur",3.67416755924632,2.99687952333506,"Central","09"
149,"09370","Uttar Pradesh","Sonbhadra",4.61170668181685,2.99905163428765,"Central","09"
150,"09435","Uttar Pradesh","Jalaun",0,3.19469026548673,"Central","09"
151,"09436","Uttar Pradesh","Jhansi",15.3663628249404,2.85301223599096,"Central","09"
152,"09437","Uttar Pradesh","Lalitpur",1.20583440590267,3.08112582781457,"Central","09"
153,"09438","Uttar Pradesh","Hamirpur",1.58317022594149,1.75690607734807,"Central","09"
154,"09439","Uttar Pradesh","Mahoba",2.35783432027689,2.95723014256619,"Central","09"
155,"09440","Uttar Pradesh","Banda",1.30537352550344,2.88422035480859,"Central","09"
156,"09441","Uttar Pradesh","Chitrakoot",0.375003337941799,3.31707317073171,"Central","09"
157,"09511","Uttar Pradesh","Bulandshahr",6.84279578487403,1.70863137815928,"Central","09"
158,"09512","Uttar Pradesh","Aligarh",9.8483876913647,1.81656948493683,"Central","09"
159,"09513","Uttar Pradesh","Hathras",0.835859432035613,3.39732685297691,"Central","09"
160,"09514","Uttar Pradesh","Mathura",6.62531118840526,2.63255231870959,"Central","09"
161,"09515","Uttar Pradesh","Agra",7.99922985575319,2.57425742574257,"Central","09"
162,"09516","Uttar Pradesh","Firozabad",1.2712252770519,1.91789052069426,"Central","09"
163,"09517","Uttar Pradesh","Etah",0.803798072007638,1.98066949552098,"Central","09"
164,"09518","Uttar Pradesh","Mainpuri",5.46611027428236,1.86123680241327,"Central","09"
165,"09519","Uttar Pradesh","Budaun",4.1785567251764,1.81257169075476,"Central","09"
166,"09520","Uttar Pradesh","Bareilly",5.49312389413288,1.72638748607982,"Central","09"
167,"09521","Uttar Pradesh","Pilibhit",0,1.94339384677019,"Central","09"
168,"09522","Uttar Pradesh","Shahjahanpur",0.476317530289524,1.06597364169051,"Central","09"
169,"09523","Uttar Pradesh","Kheri",0.147904809320805,1.3681096730635,"Central","09"
170,"09529","Uttar Pradesh","Farrukhabad",4.73514048330822,1.7445567651633,"Central","09"
171,"09530","Uttar Pradesh","Kannauj",0,1.88643533123028,"Central","09"
172,"09531","Uttar Pradesh","Etawah",1.50994259917311,2.55031948881789,"Central","09"
173,"09532","Uttar Pradesh","Auraiya",1.03948072888974,2.93315266485998,"Central","09"
174,"10101","Bihar","Champaran (W)",1.70706065744204,3.0074258506131,"Eastern","10"
175,"10102","Bihar","Champaran (E)",1.45953804753195,2.99988166295211,"Eastern","10"
176,"10103","Bihar","Sheohar",0.686753790045245,3.32444782939832,"Eastern","10"
177,"10104","Bihar","Sitamari",2.12912812644534,2.99577322136357,"Eastern","10"
178,"10105","Bihar","Madhubani",0.0925208478429967,3.00029559790373,"Eastern","10"
179,"10106","Bihar","Supaul",0.573274863646411,3.00360256408393,"Eastern","10"
180,"10107","Bihar","Araria",0.610754407900747,3.06511637727961,"Eastern","10"
