"specification_id","adjustment_id","construction_id","fixed_effect","instrument","tested_covariates","n_tested_covariates","joint_f","joint_p","n","status","reason"
"unadjusted__dyen_noncognate","unadjusted","dyen_noncognate","none","ling_distance_dyen_noncognate_pct","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13,17.3261028318373,9.29403984472188e-34,573,"estimated",
"unadjusted__dyen_noncognate_shastry","unadjusted","dyen_noncognate_shastry","none","ling_distance_dyen_noncognate_pct","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13,11.5781986268508,2.62746348234374e-22,573,"estimated",
"region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,13.256332255539,2.54250295822459e-10,573,"estimated",
"region_main__distant_share","region_main","distant_share","region","ling_share_distance_ge3","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.41287262333319,0.0480174902151429,573,"estimated",
"region_main__top3_legacy","region_main","top3_legacy","region","ling_distance_top3_legacy","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.643356743376577,0.631773913601769,573,"estimated",
"region_main__nonzero_mean_hindi_urdu","region_main","nonzero_mean_hindi_urdu","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,12.2917567781619,1.39389900296397e-09,573,"estimated",
"region_main__nonzero_mean_shastry","region_main","nonzero_mean_shastry","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,11.608678739785,4.66777041616539e-09,573,"estimated",
"region_main__nonzero_mean_sensitivity_low","region_main","nonzero_mean_sensitivity_low","region","ling_distance_nonzero_mean_sensitivity_low","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,11.6965008297178,3.99624285168773e-09,573,"estimated",
"region_main__nonzero_mean_sensitivity_high","region_main","nonzero_mean_sensitivity_high","region","ling_distance_nonzero_mean_sensitivity_high","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,5.32052853836261,0.000328479471183337,573,"estimated",
"region_main__nonzero_mean_hindi_urdu_separate","region_main","nonzero_mean_hindi_urdu_separate","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,14.6490790761642,2.21897221832896e-11,573,"estimated",
"region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.26374093934227,0.0611510902689427,573,"estimated",
"region_main__glottolog_mean_shastry","region_main","glottolog_mean_shastry","region","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.41873233711914,0.047565812153335,573,"estimated",
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,5.71031199888573,0.000165060699621946,573,"estimated",
"region_main__dyen_noncognate_shastry","region_main","dyen_noncognate_shastry","region","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,6.09946491908444,8.29891959859627e-05,573,"estimated",
"region_expanded__nonzero_mean",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__distant_share",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__top3_legacy",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__nonzero_mean_hindi_urdu",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__nonzero_mean_shastry",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__nonzero_mean_sensitivity_low",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__nonzero_mean_sensitivity_high",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__nonzero_mean_hindi_urdu_separate",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__glottolog_mean",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__glottolog_mean_shastry",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__dyen_noncognate",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"region_expanded__dyen_noncognate_shastry",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.919266712602083,0.452325855636782,573,"estimated",
"state_main__distant_share","state_main","distant_share","state","ling_share_distance_ge3","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.376959145538074,0.825127652488855,573,"estimated",
"state_main__top3_legacy","state_main","top3_legacy","state","ling_distance_top3_legacy","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.256177721767345,0.905880467177436,573,"estimated",
"state_main__nonzero_mean_hindi_urdu","state_main","nonzero_mean_hindi_urdu","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.969828360767352,0.423551570068692,573,"estimated",
"state_main__nonzero_mean_shastry","state_main","nonzero_mean_shastry","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.1343895584273,0.339403694741992,573,"estimated",
"state_main__nonzero_mean_sensitivity_low","state_main","nonzero_mean_sensitivity_low","state","ling_distance_nonzero_mean_sensitivity_low","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.29716523035976,0.27000797137857,573,"estimated",
"state_main__nonzero_mean_sensitivity_high","state_main","nonzero_mean_sensitivity_high","state","ling_distance_nonzero_mean_sensitivity_high","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.81006487426289,0.125476763535493,573,"estimated",
"state_main__nonzero_mean_hindi_urdu_separate","state_main","nonzero_mean_hindi_urdu_separate","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.56398916458546,0.182568896618556,573,"estimated",
"state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.699197255173488,0.592752858110977,573,"estimated",
"state_main__glottolog_mean_shastry","state_main","glottolog_mean_shastry","state","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.843057510428137,0.498258611647854,573,"estimated",
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.656865493841,0.158689006369219,573,"estimated",
"state_main__dyen_noncognate_shastry","state_main","dyen_noncognate_shastry","state","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.64973402728082,0.160422727063442,573,"estimated",
"state_expanded__nonzero_mean",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__distant_share",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__top3_legacy",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__nonzero_mean_hindi_urdu",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__nonzero_mean_shastry",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__nonzero_mean_sensitivity_low",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__nonzero_mean_sensitivity_high",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__nonzero_mean_hindi_urdu_separate",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__glottolog_mean",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__glottolog_mean_shastry",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__dyen_noncognate",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"state_expanded__dyen_noncognate_shastry",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"absorption__region_fe","region_fe","nonzero_mean","region","ling_distance_nonzero_mean","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13,10.0847454463483,3.4495985833432e-19,573,"estimated",
"absorption__state_fe","state_fe","nonzero_mean","state","ling_distance_nonzero_mean","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13,4.09999483234031,1.78759639730226e-06,573,"estimated",
"absorption__census_controls","census_controls","nonzero_mean","none","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.71098987406522,0.146019131006181,573,"estimated",
"absorption__expanded_controls",,,,,,0,,,,"not_applicable","All diagnostic balance covariates are already included as nuisance controls."
"absorption__region_fe_main_without_human_capital","region_fe_main_without_human_capital","nonzero_mean","region","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",5,10.6540079572004,8.65430028098378e-10,573,"estimated",
"absorption__state_fe_main_without_human_capital","state_fe_main_without_human_capital","nonzero_mean","state","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",5,1.03277413147366,0.397460088273824,573,"estimated",
"absorption__region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital","nonzero_mean","region","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;literacy_share_2001",2,7.39361377686199,0.00067779817790814,573,"estimated",
"absorption__state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital","nonzero_mean","state","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;literacy_share_2001",2,1.79334303119075,0.167420791822664,573,"estimated",
"absorption__region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography","nonzero_mean","region","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",10,11.7493200107635,1.85701412921397e-18,573,"estimated",
"absorption__region_fe_plus_social_composition","region_fe_plus_social_composition","nonzero_mean","region","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;dependency_ratio_2001;electricity_access_share_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",7,9.80788594812017,1.49572331897127e-11,573,"estimated",
"absorption__region_fe_plus_human_capital","region_fe_plus_human_capital","nonzero_mean","region","ling_distance_nonzero_mean","dependency_ratio_2001;electricity_access_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",5,8.54275298663328,8.32239074407442e-08,573,"estimated",
"absorption__region_fe_plus_demography","region_fe_plus_demography","nonzero_mean","region","ling_distance_nonzero_mean","electricity_access_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,10.1153401964749,6.5735571728801e-08,573,"estimated",
"absorption__region_fe_plus_economic_structure","region_fe_plus_economic_structure","nonzero_mean","region","ling_distance_nonzero_mean","electricity_access_share_2001",1,1.27039083432547,0.260181315431689,573,"estimated",
"absorption__state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography","nonzero_mean","state","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",10,3.70967295951257,8.04055900146469e-05,573,"estimated",
"absorption__state_fe_plus_social_composition","state_fe_plus_social_composition","nonzero_mean","state","ling_distance_nonzero_mean","adult_secondary_plus_share_2001;dependency_ratio_2001;electricity_access_share_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",7,1.30203226720892,0.247039340524611,573,"estimated",
"absorption__state_fe_plus_human_capital","state_fe_plus_human_capital","nonzero_mean","state","ling_distance_nonzero_mean","dependency_ratio_2001;electricity_access_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",5,1.34831650175572,0.242490974247459,573,"estimated",
"absorption__state_fe_plus_demography","state_fe_plus_demography","nonzero_mean","state","ling_distance_nonzero_mean","electricity_access_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.34369215209845,0.252532095735049,573,"estimated",
"absorption__state_fe_plus_economic_structure","state_fe_plus_economic_structure","nonzero_mean","state","ling_distance_nonzero_mean","electricity_access_share_2001",1,1.21132348937041,0.271574536607432,573,"estimated",
