"district_1991","pop_1991","district_2001","pct_01in91","pct_91in01",".source_row","source_name_key","target_name_key","state_code_1991","district_code_1991","state_code_2001","district_code_2001","source_name_exact_unique","target_name_exact_unique","source_share_to_2001","target_share_from_1991","source_identity_key","source_unit_id","target_unit_id","source_code_identity_count","transition_status"
"Giridih",2225480,"Bokaro",32.77,50.14,43,"giridih","bokaro","05","33","20","13",TRUE,TRUE,0.3277,0.5014,"giridih__2225480","census1991__05__33","census2001__20__13",1,"matched_exact_names"
"Giridih",2225480,"Giridih",67.23,100,44,"giridih","giridih","05","33","20","06",TRUE,TRUE,0.6723,1,"giridih__2225480","census1991__05__33","census2001__20__06",1,"matched_exact_names"
"Gopalganj",1704310,"Gopalganj",100,100,45,"gopalganj","gopalganj","05","11","10","15",TRUE,TRUE,1,1,"gopalganj__1704310","census1991__05__11","census2001__10__15",1,"matched_exact_names"
"Hazaribag",2843544,"Chatra",21.55,100,46,"hazaribag","chatra",NA,NA,"20","03",FALSE,TRUE,0.2155,1,"hazaribag__2843544",NA,"census2001__20__03",NA,"source_name_not_unique_exact"
"Hazaribag",2843544,"Hazaribagh",64.57,100,47,"hazaribag","hazaribagh",NA,NA,"20","04",FALSE,TRUE,0.6457,1,"hazaribag__2843544",NA,"census2001__20__04",NA,"source_name_not_unique_exact"
"Hazaribag",2843544,"Kodarma",13.88,100,48,"hazaribag","kodarma",NA,NA,"20","05",FALSE,TRUE,0.1388,1,"hazaribag__2843544",NA,"census2001__20__05",NA,"source_name_not_unique_exact"
"Khagaria",987227,"Khagaria",100,100,49,"khagaria","khagaria","05","25","10","21",TRUE,TRUE,1,1,"khagaria__987227","census1991__05__25","census2001__10__21",1,"matched_exact_names"
"Madhepura",1177706,"Madhepura",100,100,50,"madhepura","madhepura","05","22","10","11",TRUE,TRUE,1,1,"madhepura__1177706","census1991__05__22","census2001__10__11",1,"matched_exact_names"
"Munger",3060027,"Jamui",34.36,100,51,"munger","jamui","05","26","10","37",TRUE,TRUE,0.3436,1,"munger__3060027","census1991__05__26","census2001__10__37",1,"matched_exact_names"
"Munger",3060027,"Lakhisarai",21.12,100,52,"munger","lakhisarai","05","26","10","25",TRUE,TRUE,0.2112,1,"munger__3060027","census1991__05__26","census2001__10__25",1,"matched_exact_names"
"Munger",3060027,"Munger",30.84,100,53,"munger","munger","05","26","10","24",TRUE,TRUE,0.3084,1,"munger__3060027","census1991__05__26","census2001__10__24",1,"matched_exact_names"
"Munger",3060027,"Sheikhpura",13.68,99.59,54,"munger","sheikhpura","05","26","10","26",TRUE,TRUE,0.1368,0.9959,"munger__3060027","census1991__05__26","census2001__10__26",1,"matched_exact_names"
"Nalanda",1997995,"Nalanda",99.91,100,55,"nalanda","nalanda","05","02","10","27",TRUE,TRUE,0.9991,1,"nalanda__1997995","census1991__05__02","census2001__10__27",1,"matched_exact_names"
"Nalanda",1997995,"Sheikhpura",0.09,0.41,56,"nalanda","sheikhpura","05","02","10","26",TRUE,TRUE,9e-04,0.0041,"nalanda__1997995","census1991__05__02","census2001__10__26",1,"matched_exact_names"
"Patna",3618211,"Patna",100,100,57,"patna","patna","05","01","10","28",TRUE,TRUE,1,1,"patna__3618211","census1991__05__01","census2001__10__28",1,"matched_exact_names"
"Rohtas",2900685,"Kaimur (Bhabua)",33.9,100,58,"rohtas","kaimur bhabua","05","04","10","31",TRUE,TRUE,0.339,1,"rohtas__2900685","census1991__05__04","census2001__10__31",1,"matched_exact_names"
