"beta","statistic","p.value","accepted","acceptance_component","specification_id"
-0.0414151237398812,10.6375319015959,0.00117423747653554,FALSE,NA,"unadjusted__nonzero_mean"
-0.0408629220900161,10.6163886469259,0.00118748946999446,FALSE,NA,"unadjusted__nonzero_mean"
-0.040310720440151,10.5944870551141,0.00120137689477971,FALSE,NA,"unadjusted__nonzero_mean"
-0.0397585187902859,10.5717882165756,0.00121594387373801,FALSE,NA,"unadjusted__nonzero_mean"
-0.0392063171404208,10.5482506499046,0.00123123853722949,FALSE,NA,"unadjusted__nonzero_mean"
-0.0386541154905558,10.5238300953565,0.00124731347335743,FALSE,NA,"unadjusted__nonzero_mean"
-0.0381019138406907,10.4984792889606,0.00126422623857571,FALSE,NA,"unadjusted__nonzero_mean"
-0.0375497121908256,10.4721477152043,0.00128203993810411,FALSE,NA,"unadjusted__nonzero_mean"
-0.0369975105409605,10.44478133599,0.00130082388726355,FALSE,NA,"unadjusted__nonzero_mean"
-0.0364453088910954,10.4163222932924,0.00132065436686846,FALSE,NA,"unadjusted__nonzero_mean"
-0.0358931072412303,10.386708582641,0.00134161548824963,FALSE,NA,"unadjusted__nonzero_mean"
-0.0353409055913653,10.3558736942094,0.00136380018642974,FALSE,NA,"unadjusted__nonzero_mean"
-0.0347887039415002,10.323746217901,0.00138731136355374,FALSE,NA,"unadjusted__nonzero_mean"
-0.0342365022916351,10.2902494083919,0.00141226320903061,FALSE,NA,"unadjusted__nonzero_mean"
-0.03368430064177,10.2553007055976,0.00143878272816974,FALSE,NA,"unadjusted__nonzero_mean"
-0.0331320989919049,10.2188112054792,0.00146701151763086,FALSE,NA,"unadjusted__nonzero_mean"
-0.0325798973420399,10.1806850754885,0.00149710783405198,FALSE,NA,"unadjusted__nonzero_mean"
-0.0320276956921748,10.1408189082539,0.00152924901217749,FALSE,NA,"unadjusted__nonzero_mean"
-0.0314754940423097,10.0991010063353,0.00156363430116889,FALSE,NA,"unadjusted__nonzero_mean"
-0.0309232923924446,10.0554105900044,0.00160048820320467,FALSE,NA,"unadjusted__nonzero_mean"
-0.0303710907425795,10.0096169190445,0.00164006441779772,FALSE,NA,"unadjusted__nonzero_mean"
-0.0298188890927144,9.96157831848937,0.00168265051958698,FALSE,NA,"unadjusted__nonzero_mean"
-0.0292666874428494,9.9111410970437,0.00172857352813156,FALSE,NA,"unadjusted__nonzero_mean"
-0.0287144857929843,9.85813834563105,0.00177820656735904,FALSE,NA,"unadjusted__nonzero_mean"
-0.0281622841431192,9.80238860211915,0.00183197686231371,FALSE,NA,"unadjusted__nonzero_mean"
-0.0276100824932541,9.7436943667728,0.00189037538508445,FALSE,NA,"unadjusted__nonzero_mean"
-0.027057880843389,9.6818404514072,0.00195396854478581,FALSE,NA,"unadjusted__nonzero_mean"
-0.026505679193524,9.61659214360493,0.00202341242430503,FALSE,NA,"unadjusted__nonzero_mean"
-0.0259534775436589,9.54769316576722,0.00209947020750844,FALSE,NA,"unadjusted__nonzero_mean"
-0.0254012758937938,9.47486340729905,0.00218303362604103,FALSE,NA,"unadjusted__nonzero_mean"
-0.0248490742439287,9.39779640701594,0.0022751495003522,FALSE,NA,"unadjusted__nonzero_mean"
-0.0242968725940636,9.31615656212538,0.00237705277675162,FALSE,NA,"unadjusted__nonzero_mean"
-0.0237446709441985,9.22957604017747,0.00249020790133458,FALSE,NA,"unadjusted__nonzero_mean"
-0.0231924692943335,9.13765137164952,0.00261636096495807,FALSE,NA,"unadjusted__nonzero_mean"
-0.0226402676444684,9.03993970394241,0.00275760586127833,FALSE,NA,"unadjusted__nonzero_mean"
-0.0220880659946033,8.93595470343137,0.00291646880806059,FALSE,NA,"unadjusted__nonzero_mean"
-0.0215358643447382,8.82516210206028,0.00309601711420947,FALSE,NA,"unadjusted__nonzero_mean"
-0.0209836626948731,8.70697490056533,0.00330000021056395,FALSE,NA,"unadjusted__nonzero_mean"
-0.020431461045008,8.5807482641787,0.00353303396371475,FALSE,NA,"unadjusted__nonzero_mean"
-0.019879259395143,8.44577418198729,0.00380084354540932,FALSE,NA,"unadjusted__nonzero_mean"
