"specification_id","term","estimate","std.error","statistic","p.value"
"state_main__distance_shares_all","ling_share_distance_1",0.0383952718244955,0.0169404516063563,2.26648454933097,0.0238293860068696
"state_main__distance_shares_all","ling_share_distance_2",-0.0195174438720239,0.047027642036842,-0.415020677769336,0.678296959761951
"state_main__distance_shares_all","ling_share_distance_3",-0.012039096641358,0.0125937828214706,-0.95595555457992,0.339536344288437
"state_main__distance_shares_all","ling_share_distance_4",0.284086163244185,0.0701719325764389,4.04843008897792,5.93639204865899e-05
"state_main__distance_shares_all","ling_share_distance_5",0.0183149318468217,0.0521593317736827,0.351134326764183,0.725628979139223
"state_main__distance_shares_all_unmapped","ling_share_distance_1",0.0373184223679231,0.016141389883273,2.311970817742,0.0211683507750298
"state_main__distance_shares_all_unmapped","ling_share_distance_2",-0.0185749826400344,0.0545589548118921,-0.340457083609411,0.733649567081221
"state_main__distance_shares_all_unmapped","ling_share_distance_3",-0.0140527631243429,0.0198196593841829,-0.709031515221587,0.478622068261275
"state_main__distance_shares_all_unmapped","ling_share_distance_4",0.282632914931536,0.0671866187420274,4.20668460808759,3.05120519952688e-05
"state_main__distance_shares_all_unmapped","ling_share_distance_5",0.0155371268541771,0.0514618425441958,0.301915479237529,0.762836973343625
"state_main__distance_shares_mapped","ling_mapped_share_distance_1",0.0228370643449813,0.0178368002093062,1.28033414496991,0.200995192609039
"state_main__distance_shares_mapped","ling_mapped_share_distance_2",0.00905400658872667,0.0368987744774708,0.245374181580332,0.806262971457217
"state_main__distance_shares_mapped","ling_mapped_share_distance_3",-0.00590922657365178,0.0122087372745054,-0.484016196006739,0.6285769802083
"state_main__distance_shares_mapped","ling_mapped_share_distance_4",0.206558062106054,0.0961747690140952,2.14773650327958,0.0321934875846677
"state_main__distance_shares_mapped","ling_mapped_share_distance_5",0.0370792149808877,0.0416141233648741,0.891024776751294,0.373325594409263
"state_main__glottolog_mean","ling_distance_glottolog_nonhindi_mean",-0.115015179894929,0.21582771137807,-0.532902745252457,0.594325540688167
"state_main__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",-0.0791717440431602,0.238324729652856,-0.332201128093093,0.739869981106923
"state_main__dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0138082256397631,0.0360940452849274,0.382562429086588,0.702198470909761
"state_main__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",0.0133020543226305,0.0360088618884157,0.369410573537451,0.711970666870105
"state_expanded__nonzero_mean","ling_distance_nonzero_mean",0.915809783242572,0.909146451340309,1.00732921730315,0.314241518812776
"state_expanded__distant_share","ling_share_distance_ge3",0.0280700358659061,0.0314561840575869,0.892353497630809,0.372613087575335
"state_expanded__top3_legacy","ling_distance_top3_legacy",1.2505292433259,0.862846422724763,1.44930686433964,0.147850094577324
"state_expanded__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",0.93659619190261,0.880999293358584,1.06310663239249,0.288224211499476
"state_expanded__nonzero_mean_shastry","ling_distance_nonzero_mean",0.920798652343687,0.882919472397536,1.04290219111749,0.297476338914212
"state_expanded__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",0.890865673577561,0.861210243483169,1.03443459981903,0.301412021713704
"state_expanded__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",0.41487959495122,0.393797748578051,1.05353470518634,0.292583405722303
"state_expanded__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",0.910019124983981,0.906977356515502,1.00335374245744,0.316155088589722
