"harmonized_component_id","source_vintage","target_vintage","n_source_units","n_target_units","component_class","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0126",1991,2001,3,4,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0127",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0128",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0129",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0130",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0131",1991,2001,1,3,"split",FALSE,FALSE,FALSE
"geo_component_0132",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0133",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0134",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0135",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0136",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0137",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0138",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0139",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0140",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0141",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0142",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0143",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0144",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0145",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0146",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0147",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0148",1991,2001,2,2,"many_to_many",TRUE,TRUE,TRUE
"geo_component_0149",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0150",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0151",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0152",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0153",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0154",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0155",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0156",1991,2001,2,2,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0157",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0158",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0159",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0160",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0161",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0162",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0163",1991,2001,2,2,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0164",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0165",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0166",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0167",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0168",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0169",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0170",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0171",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0172",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0173",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0174",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0175",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0176",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0177",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0178",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0179",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0180",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0181",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0182",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0183",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0184",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0185",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0186",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0187",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0188",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0189",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0190",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0191",1991,2001,2,5,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0192",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0193",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0194",1991,2001,1,3,"split",FALSE,FALSE,FALSE
"geo_component_0195",1991,2001,1,3,"split",FALSE,FALSE,FALSE
"geo_component_0196",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0197",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0198",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0199",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0200",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0201",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0202",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0203",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0204",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0205",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0206",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0207",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0208",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0209",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0210",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0211",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0212",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0213",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0214",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0215",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0216",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0217",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0218",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0219",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0220",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0221",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0222",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0223",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0224",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0225",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0226",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0227",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0228",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0229",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0230",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0231",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0232",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0233",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0234",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0235",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0236",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0237",1991,2001,1,5,"split",FALSE,FALSE,FALSE
"geo_component_0238",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0239",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0240",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0241",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0242",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0243",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0244",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0245",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0246",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0247",1991,2001,1,4,"split",FALSE,FALSE,FALSE
"geo_component_0248",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0249",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0250",1991,2001,2,5,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0251",1991,2001,3,8,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0252",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0253",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0254",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0255",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0256",1991,2001,1,3,"split",FALSE,FALSE,FALSE
"geo_component_0257",1991,2001,10,14,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0258",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0259",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0260",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0261",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0262",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0263",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0264",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0265",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0266",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0267",1991,2001,3,6,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0268",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0269",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0270",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0271",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0272",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0273",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0274",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0275",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0276",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0277",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0278",1991,2001,2,2,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0279",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0280",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0281",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0282",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0283",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0284",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0285",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0286",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0287",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0288",1991,2001,7,10,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0289",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0290",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0291",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0292",1991,2001,7,10,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0293",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0294",1991,2001,1,4,"split",FALSE,FALSE,FALSE
"geo_component_0295",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0296",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0297",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
