"sample","predictor","fixed_effect","variable","domain","source","label","estimate","std.error","p.value","standardized_effect","n","n_states","population_1991","status","predictor_id"
"exact_one_to_one","emie_exposure","state","rural_primary_schools_per_100k_1991","rural_development","VD91","Rural primary schools per 100,000 district residents",-0.337185271398446,0.257644463604767,0.198699047986715,-0.189620133184462,59,21,63491376,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","rural_high_schools_per_100k_1991","rural_development","VD91","Rural high schools per 100,000 district residents",0.0679828896072069,0.0212971653511136,0.00287980414249225,0.35543719745367,59,21,63491376,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","rural_hospitals_per_100k_1991","rural_development","VD91","Rural hospitals per 100,000 district residents",0.0276882805598335,0.00359519612521215,4.03480883397636e-09,0.488807937347169,57,20,63208808,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","rural_phc_per_100k_1991","rural_development","VD91","Rural primary health centres per 100,000 district residents",-0.014508616215874,0.00586965416261813,0.0186081719121965,-0.166251539060037,54,19,58722136,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","urban_literacy_share_7plus_1991","urban_development","TD91","Urban literacy share, age 7+",0.150854487218636,0.0488882314001712,0.00389142704795797,0.236546286854799,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","urban_primary_schools_per_100k_7plus_1991","urban_development","TD91","Urban primary schools per 100,000 urban residents age 7+",-0.128434144351499,0.0506804123598745,0.0157632937039479,-0.150573998622966,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","urban_hospitals_per_100k_7plus_1991","urban_development","TD91","Urban hospitals per 100,000 urban residents age 7+",-0.0102164799654528,0.0321697277902533,0.752637887238495,-0.0413018897742267,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","urban_banks_per_100k_7plus_1991","urban_development","TD91","Urban banks per 100,000 urban residents age 7+",0.103227619369466,0.0363689657298276,0.00740696792196666,0.183062007426284,61,24,72116636,"estimated","eventual_emie"
"preferred_geography","ling_distance_nonzero_mean_2001","none","log_population_1991","demography","PCA91","Log population",0.0787113596083578,0.0430443909720078,0.0685181227392585,0.174650106492362,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","female_share_1991","demography","PCA91","Female population share",0.617925420609939,0.180926796973834,0.000731027931573041,0.527570421939297,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-1.01809931551449,0.258601680948977,0.000104123387096153,-0.48577472266365,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.688542749632205,0.685316446450067,0.315901969474652,-0.121469062431297,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.230274426695412,0.959726975947672,0.810553696446001,-0.023676398762923,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",2.76095771346351,3.07112357881671,0.369419314890634,0.225695767966605,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",1.45048315474496,1.13472727979105,0.202210529898347,0.307583418074615,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.351378042140118,0.307635023013042,0.254346827552457,-0.185968421324768,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-5.85800588439711,1.5818824648135,0.000256260769461981,-0.436280182265662,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",3.82865415447307,1.47278068107534,0.00982620179625687,0.377626586117275,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","rural_primary_schools_per_100k_1991","rural_development","VD91","Rural primary schools per 100,000 district residents",0.323264908897847,2.49417896182865,0.8969711796601,0.0138566814017654,278,28,469521527,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","rural_high_schools_per_100k_1991","rural_development","VD91","Rural high schools per 100,000 district residents",0.249113982800271,0.407466199769649,0.541455648491548,0.0804427601694099,278,28,469521527,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","rural_hospitals_per_100k_1991","rural_development","VD91","Rural hospitals per 100,000 district residents",-0.161518433709839,0.152202065150275,0.289528723468853,-0.1609289258433,276,27,469238959,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","rural_phc_per_100k_1991","rural_development","VD91","Rural primary health centres per 100,000 district residents",0.0917773053281063,0.0937046670177704,0.328250110378498,0.0874549266203538,270,27,458384429,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","urban_literacy_share_7plus_1991","urban_development","TD91","Urban literacy share, age 7+",2.15969397302129,1.98164022271243,0.276739526951184,0.281636149878567,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","urban_primary_schools_per_100k_7plus_1991","urban_development","TD91","Urban primary schools per 100,000 urban residents age 7+",-1.20507564470879,1.56717837965763,0.442590052949594,-0.0937084206378476,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","urban_hospitals_per_100k_7plus_1991","urban_development","TD91","Urban hospitals per 100,000 urban residents age 7+",-0.282564694679121,0.235021614572979,0.230292060823451,-0.10413849203297,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","none","urban_banks_per_100k_7plus_1991","urban_development","TD91","Urban banks per 100,000 urban residents age 7+",-1.02223590774908,0.820267239779246,0.213750861781278,-0.141202873015997,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","log_population_1991","demography","PCA91","Log population",-0.0490642125932995,0.0647761265909234,0.449486701650148,-0.108867004674047,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","female_share_1991","demography","PCA91","Female population share",0.671872640090238,0.326326326729408,0.0405237399507774,0.573629309297548,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.12118133098032,0.261619245545568,0.643619570488841,-0.0578203192477631,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-1.05423850123554,1.08687847859882,0.332984641135948,-0.185983168644881,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","st_share_1991","demography","PCA91","Scheduled Tribe share",4.95622366668501,4.46540612230229,0.268085094936966,0.509589925267237,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",2.81367501423133,0.818692239708973,0.000687581728789253,0.230005168151875,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.822830327401548,0.782956225676405,0.294290653714981,0.174485973015057,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",0.791277620630909,0.665869415927126,0.235810360283996,0.418787266962087,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.898645524588244,2.06646091228196,0.664024747696612,-0.0669274222314869,283,28,478363810,"estimated","census_2001_ld"
