"specification_id","sequence","adjustment_id","adjustment","construction_id","construction","fixed_effect","excluded_instruments","included_language_controls","n_excluded_instruments","joint_excluded_f","joint_excluded_p","partial_r_squared","n","n_states","n_regions","minimum_mapped_share","coverage_sample_n"
"state_main__distance_shares_all_unmapped",31,"state_main","State FE + main controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,4.3138925206192,0.000743749205997258,0.0365485739644512,573,35,6,0,573
"state_main__distance_shares_mapped",32,"state_main","State FE + main controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","state","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,4.3551877190224,0.000681806450782219,0.0504025453175743,573,35,6,0,573
"state_expanded__nonzero_mean",33,"state_expanded","State FE + expanded controls","nonzero_mean","Mean distance among speakers above zero","state","ling_distance_nonzero_mean","",1,1.34920903929156,0.245945264634422,0.00226416178572703,573,35,6,0,573
"state_expanded__distant_share",34,"state_expanded","State FE + expanded controls","distant_share","Share speaking languages at distance three or higher","state","ling_share_distance_ge3","",1,0.496608653365201,0.481307142503715,0.00351361858509008,573,35,6,0,573
"state_expanded__top3_legacy",35,"state_expanded","State FE + expanded controls","top3_legacy","Legacy top-three weighted mean","state","ling_distance_top3_legacy","",1,1.59257332064754,0.207520279892516,0.0117909448037992,573,35,6,0,573
"state_expanded__nonzero_mean_hindi_urdu",36,"state_expanded","State FE + expanded controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","state","ling_distance_nonzero_mean","hindi_urdu_share",1,1.09030169419337,0.29688675511016,0.00251313793235755,573,35,6,0,573
"state_expanded__nonzero_mean_hindi_urdu_separate",37,"state_expanded","State FE + expanded controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","state","ling_distance_nonzero_mean","hindi_share;urdu_share",1,0.86782835366907,0.351987859201179,0.00195963165692806,573,35,6,0,573
"state_expanded__distance_shares_all",38,"state_expanded","State FE + expanded controls","distance_shares_all","Five distance shares; all-speaker denominator","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,4.0463910905323,0.0013019131900637,0.0316880051213842,573,35,6,0,573
"state_expanded__distance_shares_all_unmapped",39,"state_expanded","State FE + expanded controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,3.95780636394049,0.00156595192653626,0.0316869189640224,573,35,6,0,573
"state_expanded__distance_shares_mapped",40,"state_expanded","State FE + expanded controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","state","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,3.48557628145235,0.00415065091594681,0.0453402127442236,573,35,6,0,573
"unadjusted__nonzero_mean",1,"unadjusted","Unadjusted","nonzero_mean","Mean distance among speakers above zero","none","ling_distance_nonzero_mean","",1,6.38687461946501,0.0118002285011502,0.0832966017959432,508,33,6,90,508
"unadjusted__distant_share",2,"unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","ling_share_distance_ge3","",1,7.2642852195773,0.00726796984305292,0.123305033778817,508,33,6,90,508
"unadjusted__top3_legacy",3,"unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","ling_distance_top3_legacy","",1,18.536178402204,2.00261296103539e-05,0.206558140248896,508,33,6,90,508
"unadjusted__nonzero_mean_hindi_urdu",4,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","ling_distance_nonzero_mean","hindi_urdu_share",1,3.28923773066068,0.0703288108906323,0.0403496989212343,508,33,6,90,508
"unadjusted__nonzero_mean_hindi_urdu_separate",5,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","none","ling_distance_nonzero_mean","hindi_share;urdu_share",1,3.82753786840598,0.0509687864556603,0.0444723140619523,508,33,6,90,508
"unadjusted__distance_shares_all",6,"unadjusted","Unadjusted","distance_shares_all","Five distance shares; all-speaker denominator","none","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,105.604875489512,4.99096773985346e-76,0.384937172540121,508,33,6,90,508
