"bin","instrument","treatment","n","specification_id"
8,0.378882572568397,1.76095715178025,57,"region_main__nonzero_mean_hindi_urdu_separate"
9,0.609488472443613,3.69492531977659,57,"region_main__nonzero_mean_hindi_urdu_separate"
10,1.11452837347112,5.01971568049761,58,"region_main__nonzero_mean_hindi_urdu_separate"
1,-1.06526922778781,-3.80818210830339,57,"region_expanded__nonzero_mean"
2,-0.635867876814246,-4.48391844599873,57,"region_expanded__nonzero_mean"
3,-0.455776708256671,-2.03712455797219,57,"region_expanded__nonzero_mean"
4,-0.248054904796702,-1.23254451181105,58,"region_expanded__nonzero_mean"
5,-0.0861284286011197,-1.44311404210293,57,"region_expanded__nonzero_mean"
6,0.0535142788634524,0.818089850849953,57,"region_expanded__nonzero_mean"
7,0.231677548110867,2.29425402679593,58,"region_expanded__nonzero_mean"
8,0.428869656073377,0.199841630855503,57,"region_expanded__nonzero_mean"
9,0.65073068026733,3.48084924323071,57,"region_expanded__nonzero_mean"
10,1.10716829973021,6.08644273463825,58,"region_expanded__nonzero_mean"
1,-36.7912057298717,1.35518344032538,57,"region_expanded__distant_share"
2,-15.960539943329,2.7148970702928,57,"region_expanded__distant_share"
3,-9.56112494637447,1.15641874155993,57,"region_expanded__distant_share"
4,-5.40307345720475,-0.952434634903142,58,"region_expanded__distant_share"
5,-1.4222797257328,0.0670447923241664,57,"region_expanded__distant_share"
6,1.90133743201724,-1.63999904322587,57,"region_expanded__distant_share"
7,5.32818336343166,-2.25343248175584,58,"region_expanded__distant_share"
8,9.53959961144752,-2.5356268522345,57,"region_expanded__distant_share"
9,16.8898343125926,-3.52722954978183,57,"region_expanded__distant_share"
10,34.8688487556229,5.57363866566201,58,"region_expanded__distant_share"
1,-1.26400293861663,-3.43813577960178,57,"region_expanded__top3_legacy"
2,-0.652374386698316,-3.18047197606773,57,"region_expanded__top3_legacy"
3,-0.412978339527688,-7.23116306992356,57,"region_expanded__top3_legacy"
4,-0.217850623276037,-2.79703691661889,58,"region_expanded__top3_legacy"
5,-0.0840023543766983,-1.0703011879078,57,"region_expanded__top3_legacy"
6,0.0554104982313388,0.16395885858934,57,"region_expanded__top3_legacy"
7,0.208574856835997,1.1972528255368,58,"region_expanded__top3_legacy"
8,0.407377341611838,5.02601637428001,57,"region_expanded__top3_legacy"
9,0.654377133278719,5.14276047632203,57,"region_expanded__top3_legacy"
10,1.28312065657028,6.10802839014485,58,"region_expanded__top3_legacy"
1,-1.06464243656158,-3.5990013425393,57,"region_expanded__nonzero_mean_hindi_urdu"
2,-0.634492277203139,-4.97711995191337,57,"region_expanded__nonzero_mean_hindi_urdu"
3,-0.429147557764436,-2.30367090757304,57,"region_expanded__nonzero_mean_hindi_urdu"
4,-0.235653169512331,-2.02207798009128,58,"region_expanded__nonzero_mean_hindi_urdu"
5,-0.0764625439169984,-0.577670376084483,57,"region_expanded__nonzero_mean_hindi_urdu"
6,0.0687985992207141,0.362135577627272,57,"region_expanded__nonzero_mean_hindi_urdu"
7,0.230506724285873,1.69333646360747,58,"region_expanded__nonzero_mean_hindi_urdu"
8,0.398960705998814,0.841706103358567,57,"region_expanded__nonzero_mean_hindi_urdu"
9,0.624012476188206,2.09811994971641,57,"region_expanded__nonzero_mean_hindi_urdu"
10,1.09893028902284,8.34363037859161,58,"region_expanded__nonzero_mean_hindi_urdu"
1,-1.04674660241423,-4.55286857218946,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
2,-0.629606791241572,-2.69916479094201,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
3,-0.423044215538742,-4.47511166987467,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
4,-0.224626191601561,-0.406787179052507,58,"region_expanded__nonzero_mean_hindi_urdu_separate"
5,-0.0618276131618447,-0.202179880541096,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
6,0.0757726690333818,-0.31971020245889,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
7,0.226473626986499,2.96646745984168,58,"region_expanded__nonzero_mean_hindi_urdu_separate"
8,0.384589833467139,-0.630858190948405,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
9,0.609196058654355,4.73923465614287,57,"region_expanded__nonzero_mean_hindi_urdu_separate"
10,1.07099738683035,5.4406221863878,58,"region_expanded__nonzero_mean_hindi_urdu_separate"
1,-0.953451946295643,-0.895974835196337,57,"state_main__nonzero_mean"
2,-0.428996261716941,0.234376271323802,57,"state_main__nonzero_mean"
3,-0.237965755649455,-1.99850194688304,57,"state_main__nonzero_mean"
4,-0.1146942165317,0.890754503762741,58,"state_main__nonzero_mean"
5,-0.0436952195148802,0.389287096388405,57,"state_main__nonzero_mean"
6,0.0293175488338687,-0.101742402660561,57,"state_main__nonzero_mean"
7,0.11976488709947,0.356061787389043,58,"state_main__nonzero_mean"
8,0.245766386627108,0.361099909633229,57,"state_main__nonzero_mean"
9,0.46985000779233,1.00762092833236,57,"state_main__nonzero_mean"
10,0.898256720391642,-0.260288811728644,58,"state_main__nonzero_mean"
1,-23.1888890742428,-1.26346749813982,57,"state_main__distant_share"
2,-9.05272676124729,1.22269999134862,57,"state_main__distant_share"
3,-4.9179267444643,-0.239462838067945,57,"state_main__distant_share"
4,-2.76947262295254,-1.74952301673705,58,"state_main__distant_share"
5,-0.940895702959505,-0.370632728951443,57,"state_main__distant_share"
6,0.359584025810024,0.0382471226049451,57,"state_main__distant_share"
7,1.93433960037802,1.52039693693216,58,"state_main__distant_share"
8,4.26932683170934,0.433351137634437,57,"state_main__distant_share"
9,8.40515489497732,-0.12250126630069,57,"state_main__distant_share"
10,25.4693267162604,0.525689296230708,58,"state_main__distant_share"
1,-0.885882574473804,-1.05038984996885,57,"state_main__top3_legacy"
2,-0.368321318069539,0.556000214005256,57,"state_main__top3_legacy"
3,-0.208808648099615,-0.776309690039895,57,"state_main__top3_legacy"
4,-0.122555465982296,-1.35879164858723,58,"state_main__top3_legacy"
5,-0.0456465768783638,-1.2135686518053,57,"state_main__top3_legacy"
6,0.0143181359658862,1.20173465493091,57,"state_main__top3_legacy"
7,0.0926362296381517,1.04122744862358,58,"state_main__top3_legacy"
8,0.178593064142792,-0.472825594822237,57,"state_main__top3_legacy"
9,0.305439011468787,0.660131295299849,57,"state_main__top3_legacy"
10,1.02280902322,1.39390858749494,58,"state_main__top3_legacy"
1,-0.934321241300148,-1.61663412201322,57,"state_main__nonzero_mean_hindi_urdu"
2,-0.443130108191917,0.613095831505965,57,"state_main__nonzero_mean_hindi_urdu"
3,-0.234885391839672,-1.01479485004508,57,"state_main__nonzero_mean_hindi_urdu"
4,-0.110952400124936,1.53608293856796,58,"state_main__nonzero_mean_hindi_urdu"
5,-0.0399409081511082,-0.730809353184747,57,"state_main__nonzero_mean_hindi_urdu"
6,0.0325903416117428,-0.111884267261723,57,"state_main__nonzero_mean_hindi_urdu"
7,0.120106329922693,-0.832593174676042,58,"state_main__nonzero_mean_hindi_urdu"
8,0.242963095779967,1.50500226554927,57,"state_main__nonzero_mean_hindi_urdu"
9,0.457786174680361,1.07984131184487,57,"state_main__nonzero_mean_hindi_urdu"
10,0.893940348347315,-0.432068359314911,58,"state_main__nonzero_mean_hindi_urdu"
