"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason"
"absorption__census_controls","census_controls","nonzero_mean",9.83241777992055e-06,0.00277792842994411,0.997177168934016,1.2533233596721e-05,0.997176568965794,1.25332335967008e-05,0.997176568965797,-0.00551191862512872,0.00716549421266734,FALSE,1,FALSE,TRUE,-0.00551191862512872,0.00716549421266734,FALSE,FALSE,"[-0.00551192, 0.00716549]",573,"estimated",NA
"absorption__expanded_controls","expanded_controls","nonzero_mean",-0.000398454862785945,0.00274415262296127,0.884604275842793,0.0207393706554233,0.885543222508145,0.0207393706554232,0.885543222508145,-0.00551191862512872,0.00606311048764159,FALSE,1,FALSE,TRUE,-0.00551191862512872,0.00606311048764159,FALSE,FALSE,"[-0.00551192, 0.00606311]",573,"estimated",NA
"absorption__region_fe_main_without_human_capital","region_fe_main_without_human_capital","nonzero_mean",-0.000667622799279148,0.00377699903483158,0.85976106798633,0.0300008276929839,0.862551275875618,0.0300008276929845,0.862551275875617,-0.00881906980020594,0.0154333721503604,FALSE,1,FALSE,TRUE,-0.00881906980020594,0.0154333721503604,FALSE,FALSE,"[-0.00881907, 0.0154334]",573,"estimated",NA
"absorption__state_fe_main_without_human_capital","state_fe_main_without_human_capital","nonzero_mean",0.0253877994515276,0.025861870950245,0.326712487265312,4.18888093124865,0.0411845421302701,4.18888093124862,0.0411845421302709,NA,NA,FALSE,2,TRUE,FALSE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0512608] U [0.00110238, 0.110238 <=grid]",573,"estimated",NA
"absorption__region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital","nonzero_mean",-0.00109806026530017,0.00349976427265646,0.753826808086894,0.0920164613051746,0.761742800112953,0.0920164613051684,0.76174280011296,-0.00826787793769307,0.0104726453877446,FALSE,1,FALSE,TRUE,-0.00826787793769307,0.0104726453877446,FALSE,FALSE,"[-0.00826788, 0.0104726]",573,"estimated",NA
"absorption__state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital","nonzero_mean",0.0225851818664942,0.0224994082024647,0.315930663014972,4.01337646297716,0.0456531505750597,4.01337646297714,0.0456531505750602,NA,NA,FALSE,2,TRUE,FALSE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0595287] U [0.000551192, 0.110238 <=grid]",573,"estimated",NA
"absorption__region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography","nonzero_mean",-0.00367806131876183,0.00295709572372629,0.214087614338313,1.09847087684134,0.295051646034477,1.09847087684138,0.295051646034468,-0.0231500582255406,0.0203940989129763,FALSE,1,FALSE,TRUE,-0.0231500582255406,0.0203940989129763,FALSE,FALSE,"[-0.0231501, 0.0203941]",573,"estimated",NA
"absorption__region_fe_plus_social_composition","region_fe_plus_social_composition","nonzero_mean",-0.00212659349055952,0.0036220669845473,0.5573587198388,0.294157158159109,0.587784517683131,0.294157158159095,0.58778451768314,-0.0154333721503604,0.0297643605756951,FALSE,1,FALSE,TRUE,-0.0154333721503604,0.0297643605756951,FALSE,FALSE,"[-0.0154334, 0.0297644]",573,"estimated",NA
"absorption__region_fe_plus_human_capital","region_fe_plus_human_capital","nonzero_mean",0.000266992253232826,0.00603635313213175,0.964736317199346,0.00199851650113574,0.964358624424887,0.00199851650113549,0.964358624424889,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"absorption__region_fe_plus_demography","region_fe_plus_demography","nonzero_mean",0.000989003370749386,0.00631372970677046,0.875582745282712,0.02645010251523,0.870864910271776,0.0264501025152291,0.870864910271778,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"absorption__region_fe_plus_economic_structure","region_fe_plus_economic_structure","nonzero_mean",-0.000307971391668418,0.00496398671952112,0.950552446731618,0.00375410062807738,0.951165709473679,0.00375410062807747,0.951165709473679,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"absorption__state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography","nonzero_mean",0.0130441622153171,0.00986746239926115,0.186755170539265,3.33027938493187,0.0685738396693491,3.33027938493187,0.0685738396693492,NA,NA,FALSE,1,FALSE,TRUE,-0.000551191862512873,0.110238372502574,FALSE,TRUE,"[-0.000551192, 0.110238 <=grid]",573,"estimated",NA
"absorption__state_fe_plus_social_composition","state_fe_plus_social_composition","nonzero_mean",0.016023752086332,0.0157707666431506,0.310072382722046,2.77427917653213,0.096379573984027,2.77427917653212,0.0963795739840273,NA,NA,FALSE,2,TRUE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0881907] U [-0.00220477, 0.110238 <=grid]",573,"estimated",NA
"absorption__state_fe_plus_human_capital","state_fe_plus_human_capital","nonzero_mean",0.0328169683220648,0.0386109161887541,0.395742857218979,4.15459095909844,0.0420186107217473,4.15459095909844,0.0420186107217473,NA,NA,FALSE,2,TRUE,FALSE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0358275] U [0.00110238, 0.110238 <=grid]",573,"estimated",NA
"absorption__state_fe_plus_demography","state_fe_plus_demography","nonzero_mean",0.0393328747266567,0.0463530754982848,0.396516594896889,4.21594633483067,0.0405378116385685,4.21594633483067,0.0405378116385686,NA,NA,FALSE,2,TRUE,FALSE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0358275] U [0.00165358, 0.110238 <=grid]",573,"estimated",NA
"absorption__state_fe_plus_economic_structure","state_fe_plus_economic_structure","nonzero_mean",0.0319102568873978,0.0369956307641436,0.388783579947436,3.5004134439186,0.0619095396015696,3.50041344391862,0.0619095396015693,NA,NA,FALSE,2,TRUE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0385834] U [-0.00110238, 0.110238 <=grid]",573,"estimated",NA
