"panel_unit_id","vanneman_state_id","vanneman_district_id","year","version","population","rural_population","main_workers","farm_workers","literates","primary_plus","matriculate_plus","log_population","urban_share","main_worker_share","nonfarm_worker_share_main_workers","literate_share_population","primary_plus_share_population","matriculate_plus_share_population","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","pretrend_geography_status","preferred_vanneman_pretrend_eligible"
"2808","28","08",1991,5,1540174,1037210,498315,297175,704252,535462,206008,14.2474059550202,0.326563102610484,0.323544612491835,0.403640267702156,0.457254829649118,0.347663315963002,0.133756315844833,"25","08",NA,NA,"splits_across_2001_districts",FALSE
"2809","28","09",1961,5,1615478,1243387,539812,245078,323747,116623,37380,14.2951414460791,0.230328732424707,0.334150016280011,0.545993790430743,0.200403224308842,0.0721910171478658,0.0231386623649471,"25","12","09","01","preferred_single_target",TRUE
"2809","28","09",1971,5,2054834,1572027,612261,385360,481090,300550,94680,14.5357056240609,0.234961558938581,0.297961295170315,0.37059522001238,0.234125968326395,0.146264856431225,0.0460767147127213,"25","12","09","01","preferred_single_target",TRUE
"2809","28","09",1981,5,2673561,1949442,781112,495656,790307,523705,195695,14.7989218496433,0.270844390683437,0.292161652567493,0.365448232775837,0.29560088585972,0.195882944133311,0.0731963848963985,"25","12","09","01","preferred_single_target",TRUE
"2809","28","09",1991,5,3433517,2495723,993308,602884,1208926,934159,353249,15.0490956582466,0.273129272404942,0.289297533695042,0.393054319506135,0.352095533530197,0.272070591175171,0.102882554535189,"25","12","09","01","preferred_single_target",TRUE
"2810","28","10",1961,5,1444921,1253788,480666,263383,240951,92197,25251,14.1835652067539,0.132279204191786,0.332659017344201,0.452045703253403,0.166757213716182,0.0638076406945432,0.0174756959030978,"25","14","09","02","preferred_single_target",TRUE
"2810","28","10",1971,5,1802289,1552474,517666,368554,408000,339889,73872,14.4045680816498,0.138609845590801,0.287226965264727,0.288046732835458,0.226378788307536,0.188587401909461,0.0409878770829761,"25","14","09","02","preferred_single_target",TRUE
"2810","28","10",1981,5,2274487,1780502,647926,454846,684639,436684,142315,14.637265090434,0.217185237814065,0.284866873277359,0.297996993483824,0.301008095451854,0.191992304198705,0.0625701531817944,"25","14","09","02","preferred_single_target",TRUE
"2810","28","10",1991,5,2842543,2143313,851614,578606,996055,721421,255132,14.860209632021,0.24598748374255,0.299595819658665,0.320577162893048,0.350409826693915,0.253794225804148,0.0897548427587551,"25","14","09","02","preferred_single_target",TRUE
"2811","28","11",1961,5,1190987,995079,376724,208413,210463,74470,17255,13.9902929330806,0.164492139712692,0.316312436659678,0.446775358087088,0.176713095944792,0.0625279704984185,0.0144879834960415,"25","09","09","03","preferred_single_target",TRUE
"2811","28","11",1971,5,1490185,1220483,419049,288356,300603,172727,45570,14.2144108312881,0.180985582327027,0.281206024755316,0.311879994940926,0.20172193385385,0.115909769592366,0.0305800957599224,"25","09","09","03","preferred_single_target",TRUE
"2811","28","11",1981,5,1939261,1458451,539593,355956,518047,323590,97312,14.477817530633,0.247934651395557,0.278246713567694,0.340325022748627,0.267136295733272,0.1668625316551,0.0501799396780526,"25","09","09","03","preferred_single_target",TRUE
"2811","28","11",1991,5,2454521,1839169,677307,447693,781511,598602,193744,14.7134421881576,0.250701460692331,0.275942638095172,0.339010227267694,0.318396542543331,0.243877318629582,0.0789335271525483,"25","09","09","03","preferred_single_target",TRUE
"2812","28","12",1961,5,2865059,2287037,915653,418662,635180,233313,79348,14.8680995012872,0.201748724895369,0.319593069462095,0.542772207375501,0.221698750357322,0.0814339250954343,0.0276950666635486,"25",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"2812","28","12",1971,5,3548785,2707558,979060,527015,987178,637932,201318,15.0821158493484,0.237046482105847,0.275885972241204,0.461713275999428,0.278173515724396,0.179760678654807,0.0567287113758653,"25",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"2812","28","12",1981,5,4610376,3117334,1272047,656013,1628366,1122228,451281,15.343819973469,0.323843868699646,0.275909600431722,0.484285564920164,0.353195921547397,0.24341355238705,0.0978837734709707,"25",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"2812","28","12",1991,5,6151845,3627028,1715044,818501,2606292,1934374,849478,15.6322625947917,0.410416224726078,0.278785307497182,0.522752185949748,0.423660219007468,0.314438026315683,0.138085078541478,"25",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
