"mother_tongue_code","mother_tongue","canonical_language","language_glottocode","glottolog_name","family_id","iso639P3code","glottolog_level","match_basis","review_status","notes","glottolog_edge_distance_from_hindi"
"082003","Lushai/Mizo","Lushai/Mizo","lush1249","Mizo","sino1245","lus","language","manual_alias","accepted_manual","Glottolog primary name Mizo (ISO lus); Census label explicitly includes Mizo.",19
"082999","Others","Lushai/Mizo","","","","","","","unresolved","",NA
"083002","Pahariya","Malto","","","","","","","unresolved","",NA
"083999","Others","Malto","","","","","","","unresolved","",NA
"084001","Maram","Maram","","","","","","","unresolved","",NA
"085001","Maring","Maring","","","","","","","unresolved","",NA
"086003","Miri/Mishing","Miri/Mishing","misi1242","Mising-Padam-Miri-Minyong","sino1245","mrg","language","manual_modern_name","accepted_manual","Mising-Padam-Miri-Minyong (ISO mrg); Census label Miri/Mishing refers to Mising.",17
"086999","Others","Miri/Mishing","","","","","","","unresolved","",NA
"087005","Mishmi","Mishmi","","","","","","","unresolved","",NA
"087999","Others","Mishmi","","","","","","","unresolved","",NA
"088002","Mogh","Mogh","","","","","","","unresolved","",NA
"088999","Others","Mogh","","","","","","","unresolved","",NA
"089003","Monpa","Monpa","","","","","","","unresolved","",NA
"089999","Others","Monpa","","","","","","","unresolved","",NA
"090003","Kol","Munda","","","","","","","unresolved","",NA
"090006","Munda","Munda","","","","","","","unresolved","",NA
"090999","Others","Munda","","","","","","","unresolved","",NA
"091004","Mundari","Mundari","mund1320","Mundari","aust1305","unr","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
"091005","Mura","Mundari","","","","","","","unresolved","",NA
"091999","Others","Mundari","","","","","","","unresolved","",NA
"092001","Nicobarese","Nicobarese","","","","","","","unresolved","",NA
"093001","Apatani","Nissi/Dafla","apat1240","Apatani","sino1245","apt","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"093002","Bangni","Nissi/Dafla","naaa1245","Na","sino1245","nbt","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",20
"093007","Nissi","Nissi/Dafla","","","","","","","unresolved","",NA
"093008","Tagin","Nissi/Dafla","tagi1241","Tagin","sino1245","tgj","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",20
"093999","Others","Nissi/Dafla","","","","","","","unresolved","",NA
"094003","Nocte","Nocte","","","","","","","unresolved","",NA
"094999","Others","Nocte","","","","","","","unresolved","",NA
"095002","Paite","Paite","","","","","","","unresolved","",NA
"095999","Others","Paite","","","","","","","unresolved","",NA
"096001","Dhurwa","Parji","","","","","","","unresolved","",NA
"096999","Others","Parji","","","","","","","unresolved","",NA
"097001","Pawi","Pawi","","","","","","","unresolved","",NA
"098001","Persian","Persian","","","","","","","unresolved","",NA
"099001","Phom","Phom","","","","","","","unresolved","",NA
"100005","Pochury","Pochury","","","","","","","unresolved","",NA
"100999","Others","Pochury","","","","","","","unresolved","",NA
"101002","Rabha","Rabha","rabh1238","Rabha","sino1245","rah","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",17
"101999","Others","Rabha","","","","","","","unresolved","",NA
"102002","Rai","Rai","","","","","","","unresolved","",NA
"102999","Others","Rai","","","","","","","unresolved","",NA
"103001","Rengma","Rengma","","","","","","","unresolved","",NA
"104003","Sangtam","Sangtam","","","","","","","unresolved","",NA
"104999","Others","Sangtam","","","","","","","unresolved","",NA
"105002","Savara","Savara","","","","","","","unresolved","",NA
"105999","Others","Savara","","","","","","","unresolved","",NA
"106001","Sema","Sema","","","","","","","unresolved","",NA
"107001","Sherpa","Sherpa","","","","","","","unresolved","",NA
"108005","Shina","Shina","shin1264","Shina","indo1319","scl","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",11
"108999","Others","Shina","","","","","","","unresolved","",NA
"109001","Simte","Simte","simt1238","Simte","sino1245","smt","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
"110001","Tamang","Tamang","","","","","","","unresolved","",NA
"111005","Tangkhul","Tangkhul","","","","","","","unresolved","",NA
"111999","Others","Tangkhul","","","","","","","unresolved","",NA
"112017","Tangsa","Tangsa","","","","","","","unresolved","",NA
"112999","Others","Tangsa","","","","","","","unresolved","",NA
"113015","Thado","Thado","","","","","","","unresolved","",NA
"113999","Others","Thado","","","","","","","unresolved","",NA
"114008","Tibetan","Tibetan","tibe1272","Tibetan","sino1245","bod","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",20
"114999","Others","Tibetan","","","","","","","unresolved","",NA
"115002","Kok Barak","Tripuri","","","","","","","unresolved","",NA
"115005","Reang","Tripuri","","","","","","","unresolved","",NA
"115006","Tripuri","Tripuri","","","","","","","unresolved","",NA
"115999","Others","Tripuri","","","","","","","unresolved","",NA
"116009","Tulu","Tulu","tulu1258","Tulu","drav1251","tcy","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"116999","Others","Tulu","","","","","","","unresolved","",NA
"117001","Vaiphei","Vaiphei","vaip1239","Vaiphei","sino1245","vap","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",20
"118001","Wancho","Wancho","","","","","","","unresolved","",NA
"119003","Tikhir","Yimchungre","yimc1240","Yimchungru Naga","sino1245","yim","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"119004","Yimchungre","Yimchungre","","","","","","","unresolved","",NA
"119999","Others","Yimchungre","","","","","","","unresolved","",NA
"120001","Zeliang","Zeliang","","","","","","","unresolved","",NA
"121002","Zemi","Zemi","","","","","","","unresolved","",NA
"121999","Others","Zemi","","","","","","","unresolved","",NA
"122001","Zou","Zou","zouu1235","Zou","sino1245","zom","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
