"state_code_1991","district_code_1991","district_name","mother_tongue","mother_tongue_speakers","monolingual_speakers","bilingual_speakers","english_second_language","english_third_language","hindi_second_language","hindi_third_language","english_acquisition_speakers","hindi_acquisition_speakers","bilingual_share","english_acquisition_share","hindi_acquisition_share","english_minus_hindi_acquisition_share","validation_status","n_language_cells","n_mismatched_cells","absolute_speaker_difference","shastry_distance_1991","distance_mapping_status","st16_exact_validation","hindi_belt_1991","preferred_st_language_sample"
"05","33","GIRIDIH","Oriya",197,71,126,2,5,124,1,7,125,0.639593908629442,0.0355329949238579,0.634517766497462,-0.598984771573604,"st16_unavailable",33,NA,NA,3,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Hindi",45587,39836,5751,1821,66,0,0,1887,0,0.12615438611885,0.0413933796915787,0,0.0413933796915787,"st16_unavailable",33,NA,NA,0,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Tangsa",2,1,1,0,0,1,0,0,1,0.5,0,0.5,-0.5,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Sanskrit",9,0,9,0,0,9,0,0,9,1,0,1,-1,"st16_unavailable",33,NA,NA,NA,"unresolved",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Marathi",84,67,17,4,0,13,4,4,17,0.202380952380952,0.0476190476190476,0.202380952380952,-0.154761904761905,"st16_unavailable",33,NA,NA,2,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Munda",681,323,358,18,52,338,19,70,357,0.525697503671072,0.102790014684288,0.524229074889868,-0.42143906020558,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Telugu",19,11,8,2,2,6,2,4,8,0.421052631578947,0.210526315789474,0.421052631578947,-0.210526315789474,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Karbi/Mikir",2,2,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Kannada",29,20,9,2,3,7,2,5,9,0.310344827586207,0.172413793103448,0.310344827586207,-0.137931034482759,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Mundari",1553,723,830,27,151,802,6,178,808,0.534449452672247,0.114616870573084,0.520283322601417,-0.405666452028332,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Kharia",69,23,46,3,11,43,0,14,43,0.666666666666667,0.202898550724638,0.623188405797101,-0.420289855072464,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Urdu",6,4,2,0,0,2,0,0,2,0.333333333333333,0,0.333333333333333,-0.333333333333333,"st16_unavailable",33,NA,NA,0,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Zemi",17,10,7,0,0,7,0,0,7,0.411764705882353,0,0.411764705882353,-0.411764705882353,"st16_unavailable",33,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","33","GIRIDIH","Others",2211,893,1318,27,341,1273,21,368,1294,0.596110357304387,0.16644052464948,0.585255540479421,-0.418815015829941,"st16_unavailable",33,NA,NA,NA,"unresolved",FALSE,TRUE,FALSE
"05","37","GUMLA","Koda/Kora",465,278,187,0,69,145,0,69,145,0.402150537634409,0.148387096774194,0.311827956989247,-0.163440860215054,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Gujarati",85,64,21,0,0,21,0,0,21,0.247058823529412,0,0.247058823529412,-0.247058823529412,"st16_unavailable",43,NA,NA,1,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Arabic/Arbi",11,0,11,0,0,11,0,0,11,1,0,1,-1,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Korku",786,193,593,1,87,540,20,88,560,0.754452926208651,0.111959287531807,0.712468193384224,-0.600508905852417,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Bhili/Bhilodi",11,0,11,0,0,11,0,0,11,1,0,1,-1,"st16_unavailable",43,NA,NA,1,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Ho",64,25,39,0,0,37,2,0,39,0.609375,0,0.609375,-0.609375,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Malayalam",2,2,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Karbi/Mikir",11,1,10,0,0,10,0,0,10,0.909090909090909,0,0.909090909090909,-0.909090909090909,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Zemi",11,10,1,0,0,0,0,0,0,0.0909090909090909,0,0,0,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Tamil",111,99,12,0,0,12,0,0,12,0.108108108108108,0,0.108108108108108,-0.108108108108108,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Kuki",2,2,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Bhumij",10,1,9,0,0,9,0,0,9,0.9,0,0.9,-0.9,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Halam",201,21,180,0,0,180,0,0,180,0.895522388059702,0,0.895522388059702,-0.895522388059702,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Punjabi",4116,2349,1767,0,158,1648,51,158,1699,0.42930029154519,0.0383867832847425,0.412779397473275,-0.374392614188533,"st16_unavailable",43,NA,NA,1,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Others",195197,68283,126914,252,6225,117498,1241,6477,118739,0.650184172912494,0.0331818624261643,0.608303406302351,-0.575121543876187,"st16_unavailable",43,NA,NA,NA,"unresolved",FALSE,TRUE,FALSE
"05","37","GUMLA","Tangsa",56,11,45,0,0,25,10,0,35,0.803571428571429,0,0.625,-0.625,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Lahnda",15,4,11,0,0,11,0,0,11,0.733333333333333,0,0.733333333333333,-0.733333333333333,"st16_unavailable",43,NA,NA,NA,"unresolved",FALSE,TRUE,FALSE
"05","37","GUMLA","Bengali",35,8,27,0,4,27,0,4,27,0.771428571428571,0.114285714285714,0.771428571428571,-0.657142857142857,"st16_unavailable",43,NA,NA,3,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Bodo/Boro",1,1,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Hindi",304561,266564,37997,8696,93,0,0,8789,0,0.124759900315536,0.0288579299385016,0,0.0288579299385016,"st16_unavailable",43,NA,NA,0,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Santali",1349,1050,299,80,52,219,20,132,239,0.221645663454411,0.0978502594514455,0.177168272794663,-0.0793180133432172,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Monpa",185,72,113,0,0,113,0,0,113,0.610810810810811,0,0.610810810810811,-0.610810810810811,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Lushai/Mizo",32,21,11,0,0,11,0,0,11,0.34375,0,0.34375,-0.34375,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Oriya",199,136,63,0,9,60,2,9,62,0.316582914572864,0.0452261306532663,0.311557788944724,-0.266331658291457,"st16_unavailable",43,NA,NA,3,"mapped",FALSE,TRUE,FALSE
