"specification_id","adjustment_id","construction_id","instrument","fixed_effect","linear_slope","spearman_rho","isotonic_r_squared","n_bins","share_nondecreasing_bin_steps","n_negative_bin_steps","n_state_slopes","share_negative_state_slopes","n","status","reason","analysis_id"
"state_expanded__nonzero_mean_sensitivity_high","state_expanded","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","state",0.414879594951247,0.0342413301166972,0.0128471708124499,10,0.555555555555556,4,26,0.461538461538462,573,"estimated",NA,"district_iv_diagnostic__state_expanded__nonzero_mean_sensitivity_high"
"state_expanded__nonzero_mean_hindi_urdu_separate","state_expanded","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","state",0.910019124983977,0.05700409920816,0.0624156661220726,10,0.666666666666667,3,26,0.269230769230769,573,"estimated",NA,"district_iv_diagnostic__state_expanded__nonzero_mean_hindi_urdu_separate"
"state_expanded__glottolog_mean","state_expanded","glottolog_mean","ling_distance_glottolog_nonhindi_mean","state",-0.107816909006002,-0.0197913438878833,0.0130048878198412,10,0.333333333333333,6,26,0.576923076923077,573,"estimated",NA,"district_iv_diagnostic__state_expanded__glottolog_mean"
"state_expanded__glottolog_mean_shastry","state_expanded","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","state",-0.074403562032052,-0.00598131277482574,0.0129538445912072,10,0.333333333333333,6,26,0.5,573,"estimated",NA,"district_iv_diagnostic__state_expanded__glottolog_mean_shastry"
"state_expanded__dyen_noncognate","state_expanded","dyen_noncognate","ling_distance_dyen_noncognate_pct","state",0.014983018848835,0.0218942722454407,0.00892694734727018,10,0.666666666666667,3,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__state_expanded__dyen_noncognate"
"state_expanded__dyen_noncognate_shastry","state_expanded","dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct","state",0.0144796334562804,0.0215310803358307,0.00921898336412685,10,0.555555555555556,4,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__state_expanded__dyen_noncognate_shastry"
"absorption__region_fe","region_fe","nonzero_mean","ling_distance_nonzero_mean","region",7.21967218315446,0.26972891491838,0.15825287408877,10,0.666666666666667,3,26,0.5,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe"
"absorption__state_fe","state_fe","nonzero_mean","ling_distance_nonzero_mean","state",0.336183186516319,-0.010140996573437,0.0387247833934505,10,0.555555555555556,4,26,0.5,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe"
"absorption__census_controls","census_controls","nonzero_mean","ling_distance_nonzero_mean","none",4.68640843823525,0.377651782517061,0.168689806437707,10,0.777777777777778,2,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__census_controls"
"absorption__expanded_controls","expanded_controls","nonzero_mean","ling_distance_nonzero_mean","none",5.4515381614421,0.416701674012362,0.22253283005494,10,0.777777777777778,2,26,0.230769230769231,573,"estimated",NA,"district_iv_diagnostic__absorption__expanded_controls"
"absorption__region_fe_main_without_human_capital","region_fe_main_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",5.37932676945279,0.29896313621253,0.113843873515897,10,0.666666666666667,3,26,0.192307692307692,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_main_without_human_capital"
"absorption__state_fe_main_without_human_capital","state_fe_main_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","state",1.23899877442051,0.10188464325867,0.0737339128999928,10,0.666666666666667,3,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_main_without_human_capital"
"absorption__region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",5.99702189392076,0.317020675659419,0.121434968961169,10,0.666666666666667,3,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_expanded_without_human_capital"
"absorption__state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","state",1.36816850141433,0.0968169233397174,0.0762973622618678,10,0.555555555555556,4,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_expanded_without_human_capital"
"absorption__region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography","nonzero_mean","ling_distance_nonzero_mean","region",5.73902928287497,0.259723866989861,0.130796158707097,10,0.777777777777778,2,26,0.230769230769231,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_plus_basic_scale_geography"
"absorption__region_fe_plus_social_composition","region_fe_plus_social_composition","nonzero_mean","ling_distance_nonzero_mean","region",4.89219020885761,0.258140276273337,0.0851921616956642,10,0.555555555555556,4,26,0.230769230769231,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_plus_social_composition"
"absorption__region_fe_plus_human_capital","region_fe_plus_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",3.20301336853087,0.16555931617865,0.0596190608393465,10,0.666666666666667,3,26,0.346153846153846,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_plus_human_capital"
"absorption__region_fe_plus_demography","region_fe_plus_demography","nonzero_mean","ling_distance_nonzero_mean","region",3.22598776360954,0.16908924302616,0.0611974093675216,10,0.444444444444444,5,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_plus_demography"
"absorption__region_fe_plus_economic_structure","region_fe_plus_economic_structure","nonzero_mean","ling_distance_nonzero_mean","region",4.03316568896937,0.222024431959306,0.0750686037782633,10,0.444444444444444,5,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__region_fe_plus_economic_structure"
"absorption__state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography","nonzero_mean","ling_distance_nonzero_mean","state",1.63030527579099,0.137440263733202,0.078098821196617,10,0.555555555555556,4,26,0.346153846153846,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_plus_basic_scale_geography"
"absorption__state_fe_plus_social_composition","state_fe_plus_social_composition","nonzero_mean","ling_distance_nonzero_mean","state",1.51965426599892,0.129361763252709,0.076904214844781,10,0.555555555555556,4,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_plus_social_composition"
"absorption__state_fe_plus_human_capital","state_fe_plus_human_capital","nonzero_mean","ling_distance_nonzero_mean","state",0.878819829252345,0.0746687867106715,0.0655499056279889,10,0.555555555555556,4,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_plus_human_capital"
"absorption__state_fe_plus_demography","state_fe_plus_demography","nonzero_mean","ling_distance_nonzero_mean","state",0.835005281464492,0.0690803896652447,0.0642688072219851,10,0.777777777777778,2,26,0.384615384615385,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_plus_demography"
"absorption__state_fe_plus_economic_structure","state_fe_plus_economic_structure","nonzero_mean","ling_distance_nonzero_mean","state",0.981559674604859,0.0628964318786819,0.0660190528704732,10,0.444444444444444,5,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__absorption__state_fe_plus_economic_structure"
"absorption__region_main_without_basic_scale_geography","region_main_without_basic_scale_geography","nonzero_mean","ling_distance_nonzero_mean","region",5.02436499126481,0.226950166421498,0.0960196157743378,10,0.444444444444444,5,26,0.192307692307692,573,"estimated",NA,"district_iv_diagnostic__absorption__region_main_without_basic_scale_geography"
"absorption__region_block_only_social_composition","region_block_only_social_composition","nonzero_mean","ling_distance_nonzero_mean","region",5.85979400008941,0.25606082080351,0.116307060537356,10,0.666666666666667,3,26,0.384615384615385,573,"estimated",NA,"district_iv_diagnostic__absorption__region_block_only_social_composition"
"absorption__region_main_without_social_composition","region_main_without_social_composition","nonzero_mean","ling_distance_nonzero_mean","region",5.67574766208463,0.238701791121661,0.145086844505835,10,0.666666666666667,3,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__region_main_without_social_composition"
"absorption__region_block_only_human_capital","region_block_only_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",6.76569210607982,0.220913424463418,0.169958354217397,10,0.555555555555556,4,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__absorption__region_block_only_human_capital"
"absorption__region_block_only_demography","region_block_only_demography","nonzero_mean","ling_distance_nonzero_mean","region",6.44522156975449,0.233527358862565,0.140813253526756,10,0.555555555555556,4,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__absorption__region_block_only_demography"
"absorption__region_main_without_demography","region_main_without_demography","nonzero_mean","ling_distance_nonzero_mean","region",3.52411586729762,0.189458734344445,0.0547571295238304,10,0.555555555555556,4,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__region_main_without_demography"
"absorption__region_block_only_economic_structure","region_block_only_economic_structure","nonzero_mean","ling_distance_nonzero_mean","region",7.66788503167156,0.331353361234602,0.199823158112971,10,0.666666666666667,3,26,0.307692307692308,573,"estimated",NA,"district_iv_diagnostic__absorption__region_block_only_economic_structure"
"absorption__region_main_without_economic_structure","region_main_without_economic_structure","nonzero_mean","ling_distance_nonzero_mean","region",3.91049889174116,0.184936057429992,0.0734611538688632,10,0.666666666666667,3,26,0.192307692307692,573,"estimated",NA,"district_iv_diagnostic__absorption__region_main_without_economic_structure"
"absorption__region_block_only_basic_development","region_block_only_basic_development","nonzero_mean","ling_distance_nonzero_mean","region",6.54109092515623,0.295109691738475,0.166768305895416,10,0.666666666666667,3,26,0.269230769230769,573,"estimated",NA,"district_iv_diagnostic__absorption__region_block_only_basic_development"
"absorption__region_main_without_basic_development","region_main_without_basic_development","nonzero_mean","ling_distance_nonzero_mean","region",3.4792302157868,0.187761542505509,0.056303585434289,10,0.666666666666667,3,26,0.230769230769231,573,"estimated",NA,"district_iv_diagnostic__absorption__region_main_without_basic_development"
"absorption__state_main_without_basic_scale_geography","state_main_without_basic_scale_geography","nonzero_mean","ling_distance_nonzero_mean","state",0.483986417843083,0.0434225460403471,0.0617128449642862,10,0.555555555555556,4,26,0.269230769230769,573,"estimated",NA,"district_iv_diagnostic__absorption__state_main_without_basic_scale_geography"
"absorption__state_block_only_social_composition","state_block_only_social_composition","nonzero_mean","ling_distance_nonzero_mean","state",0.65797694838895,0.0384554788845429,0.0355804339472157,10,0.444444444444444,5,26,0.423076923076923,573,"estimated",NA,"district_iv_diagnostic__absorption__state_block_only_social_composition"
"absorption__state_main_without_social_composition","state_main_without_social_composition","nonzero_mean","ling_distance_nonzero_mean","state",1.07493507591528,0.0659401892960825,0.0435911047391696,10,0.666666666666667,3,26,0.346153846153846,573,"estimated",NA,"district_iv_diagnostic__absorption__state_main_without_social_composition"
