"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"0529","05","35",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.9876041537027,14.2238714691845,0.2362673154818,1187789
"0530","05","38","20","14",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.575645601324,14.7754142659436,0.199768664619599,2138565
"0531","05",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.533306935538,14.7066061409979,0.1732992054599,2049911
"0600","28",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.694455041564,12.4578075409579,0.7633524993939,119905
"0700","29","00",NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,10.9675601549295,11.2141150347306,0.246554879801101,57963
"0800","31","00",NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.7933147400593,15.2180959959407,0.424781255881401,2658612
"0900",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3481705780528,13.6620924430791,0.3139218650263,626667
"1001","07","01","24","10",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.6272743440204,13.9210797518473,0.2938054078269,828419
"1002","07","02","24","09",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0049062009715,14.3004471336964,0.295540932724899,1208519
"1003","07","03","24","08",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.4046403686875,13.6476290401636,0.2429886714761,663073
"1004","07","04",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.9283346517006,14.1557506871544,0.2274160354538,1119435
"1005","07","05",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.4117784473481,13.6514963935126,0.2397179461645,667823
