"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0024",2001,"12","02","census2001__12__02","target"
"geo_component_0025",1991,"03","03","census1991__03__03","source"
"geo_component_0025",1991,"03","06","census1991__03__06","source"
"geo_component_0025",2001,"12","03","census2001__12__03","target"
"geo_component_0025",2001,"12","07","census2001__12__07","target"
"geo_component_0026",1991,"03","04","census1991__03__04","source"
"geo_component_0026",1991,"03","09","census1991__03__09","source"
"geo_component_0026",2001,"12","04","census2001__12__04","target"
"geo_component_0026",2001,"12","05","census2001__12__05","target"
"geo_component_0026",2001,"12","11","census2001__12__11","target"
"geo_component_0027",1991,"03","05","census1991__03__05","source"
"geo_component_0027",2001,"12","06","census2001__12__06","target"
"geo_component_0028",1991,"03","07","census1991__03__07","source"
"geo_component_0028",2001,"12","08","census2001__12__08","target"
"geo_component_0028",2001,"12","09","census2001__12__09","target"
"geo_component_0029",1991,"03","08","census1991__03__08","source"
"geo_component_0029",2001,"12","10","census2001__12__10","target"
"geo_component_0030",1991,"03","10","census1991__03__10","source"
"geo_component_0030",2001,"12","12","census2001__12__12","target"
"geo_component_0031",1991,"03","11","census1991__03__11","source"
"geo_component_0031",2001,"12","13","census2001__12__13","target"
"geo_component_0032",1991,"04","01","census1991__04__01","source"
"geo_component_0032",2001,"18","02","census2001__18__02","target"
"geo_component_0033",1991,"04","02","census1991__04__02","source"
"geo_component_0033",2001,"18","01","census2001__18__01","target"
"geo_component_0034",1991,"04","03","census1991__04__03","source"
"geo_component_0034",2001,"18","04","census2001__18__04","target"
"geo_component_0035",1991,"04","04","census1991__04__04","source"
"geo_component_0035",2001,"18","03","census2001__18__03","target"
"geo_component_0036",1991,"04","05","census1991__04__05","source"
"geo_component_0036",2001,"18","05","census2001__18__05","target"
"geo_component_0037",1991,"04","06","census1991__04__06","source"
"geo_component_0037",2001,"18","07","census2001__18__07","target"
"geo_component_0038",1991,"04","07","census1991__04__07","source"
"geo_component_0038",2001,"18","06","census2001__18__06","target"
