"geography_variant","source_coverage_threshold","target_unit_id","state_code_2001","district_code_2001","population_1991","n_source_units"
"preferred_historical_geography",NA,"census2001__19__15","19","15",8270019,1
"preferred_historical_geography",NA,"census2001__19__16","19","16",3729644,1
"preferred_historical_geography",NA,"census2001__19__17","19","17",4399819,1
"preferred_historical_geography",NA,"census2001__19__18","19","18",5715030,1
"preferred_historical_geography",NA,"census2001__20__07","20","07",933113,1
"preferred_historical_geography",NA,"census2001__20__08","20","08",861182,1
"preferred_historical_geography",NA,"census2001__20__11","20","11",1495709,1
"preferred_historical_geography",NA,"census2001__20__14","20","14",2214048,1
"preferred_historical_geography",NA,"census2001__20__15","20","15",288886,1
"preferred_historical_geography",NA,"census2001__20__16","20","16",1153976,1
"preferred_historical_geography",NA,"census2001__20__17","20","17",1787955,1
"preferred_historical_geography",NA,"census2001__20__18","20","18",1613088,1
"preferred_historical_geography",NA,"census2001__21__05","21","05",1573437,1
"preferred_historical_geography",NA,"census2001__21__06","21","06",1336112,1
"preferred_historical_geography",NA,"census2001__22__10","22","10",2397134,1
"preferred_historical_geography",NA,"census2001__23__03","23","03",1219000,1
"preferred_historical_geography",NA,"census2001__23__05","23","05",396317,1
"preferred_historical_geography",NA,"census2001__23__06","23","06",1132977,1
"preferred_historical_geography",NA,"census2001__23__07","23","07",1310317,1
"preferred_historical_geography",NA,"census2001__23__08","23","08",940829,1
"preferred_historical_geography",NA,"census2001__23__09","23","09",1158076,1
"preferred_historical_geography",NA,"census2001__23__10","23","10",687945,1
"preferred_historical_geography",NA,"census2001__23__11","23","11",1647736,1
"preferred_historical_geography",NA,"census2001__23__14","23","14",1554987,1
"preferred_historical_geography",NA,"census2001__23__17","23","17",1373434,1
"preferred_historical_geography",NA,"census2001__23__20","23","20",971888,1
"preferred_historical_geography",NA,"census2001__23__21","23","21",1383086,1
"preferred_historical_geography",NA,"census2001__23__22","23","22",1031500,1
"preferred_historical_geography",NA,"census2001__23__23","23","23",1033807,1
"preferred_historical_geography",NA,"census2001__23__24","23","24",1130405,1
"preferred_historical_geography",NA,"census2001__23__25","23","25",1367412,1
"preferred_historical_geography",NA,"census2001__23__26","23","26",1835915,1
"preferred_historical_geography",NA,"census2001__23__29","23","29",1431662,1
"preferred_historical_geography",NA,"census2001__23__30","23","30",992215,1
"preferred_historical_geography",NA,"census2001__23__31","23","31",970388,1
"preferred_historical_geography",NA,"census2001__23__32","23","32",1351479,1
"preferred_historical_geography",NA,"census2001__23__33","23","33",841358,1
"preferred_historical_geography",NA,"census2001__23__34","23","34",876461,1
"preferred_historical_geography",NA,"census2001__23__35","23","35",1181501,1
"preferred_historical_geography",NA,"census2001__23__40","23","40",785496,1
"preferred_historical_geography",NA,"census2001__23__43","23","43",1567331,1
"preferred_historical_geography",NA,"census2001__23__44","23","44",1000831,1
"preferred_historical_geography",NA,"census2001__23__45","23","45",1365870,1
"preferred_historical_geography",NA,"census2001__24__01","24","01",1262507,1
"preferred_historical_geography",NA,"census2001__24__05","24","05",1761086,1
"preferred_historical_geography",NA,"census2001__24__06","24","06",408992,1
"preferred_historical_geography",NA,"census2001__24__08","24","08",1208872,1
"preferred_historical_geography",NA,"census2001__24__09","24","09",2514122,1
"preferred_historical_geography",NA,"census2001__24__10","24","10",1563558,1
"preferred_historical_geography",NA,"census2001__24__22","24","22",3397900,1
"preferred_historical_geography",NA,"census2001__24__23","24","23",144091,1
"preferred_historical_geography",NA,"census2001__25__01","25","01",39485,1
"preferred_historical_geography",NA,"census2001__25__02","25","02",62101,1
"preferred_historical_geography",NA,"census2001__26__01","26","01",138477,1
"preferred_historical_geography",NA,"census2001__27__03","27","03",3187634,1
"preferred_historical_geography",NA,"census2001__27__04","27","04",1886299,1
"preferred_historical_geography",NA,"census2001__27__07","27","07",2200057,1
"preferred_historical_geography",NA,"census2001__27__08","27","08",1067357,1
"preferred_historical_geography",NA,"census2001__27__09","27","09",3287139,1
"preferred_historical_geography",NA,"census2001__27__12","27","12",787010,1
"preferred_historical_geography",NA,"census2001__27__13","27","13",1771994,1
"preferred_historical_geography",NA,"census2001__27__14","27","14",2077144,1
"preferred_historical_geography",NA,"census2001__27__15","27","15",2330374,1
"preferred_historical_geography",NA,"census2001__27__18","27","18",1364425,1
"preferred_historical_geography",NA,"census2001__27__19","27","19",2213779,1
"preferred_historical_geography",NA,"census2001__27__20","27","20",3851352,1
"preferred_historical_geography",NA,"census2001__27__21","27","21",5249126,1
"preferred_historical_geography",NA,"census2001__27__24","27","24",1824816,1
"preferred_historical_geography",NA,"census2001__27__25","27","25",5532532,1
"preferred_historical_geography",NA,"census2001__27__26","27","26",3372935,1
"preferred_historical_geography",NA,"census2001__27__27","27","27",1822072,1
"preferred_historical_geography",NA,"census2001__27__28","27","28",1676641,1
"preferred_historical_geography",NA,"census2001__27__29","27","29",1276327,1
"preferred_historical_geography",NA,"census2001__27__30","27","30",3231057,1
"preferred_historical_geography",NA,"census2001__27__31","27","31",2451372,1
"preferred_historical_geography",NA,"census2001__27__32","27","32",1544057,1
"preferred_historical_geography",NA,"census2001__27__33","27","33",832152,1
"preferred_historical_geography",NA,"census2001__27__34","27","34",2988744,1
"preferred_historical_geography",NA,"census2001__27__35","27","35",2209488,1
"preferred_historical_geography",NA,"census2001__28__01","28","01",2078568,1
"preferred_historical_geography",NA,"census2001__28__02","28","02",2034818,1
"preferred_historical_geography",NA,"census2001__28__03","28","03",3037486,1
"preferred_historical_geography",NA,"census2001__28__04","28","04",2269800,1
"preferred_historical_geography",NA,"census2001__28__05","28","05",3145939,1
"preferred_historical_geography",NA,"census2001__28__06","28","06",2551966,1
"preferred_historical_geography",NA,"census2001__28__07","28","07",3077050,1
"preferred_historical_geography",NA,"census2001__28__08","28","08",2852092,1
"preferred_historical_geography",NA,"census2001__28__09","28","09",2818832,1
"preferred_historical_geography",NA,"census2001__28__10","28","10",2215809,1
"preferred_historical_geography",NA,"census2001__28__11","28","11",2318147,1
"preferred_historical_geography",NA,"census2001__28__12","28","12",2107412,1
"preferred_historical_geography",NA,"census2001__28__13","28","13",3283918,1
"preferred_historical_geography",NA,"census2001__28__14","28","14",4541031,1
"preferred_historical_geography",NA,"census2001__28__15","28","15",3481142,1
"preferred_historical_geography",NA,"census2001__28__16","28","16",3698833,1
"preferred_historical_geography",NA,"census2001__28__17","28","17",4106999,1
"preferred_historical_geography",NA,"census2001__28__18","28","18",2759166,1
"preferred_historical_geography",NA,"census2001__28__19","28","19",2392260,1
"preferred_historical_geography",NA,"census2001__28__20","28","20",2267769,1
"preferred_historical_geography",NA,"census2001__28__21","28","21",2973024,1
"preferred_historical_geography",NA,"census2001__28__23","28","23",3259392,1
"preferred_historical_geography",NA,"census2001__29__01","29","01",3583606,1
"preferred_historical_geography",NA,"census2001__29__05","29","05",1255798,1
"preferred_historical_geography",NA,"census2001__29__10","29","10",1220260,1
"preferred_historical_geography",NA,"census2001__29__17","29","17",1017283,1
"preferred_historical_geography",NA,"census2001__29__18","29","18",2305819,1
"preferred_historical_geography",NA,"census2001__29__19","29","19",2216889,1
"preferred_historical_geography",NA,"census2001__29__20","29","20",4839162,1
"preferred_historical_geography",NA,"census2001__29__21","29","21",1673194,1
"preferred_historical_geography",NA,"census2001__29__22","29","22",1644374,1
"preferred_historical_geography",NA,"census2001__29__23","29","23",1569684,1
"preferred_historical_geography",NA,"census2001__29__25","29","25",488455,1
"preferred_historical_geography",NA,"census2001__30__01","30","01",664804,1
"preferred_historical_geography",NA,"census2001__30__02","30","02",504989,1
"preferred_historical_geography",NA,"census2001__31__01","31","01",51707,1
"preferred_historical_geography",NA,"census2001__32__01","32","01",1071508,1
"preferred_historical_geography",NA,"census2001__32__02","32","02",2251727,1
"preferred_historical_geography",NA,"census2001__32__03","32","03",672128,1
"preferred_historical_geography",NA,"census2001__32__04","32","04",2619941,1
"preferred_historical_geography",NA,"census2001__32__05","32","05",3096330,1
"preferred_historical_geography",NA,"census2001__32__06","32","06",2382235,1
"preferred_historical_geography",NA,"census2001__32__07","32","07",2737311,1
"preferred_historical_geography",NA,"census2001__32__08","32","08",2817236,1
"preferred_historical_geography",NA,"census2001__32__10","32","10",1828271,1
"preferred_historical_geography",NA,"census2001__32__11","32","11",2001217,1
"preferred_historical_geography",NA,"census2001__32__12","32","12",1188332,1
"preferred_historical_geography",NA,"census2001__32__13","32","13",2407566,1
"preferred_historical_geography",NA,"census2001__32__14","32","14",2946650,1
"preferred_historical_geography",NA,"census2001__33__04","33","04",3026432,1
"preferred_historical_geography",NA,"census2001__33__05","33","05",2428182,1
"preferred_historical_geography",NA,"census2001__33__06","33","06",2030187,1
"preferred_historical_geography",NA,"census2001__33__10","33","10",2320263,1
"preferred_historical_geography",NA,"census2001__33__11","33","11",710214,1
"preferred_historical_geography",NA,"census2001__33__22","33","22",1327148,1
"preferred_historical_geography",NA,"census2001__33__28","33","28",1455920,1
"preferred_historical_geography",NA,"census2001__33__29","33","29",2501832,1
"preferred_historical_geography",NA,"census2001__33__30","33","30",1600349,1
"preferred_historical_geography",NA,"census2001__34__01","34","01",20297,1
"preferred_historical_geography",NA,"census2001__34__02","34","02",608338,1
"preferred_historical_geography",NA,"census2001__34__03","34","03",33447,1
"preferred_historical_geography",NA,"census2001__34__04","34","04",145703,1
"preferred_historical_geography",NA,"census2001__35__01","35","01",241453,1
"preferred_historical_geography",NA,"census2001__35__02","35","02",39208,1
"G0_exact_only",NA,"census2001__02__04","02","04",302432,1
"G0_exact_only",NA,"census2001__03__09","03","09",1242781,1
"G0_exact_only",NA,"census2001__04__01","04","01",642015,1
"G0_exact_only",NA,"census2001__06__16","06","16",681869,1
"G0_exact_only",NA,"census2001__08__05","08","05",1582421,1
"G0_exact_only",NA,"census2001__08__13","08","13",1842914,1
"G0_exact_only",NA,"census2001__08__17","08","17",1435222,1
"G0_exact_only",NA,"census2001__08__18","08","18",1142563,1
"G0_exact_only",NA,"census2001__08__19","08","19",654029,1
"G0_exact_only",NA,"census2001__09__15","09","15",2751021,1
"G0_exact_only",NA,"census2001__10__07","10","07",1611638,1
"G0_exact_only",NA,"census2001__10__11","10","11",1177706,1
"G0_exact_only",NA,"census2001__10__33","10","33",1174900,1
"G0_exact_only",NA,"census2001__11__01","11","01",31206,1
"G0_exact_only",NA,"census2001__11__02","11","02",98161,1
"G0_exact_only",NA,"census2001__11__03","11","03",97203,1
"G0_exact_only",NA,"census2001__11__04","11","04",178452,1
"G0_exact_only",NA,"census2001__12__12","12","12",21470,1
"G0_exact_only",NA,"census2001__12__13","12","13",85508,1
"G0_exact_only",NA,"census2001__13__05","13","05",82612,1
"G0_exact_only",NA,"census2001__13__08","13","08",102156,1
"G0_exact_only",NA,"census2001__14__02","14","02",86278,1
"G0_exact_only",NA,"census2001__14__05","14","05",293958,1
"G0_exact_only",NA,"census2001__14__08","14","08",109275,1
"G0_exact_only",NA,"census2001__16__01","16","01",1293861,1
"G0_exact_only",NA,"census2001__19__17","19","17",4399819,1
"G0_exact_only",NA,"census2001__20__15","20","15",288886,1
"G0_exact_only",NA,"census2001__20__16","20","16",1153976,1
"G0_exact_only",NA,"census2001__23__21","23","21",1383086,1
"G0_exact_only",NA,"census2001__23__30","23","30",992215,1
"G0_exact_only",NA,"census2001__24__06","24","06",408992,1
"G0_exact_only",NA,"census2001__24__09","24","09",2514122,1
"G0_exact_only",NA,"census2001__24__10","24","10",1563558,1
"G0_exact_only",NA,"census2001__24__23","24","23",144091,1
"G0_exact_only",NA,"census2001__25__01","25","01",39485,1
"G0_exact_only",NA,"census2001__25__02","25","02",62101,1
"G0_exact_only",NA,"census2001__26__01","26","01",138477,1
"G0_exact_only",NA,"census2001__27__18","27","18",1364425,1
"G0_exact_only",NA,"census2001__27__29","27","29",1276327,1
"G0_exact_only",NA,"census2001__27__32","27","32",1544057,1
"G0_exact_only",NA,"census2001__27__33","27","33",832152,1
"G0_exact_only",NA,"census2001__28__05","28","05",3145939,1
"G0_exact_only",NA,"census2001__30__01","30","01",664804,1
"G0_exact_only",NA,"census2001__30__02","30","02",504989,1
"G0_exact_only",NA,"census2001__31__01","31","01",51707,1
"G0_exact_only",NA,"census2001__32__01","32","01",1071508,1
"G0_exact_only",NA,"census2001__32__02","32","02",2251727,1
"G0_exact_only",NA,"census2001__32__03","32","03",672128,1
"G0_exact_only",NA,"census2001__32__04","32","04",2619941,1
"G0_exact_only",NA,"census2001__32__05","32","05",3096330,1
"G0_exact_only",NA,"census2001__32__06","32","06",2382235,1
"G0_exact_only",NA,"census2001__32__07","32","07",2737311,1
"G0_exact_only",NA,"census2001__32__08","32","08",2817236,1
"G0_exact_only",NA,"census2001__32__10","32","10",1828271,1
"G0_exact_only",NA,"census2001__32__11","32","11",2001217,1
"G0_exact_only",NA,"census2001__32__12","32","12",1188332,1
"G0_exact_only",NA,"census2001__32__13","32","13",2407566,1
"G0_exact_only",NA,"census2001__32__14","32","14",2946650,1
"G0_exact_only",NA,"census2001__33__11","33","11",710214,1
"G0_exact_only",NA,"census2001__33__30","33","30",1600349,1
"G0_exact_only",NA,"census2001__34__01","34","01",20297,1
"G0_exact_only",NA,"census2001__34__02","34","02",608338,1
"G0_exact_only",NA,"census2001__34__03","34","03",33447,1
"G0_exact_only",NA,"census2001__34__04","34","04",145703,1
"G2_population_interpolated",0.9,"census2001__02__01","02","01",390689,NA
"G2_population_interpolated",0.9,"census2001__02__02","02","02",1173214.05076004,NA
"G2_population_interpolated",0.9,"census2001__02__03","02","03",31163,NA
"G2_population_interpolated",0.9,"census2001__02__04","02","04",302432,NA
"G2_population_interpolated",0.9,"census2001__02__05","02","05",776085.934413304,NA
"G2_population_interpolated",0.9,"census2001__02__06","02","06",368781.974435897,NA
"G2_population_interpolated",0.9,"census2001__02__07","02","07",378261.629903004,NA
"G2_population_interpolated",0.9,"census2001__02__08","02","08",295348.567517967,NA
"G2_population_interpolated",0.9,"census2001__02__09","02","09",382063.982065434,NA
"G2_population_interpolated",0.9,"census2001__02__10","02","10",379693.999897276,NA
"G2_population_interpolated",0.9,"census2001__02__11","02","11",615465.017235491,NA
"G2_population_interpolated",0.9,"census2001__02__12","02","12",71022,NA
"G2_population_interpolated",0.9,"census2001__03__01","03","01",1745974.89917468,NA
"G2_population_interpolated",0.9,"census2001__03__02","03","02",2482379.91015149,NA
"G2_population_interpolated",0.9,"census2001__03__03","03","03",645189.701333734,NA
"G2_population_interpolated",0.9,"census2001__03__04","03","04",1634145.86793852,NA
"G2_population_interpolated",0.9,"census2001__03__05","03","05",1304509.0633002,NA
"G2_population_interpolated",0.9,"census2001__03__06","03","06",533507.020759334,NA
"G2_population_interpolated",0.9,"census2001__03__07","03","07",891490.70271347,NA
"G2_population_interpolated",0.9,"census2001__03__08","03","08",392112.049731735,NA
"G2_population_interpolated",0.9,"census2001__03__09","03","09",1272923.28826871,NA
"G2_population_interpolated",0.9,"census2001__03__10","03","10",777296.312860861,NA
"G2_population_interpolated",0.9,"census2001__03__11","03","11",1447323.95727549,NA
"G2_population_interpolated",0.9,"census2001__03__12","03","12",650328.11713683,NA
"G2_population_interpolated",0.9,"census2001__03__13","03","13",456733.821130271,NA
"G2_population_interpolated",0.9,"census2001__03__14","03","14",996660.448254866,NA
"G2_population_interpolated",0.9,"census2001__03__15","03","15",562839.325422578,NA
"G2_population_interpolated",0.9,"census2001__03__16","03","16",1684877.52689356,NA
"G2_population_interpolated",0.9,"census2001__03__17","03","17",1521167.75720717,NA
"G2_population_interpolated",0.9,"census2001__04__01","04","01",642015,NA
"G2_population_interpolated",0.9,"census2001__05__01","05","01",239538.735575277,NA
"G2_population_interpolated",0.9,"census2001__05__02","05","02",314966.833027254,NA
"G2_population_interpolated",0.9,"census2001__05__03","05","03",200969.008873292,NA
"G2_population_interpolated",0.9,"census2001__05__04","05","04",517874.651855382,NA
"G2_population_interpolated",0.9,"census2001__05__05","05","05",1025197.06422966,NA
"G2_population_interpolated",0.9,"census2001__05__06","05","06",670470.851299475,NA
"G2_population_interpolated",0.9,"census2001__05__07","05","07",416538.277010503,NA
"G2_population_interpolated",0.9,"census2001__05__08","05","08",227727.946311773,NA
"G2_population_interpolated",0.9,"census2001__05__09","05","09",608767.763444223,NA
"G2_population_interpolated",0.9,"census2001__05__10","05","10",191274.224306297,NA
"G2_population_interpolated",0.9,"census2001__05__11","05","11",565833.67826564,NA
"G2_population_interpolated",0.9,"census2001__05__12","05","12",932390.293997676,NA
"G2_population_interpolated",0.9,"census2001__05__13","05","13",1122923.05150629,NA
"G2_population_interpolated",0.9,"census2001__06__01","06","01",301032.269308373,NA
"G2_population_interpolated",0.9,"census2001__06__02","06","02",814450.406531442,NA
"G2_population_interpolated",0.9,"census2001__06__03","06","03",805785.901070806,NA
"G2_population_interpolated",0.9,"census2001__06__04","06","04",611118.702216647,NA
"G2_population_interpolated",0.9,"census2001__06__05","06","05",778014.283847987,NA
"G2_population_interpolated",0.9,"census2001__06__06","06","06",1036284.84133495,NA
"G2_population_interpolated",0.9,"census2001__06__07","06","07",688119.43946124,NA
"G2_population_interpolated",0.9,"census2001__06__08","06","08",1033849.94978701,NA
"G2_population_interpolated",0.9,"census2001__06__09","06","09",980671.785659408,NA
"G2_population_interpolated",0.9,"census2001__06__10","06","10",647453.408779928,NA
"G2_population_interpolated",0.9,"census2001__06__11","06","11",900793.060912627,NA
"G2_population_interpolated",0.9,"census2001__06__12","06","12",1201659.60612114,NA
"G2_population_interpolated",0.9,"census2001__06__13","06","13",1166492.31388316,NA
"G2_population_interpolated",0.9,"census2001__06__14","06","14",792477.171130381,NA
"G2_population_interpolated",0.9,"census2001__06__15","06","15",712456.412447499,NA
"G2_population_interpolated",0.9,"census2001__06__16","06","16",681869,NA
"G2_population_interpolated",0.9,"census2001__06__17","06","17",611863.623998218,NA
"G2_population_interpolated",0.9,"census2001__06__18","06","18",1145990.00434466,NA
"G2_population_interpolated",0.9,"census2001__06__19","06","19",1476074.39896469,NA
"G2_population_interpolated",0.9,"census2001__08__01","08","01",1389532.68558245,NA
"G2_population_interpolated",0.9,"census2001__08__02","08","02",1102348.82144405,NA
"G2_population_interpolated",0.9,"census2001__08__03","08","03",1201613.1537804,NA
