"state_code_2001","district_code_2001","state_code_1991","district_code_1991","state_name_1991","atlas_population_1991","pca91_population","n_atlas_language_columns","complete_atlas_alignment_1991","n_accepted_languages","n_unresolved_aligned_languages","n_unaligned_atlas_languages","n_unresolved_languages","accepted_speaker_coverage_1991","shastry_mapped_accepted_speaker_share_1991","shastry_mapped_population_share_1991","accepted_nonzero_mapped_speakers_1991","distance_resolved_speakers_1991","distance_resolved_speaker_share_1991","distance_unresolved_mass_upper_bound_1991","distance_unresolved_mass_upper_bound_share_1991","ling_distance_nonzero_mean_accepted_1991","ling_distance_nonzero_lower_bound_1991","ling_distance_nonzero_upper_bound_1991","ling_distance_nonzero_bound_width_1991","distant_speakers_ge3_accepted_1991","ling_share_distance_ge3_accepted_1991","ling_share_distance_ge3_lower_bound_1991","ling_share_distance_ge3_upper_bound_1991","ling_share_distance_ge3_bound_width_1991","atlas_source_status","ling_distance_nonzero_mean_sensitivity_low_accepted_1991","ling_distance_nonzero_mean_sensitivity_high_accepted_1991","min_accepted_coverage","max_distance_bound_width","historical_language_status","ling_distance_nonzero_mean_1991","ling_distance_nonzero_mean_sensitivity_low_1991","ling_distance_nonzero_mean_sensitivity_high_1991","ling_share_distance_ge3_1991","n_shrid_total","n_shrid_deterministic","shrid_coverage","population_1991_total","population_1991_deterministic","population_coverage","n_target_2001_districts","mapping_class","exact_language_persistence","preferred_language_persistence","preferred_population_coverage_threshold","n_transition_targets","ling_distance_nonzero_mean_2001","ling_share_distance_ge3_2001","persistence_status","ling_distance_change_1991_2001","ling_share_distance_ge3_change_1991_2001","rank_percentile_1991","rank_percentile_2001","quintile_1991","quintile_2001","same_quintile","absolute_quintile_change"
"28","12","02","02","ANDHRA PRADESH",2110943,2107412,26,FALSE,25,1,88,89,0.00517730701397432,0.935858724494464,0.00484522793841425,6488,10228,0.00484522793841425,2100715,0.995154772061586,4.40012330456227,1.01046885373645,4.99815300187025,3.98768414813381,5449,0.258131081701401,0.258131081701401,99.77360828786,99.5154772061586,"candidate",4.40012330456227,4.06857699262763,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,1462,1455,0.995212038303694,2107412,2106320,0.999481828897245,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,4.98097121373722,97.5986393801621,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"18","01","04","02","ASSAM",800659,800659,54,FALSE,48,6,60,66,0.82554995322603,0.999978819457052,0.82553246762979,660905,660984,0.82554995322603,139675,0.17445004677397,3.98291736331243,3.46249594044318,4.1603649853856,0.697869044942417,660735,82.5238959407188,82.5238959407188,99.9689006181158,17.445004677397,"candidate",3.98291736331243,3.98291736331243,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,916,898,0.980349344978166,789123,782346,0.991411985203828,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,4.11095383777698,95.6057121321469,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"30","02","06","02","GOA",504989,504989,69,FALSE,60,9,45,54,0.837180611854912,0.991882053234997,0.830384424215181,376764,422765,0.837176651372604,82224,0.162823348627396,2.34273444384283,2.10219439288173,2.81876214628705,0.716567753405318,44867,8.88474798460957,8.88474798460957,25.1670828473491,16.2823348627396,"candidate",2.34273444384283,2.34276182033411,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,153,153,1,504989,504989,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,2.33536888733506,11.0781602905413,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"24","09","07","02","GUJARAT",2514122,2514122,99,FALSE,91,8,15,23,0.999559289485554,0.998717078376802,0.998276933259404,2485170,2509947,0.99833938050739,4175,0.00166061949261014,1.02875175541311,1.02870353446389,1.03541212648307,0.00670859201918583,22967,0.913519709862926,0.913519709862926,1.07958165912394,0.166061949261014,"candidate",1.02875175541311,1.02874404648753,0.99,0.5,"eligible",1.02875175541311,1.02875175541311,1.02874404648753,0.913519709862926,850,850,1,2511261,2511261,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,1.03037800168689,0.947115991417392,"eligible",0.00162624627377994,0.033596281554466,0.0888888888888889,0.144444444444444,1,1,TRUE,0
"02","02","09","02","HIMACHAL PRADESH",1174072,1174072,84,FALSE,82,2,30,32,0.993208252986188,0.993663482829059,0.986914771836821,30771,1158743,0.986943730878515,15329,0.0130562691214849,1.1972636573397,1.13167028199566,2.46173535791757,1.33006507592191,1807,0.153908789239501,0.153908789239501,1.45953570138799,1.30562691214849,"candidate",1.17776477852523,1.16062529507423,0.99,0.5,"distance_bound_too_wide",NA,NA,NA,NA,3622,3589,0.990889011595803,1172773,1171916,0.999269253299658,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,2.08700724143244,1.0307760821094,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"29","21","11","02","KARNATAKA",1673194,1673194,69,FALSE,68,1,45,46,0.999669494392163,0.999955758587766,0.999625267601964,1516653,1672583,0.999634830151196,611,0.000365169848804143,4.96828081307985,4.96668279218383,4.96829358635017,0.00161079416634102,1501441,89.7350217607761,89.7350217607761,89.7715387456565,0.0365169848804214,"candidate",4.96828081307985,4.96812906348012,0.99,0.5,"eligible",4.96828081307985,4.96828081307985,4.96812906348012,89.7350217607761,1709,1692,0.990052662375658,1661965,1659281,0.998385044209716,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,4.93656471682481,88.9368707365834,"eligible",-0.0317160962550398,-0.798151024192705,0.688888888888889,0.744444444444444,4,4,TRUE,0
"32","02","12","02","KERALA",2251727,2251727,99,FALSE,85,14,15,29,0.999892082832421,0.999663777313097,0.999555896429718,2249001,2250889,0.999627841208104,838,0.000372158791896176,4.99539395491598,4.99390578614736,4.99539567053465,0.00148988438728281,2245837,99.738422997104,99.738422997104,99.7756388762936,0.0372158791896169,"candidate",4.99539395491598,4.994337205436,0.99,0.5,"eligible",4.99539395491598,4.99539395491598,4.994337205436,99.738422997104,123,123,1,2251727,2251727,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,4.98996516490551,99.6028858236549,"eligible",-0.0054287900104697,-0.135537173449094,0.855555555555556,0.855555555555556,5,5,TRUE,0
"23","03","13","02","MADHYA PRADESH",1219000,1219000,99,FALSE,82,17,15,32,0.999842493847416,0.999774369712046,0.999616899097621,3190,1218533,0.999616899097621,467,0.000383100902378999,1.07742946708464,1.06754170084769,1.57834290401969,0.510801203171999,84,0.00689089417555373,0.00689089417555373,0.0452009844134537,0.0383100902378999,"candidate",1.07742946708464,1.07128427128427,0.99,0.5,"distance_bound_too_wide",NA,NA,NA,NA,886,882,0.99548532731377,1218602,1218513,0.999926965489963,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,1.16247755834829,0.0111302604480945,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"27","21","14","02","MAHARASHTRA",5249126,5249126,114,TRUE,113,1,0,1,0.998262948917591,0.997378439116887,0.995645941819648,4389063,5233408,0.997005596741248,15718,0.00299440325875203,2.23363574412124,2.22923364407901,2.24350722544435,0.0142735813653392,526472,10.0297078027847,10.0297078027847,10.3291481286599,0.299440325875203,"candidate",2.23334587126513,2.23866875116024,0.99,0.5,"eligible",2.23363574412124,2.23334587126513,2.23866875116024,10.0297078027847,1620,1616,0.997530864197531,5187162,5185700,0.999718150310324,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,2.28031361279194,12.2521682673446,"eligible",0.0466778686706997,2.2224604645599,0.322222222222222,0.411111111111111,2,3,FALSE,1
"14","02","15","02","MANIPUR",86278,86278,114,TRUE,101,13,0,13,0.910208859732493,0.99987266175141,0.910092955330443,78515,78530,0.910197269292288,7748,0.0898027307077123,4.8666751576132,4.51937678958534,4.87865017446646,0.35927338488112,75135,87.0847724796588,87.0847724796588,96.06504555043,8.98027307077122,"candidate",4.8666751576132,4.86662591064242,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,155,155,1,78605,78605,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,4.86546349466776,16.2043424587902,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
